,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Attending Anesthesiologist,Employer Provided Salary:$84 - $103 Per Hour,"The Icahn School of Medicine at Mount Sinai affiliated with New York City H + H/Queens has an exciting opportunity for an Attending Anesthesiologist.
The Attending Anesthesiologist will administer anesthetics to render patients insensitive to pain during surgical and other medical procedures. Examine patient to determine degree of surgical risk and type of anesthetic, and sedation to administer, and discusses findings with medical practitioner concerned with the case. Record type and amount of anesthetic and sedation administered and condition of patient before, during and after anesthesia. The Anesthesiologist will also provide consultative, resuscitative and therapeutic services to patients in shock, respiratory insufficiency, acute or chronic pain. The hospital is easily accessible by public transportation and car from all areas of New York City, New Jersey and Long Island.
Candidates must have a MD degree, ACGME approved residency training in Anesthesiology and be board certified by the ABA or in the process of certification with a valid New York State License, DEA and Medicaid number. Qualified candidates should have strong clinical abilities, communication and interpersonal skills. Experience with public health systems are preferred. We also offer a faculty appointment with the Icahn School of Medicine at Mount Sinai commensurate with credentials, experience and qualifications.",3.5,"Mount Sinai Health System
3.5","Jamaica, NY",10000+ Employees,2013,Hospital,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
1,Staff Anesthesiologist,Employer Provided Salary:$225K - $300K,"We are an outpatient orthopedic and pain management surgery center in Whiting, NJ.
We are in need of a full time, board certified Anesthesiologist to perform local, MAC, General Anesthesia.
Job Type: Full-time
Pay: $225,000.00 - $300,000.00 per year
Benefits:
Dental insurance
Health insurance",-1,Manchester Surgery Center,"Whiting, NJ",-1,-1,-1,-1,-1,-1
2,Staff Anesthesiologist,Employer Provided Salary:$380K - $400K,"Staff Anesthesiologist
Join a collegial mixed-model group of clinicians as an anesthesiologist providing coverage for a community hospital an hour outside of Seattle. Use all your clinical anesthesiology skills including neuraxial anesthesia, peripheral nerve blocks and lines. All providers do their own cases and share equally in call.
Cases include general surgery, ortho, gyn, podiatry, urology, ENT, and obstetrics.
First call approximately one in seven; 30 minute response time
Bonus pay available
8 weeks PTO
401(k)",-1,"Anesthesia Associates Northwest, LLC","Centralia, WA",-1,-1,-1,-1,-1,-1
3,Staff Anesthesiologist,Employer Provided Salary:$400K - $450K,"Benefis Health System in Great Falls, Montana is seeking a qualified Board Certified/Board Eligible Anesthesiologist to join our hospital employed group, providing services to patients throughout our state-of-the-art, progressive health system as we plan for upcoming retirements!
*Full-Time
*Schedule allows great work and home life balance with targeted 1 in 6 weekday call ratio.
*Full time = 44 weeks total, 9 weekends, 22 first calls and 22 second calls
*Cover only 1 hospital with 10 state-of-the-art operating rooms
*100% coverage on cases, no supervision",3.5,"Benefis Health System
3.5","Great Falls, MT",1001 to 5000 Employees,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
4,Anesthesiologist - Prince William Medical Center - Novant Health - Full - Time,Employer Provided Salary:$400K,"Manassas,VA - USA
Position Requirements
Excellent opportunity for an Anesthesiologist in Manassas, Virginia! Salary 400K
Up to 60K in Sign-0n or Training Assistance
North American Partners in Anesthesia (NAPA) is seeking a board certified anesthesiologist to join our growing anesthesia practice in beautiful Manassas, Virginia. Services will be provided at Prince William Hospital and Haymarket Medical Center. The group consists of 15 anesthesiologists and over 40 CRNAs that function in a care team model.
Responsibilities",3.2,"North American Partners in Anesthesia
3.2","Richmond, VA",5001 to 10000 Employees,1986,Company - Private,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
5,Anesthesiologist needed!,$136K - $410K (Glassdoor est.),"We are looking for a full-time Anesthesiologist to join our team!
Cases:
Bread and Butter
Regional blocks needed
OB: GYN
General
Urology
Spine
Vascular",3.4,"Integrated Anesthesia Medical Group
3.4","Corona, CA",51 to 200 Employees,-1,,Health Care Services & Hospitals,Health Care,$5 to $10 million (USD)
6,Attending Anesthesiologist,$129K - $366K (Glassdoor est.),"Attending Anesthesiologist
Full time BC/BE Anesthesiologist sought with private group at Flushing Hospital MedicalCenter.
B&B cases with minimal OB. Light OR call from home. Collegiate environment with very competitive salary. New grads welcome.
Join a group that prides itself on mentorship and professional development.
Job Type: Full-time
Benefits:
401(k)
Dental insurance
Flexible schedule",-1,Flushing Hospital Medical Center,"Flushing, NY",1 to 50 Employees,-1,Hospital,Health Care Services & Hospitals,Health Care,Less than $1 million (USD)
7,SOM Faculty - Academic Anesthesiologists,$76K - $224K (Glassdoor est.),"SOM Faculty - Academic Anesthesiologists
The University of Chicago's Department of Anesthesia & Critical Care is searching for full-time faculty members at any rank. Clinical responsibilities include providing patient care in the general operating room and non-operating room locations. We welcome applicants with any fellowship training. We have a special interest in those with fellowship training in, or focus on, regional anesthesia, liver transplantation, neuro-anesthesia, trauma anesthesia and/or a military background. Other duties include teaching and supervision of trainees and students, and scholarly activity. Academic rank and compensation are dependent upon qualifications. Our generous fringe benefits package includes a unique college tuition benefit. Applicants who are willing to commit to longer terms of employment may be eligible for a signing bonus.
Appointees will join a vibrant and distinguished community of faculty colleagues and learners at UChicago Medicine, the Biological Sciences Division, the Pritzker School of Medicine, and the University of Chicago and its affiliates. The University of Chicago is one of the world’s top academic institutions. We provide an incredible foundation upon which you can build your academic career regardless of whether your interest is in world-class clinical care, clinical & translational research, or basic science.",4.2,"The University of Chicago
4.2","Chicago, IL",10000+ Employees,1890,College / University,Colleges & Universities,Education,$2 to $5 billion (USD)
8,APP (NP) Anesthesiology - RUHS,-1,"Loma Linda University Faculty Medical Group, Division of Community Partnership - Anesthesiology is seeking Anesthesiologists to join their team at Riverside University Health System (RUHS).
RUHS in the heart of beautiful Southern California in the area known as the Inland Empire, situated conveniently halfway between Los Angeles and Palm Springs. Our location places us within one hour of surfing at the beach, camping in the desert, skiing in the mountains, or catching a play in Los Angeles. There are six major airports within an hour's drive.
The practice largely consists of adult cases including orthopedics, general surgery, ENT, OB/GYN, trauma, vascular and thoracic surgery. In addition, the practice includes a state-of-the-art outpatient surgical center with 4 additional operating rooms, as well as including a limited number of uncomplicated pediatric surgery cases. The practice does not perform cardiac cases. Experience and proficiency in placing regional blocks is a plus. The practice includes an ACGME-approve anesthesiology residency program with a total of 20 residents in training. The ideal candidate would be a team-oriented physician who is interested in resident education and career advancement.",-1,Loma Linda University Faculty Medical Group,"Loma Linda, CA",-1,-1,-1,-1,-1,-1
9,Interventional Pain Management Physician,Employer Provided Salary:$300K - $400K,"Florida Pain Medicine, a well-respected and established Interventional Spine & Pain Management practice, is seeking a Board Certified/Board Eligible Anesthesiology, Physical Medicine and Rehabilitation, or Neurology trained Interventional Pain Management Physician for their Tampa Bay area offices. Candidate(s) must have excellent bedside manner, time management skills, and be looking for long-term employment in an outpatient clinical setting. The physician will provide comprehensive multi-disciplinary pain management care and may supervise ARNPs/Physician Assistants. Position requires a variety of clinical and technical skills including coordination, workup, diagnosis, treatment, interventional and medical management with follow up of pain patients. Clinic hours are 7:30am-4:30pm Monday – Friday. Position offers a competitive salary guarantee with productivity based incentive from the beginning of employment, along with a comprehensive benefits package including medical, dental, vision and 401k opportunities with company match. Employee shall receive three (3) weeks paid time off and five (5) days of paid CME with reimbursement up to three thousand ($3500.00) dollars per year. There is as immediate partnership track to buy into our ASC offered and details will be discussed upon interview.",-1,Florida Pain Medicine,"Zephyrhills, FL",-1,-1,-1,-1,-1,-1
10,MD - Riverside Regional Medical Center - Full Time,-1,"Newport News,VA - USA
Position Requirements
An excellent opportunity for a full-time call Anesthesiologist at one of Virginia Peninsula's most comprehensive medical facilities combining the most recent computerized medical technology with a healing environment. With a 21-bed Neonatal Intensive Care Unit and onsite neonatologists, it is a voluntary nonprofit short term acute care hospital that is a member of the Riverside Health System.

Diverse and challenging case mix includes vascular, neuro, bariatric, orthopedic, ENT, OB. Our practice operates under a collaborative care team model. New grads welcome.

Riverside Regional Medical Center is a 450-bed level II trauma center located in Newport News, VA. A great place to raise a family with excellent public and private school systems, mild climate and reasonable cost of living. Plenty to do with the local beaches, Virginia Beach, Busch Gardens and Outer Banks all nearby.",3.2,"North American Partners in Anesthesia
3.2","Richmond, VA",5001 to 10000 Employees,1986,Company - Private,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
11,Medical Doctor / Doctor of Osteopathy for Physicals - Part Time,Employer Provided Salary:$63 - $125 Per Hour,"Currently seeking physicians to perform disability examinations on adults in Evantson, WY. All physical specialties may apply. PAs and NPs may participate in these evaluations as well. Providers must be willing to do full body exams on applicants.
The examinations are not for treatment. We would coordinate scheduling applicants in your office. We provide you with templates to assure report consistency and program adherence.
The examinations are not for the physician to determine whether the applicant is disabled or not. The reports summarized from these encounters will help the decision-makers in determining whether a disability is present under their programmatic guidelines and whether the applicant qualifies for benefits.
We provide the administrative support to schedule, confirm appointments, invoice, bill, rebill and manage medical records for these claims. We provide a dictation and transcription service at no cost. You are assured payment whether our client pays us or not.",-1,"Consultative Examination Services, Inc.","Evanston, WY",-1,-1,-1,-1,-1,-1
12,Physician- CV Anesthesiologist,$154K - $437K (Glassdoor est.),"Summary:
CHRISTUS St. Michael Hospital in Texarkana is seeking a dynamic and team orientated CV Anesthesiologist to join its growing team. The Anesthesiologist will work alongside both MDs and CRNAs to provide quality patient care. If you are looking to work within a team environment and would enjoy working within an established practice, this is the opportunity for you!
CHRISTUS Trinity Clinic:
The area’s preferred multi-specialty medical group
Over 700 physicians and advance practice providers representing 41 specialties in 82 clinic locations throughout Northeast Texas
A physician led group with its own board of directors",3.6,"Christus Health
3.6","Texarkana, TX",10000+ Employees,1869,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD)
13,Physician for stem cell treatments - Part Time,Employer Provided Salary:$150 - $175 Per Hour,"Qualifications
MD license in Colorado
Full Job Description
A Denver stem cell, regenerative medicine, specialty clinic is looking for a part time Physician (2-3 days per week) to work in our Denver clinic. This Physician will be doing bone marrow and adipose aspirations, joint injections and exams. Must have experience with joint injections. Your primary job duties will be patient consultation/exam and performing the stem cell procedure with assistance from the MA's and lab staff. We are open to many different types of specialty including: general practitioner, orthopedic specialists, rheumatologist, anesthesiologist, pain management and internal medicine. Training is available. Part-time to start, with room to grow. 9:00 AM-5:00 PM",-1,Confidential,"Lone Tree, CO",-1,-1,-1,-1,-1,-1
14,"Surgeon/Physician (part or full time)- NO NIGHTS, NO WEEKENDS, NO CALL!",Employer Provided Salary:$150K - $350K,"AmeriWound invites you to join our wound care practice. We are recruiting surgeons and physicians of all backgrounds with an interest in providing wound care to patients in the post-acute and long-term care settings. Whether you are looking to fill gaps in your current schedule or make a career change, this position will provide you the opportunity to enjoy an individualized practice that is financially rewarding and offers a phenomenal work life balance.
Company Overview
AmeriWound's affiliated physicians are highly trained wound care providers, who assess, diagnose, treat, monitor and heal patient wounds. Our provider documentation is concise and survey focused, meeting all facility medical standards.",3.8,"AmeriWound
3.8","Albany, NY",51 to 200 Employees,2012,Company - Private,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD)
15,Anesthesiologist,-1,"A hospital in South Dakota is looking for a locum tenens anesthesiologist to provide coverage for four months beginning in February. The provider would be working in the OR on Fridays and on call for the weekend. Expect to see general anesthesiology cases as well as ortho, ENT, OBGYN (epidurals), Urology, and pre-op blocks. There are no heart or neuro cases.

The facility uses Meditech EHR.",3.2,"Barton Associates
3.2",South Dakota,501 to 1000 Employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
16,Interventional Pain Management Physician,Employer Provided Salary:$200K - $285K,"Established Pain Management Practice in the Washington DC Metro Area is seeking a bright, motivated team player to evaluate, diagnose and treat patients with acute and chronic pain. Duties will include completing detailed patient assessment and physical examinations, ordering radiological and other diagnostic tests, medication management, performing minimally invasive procedures/interventions, injections and nerve blocks as well as monitoring the effectiveness of these pain management interventions; using our existing electronic medical record and charting to document examination results, treatment plans, and patients' outcomes.
Requirements:
MD or DO from appropriately accredited institution.
Board certified or Board eligible (Anesthesiologist, Pain Management or Rehabilitation Physician).",-1,Metro Spine PC,"Washington, DC",-1,-1,-1,-1,-1,-1
