,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Behavioral Health Intake Counselor - Emergency Department (Full time) Evenings,$30K - $57K (Glassdoor est.),"Shift: Full time, Evenings, Every other weekend 36 Hrs/week - 3:00pm - 11:30pm


Reporting to the Behavior Health Manager of Intake Services, performs mental health assessments for hospital patients and customers. Performs comprehensive clinical assessments and completes pre-certifications for insurance companies and required admission documentation. Provides treatment referrals that are consistent with the customer’s medical and psychiatric status and symptoms.


1. Responds to requests from hospital departments and medical units for behavioral health level of care intake assessments. Assists departments as needed providing crisis intervention, referrals, coordination of disposition, admission, and completion of all required legal forms in accordance with Illinois Mental Health Code.

2. Responsible for conducting comprehensive clinical assessments for patients seeking treatment including assessing and documenting patient’s clinical condition and needs. Obtains initial patient vitals, diagnostic impression and confirmation during the disposition process with the psychiatrist. Obtains collateral with families and support systems through face-to-face interviews and/or phone calls. Obtains collateral with the patient’s existing behavioral health providers, including school referral sources for adolescent patients.

3. Communicates with interdisciplinary teams that include ED physicians, ED nurses, hospitalists, and unit nurses. Collaborates with the on-call psychiatrist to determine level of care. Reviews previous documentation prior to assessment process and synthesizes patient history and current clinical condition into a case formulation. Provides treatment referrals consistent with the patient’s medical and psychiatric status and symptoms. Identifies and reports potential/actual problems that may adversely affect the patient and/or department. Completes Occurrence Reports and emails via chain of command as needed. Oversees follow up with referral sources as appropriate.

4. Provides comprehensive written and verbal patient documentation and communication to physicians and staff and follows up with local and state agencies as mandated reporter per HIPPA guidelines.

5. Prioritizes inpatient transfer requests and reviews the clinical information provided to determine appropriateness for admission to inpatient behavioral health units. Facilitates patient transfers to other facilities as needed contacting the accepting psychiatrist and providing clinical report to staff at accepting facility. Completes all legal and transfer forms after medical and psychiatric clearance has been determined.

6. Coordinates and communicates with interdisciplinary staff regarding the external placement of patients and documents requests with external facilities.

7. Provides comprehensive clinical information and documentation for pre-certification and authorization of admission in the electronic medical records system (EMR). Initiates and completes the pre-certification and/or authorization for admission process gathering funding information, obtaining signatures for release of information; follow up with Utilization Review Department as needed, and resolves any issues with insurance companies to determine eligibility for services.

8. Acts as patient advocate in maximizing mental health care benefits with behavioral management companies and community agencies. Utilizes community resources for patients without funding, i.e. local mental health centers and SASS (Screening Assessment and Support Services).

9. Demonstrates the knowledge and skills necessary to assess, and care for all age groups of patients from pediatric to geriatric; implements assessment, treatment and care based on the developmental stage of the patient. Involves family/guardian in plan of care and conducts patient and family education as appropriate to the developmental needs of the patient.

10. Maintains current knowledge pertaining to clinical role. Participates in quality improvement activities and supports the organizations goals, safety and security programs.

11. Adheres to all Northwest Community Hospital standards, policies, and procedures.",3.7,"Northwest Community Healthcare
3.7","Arlington Heights, IL",1 to 50 Employees,1959,Hospital,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD)
1,Senior Counselor - Inpatient,Employer Provided Salary:$26 Per Hour,"***3K SIGN ON BONUS - INPATIENT SENIOR COUNSELORS***
Masters level starting at $26.00 per hour!
GOSNOLD OVERVIEW
Gosnold, Inc. is a nationally accredited non-profit leader in the prevention, treatment and recovery of mental health and substance use disorders. We offer a full, end-to-end continuum of care offering a wide range of treatment options. Highly regarded for innovation, we offer a comprehensive patient centered continuum of care tailored to fit the needs of individuals.
SUMMARY:
The Senior Counselor will conduct initial evaluation and patient intake interviews and assessments, assess patient’s presenting problems, and formulate diagnoses, make recommendations regarding appropriate treatment. The Senior Counselor must have demonstrated knowledge of the disease of addiction, twelve-step recovery principles, addiction and/or mental health treatment, and other evidence-based practices in related clinical issues. This position requires experience working in a team treatment approach in a multi-disciplinary clinical setting.",3.0,"Gosnold
3.0","Falmouth, MA",201 to 500 Employees,1972,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$10 to $25 million (USD)
2,Substance Abuse Counselor,Employer Provided Salary:$25 - $29 Per Hour,"Starting pay range: $25-$29/hr.
Schedule: Monday to Friday (no weekends)
Center Point’s mission is to provide comprehensive social, educational, vocational, medical, psychological, housing and rehabilitation services to combat social problems such as substance abuse, poverty, unemployment and homelessness.
Center Point is seeking compassionate and enthusiastic individuals with a desire to teach to join one of our exciting teams as a Certified SUD / AOD Counselors at California Correctional Center (CCC) and High Desert State Prison (HDSP), located in Susanville, CA, and other institutions in Northern California.
About the Position:",2.1,"Center Point, Inc.
2.1","Reno, NV",51 to 200 Employees,-1,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD)
3,"Treatment Counselor, (Substance Abuse) - Community Corrections",-1,"DISCOVER A CAREER OF SERVICE, DISCOVER CORECIVIC!
NOW OFFERING UP TO $2,000 IN BONUSES!!
NEW CERTIFIED COUNSELORS ENCOURAGED TO APPLY

Clinically-Focused, Patient-Centered, Evidence-Based

When you join our health services team as a provider, nurse, or mental health professional, you are able to focus on what led you into health care to begin with – providing quality, patient centered care while building a successful career.
At CoreCivic, we do more than manage residents, we care for people. CoreCivic is currently seeking Treatment Counselors in our Community Corrections residential treatment program. We are seeking individuals who have a passion for making lasting changes in the lives of people, as we set the standards of care in the industry. This is your opportunity to make a satisfying career even more rewarding. The Treatment Counselor implements one on one and group substance abuse counseling services to residents assigned to the treatment program.",2.7,"CoreCivic
2.7","San Diego, CA",10000+ Employees,1983,Company - Private,State & Regional Agencies,Government,Unknown / Non-Applicable
4,Licensed Youth Mental Health Counselor,Employer Provided Salary:$60 - $100 Per Hour,"Genesis New Beginnings Behavioral Health is a privately owned outpatient mental health group. We are dedicated to promoting the well-being of everyone. We are looking to make a difference within the community and provide accessible, quality mental health care for all. We emphasize compassion, respect, trust, and confidentiality. We are looking to create a comfortable and positive environment for patients, clinicians as well as staff! Our priority is patient care!
We are looking for full-time or part-time licensed clinicians, Licensed Clinical Professional Counselor (LCPC), Licensed Clinical Social Worker (LCSW) or Licensed Marriage and Family Therapist (LMFT) to work with children 5+ and youth for our Las Vegas office located in the Southwest Valley.
Therapist Job Responsibilities:
Establish positive, trusting rapport with patients.",-1,Genesis New Beginnings Behavioral Health,"Las Vegas, NV",-1,-1,-1,-1,-1,-1
5,Counselor,-1,"Community Bridges, Inc. (CBI) is an integrated behavioral healthcare agency offering a variety of different programs throughout Arizona. CBI provides residential, outpatient, inpatient, patient-centered medical homes, medication-assisted treatment, and crisis services to individuals experiencing crisis, opioid use disorder, homelessness, and mental illness.
The Outpatient Counselor is responsible for the implementation of best practice counseling through group and individual services. The counselor is part of an integrated treatment team and works closely with Peer Support and Medical staff to ensure that each participant is provided the services necessary to achieve the goals of treatment as outlined in their individualized treatment plan. This position is a Monday through Friday position and does not require on call or weekend hours.
Skills / Requirements",2.7,"Community Bridges Inc.
2.7",Remote,1 to 50 Employees,-1,Self-employed,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD)
6,"Master's Level Counselor- $5,000 SIGN ON BONUS",-1,"Non-Exempt
ABOUT VERTAVA HEALTH:
Vertava Health is a leading national behavioral healthcare system for mental health and substance use disorders, providing a full continuum of services based on the individuals' varying needs at different times in their health and recovery journey. We apply evidence-based treatment modalities at every level of care and embed digital health tools to enhance and amplify clinical outcomes. With a growing list of Joint Commission accredited inpatient and outpatient locations across the country, a virtual care platform and a national network of healthcare providers, Vertava Health pioneers care that empowers people so that they can live out their best future.
In order to make this possible, we need an exceptional Counselor who can meet the requirements below. Think you have what it takes to help us change lives all over the country?",3.6,"Vertava Health
3.6","Cummington, MA",501 to 1000 Employees,2014,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
7,Mental Health Counselor (2YRS EXP REQ),Employer Provided Salary:$40 - $55 Per Hour,"About us
GD Psych Services, LLC is dedicated to providing the greater Santa Fe, Albuquerque, and Rio Rancho NM region with supportive, solution-based psychological services provided by the most professional licensed clinical social workers, mental health counselors, and psychologists in the community. Our organization is fully committed to helping individuals maintain their mental health and happiness and providing them with the best solutions to overcome their greatest psychological challenges.
Our comprehensive counseling services can provide supervision and support for a variety of issues, including marital stress, military-related stress, OCD, anxiety, depression, substance abuse, and much more. We can provide forensic evaluations and assessments, Personnel selection, psychological, learning style, and neurological testing services to accurately provide diagnoses, occupational match, treatment planning, and recommendations.",-1,"GD Psych Services, LLC",New Mexico,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
8,Mental Health Counselor or QMPH,Employer Provided Salary:$35 - $45 Per Hour,"EBC, LLC is a quality and evidence based clinic that provides treatment for children, adolescents, and adults. You can see more at www.EvidenceBasedConsultation.com
We currently are looking for a part time/full time/contract Mental Health Counselors available; this could also be a resident or other similar licensed clinicians. We are located in Ashburn VA but provide remote work as well. You are required to be able to come to Ashburn one or two evenings per week. From 3-7 minimum. The rest is flexible.
Job Responsibilities:
This position provides flexible schedule with the exception of needing someone who can dedicate at least one evening hours. You will start your case load with a few and will add to it soon as we usually have a waiting list.",-1,"EBC, LLC","Ashburn, VA",-1,-1,-1,-1,-1,-1
9,Counselor - Addiction - Substance Abuse Treatment,Employer Provided Salary:$40K - $60K,"Substance Abuse Treatment Counselor
Are you an Addictions Counselor who is passionate about helping patients who suffer from Substance Abuse? Do you have experience working in Behavioral Health / Psych / Detox?
Join an experienced, supportive staff who are passionate about helping individuals in recovery find long-term success!
The counselor is a member of a multidisciplinary treatment team, and provides therapeutic services including individual counseling, group counseling, case management, and assessments in a local Correctional Facility. Supervision provided!!
RESPONSIBILITIES:",5.0,"Remedy Recruitment, LLC
5.0","Belleville, NJ",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
