,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Associate Chiropractor or PARTNERSHIP,Employer Provided Salary:$61K - $113K,"Who We Are:
Northern Lights Chiropractic is a family run and owned 40 year business. Dr. Larry Silverstein and Dr. Becky Keshmiri are leaders in their community and leaders in the Tony Robbins environment for the past 6 years. We have help thousands of people globally and love supporting people’s growth. If you desire to strengthen your skill sets, become a better doctor and grow as a person, this is the place for you. If you already have worked on your personal standards and have developed your skill sets you will love working within our well established and organized office. Our mission is to restore nerve function, increase range of motion, and slow and stop degeneration for people to have a more comfortable and health life. To fulfill this mission, we are looking for an addition to our amazing and skillful team. The access to our unique care and hand-on approaches is like no other.",-1,NORTHERN LIGHTS CHIROPRACTIC,"Watertown, NY",1 to 50 Employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
1,Chiropractor,-1,"The Opportunity:
We are hiring and hiring for our clinics in Tucson, Phoenix, Glendale, Mesa, Marana, Maricopa and Flagstaff!! Apply today to talk with a member of our team!
Base Salaries starting at $85k with increased options for experienced chiropractors
Medical/Dental/Vision
401k w/company match
PTO accrual & all major holidays recognized
Company paid malpractice insurance
Select Locations offer benefits, Sign on Bonus and Student Loan Repayment Assistance!!",-1,The Joint Chiropractic,Arizona,-1,-1,-1,-1,-1,-1
2,Chiropractor,Employer Provided Salary:$75K - $85K,"Join MCR Chiropractic in the Boston Area and be a part of a team of chiropractors that have provided exceptional patient care and have had an unmatched provider experience for over 30 years. Our multiple clinics in the Greater Boston Area means you are part of a collaborative group of like-minded chiropractors helping each other deliver great care, and together will help you grow as a clinician and a leader in your community. MCR Chiropractic is truly committed to the growth of our chiropractors and the profession as a whole.
Our clinics are multidisciplinary and work alongside physical therapists providing the most comprehensive care for our patients, and create a unique collaborative care model for our chiropractic providers.
Job Type: Full-time
Pay: $75,000.00 - $85,000.00 per year",2.1,"MCR Chiropractic
2.1","South Boston, MA",1 to 50 Employees,1990,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD)
3,Chiropractor,-1,"Stoughton

MCR Chiropractic has a great multi-disciplinary opportunity in the Stoughton, MA area! Be part of a team that has provided the best in chiropractic and physical therapy care in the Boston area. Enjoy strong support and teamwork providing the great standard of patient care MCR Chiropractic is known for across Massachusetts. Salary, Bonus, PTO, Health and Malpractice Insurance, 401k, Cont. Ed stipend are all part of your benefits.
Join MCR Chiropractic and enjoy the benefits of peer interaction with our 20+ other DC's on staff across our 16+ locations. Experience strong operational support and growth from our leaders. We are committed to the best possible patient care and outcomes as well as growth of our chiropractors and the profession as a whole. We are not a franchise company, just a local company that strives hard to increase chiropractic exposure to our communities and provide a place for chiropractors to thrive.",-1,MCR Chiropractic,"Stoughton, MA",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
4,Chiropractor,-1,"Chiropractic Position Available in Central Massachusetts
We are growing chiropractic wellness in our community!
We have the opportunity for a Doctor of Chiropractic at our central Massachusetts practice. We have a great support team, so you can focus on patient care – not marketing or worrying about overhead and staff management. Our patients range from infants to the young at heart, with many families, athletes, and weekend warriors. If you are seeking an opportunity to work with a winning team of professionals, call us! The ideal candidate is outgoing, likes to have fun while working as a team, and seeks professional growth. We are conveniently located in south central Massachusetts, just a short drive to beach or mountains, with excellent sports, cultural, and education venues nearby. We offer salary and generous benefits including PTO, 401K, malpractice insurance, continuing ed and licensure stipends.",-1,Page Chiropractic Health Center,"Webster, MA",-1,-1,-1,-1,-1,-1
5,Associate Chiropractor,Employer Provided Salary:$45K - $111K,"Southeastern Healthcare is the premier chiropractic group in the Wilmington, N.C. area with 6 locations that provide complete chiropractic care. Each location also offers massage, a variety of therapy options and spinal decompression/traction to better serve our patient’s needs. We treat injury & non-injury patients ranging from auto accidents, work related accidents, back & neck pain to headaches and joint pain.
We are currently seeking energetic & enthusiastic chiropractic associates to join our organization. We provide you the tools to be successful such as advertising, an experienced staff, our excellent reputation and an exciting and enjoyable environment to work.
You will manage the office and the staff as the chiropractor for your location. Our employment package includes a very competitive salary with monthly bonus opportunities. It also includes health benefits, malpractice Insurance and continuing education hours/seminars.",-1,Southeastern Healthcare,North Carolina,-1,-1,-1,-1,-1,-1
6,Associate Chiropractor,Employer Provided Salary:$70 Per Hour,"Unique opportunity for a Chiropractor to join a growing healthcare company. Work on patients with acute musculoskeletal and orthopedic injuries. PRN to start, but high potential to grow into a full-time position. Very flexible schedule, the ability to work independently with you patients at you convenience, and a competitive starting rate.
- New grads welcome
- Strong manual skills
- Good bedside manner
- Organized
- Team Player",-1,Onsite Health Management LLC,Colorado,-1,-1,-1,-1,-1,-1
7,Chiropractor,Employer Provided Salary:$75K - $85K,"Licensed NJ Chiropractor to work in a 15 year established integrated clinic. Clinic director potential with % profit. Excellent manual adjusting skills, leadership qualities, team player, great communicator, and passionate about helping people, comfortable with computers for EMR. Must have the ability to see 40-50 patients per day.
About Advanced Wellness
We are in integrated practice with a team of MD's, Ortho surgeons, Chiropractors, Physical Therapists, Acupuncturists and Nutritionists. We pride ourselves in the collaboration of our clinical expertise.
Office Culture
Our core values are team work, work ethic, kindness, compassion and legendary service. We believe that a strong work culture makes for happy employees and happy patients. A healthy work environment is important to us.",-1,Advanced Wellness,"Marlboro, NJ",1 to 50 Employees,-1,Subsidiary or Business Segment,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
8,Chiropractor,Employer Provided Salary:$50K,"Associate Chiropractic Physician
IMMEDIATE OPENING $50,000/YR STARTING
No field experience is required! We want to train you on everything you need to be successful at our practice. Begin your paid training at $50,000/year, 4 days/week with paid health insurance and opportunities for performance incentives.
You will never be required to do any outside marketing events like mall screenings, etc. . Our well-established, staff-driven office invests our time in patient care and education resulting in patients referring other patients to our practice.
Whether you are an established doctor looking for a fresh start OR a new doctor looking to get off on the right foot... I would love to talk to you and answer any questions you may have.",-1,Crabtree Chiropractic Center P.A.,"Raleigh, NC",-1,-1,-1,-1,-1,-1
9,Chiropractor,Employer Provided Salary:$150K,"The beauty of the New Hampshire is calling your name. We are expanding and would love to have you apply for a Chiropractic Associate opportunity!
We are a riveting, energetic, thriving practice looking for the right candidate that will be actively working with patients. You will find yourself immediately immersed in expected daily tasks, and not just a glorified new patient marketer. We are an evidenced based practice, using diversified, and various soft tissue methods. You will be also be expected to work with an in house exercise therapist/personal trainer to delegate the ideal corrective exercise routines for patients.
We are located in Lebanon, New Hampshire. An ideal place to live thanks to our beautiful 4-season climate, lakes, oceans and mountains-all calling your name, (premier skiing destinations' are only 45 minutes away!), with the bonus of Dartmouth Hitchcock Hospital, one of the top hospitals in the nation, and top employer in the area, right in our back yard.",-1,Alignwell Chiropractic & Movement,"Lebanon, NH",-1,-1,-1,-1,-1,-1
