,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Compliance Officer,Employer Provided Salary:$85K,"Regulatory & Compliance Officer
Objective: The Regulatory & Compliance Officer is responsible for assuring compliance with all food safety & regulatory matters, also for supporting the Director ofQuality and Food Safety in developing, implementing and enforcing Food Safety Programs for Mi Rancho (including SQF program), oversees the plant SQF program to ensure certification is maintained. Prepare and assist in annual SQF audits. Conduct annual re-assessment of SQF Manual and all supporting information including validations of all work instructions. Maintain and assist in all updates to the current processes and work Instructions. Oversee the accuracy of the documents produced from the program.
I. Minimum Required Qualifications:
1. Bachelor’s degree in Food Science or equivalent field of study or 5 + years of work experience in QA.",-1,Berber Food Mfg dba Mi Rancho,"Elk Grove, CA",-1,-1,-1,-1,-1,-1
1,Compliance Officer,Employer Provided Salary:$95K,"Qualifications
Master’s degree in Accounting or business-related field, or a Certified Public Accountant.
Prior experience in contract compliance in a nonprofit organization.
Must have Head Start/Early Head Start direct accounting and financial reporting experience.
Minimum 5 years’ proven experience in program accounting in a nonprofit setting.
Minimum 5 years’ proven experience in a compliance officer role or supervisory experience.
Excellent written and oral communication and organizational skills.",3.8,"Mexican American Opportunity Foundation
3.8","Montebello, CA",501 to 1000 Employees,1963,Nonprofit Organization,Grantmaking Foundations,Non-Profit,$50 to $100 million (USD)
2,Medicare Compliance Officer,-1,"MEDICARE COMPLIANCE OFFICER
BASIC FUNCTION
The Medicare Compliance Officer is responsible for general oversight of all activities related to the Medicare lines of business at Farm Bureau Health Plans. The Medicare Compliance Officer is responsible for developing, implementing and monitoring the Medicare Compliance Program to ensure compliance with all applicable rules and regulations relating to the Company's Medicare operations. The Medicare Compliance Officer will ensure auditing and monitoring activities are performed to satisfactory standards of quality in a timely fashion. With strong organizational skills, the Medicare Compliance Officer assists the Vice President of Compliance in achieving goals and objectives; identifies and resolves a variety of regulatory issues; and is responsible for the development, implementation, and oversight of the auditing and monitoring processes.",-1,Farm Bureau Health Plans,"Columbia, TN",-1,-1,-1,-1,-1,-1
3,Internal Compliance Officer- Z Casino,Employer Provided Salary:$72K - $85K,"The ICO focuses on all compliance issues related to both “gaming” and “non-gaming” topics occurring onsite. The ICO is responsible for the oversight of compliance activities in accordance with Federal, State and Local regulations including the Bank Secrecy Act (BSA), SMC Anti-Money Laundering (AML) program, the USA Patriot Act (Patriot Act), CO Gaming ACT, CO ICMPs and related requirements.
This hands-on role is responsible for implementing and monitoring compliance programs that are in line with current industry best practices, regulatory guidance and requirements. Reporting to the General Manager and Senior Vice President of Compliance, this role will be responsible for ensuring accurate and timely filing of regulatory reports (e.g., ICO audits, Currency Transaction Reports, Suspicious Activity Reports, and other required reports as deemed necessary). It will also be responsible for ensuring transaction monitoring is implemented for the purpose of identifying unusual activity including any patterns and trends.",4.0,"Z Casino
4.0","Black Hawk, CO",501 to 1000 Employees,-1,,-1,-1,Unknown / Non-Applicable
4,Chief Compliance Officer,Employer Provided Salary:$90K,"Looking to join a fast-paced, rapidly growing company? HomeFree Pharmacy Services is seeking a dynamic individual to join our team as the Chief Compliance Officer. This position is responsible for designing, implementing, and monitoring the processes by which the company will comply with all applicable laws and regulations for Home Free Pharmacy Services.
Position Overview
Oversight of Home Free Pharmacy Services compliance program through the annual compliance work including annual audits, internal monitoring, auditing of activities within the company, data collection and mock surveys as necessary.
Provide compliance updates and information to the management team by researching and analyzing data and prepare required regulatory reports.
Create and implement the compliance function with an effective and integrated compliance program to prevent illegal, unethical, or improper conduct.",-1,HomeFree Pharmacy Services,"Louisville, KY",,-1,Company - Public,-1,-1,Unknown / Non-Applicable
5,Chief Compliance Officer,-1,"Chief Compliance Officer needed for Scottsdale Firm.
The CCO is responsible for establishing standards and implementing procedures to ensure that the compliance programs throughout the organization are effective and efficient in identifying, preventing, detecting and correcting noncompliance with applicable laws and regulations. The CCO provides reasonable assurance to senior management and the Board that there are effective and efficient policies and procedures in place, well understood and respected by all employees, and that the company is complying with all regulatory requirements.
Responsibilities:
Develop and manage annual broker-dealer testing program to ensure full compliance with all relevant rules and regulations.",-1,SCA,"Orlando, FL",-1,-1,-1,-1,-1,-1
6,Chief Compliance Officer or Compliance Manager,Employer Provided Salary:$90K - $135K,"Chief Compliance Officer or Compliance Manager – Moline, IL
Who We Are
The Planning Center is a fee-only financial planning firm that provides a safe place for their clients to discuss what matters most to them and their family. Our goal is to help people make better decisions as they navigate life’s transitions and guide them toward the life they want. We have six locations within the U.S. and are continuing to expand our office and client footprint. As a mid-size privately owned company, we value diverse perspectives, entrepreneurial thinking, and above all, a commitment to always act in our client’s best interests.
Position Summary
The Planning Center is adding a management-level securities compliance professional to its team. Depending on the experience of the applicant, he/she could step directly into the role of Chief Compliance Officer (""CCO"") or could start as a Compliance Manager and progress into the role of CCO over the course of a few years.",-1,The Planning Center,"Moline, IL",-1,-1,-1,-1,-1,-1
7,VP Chief Compliance Officer,Employer Provided Salary:$50 - $60 Per Hour,"Role:
The VP Chief Compliance Officer will be an integral part of the Senior Management Team and responsible for the credit union's overall compliance, audit and vendor management programs. The VP Chief Compliance Officer will manage and implement the daily operations, compliance, audit and vendor management programs to ensure that the credit union is compliant with all applicable laws and regulations. The VP Chief Compliance Officer will be the liaison for all audits and regulatory examinations as well as be the internal resource for the Credit Union staff regarding all compliance related questions and issues. The VP Chief Compliance Officer will keep up to date on all relevant regulations and maintain the CU's Policies and Procedures to keep current with all changes.
Essential Functions & Responsibilities:",-1,Worcester Credit Union,"Worcester, MA",-1,-1,-1,-1,-1,-1
8,Vice President of Compliance,-1,"The VP of Compliance is an interdepartmental integral role that will assist the company with maintaining and ensuring compliance with Agency, Federal and State regulations companywide. This position reports to the Chief Risk Officer.
Job Duties:
Keep abreast of existing new and pending laws and regulations impacting the mortgage industry.
Communicate changes to all departments and monitor all departments to ensure compliance with State & Federal Agency requirements.
Assist in development of disclosures, policies, and procedures, regarding all federal and state regulations, and agency requirements, including but not limited to RESPA, ECOA, Fair Credit Reporting Act, Fair Housing Act, etc.",2.6,"InterContinental Capital Group
2.6",Remote,1001 to 5000 Employees,-1,Company - Private,Lending,Finance,Unknown / Non-Applicable
9,Compliance Officer | KYC AML,-1,"Summary
Our Firm's clientele is global by nature and complicated. As such, we require additional compliance professionals that have the appropriate experience and depth of knowledge of this global landscape.
The Compliance Officer will be part of the compliance team and will focus on all aspects of compliance, including Corporate, Consumer Protection and, most importantly, KYC/AML. The ideal candidate will have experience in compliance within the financial services industry. Candidates from Payments Firms, Money Services Businesses, and Traditional/Retail Banks will have the most suitable background.
Essential Functions.",-1,Eastern Point Trust Company,"Warrenton, VA",-1,-1,-1,-1,-1,-1
10,"SVP, General Counsel & Data Compliance Officer",-1,"Overview
Alliant is seeking an exceptional Senior Vice President, General Counsel and Data Compliance Officer. The successful candidate will be responsible for leading a team in managing a wide range of data and licensing agreements and advising the business on applicable data governance and regulatory matters. The successful candidate will have a proven background in managing data security, privacy, and digital and direct advertising law and will be a committed advocate for best practices in database marketing.
This is a career opportunity that offers extensive interaction with senior leadership in sales, finance, product development, analytics, data strategy, and technology.
Principal Responsibilities",-1,Alliant Cooperative Data Solutions,"Brewster, NY",-1,-1,-1,-1,-1,-1
11,Chief Compliance and Privacy Officer,-1,"Chief Privacy and Compliance Officer - Healthcare Division

About the Company:

City+Ventures is a premier development and investment company focused on building companies and communities. With Omaha roots but regional and national assets, City+Ventures owns and operates a wide array of businesses, including automotive dealerships; carwashes; a private jet management and charter company; real estate management; and construction-related businesses, in addition to holding a real estate portfolio. In August 2020, City+Ventures’ proven track record of reinvention and financial success earned it the No. 71 spot on the Inc. 5000 Company list.

Summary:

Supporting City Ventures’ healthcare division – headquartered in Omaha, NE, with national operations - the Chief Privacy and Compliance Officer will build, execute, and maintain compliance excellence for our healthcare businesses. This newly created position will be a key position within our executive team. This role is responsible for the development of a comprehensive enterprise privacy, compliance, and risk management program. This position may be remote for individuals willing to travel up to 30%.

This role is responsible for ensuring company compliance with all federal and local laws and regulations, especially those in the healthcare industry. This person will work closely on the executive team, to create internal policies that are clear and concise and ensure proper, effective communication and training of policies and regulations across all departments and employees. The incumbent will be expected to build the department and processes, audit, keep up with changes to laws and regulations that may affect the company, and proactively develop action plans to ensure compliance at all times.

With operations spanning the US, the Chief Compliance Officer will need to be aware of an array of state and local laws. The incumbent of this position should have the ability to keep pace with a rapidly expanding company in an ever-changing legislative landscape.


Why work for City Ventures?",5.0,"City + Ventures
5.0","Omaha, NE",201 to 500 Employees,2012,Unknown,Real Estate,Real Estate,$1 to $5 million (USD)
