,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Business Systems Analyst III,$62K - $105K (Glassdoor est.),"Overview:
This position delivers strategic insight into business systems through complex analysis, reporting, and operational activities. Serves as a technical expert on system usage and performance. Determines business requirements and implements appropriate specifications, monitoring for compliance and effectiveness. Assists in identifying and resolving process issues which may involve system testing or development. May oversee the work of less experienced analysts in the work group.
Responsibilities:
Data Analysis - Sources, compiles, and interprets data. Analyzes data for accuracy and efficiencies, effectively communicates analysis output.
Identifying Requirements - Determines system requirements and communicates them through the use of specifications, reports, project plans, or other forms of documentation. Identifies issues that affect system processes, and assists in correcting. Ensures compliance through testing and analysis.
Qualifications:",3.6,"First Citizens Bank
3.6","Raleigh, NC",5001 to 10000 Employees,1898,Company - Public,Banks & Credit Unions,Finance,$1 to $2 billion (USD)
1,Systems Engineer,Employer Provided Salary:$60K - $85K,"Bring your energy to New England Network Solutions (NENS), named to Inc. Magazine's Best Workplaces, where you will find a culture compelled to help other businesses find solutions. NENS serves the IT needs of small and medium-sized businesses in and around the Boston area.
Employees at NENS support each other as a team, but also have independence, accountability and the flexibility needed to advance their career. At NENS, we care about your future, so you thrive with individual goals to help you grow and team goals to help your peers grow. You have a “nobody left behind” mentality in support of one another to build a collaborative environment of knowledge sharing, accountability, and giveback. At NENS, we are keen on finding individuals who reject the concept of mediocrity and are constantly challenging themselves and their peers to do better.
What You’ll Do:",4.6,"New England Network Solutions
4.6","Lowell, MA",1 to 50 Employees,-1,Company - Private,IT Services,Information Technology,$1 to $5 million (USD)
2,NASA Visual Systems Engineer,Employer Provided Salary:$160K - $180K,"Flight Research Associates, Inc.
Flight Research Associates, Inc. (FRA) is seeking an individual to join our team. FRA is a veteran-owned small business, specializing in advanced aviation research, development, engineering, test, evaluation, and simulation, and we are looking for a Visual Systems Engineer (Senior Systems Engineer) to support FRA work to NASA Ames Research Center. This position requires an individual with system design of visual and voice communication experience and the ability to coordinate and execute multiple tasks, develop, optimize, and test the system design.
Job Description and Responsibilities:
The Visual Systems Engineer‘s responsibilities include support, integration, adaptation and system design of visual and voice communication system hardware and electronics at the NASA Ames Research Center, flight simulation and research laboratories (collectively known as “SimLab”). SimLab facilities include the Vertical Motion Simulator (VMS), the Crew Vehicle Simulation Research Facility (CVSRF) and Future Flight Central (FFC). Each facility employs a diverse suite of visual and voice communication technologies to affect real-time, human in the loop, aircraft, spacecraft, air traffic and management simulations.",-1,"Flight Research Associates, Inc.","Mountain View, CA",-1,-1,-1,-1,-1,-1
3,Systems Engineer,Employer Provided Salary:$27 - $47 Per Hour,"A Partner in Technology is Maine's IT services & consulting firm that provides personalized, professional technology solutions and computer & network Security services to Maine businesses. Fast paced work environment with attention to details and ability to multi-task with emphasis on customer satisfaction.
This Systems Engineer must possess the following skills and requirements:
1. Five or more years supporting and managing Windows Servers, workstations, printers, switches routers and firewalls.
2. Excellent trouble-shooting skills
3. Attention to details and documentation using Remote Monitoring Management systems (RMM) tools and other support systems",-1,A Partner in Technology,Maine,-1,-1,-1,-1,-1,-1
4,Systems Analyst,-1,"This position will be a part of the Technology Team. The position will be responsible for working with the Software Development Team, Clinical Team and Business Team to continue to build and improve technology systems. This position will have a strong focus on systems that support the Company’s patented process. Travel to the various facilities to observe, train and deploy systems that are tailored to the business’ need will be required. When opening new locations, this position will be involved in proper systems implementation throughout that process.
This position will also be responsible for carrying out development duties as a defined by the Software Development Team.
Job Duties:
Test systems",-1,Confidential,"Palm Desert, CA",-1,-1,-1,-1,-1,-1
5,Systems Engineer,Employer Provided Salary:$28 - $61 Per Hour,"DTIS LLC is a small engineering services company supporting government agencies in the Washington metropolitan area. DTIS prides itself on the reputation of getting stuff done and is looking for a Systems Engineer in the Washington DC or Pomona, NJ area to be part of our growing family.
DTIS currently is seeking to fill a position in support of the Federal Aviation Administration (FAA)’s for an analytical engineer with NAS operations experience. As part of the Radar Divestiture program, the candidate will be expected to learn specific system analysis tools, perform detailed operational evaluations, provide recommendations for surveillance changes, as well as communicate with multiple stakeholders, including explanation of technical data to non-technical personnel.
The ideal candidate is action oriented, detailed, organized, and independent, with a good balance between being analytical and being an achiever. This position is part of a diverse team made up of various government organizations and contractors supporting this complex system.",5.0,"DTIS LLC
5.0","Washington, DC",1 to 50 Employees,-1,Company - Private,-1,-1,$1 to $5 million (USD)
6,Business Systems Analyst II,$61K - $96K (Glassdoor est.),"Zurich is currently looking for a Business Systems Analyst to work out of our North American headquarters in Schaumburg, IL supporting a portfolio of commercial and underwriting insurance applications as part of the Core Platforms Modernization team within Information Technology Services.

This individual will work with the team to translate policy administration business requirements into technical specifications for application updates related to projects, enhancements and compliance needs while working in an Agile environment supporting the design, construction and implementation of these updates to the applications. The ideal candidate will be an individual that is an energetic and a skilled professional requiring minimal supervision, can lead others, and will serve as the liaison between the Business and IT.

The BSA will also have the ability to work with the business and technical resources to address business information and the application needs.",4.0,"Zurich Insurance
4.0","Schaumburg, IL",10000+ Employees,1872,Company - Public,IT Services,Information Technology,$10+ billion (USD)
7,Sr. Systems Analyst,$61K - $117K (Glassdoor est.),"*Pay and company details to be discussed during the interview process and based on experience.
______________________________________________________________________________
Job Description
Position Title: Sr. Systems Analyst, Customer Technology Solutions
Job Type: Full Time
Location: Atlanta, GA
Overview :
As a Sr. Systems Analyst on the Customer Technology Solutions team, you will join the team responsible for our delivery program and related technology and business processes. We are focused on providing a first-class delivery experience for our customers through the creation of technical solutions and seamless integrations to support our restaurant Operators and team members in execution of Delivery.",-1,Confidential,"Atlanta, GA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
8,Business Systems Analyst - Healthcare experience with HIPPA transaction,Employer Provided Salary:$60 - $65 Per Hour,"Only GC-EAD, GC and USC On C2C/W2/1099
Job Summary:
This position is responsible for analyzing, understanding and translating business needs into business/technical requirements. Leads and coordinates teams of other resources to ensure alignment of technical solutions with business requirements for medium to complex issues (quantity and magnitude).
Must Have Experience
Technical knowledge of APIs/Webservices
Being more familiar with X12 format/structure
Data mapping, debugging issues via process logs, etc.",-1,V-ENVISAGE SOLUTIONS INC,Remote,-1,-1,-1,-1,-1,-1
9,Systems Engineer (Boston),Employer Provided Salary:$80K - $115K,"About the role
What's an average day like?
The client you'll work with is a Life Sciences focused Venture Capital firm. This client is very friendly and enjoyable to work with. Pliancy prides itself on working with clients who respect our team and expertise. You're treated as one of their own, not as an outside individual. You'll get to collaborate with teammates to solve interesting, important challenges, all of whom have a passion for technology and helping people. If you love innovating, building relationships, and socializing with fellow team members, you'll love our culture.
A typical week is a mix of four-hour and eight-hour scheduled site visits consulting with your primary clients, researching solutions, implementing projects, using technology to improve process and workflows, improving documentation, training users, and responding to ad-hoc requests. You'll also enjoy catered lunches onsite or meet up with teammates nearby for meals and coffee. When not scheduled at your clients' sites, you may drop in at the local office to collaborate with a coworker on pending issues. The remainder of the time is spent with the team on internal solutions, special projects, ticket escalations, and learning new technologies.",4.6,"Pliancy
4.6","Boston, MA",1 to 50 Employees,2008,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
