,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Data Scientist,Employer Provided Salary:$150K,"We are adding a Data Scientist to our growing team!

ABOUT AMERICAN CAPITAL GROUP
American Capital Group is a fully-integrated real estate development company. Over the last 33 years, our company has developed and built more than 80 multifamily properties across twelve states. We remain an industry leader because we know and manage internally Engineering and Design, Acquisition, Development, Construction, Property Management, and Asset Management. We strongly value teamwork, integrity, transparency and producing the highest quality of product for our investors and customers.",4.3,"American Capital Group
4.3","Bellevue, WA",51 to 200 Employees,1986,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable
1,Federal - Data Scientist,$76K - $133K (Glassdoor est.),"Organization: Accenture Federal Services
Locations: Washington, DC

We are:
Accenture Federal Services, helping our federal clients tackle their toughest challenges while unleashing their fullest potential…and then some. What makes our approach so unique Operating from the nation’s capital, we bring together commercial innovation and leading-edge technologies to deliver an integrated and interactive experience that far exceeds expectations. How Our passion meets purpose! Through our diverse culture and inclusive thinking, we embrace our employees' ideas taking them from concept to practical solutions. Not to mention, we sleep well at night knowing our work directly impacts and improves the way the world works. We keep our tech smarts sharp by providing abundant training and certification opportunities. Are you ready to learn and grow in a career, while making a difference

You are:
A lover of patterns. Perhaps you grew up putting together 1,000-piece puzzles, finding that tiny detail that gave away the perfect placement. You're on your A-game with the latest tools and methods, from statistics to machine learning. While others were struggling through stats, you were living your best life. You lead the charge to work with business stakeholders to understand their goals and determine how data can be used. What sets you apart Unlike the rest, you see and apply your work through a human lens. You live to take any data mess from drab to fab and transform it into a story that the average Joe and Jane can understand.
.

The work:",4.1,"Accenture
4.1","Arlington, VA",10000+ Employees,1989,Company - Public,Consulting,Business Services,$10+ billion (USD)
2,Data Scientist,$62K - $117K (Glassdoor est.),"What you’ll do:
Drive product decisions using data, working closely with the product team
Teach the product team how to access, use, and make decisions based on data
Design core metrics to serve as guidance for product team
Communicate on high-level goals to stakeholders in the executive team
Mine data for insights
Analyze experiments using statistical rigor to ensure confidence
Propose experiments using insights
Define data structures for maximum effectiveness",3.3,"RELX
3.3","Raleigh, NC",1001 to 5000 Employees,1968,Subsidiary or Business Segment,Advertising & Marketing,Business Services,$1 to $2 billion (USD)
3,Senior Data Scientist,Employer Provided Salary:$50 - $90 Per Hour,"MetLife Legal Plans is the leading consumer legal service in the United States, providing the best legal services for working families. Through our network of over 17,000 attorneys, members of our legal insurance plans can resolve legal matters that range from buying a new home to adopting a child. You can learn more at legalplans.com.
Whether you are making a will after starting a family, negotiating the contract on your dream home, or just want the peace of mind of having our attorneys on your side, we make it easy and affordable to get quality legal help.
About the role
At MetLife Legal Plans, we build technology that makes it easy to solve legal problems. With millions of customers, we rely on data-driven decision making to improve our business. We are looking for a senior data scientist to join our team and help us organize and analyze all of our data.",-1,MetLife Legal Plans,Remote,-1,-1,-1,-1,-1,-1
4,Senior Data Scientist,Employer Provided Salary:$130K - $140K,"Sasaki Evolutionary Integration Services (SEIS) is an SBA 8(a), Service-Disabled Veteran-Owned Small Business (SDVOSB). We have been serving Government, Department of Defense, and Commercial customers since 2009. Our primary focus is Business Process Re-engineering, Decision Modeling and Reporting, Program Management, and Solution Designing.
Our mission is to help our customers and partners succeed by fostering strong relationships and demonstrating unwavering commitment. By continuously building upon our knowledge and experiences, we will provide top quality, value-added products and services for Project Management, Business Proposal Support, Systems Integration, Data Analysis, Quality Management, and Information Technology Infrastructure in a diverse environment.
We are seeking an experienced Senior Data Analyst to provide continued development and maintenance of deliverables for AT&T’s FirstNet contract.",-1,"Sasaki Evolutionary Integration Services (SEIS), LLC","Oakton, VA",-1,-1,-1,-1,-1,-1
5,Sr Data Scientist,Employer Provided Salary:$115K - $193K,"Type of Requisition:
Pipeline
Clearance Level Must Currently Possess:
Secret
Clearance Level Must Be Able to Obtain:
Secret
Suitability:
No Suitability Required
None
Data Science
The likely salary range for this position is $115,329 - $192,600, this is not, however, a guarantee of compensation or salary; rather, salary will be set based on experience, geographic location and possibly contractual requirements and could fall outside of this range.
40
10-25%
Telecommuting 100%
USA DC Washington
Any Location / Remote
Our benefits package for all US-based employees includes a variety of medical plan options, some with Health Savings Accounts, dental plan options, a vision plan, and a 401(k) plan offering the ability to contribute both pre and post-tax dollars up to the IRS annual limits and receive a company match. To encourage work/life balance, GDIT offers employees full flex work weeks where possible and a variety of paid time off plans, including vacation, sick and personal time, holidays, paid parental, military, bereavement and jury duty leave. To ensure our employees are able to protect their income, other offerings such as short and long-term disability benefits, life, accidental death and dismemberment, personal accident, critical illness and business travel and accident insurance are provided or available. We regularly review our Total Rewards package to ensure our offerings are competitive and reflect what our employees have told us they value most.
This position requires being fully vaccinated against COVID-19 by January 18, 2022 or the start date, if after January 18. Individuals who work in or reside in Texas or Montana or work outside of the United States may be excluded from this requirement. We are GDIT. The people supporting some of the most complex government, defense, and intelligence projects across the country. We deliver. Bringing the expertise needed to understand and advance critical missions. We transform. Shifting the ways clients invest in, integrate, and innovate technology solutions. We ensure today is safe and tomorrow is smarter. We are there. On the ground, beside our clients, in the lab, and everywhere in between. Offering the technology transformations, strategy, and mission services needed to get the job done.GDIT is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status, or any other protected class.",3.8,"General Dynamics
3.8","Washington, DC",10000+ Employees,1996,Subsidiary or Business Segment,IT Services,Information Technology,$2 to $5 billion (USD)
6,Data Scientist,Employer Provided Salary:$83K - $118K,"Data Scientist
The Clock Foundation seeks a highly motivated individual to join our dynamic team developing epigenetic aging clocks applying them to our mission of speeding the availability of treatments that prolong health and life expectancy.
Essential
A PhD (or equivalent experience) in a relevant scientific subject including but not limited to bioinformatics, biostatistics, or computational biology, with research experience in academia or industry
Proficiency with R for statistical programming
Proven ability to deliver high quality novel research in bioinformatics, biostatistics, or computational biology, for example through journal publications",-1,Clock Foundation,"Torrance, CA",-1,-1,-1,-1,-1,-1
7,Predictive Modeler,Employer Provided Salary:$75K - $125K,"Predictive Modeler
Lancer Insurance Company, Inc. – Long Beach, NY
Lancer Insurance Company is looking for a talented and motivated predictive modeler to work with a data architect and/or data scientist to develop predictive models to provide modeling solutions that meet organizational needs and to perform in-depth analysis to guide and support strategic business decisions. The right candidate will be a successful communicator and self-starter with strong analytical skills who exhibits creativity, hustle, integrity, and teamwork.
Duties and Responsibilities:
· Identify areas where data can be used to improve business activities, defining business users’ requirements. Make recommendations for the usage of data in business and communicate the benefits and return on investment for application and product owners.",3.4,"Lancer Insurance Company
3.4",Remote,201 to 500 Employees,1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD)
8,Data Scientist,Employer Provided Salary:$35 - $75 Per Hour,"MetLife Legal Plans is the leading consumer legal service in the United States, providing the best legal services for working families. Through our network of over 17,000 attorneys, members of our legal insurance plans can resolve legal matters that range from buying a new home to adopting a child. You can learn more at legalplans.com.
Whether you are making a will after starting a family, negotiating the contract on your dream home, or just want the peace of mind of having our attorneys on your side, we make it easy and affordable to get quality legal help.
About the role
At MetLife Legal Plans, we build technology that makes it easy to solve legal problems. With millions of customers, we rely on data-driven decision making to improve our business. We are looking for a data scientist to join our team and help us organize and analyze all of our data.",-1,MetLife Legal Plans,Remote,-1,-1,-1,-1,-1,-1
9,Sr. Data Scientist,-1,"Are you interested in working for a company that’s been recognized as one of ‘America’s Best Employers’?
Mercury Insurance is currently seeking a Sr. Data Scientist to join our team!
Mercury was recently named one of ‘America’s Best Employers’ by Forbes magazine for the third consecutive year. We have also been recognized seven times by Forbes as one of “America’s Most Trustworthy Companies.” At Mercury, people come first. We offer bonus potential, excellent benefits, matching 401(k), employee activities, and many more perks.
Overview of Benefits:
Choosing a career at Mercury Insurance has a number of great advantages including:",3.6,"Mercury Insurance Group
3.6",Remote,1001 to 5000 Employees,1961,Company - Public,Insurance Carriers,Insurance,$2 to $5 billion (USD)
10,Associate Data Scientist,$69K - $112K (Glassdoor est.),"Job Description
Everyone at Kite is grounded by one common goal – curing cancer. Every single day, we seek to establish a direct line between that purpose and our day-to-day work. Would you like to join us in this mission?
We are seeking a highly motivated Associate Data Scientist to join our Data Strategy and Analytics team within Global Supply Chain . This position will focus on broad data exploration, quantitative methodology and statistical modeling to enhance our supply chain responsiveness, agility and optimization . We are a product-minded team who blends elements of UX design, Product Strategy and Data Mining to build user-centric tools that bring insights into the evolving complexities of our supply chain. The successful candidate will thrive in a fast-pace environment, has strong communications and consulting skills and loves problem solving using data.",-1,Kite Pharma,"Santa Monica, CA",1001 to 5000 Employees,2008,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD)
11,Principal Data Scientist,$79K - $151K (Glassdoor est.),"What We're Looking For:
The Data Scientist IV will lead advanced analytical research, development, and implementation. This is a highly quantitative role that requires elite analytical aptitude, strong programming skills, and intellectual curiosity. We are looking for someone who has a history of using data science to solve business problems, has extensive experience running experiments at scale in enterprise settings, is comfortable training and evaluating machine learning models in production, and has a proven ability to be a technical leader.
Responsibilities Include, But Are Not Limited To:
Design and execute business and technical processes needed for experimentation to support an array of business problems from marketing to survey analytics, including experiment ideation, experimental design, monitoring, data analysis, code review, and communication of results",3.9,"2U
3.9","Brooklyn, NY",1001 to 5000 Employees,2008,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
12,Senior Data Scientist,Employer Provided Salary:$120K - $145K,"Role Description
The AI group at Cambridge Consultants develops innovative new technology at the exciting intersection of Machine Learning, High-Performance Computing, and world leading product development. We work on projects ranging from small, fast-paced studies to large multidisciplinary developments of 50+ engineers. Cambridge Consultants pushes the cutting edge of experimental AI research in Digital Greenhouse, our own in-house research laboratory. We combine our research output with engineering rigor to create innovative and robust AI solutions to solve complex problems presented to us by our clients and create deep-learning systems that interact with humans in real time.
What we can offer
As a Senior Principal Engineer you will be involved in every stage of our technology development life-cycle, from developing proof-of-concept demonstrations for initial sales leads, to designing, implementing and testing innovative new products. You will bring your strong team leadership and collaborative skills to bear by taking significant responsibility for technical delivery, on projects ranging from small developments involving 2-5 engineers to large-scale multidisciplinary programs. In addition to day-to-day project work, you’ll also play a part in creating the Cambridge Consultants of tomorrow, contributing to new IP generation, influencing the direction or our AI research and developing our capabilities in up-and-coming new technologies and techniques.",-1,Cambridge Consultants Inc,"Boston, MA",-1,-1,-1,-1,-1,-1
13,Senior Data Scientist,Employer Provided Salary:$90K - $110K,"Who we are?
Tricolor Holdings is an integrated retail and financial services company providing vehicle sales and financing to the Hispanic community in Texas, California, New Mexico, Arizona and Nevada. The Company is focused on providing the best customer experience across our retail and financing operations through mission-driven fulfillment of our desire to improve the lives of our customers and our employees.
The Role
The Senior Data Scientist will be responsible for building, deploying, and maintaining/monitoring predictive models across all areas of Tricolor from our proprietary AI risk score to our advanced marketing offer optimization engine. Responsible for the implementation of models into production in collaboration with IT.",3.3,"Tricolor Auto Group
3.3","Irving, TX",501 to 1000 Employees,2007,Company - Private,Vehicle Dealers,Retail,Unknown / Non-Applicable
14,Data Scientist,$66K - $112K (Glassdoor est.),"Job Description
The Translational Data Analytics Institute at Ohio State is seeking a full-time data scientist to join our team. The TDAI Data Scientist is a new position that will assume primary responsibility for establishing and leading TDAI's Data Science Services and TDAI's Data Literacy Program.

Data Science Services: The Data Scientist will support academic research across the university by designing and implementing practical solutions to data science challenges. This position will be responsible for standing-up TDAI's data science services and leading a team of post-doctoral/graduate student data fellows to work on diverse, collaborative research projects, providing data science consultation and services/support for the OSU research community. The Data Scientist will be expected to partner with others on the TDAI team in business development and proposal writing activities.

Data Literacy Program: The Data Scientist will be responsible for establishing and leading TDAI's program in data literacy by leveraging other current trainings across campus and by developing new workshops and trainings to address unmet needs of internal and external clients. The Data Scientist will be expected to develop workshop materials and teach students, staff and faculty in data science methods and technologies.


Doctorate


Required:
PhD in Data Science, Statistics, Computer Science, Mathematics, Engineering or other data analysis-intensive discipline
Technical & Teaching Skills
Complex dataset management and data integration
Experience solving real-world problems by applying statistical modeling and machine learning methods on complex data sets
Expertise in programming languages (e.g., C, R, or Python) and software development
Experience with mixed effect models, time series analysis, data visualization, text mining or language processing
Experience developing materials for and conducting trainings/workshops on topics, methods and/or technologies relevant to data science and analytics
Leadership & Management Skills
Experience working in and leading interdisciplinary teams to solve data-driven problems
Ability to organize, manage, prioritize and work on multiple projects
Experience supervising post-doctoral fellows and/or graduate students








Regular 40 First Shift",4.2,"The Ohio State University
4.2","Columbus, OH",10000+ Employees,1870,College / University,Colleges & Universities,Education,$5 to $10 billion (USD)
15,Data Scientist,Employer Provided Salary:$33 - $80 Per Hour,"Glass, Lewis & Co. is a leading investment research and global proxy advisory and voting services firm, serving institutions that collectively manage more than $25 trillion. Glass Lewis helps institutional investors make more informed investment and proxy voting decisions by identifying business, legal, governance and financial statement risk at more than 20,000 companies worldwide. Founded in 2003, Glass Lewis is headquartered in San Francisco with offices in New York, Washington, D.C., Kansas City, Australia, Germany, U.K., Ireland.
Position Description
Glass Lewis provides independent global governance solutions. We enable institutional investors and publicly listed companies to make sustainable governance decisions based in research and data. Our customers include many of the world’s largest pension plans, mutual funds, and asset managers who collectively manage over $40 trillion in assets.",3.9,"Glass Lewis
3.9",Florida,51 to 200 Employees,2003,Company - Private,Investment Banking & Asset Management,Finance,$10 to $25 million (USD)
16,DATA SCIENTIST - 6388,$65K - $110K (Glassdoor est.),"Data Scientist
(H1B are acceptable)
Location- Plano Texas
(Locals are preferred)
2-5 years of experience
PHD/Masters required
highly enthusiastic in uncovering actionable insights from data and conveying these insights to business as stories that stick.
MS or PhD in Mathematics, Computer Science, Applied Computers, Engineering, or Economics (required).
You have 2+ years of experience in Big Data environment specifically Hive/Spark where you have deployed reliable models that scale smoothly on high-volume (1TB+) & high-dimensionality (500+ variables per schema) data.
Solid sql and python",3.4,"Yoh, A Day & Zimmermann Company
3.4","Plano, TX",1001 to 5000 Employees,1940,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
17,Data Scientist,Employer Provided Salary:$65K,"Opanga Networks is seeking a talented Data Scientist with the right aptitude and attitude to join our team. Opanga is a growing company on the cutting edge of wireless network management technologies. Our team creates a variety of products based on our core network optimization technology. We are looking for a Data Scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality reports and dashboards integrated with our products. Duties and Responsibilities:
Collaborate with product management and engineering departments to understand company needs and devise possible solutions
Data mining using state-of-the-art methods
Enhancing data collection procedures to include information that is relevant for building analytic systems",-1,Opanga Networks,"Seattle, WA",-1,-1,-1,-1,-1,-1
18,DATA SCIENTIST,Employer Provided Salary:$80K - $90K,"SUMMARY
Geometric Results Inc is seeking a Data Scientist WITH VMS experience to support the Global Data & Analytics development team by capturing requirements and completing testing of analytical applications and a custom build web portal. The Data Scientist will elicit and define user requirements, as well as validate development through manual and/or automated functional, technical, and/or performance testing. Further, the Data Scientist will develop and maintain project documentation, and create and update software testing documentation such as test cases, test plans, and test results. RECENT experience working with various VMS’ technologies IS REQUIRED (Beeline, Fieldglass, IQN, DCR, etc.)
ESSENTIAL DUTIES AND RESPONSIBILITIES
Good understanding of SDLC models Like Agile and Waterfall
Experience with MSP required",-1,Geometric Results Inc,Remote,-1,-1,-1,-1,-1,-1
19,Data Scientist,Employer Provided Salary:$70K - $120K,"Nacci is a data for good company gearing up for our next phase of growth and looking for a data scientist to help us take our analytics capabilities to the next level for our product suite. This role will work directly with the founding team to deliver innovative, design-forward analytics capabilities. This person will also help develop Nacci’s big data technology infrastructure.
Nacci is focused on merging storytelling and narrative with data science to help our clients get more out of their data investments. We focus on building out solutions that are beautiful, insightful and useful. The right candidate will have a tremendous respect for the softer sciences and have the ability to think horizontally while still leveraging their mastery of data science and analytics techniques.
This role will be primarily focused on:
Platform engineering - architect and build technical platforms for Nacci analytics, data processing, and algorithmic engines to run at scale",-1,Nacci,Remote,-1,-1,-1,-1,-1,-1
