,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Registered Dental Hygienist,Employer Provided Salary:$114K - $133K,"Alexander Valley Healthcare is a growing, dynamic Federally Qualified Health Center in Cloverdale with a diverse and focused staff. We serve approximately 5,200 patients, providing medical, dental, and mental health care. We are seeking a full or part time Registered Dental Hygienist to join our team in providing high quality, friendly care to our patients.
This is a permanent position, offering a competitive salary and full benefits including an employer-matched 401k; medical, dental and vision insurance; robust PTO and Holiday offerings; and many other benefits. Applicants must be committed to high quality patient care and excellent customer service, proficient with Electronic Medical Records, and understand team care service. All applicants must include their cover letter with their resume.
Job Duties and Responsibilities:
Provides comprehensive periodontal care to patients including scaling, root planning, prophylaxis and education.",3.6,"Alexander Valley Healthcare
3.6","Sonoma, CA",51 to 200 Employees,-1,Nonprofit Organization,-1,-1,Unknown / Non-Applicable
1,Dental Hygienist: Part-time,Employer Provided Salary:$120 Per Hour,"We are looking for a caring, enthusiastic dental hygienist to join our team! We seek someone who is professional, knowledgeable, organized, and ready to hit the ground running in our busy office. Minimum 1 year experience preferred.
Part-time: Monday 3-7pm, Wednesday 3-7pm, Thursday 3-7pm, Saturday 8am-4pm, Sunday 8am-4pm. Work one day or five days per week, you choose!
Hourly Pay: $120 per hour
You will work with a dedicated assistant doing assisted hygiene. Hygiene appts are one (1) hour and you & the assistant see two (2) patients per hour.
There are opportunities for turning this into a full-time position.",-1,Hilde Family Dentistry,"Arlington, WA",1 to 50 Employees,-1,Unknown,-1,-1,Unknown / Non-Applicable
2,Seeking Dental Hygienist! Up to $90+/hr! Benefits&Bonuses!,Employer Provided Salary:$50 - $80 Per Hour,"We are a fast growing, privately owned dental office in Quincy, seeking a talented & enthusiastic Dental Hygienist to join us in a great deal of fun. There are huge opportunities for advancement for everyone on our team & because of our unique bonus system & promotion policy…your income potential is essentially limitless:
- Fast Growing, Top-Quality, Privately Owned Office
- Huge Opportunity for Advancement
- Limitless Income Potential!
- Enjoyable, Respectful & Professional Environment
- Newest, Most Advanced Instruments/Procedures",3.1,"ADA
3.1","Quincy, MA",51 to 200 Employees,1984,Unknown,-1,-1,$25 to $50 million (USD)
3,Dental Hygienist in Thibodaux! Up to $60/hr+! Respect & Bonuses! Dental Hyg,Employer Provided Salary:$40 - $60 Per Hour,"We are a fast growing, privately owned dental office in Thibodaux, seeking a talented & enthusiastic Dental Hygienist to join us in a great deal of fun. There are huge opportunities for advancement for everyone on our team & because of our unique bonus system & promotion policy…your income potential is essentially limitless:
- Fast Growing, Top-Quality, Privately Owned Office
- Huge Opportunity for Advancement
- Limitless Income Potential!
- Enjoyable, Respectful & Professional Environment",-1,Clement Family Dentistry,"Thibodaux, LA",-1,-1,-1,-1,-1,-1
4,Registered Dental Hygienist-Ampla Health,Employer Provided Salary:$76K - $109K,"Registered Dental Hygienist- job description
We are looking for a Dental Hygienist to help treat patients and promote good oral health practices in a public health setting. We are seeking a dental hygienist who is adept in periodontal treatment and has a desire to serve the public in a FQHC environment. The Dental Hygienist duties revolve around conducting initial patient periodontal screenings, dental prophylaxis, scaling and rootplaning, sealants and fluoride treatments as well educating patients on good oral hygiene instructions and importance of continual care. You’ll help the dentists decide treatments for periodontal disease and oral health prevention. As a Dental Hygienist, you should be reliable and able to build trust and communicate with patients of all ages and all backgrounds. Ampla health has a philosophy to serve and provide individuals with high quality, comprehensive community directed health care that is accessible to all and culturally and linguistically appropriate.",3.7,"AMPLA HEALTH-FQHC
3.7","Yuba City, CA",201 to 500 Employees,-1,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD)
5,Dental Hygienist,-1,"All Smiles Northwest in Everett, WA
Full-Time Dental Hygienist- Offering a $10,000 sign-on bonus as well as open to part time. Full Time starts at avg of 30 hours a week.
About us;
https://www.allsmilesnw.com/
Established team with very low turnover that values and thrives on teamwork
A family-oriented atmosphere with great patients that are part of our family as well. Competitive hourly rate + bonus +Great benefits
Our Family practice is a growing, successful office, and looking for our 3rd Hygienist!
Strongly value teamwork and great communication to provide the best patient care. Great stability and will not cut your hours! No short appt times and scheduled break for lunch.
We invest in you with a highly competitive hourly rate AND benefits - CE, and Bonus opportunities!
Looking forward to meeting an amazing Hygienist who wants to grow with us!
3-4 days a week - NO WEEKENDS
WA RDH license required",-1,All Smiles Northwest,"Everett, WA",-1,-1,-1,-1,-1,-1
6,Registered Dental Hygienist,Employer Provided Salary:$46 - $50 Per Hour,"High-tech friendly comprehensive family practice seeks a quality diagnostic REGISTERED DENTAL HYGENIST part-time Tues. or Wed immediately, in Huntington Beach, CA. 3 years experience, with proficiency in Dentrix, Dexis, laser currettage, Arestin, Fluoride varnish and irrigation is required. Intraoral photos to be taken and we will train on ITERO scanning. Excellent verbal skills a must. RDH should be excited to educate and motivate patients to maintain a high level of periodontal and dental health. Our hygienist should enjoy establishing relationships with patients in addition to delivering hygiene treatment while becoming a valued member of our wonderful team.
Job Type: Part-time
Pay: $370.00 - $400.00 per day
Schedule:",-1,Smile HB Dental and Orthodontics,"Huntington Beach, CA",-1,-1,-1,-1,-1,-1
7,Registered Dental Hygienist,Employer Provided Salary:$65 Per Hour,"The dental company you’ve always wanted to work for is now hiring RDHs as we grow!
SIGN ON BONUSES APPLY!
**CURRENTLY HIRING HYGIENISTS IN LACEY, OLYMPIA AND TACOMA!**
We treat (and pay) our hygienists as PROVIDERS of care, the way they should be treated!
Tranquility Dental is looking for a *highly motivated * Registered Dental Hygienist who is interested in joining an amazing team who's mission is to take the fear out of dentistry by offering comprehensive care in a beautiful spa-like atmosphere! Our goal is to emphasize our hygiene program and truly education patients on the benefits of oral hygiene--we value preventative treatment options over full-mouth rehab cases!",1.0,"Tranquility Dental Wellness Center
1.0",Washington State,1 to 50 Employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
8,Dental Hygienist,Employer Provided Salary:$53 - $63 Per Hour,"Now is the time to join Premier Dental care. You will have opportunities to learn new skills from our team of experienced professionals. If you're ready to take your career to the next level and gain valuable experience, apply today! You will use your expertise and knowledge to help deliver the best dentistry there in a state of the art facility.
Job Type: Part-time
Pay: $425.00 - $500.00 per day
Work Location:
Multiple locations
Work Remotely:",3.7,"Premier Dental Care
3.7","Lancaster, CA",1 to 50 Employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,Less than $1 million (USD)
9,Registered Dental Hygienist (RDH),$68K - $113K (Glassdoor est.),"WE'RE GROWING!
Hospitality Dental is seeking a full-time Registered Dental Hygienist in our Rancho Mirage and Palm Dessert office.
In 1971, Hospitality Dental started as a private practice dental office in Riverside, California, then went on to become Hospitality Dental Associates. At Hospitality Dental Associates, our mission is “to promote dental health with Hospitality” – so much so that we use the pineapple, the traditional symbol of hospitality, in our logo. Hospitality Dental Associates prides itself in putting the patient first by going the extra mile to provide our patients with the highest quality of dental care professionally possible. “Hospitality is not just part of our name…it’s our way of thinking.”
Joining the Family:",-1,Hospitality Dental & Orthodontics,"Rancho Mirage, CA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
