,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Associate Dentist,Employer Provided Salary:$100K - $200K,"North Country Dental is searching for a full-time Associate Dentist to join our dynamic team. This position is for a general dentist with experience in all areas of general dentistry. Our offices are located near the White Mountains of NH and the area offers four seasons of fun and adventure.
If you are a dentist looking for a change, now is the perfect time to join our growing offices. In business for over 25 years, North Country Dental continues to provide high quality, high-tech dentistry to patients throughout New England.
Job Type: Full-time
Pay: $100,000.00 - $200,000.00 per year
Benefits:",-1,North Country Dental,"North Conway, NH",-1,-1,-1,-1,-1,-1
1,General Dentist--Chincoteague,Employer Provided Salary:$150K,"Do you want to run your own office with support with potential for ownership?
Established patient base- be busy right away!
Morrison Dental Group is looking for a motivated Dentist interested in unlimited earning potential to work in our Chincoteague Virginia office.
The office is nestled on Main Street & located on the harbor. It consists of 5 operatories with new equipment in an all-digital office including Extra-oral radiography, Sensors & Implant Motor & Surgical Kits.
The ideal Dentist would have 2+ years’ experience &/or GPR or AEGD Residency.
Chincoteague is located near Maryland & next to the NASA Wallops Island Space Center. It offers the small-town experience, good schools & reasonable cost of living.",5.0,"Morrison Dental Group
5.0","Chincoteague, VA",51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
2,General Dentist Associate,Employer Provided Salary:$150K - $200K,"GENERAL DENTIST ASSOCIATES NEEDED
**$20,000.00 Sign-on Bonus and relocation package for the right candidate!**
~Approved loan repayment site through the state. $75,000 loan repayment for approved candidates.
~Considering Full, Part or Contract Dentist
Welcome to Comprehensive Dental Center of South Carolina (CDCSC). Our practice is located in Dillon, South Carolina and has been in business since 2017. We strive to provide the finest quality of dental services and facilities in rural areas of South Carolina where access to care is limited. Our purpose is to locally and systemically improve our patients’ overall oral health care, restore their optimal function, increase their educational understanding, and most importantly, improve their physical, emotional and spiritual well-being. We have a genuine care and passion for people. We are in the smiling-people business. If you have a love for dentistry and want to feel the joy of having a monumental effect on someone’s life, then our office is the perfect fit for you. Dentistry is a rewarding profession. We are looking for people with a joyful spirit and determination to make a difference for every patient they serve.",-1,Comprehensive Dental Center of South Carolina,"Dillon, SC",-1,-1,-1,-1,-1,-1
3,General Dentist,Employer Provided Salary:$150K - $165K,"The Lake Roosevelt Community Health Centers’ (LRCHC) Dental Department is looking for a full time general dentist. LRCHC is located on the Colville Reservation in northeastern Washington State, about 2 hours northwest of Spokane. The clinic has two locations, in Inchelium WA and Keller WA, and LRCHC seeks a dentist to work primarily in Inchelium, but in Keller as well.
The area is well known for a variety of outdoor pursuits such as camping, hiking, fishing, skiing, hunting, biking, and boating. Typically, summers are warm and winters are cold and snowy.
This position will be practicing the full range of disciplines – such as oral surgery, endodontics, pedodontics, restorative, removable and fixed prosthodontics. Providing learning experiences for dental program students, while providing high qulaity dental care. There are currently 2 dentists practicing at this clinic and one dental hygienist. This dental team is excited about providing high quality dental care in rural Washington state, and we look for another dentist to join us.",-1,Lake Roosevelt Community Health Centers,"Inchelium, WA",1 to 50 Employees,-1,Self-employed,-1,-1,Less than $1 million (USD)
4,General Dentist,Employer Provided Salary:$200K - $300K,"SMILEPOINT DENTAL GROUP
Smilepoint Dental Group- a rapidly expanding Inc. 5000 company is looking to expand its team with team members who are ambitious and strive for excellence. Our mission at Smilepoint is to provide the highest quality dental care to our communities in a family like environment, while providing an ultimate patient experience. We aim for excellence and to create an everlasting impact. Visit our website www.smilepoint.us for more information on dental offices in Texas.
WHY JOIN SMILEPOINT DENTAL?
We strongly believe that we are as good as our team. We like to invest in our Dentists and provide a platform for accelerated growth, industry leading compensation along with world class benefits. And, for the right candidate - we are open to paying whatever it takes to make you part of our team! Join us if you are looking to provide an extraordinary patient experience and value-added dentistry in a fast-paced practice with cutting edge technology.",4.6,"Smilepoint Dental Group
4.6","Aransas Pass, TX",51 to 200 Employees,-1,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
5,Associate Dentist,Employer Provided Salary:$175K - $200K,"We are Revolution Dentistry, a growing general dentistry group seeking an ambitious, motivated associate to join our Schaumburg and South Elgin offices. This is an opportunity available to a personable, skilled clinician. Guaranteed daily minimum, and we are a PPO and fee for service provider. One year experience is preferred. Provider will be the primary full-time clinician in the office.
Job Type: Full-time
Pay: $175,000.00 - $200,000.00 per year
Schedule:
8 hour shift",-1,"Revolution Dental, LLC","Schaumburg, IL",-1,-1,-1,-1,-1,-1
6,General Dentist,Employer Provided Salary:$175K - $225K,"General Dentist
Now Hiring for Part-Time
Monday, Tuesday & Friday
Plymouth, MA
Job Description
Our practice is currently seeking a General Dentist with a minimum of two years of experience who shares our passion for delivering exceptional patient care.
The dentist will provide care to our patients, regulate patient flow within the office, and report to the Chief Clinical Officer and Senior Director of Practice Success. The General Dentist will partner with the Administrative Lead and Regional Operations Manager to maintain, implement, and support practice standards.",4.8,"Kerr Dental Associates, PC
4.8","Plymouth, MA",51 to 200 Employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
7,General Dentist,Employer Provided Salary:$130K - $300K,"Canyon Family Dentistry & Orthodontics a new and growing dental office in Skye Canyon area of Las Vegas is looking for a personable and caring General Dentist join their team on part or full-time basis.
The office accepts PPO and cash patients and does not participate in Medicaid or HMO plans. Excellent team in place.
Solid income potential as compensation is based on a percentage of production or guaranteed base salary, whichever is higher. A dentist must have excellent interpersonal skills and be proficient in restorative dentistry including fillings and crowns. The practice will offer the Dentist flexibility to not perform molar endo or complex extractions due to having an in-house oral surgeon and an Endodontist
Mentorship with a senior dentist available if need be.",-1,Canyon Family Dentistry & Orthodontics,"Las Vegas, NV",-1,-1,-1,-1,-1,-1
8,General Dentist,Employer Provided Salary:$72 Per Hour,"Super dentist wanted! Kidding but bringing a good procedure mix and an engaging personality is essential.
Now you may be asking - that sounds great but what do I get paid? Like with everything we’re completely transparent. We pay based on the greater of $72 an hour or 33% production over a month’s time period with excellent benefits as well.
There’s also a sign on bonus of $5K !
There is no non-compete. Setup next door! We’ll send you all the hard ones. There is non-solicitation of course.
We are open six days a week so some flexibility on hours and days is appreciated. This is a full time opportunity.",-1,Dental Salon Schaumburg,"Schaumburg, IL",-1,-1,-1,-1,-1,-1
9,General Dentist,Employer Provided Salary:$100K - $300K,"*DO YOU LOVE WHERE YOU WORK?!*
We are rocking and rolling and looking for our next AMAZING team member. The ideal candidate for this position would be comfortable seeing and treating a high amount of new adult patients (our current doctor is seeing 60-70+ monthly and we are ready to bring someone on and share the love!!)
*Proficiency in molar RCT and implant placement is a plus.
Don't want to read the whole listing? Skip on to the next step and call our recorded recruiting line to leave your vm.
-----------CALL NOW- 1-888-961-8411-----------",5.0,"Relaxation Dental Specialties
5.0","Salida, CO",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
