,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Diagnostic Medical Sonographer,Employer Provided Salary:$34 Per Hour,"Westside Women's Care is seeking a medical sonographer with experience in women's health (obstetrics and gynecology). The perfect candidate will have experience in providing excellent patient care, as well as experience working with physicians and midlevel providers.
Westside Women's Care is one of the largest private practices in Colorado. We are a busy practice, seeing between 80-100 patients daily. Our ultrasound schedules allow for ample time with patients based on type of scan and diagnosis of the patient. Certification in nuchal translucency is required.
Requirements:
-ARDMS certification
-Certification in nuchal translucency",-1,Westside Women's Care,"Arvada, CO",51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
1,Diagnostic Medical Sonographer,Employer Provided Salary:$42 - $52 Per Hour,"Job Description:
We are looking for dynamic additions to our expanding family. Conceptions is a growing fertility practice, and we are seeking world class Diagnostic Medical Sonographer candidates. Our rapidly growing IVF clinic is seeking outgoing, professional and well organized individuals to join our team. Our Diagnostic Medical Sonographers must be detailed and driven individuals that can multitask and handle a fast-paced work environment.
We currently have a full time position available. The candidate chosen will work at our Denver Rose location.
Candidate must be ARDMS registered or eligible to test and have Ob-Gyn experience, preferably in fertility.",-1,Conceptions Reproductive Associates,"Denver, CO",-1,-1,-1,-1,-1,-1
2,Diagnostic Medical Sonographer,Employer Provided Salary:$25 - $33 Per Hour,"Performs diagnostic sonographic examinations utilizing ultrasonic equipment to locate, evaluate and record critical functional, pathological, and anatomical data. Schedules and coordinates tests, records test results, and prepares and maintains operational logs. Calibrates and maintains equipment and orders supplies when needed. May require registration with the American Registry of Diagnostic Medical Sonographers (ARDMS). Familiar with standard concepts, practices, and procedures within a particular field. Relies on limited experience and judgment to plan and accomplish goals. Performs a variety of tasks. Works under general supervision. A certain degree of creativity and latitude is required. Typically reports to a chief technologist or manager.
To apply, please go to our website to view open positions: www.dcol.net
Job Type: Full-time",-1,Diagnostic Clinic of Longview,"Longview, TX",-1,-1,-1,-1,-1,-1
3,Diagnostic Medical Sonographer,-1,"We are seeking an ultrasound technologist to work full-time in Tennessee's Leading Vein Center. This is a center of excellence with skilled and experienced sonographers with RVT/RPhS certifications. We diagnose and treat a wide variety of venous disorders from spider veins to major abdominal and pelvic venous obstruction. The medical director is a vascular surgeon with RVT and RPhS certifications. This is a pleasant, rewarding environment where we all work together as a team. Visit www.TennesseeVeinCare.com
Education:
· Completion of an Associates or Bachelor’s degree in field
· RVT, RVS, or RPhS certification preferred
Duties and Responsibilities:",-1,VeinCare Centers of Tennessee,"Clarksville, TN",-1,-1,-1,-1,-1,-1
4,Sonographer-PRN-(775508),$36K - $87K (Glassdoor est.),"Description
Join an energetic, patient-focused team! MEDSTAR RADIOLOGY NETWORK is currently seeking an experienced Diagnostic Sonographer for a PRN position at our outpatient imaging center located in BRANDYWINE MD. Hours would include days, evenings and weekends as needed.
NOTE: COVID-19 and influenza vaccines, or approved exemptions are required for employment at MedStar Radiology Network.
JOB SUMMARY:
Under the direction of the Radiology Medical Director, the Sonographer:",3.0,"MedStar Radiology Network
3.0","Brandywine, MD",501 to 1000 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
5,Lead Diagnostic Medical Sonographer,$34K - $87K (Glassdoor est.),"Job Title: Lead Diagnostic Medical Sonographer
Job Summary:
We currently have an amazing opportunity for a Lead Diagnostic Medical Sonographer position with our company Onsite Imaging Services. The Lead Sonographer functions as a healthcare provider who, working under the delegated authority of the supervising physician, serves as a medical imaging professional who provides clinically relevant information to assist the physician with the diagnosis and treatment of patients. The Lead Sonographer role and responsibilities includes the supervision of sonography staff as well as professional development oversight of sonography staff. The Lead Sonographer scope of practice includes those procedures, acts and processes permitted by law, for which the individual has received education and clinical experience, has demonstrated competency, and has completed the appropriate ARDMS certification(s) standard of practice in ultrasound.",-1,"Onsite Imaging Services, LLC","Weston, FL",1 to 50 Employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
6,"Breast Sonographer with Growing OB GYN Practice in Rochester Hills, MI",Employer Provided Salary:$32 - $42 Per Hour,"About us
Oakland Macomb Obstetrics and Gynecology a leading OB GYN practice has opened a new Center for Breast Health in Rochester Hills, Michigan and is in search of an experienced Part to Full-Time Breast Sonographer.
This role will report to the Center’s Manager. Daily direction would be offered by the Center’s Lead Breast Sonographer and Chief Radiologist.
Breast Sonographer
Role and Responsibilities:
 Quality and efficient Breast ultrasound examination performance to assist with patient diagnostic work-up
 Assists Radiologist during breast biopsies while following universal precautions
 Maintains ultrasound equipment and reports any equipment issues to leadership or service provider
 Provides accurate and compassionate patient care to ensure service excellence, patient safety and satisfaction
 Promotes teamwork by assisting other staff as needed
 Performs other duties as assigned
Qualifications and Education Requirements:
 Certified CAAHEP School of Ultrasound
 Registered ARDMS in current status
 Minimum 2 yrs. experience in related field
 Proficient skills and abilities in PACS and EMR
 Proficient skills and abilities in Microsoft office
 Positive and motivational interpersonal skills
 Ability to maintain focus, calm and an unbiased manner during busy schedules and issue resolution
 ARDMS Breast Certification",4.0,"Oakland Macomb Obstetrics and Gynecology
4.0","Rochester, MI",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
7,"Sonographer - Boulder, CO",Employer Provided Salary:$35 - $43 Per Hour,"Colorado Urology is the region’s premier urology practice with 17 urologists serving patients at 10 medical offices throughout the greater Denver and Boulder areas, including Aurora, Lone Tree/Parker, Golden, and Evergreen. Colorado Urology’s mission is to ensure that every patient has a superior experience and that mission drives every aspect of our organization and everything we do. Our integrated approach to urologic care provides patients with access to experienced specialists, a comprehensive support team of healthcare professionals, innovative diagnostic tools, and highly advanced treatments and therapies.
Colorado Urology is a member of United Urology Group, a management services organization whose member groups of urology practices today also include Arizona Urology, Chesapeake Urology and Tennessee Urology. We offer very competitive salary and benefits package with a great working environment. To view a full list of our benefits, please visit https://www.coloradouro.com/careers/benefits/.",1.0,"Colorado Urology Associates
1.0","Lakewood, CO",201 to 500 Employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
8,Sonographer Women's Health,-1,"Sonographer - Women's Health
Employment Type
Part-Time, Contract, Temporary
Preferred Qualifications:
ARDMS (American Registry of Diagnostic Medical Sonographer)
Experience with Electronic Medical Record systems
Knowledge of HIPPA compliance
Additional Information: Exceptional general attitude and team work attitude required. This is a position for an individual who can handle the daily stress associated with fast paced and high volume. The ideal candidate will have team spirit and work ethic such that work is highly organized with very few errors. These duties involve large amount of electronic paperwork, so the ideal candidate must be organized, multi-tasking and able to maintain standard office procedures in a busy professional work environment.",-1,Confidential,"Harvey, IL",-1,-1,-1,-1,-1,-1
9,OB/GYN Sonographer,Employer Provided Salary:$40 - $48 Per Hour,"Purpose: Responsible for the independent operation of sonography equipment, and for performing and communicating results of diagnostic examinations using sonography. Meet and exceed patient expectations and adhere to established practices while assuring the best possible care for patients.
Responsibilities:
Performs clinical assessment and diagnostic sonography examinations.
Performs all requested sonographic examinations as ordered by the attending physician.
Prepares preliminary reports.
Uses cognitive sonographic skills to identify, record, and adapt procedures as appropriate to anatomical, pathological, diagnostic information and images.",3.9,"Austin Area OB/GYN
3.9","Austin, TX",51 to 200 Employees,-1,Company - Private,-1,-1,$10 to $25 million (USD)
10,Sonographer,Employer Provided Salary:$24 - $45 Per Hour,"Women's Health Texas: Devoted to women, committed to excellence.
Women's Health Texas (WHTX) is the largest single specialty group in Central Texas and one of the fastest growing obstetrics and gynecology groups in the state. When you become a member of the WHTX family, you become part of the Care Connects Us network of dedicated health professionals who truly support each other and are committed to the well-being of the women who entrust WHTX with their care. In the healthcare field in Texas there is no better place to grow in your career, achieve your goals, and attain a higher quality of life.
Position: Sonographer
Employment Type: Full-time, 36 hrs per week.
Location: The OB/GYN Group of Austin- 1301 W. 38th St. Austin, TX 78705
Benefits: Competitive Pay Rates, Medical, Dental, Vision, Short-term and Long-term disability, Life and Accidental insurance, 401K Plan, PTO, Guaranteed Annual Pay Rate increases and Employee Discounts throughout Austin and San Antonio!",1.0,"Women's Health Texas
1.0","Austin, TX",201 to 500 Employees,-1,Private Practice / Firm,-1,-1,Unknown / Non-Applicable
11,Sonographer,$53K - $115K (Glassdoor est.),"Sonographer
Currently looking for a Diagnostic Medical Sonographer to fill an opening with an outpatient radiology clinic in Bellevue, WA. Interested candidates must be ARDMS certified. At least 1 year of diagnostic ultrasound experience is preferred
Benefits
$5000 hiring bonus.
100%employer paid medical, dental, vision, life, and LTD
HSA account with employer contribution
Simple IRA with employer match",3.5,"Bellevue Medical Imaging
3.5","Bellevue, WA",1 to 50 Employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
12,Registered Diagnostic Medical Sonographer -OB/GYN,Employer Provided Salary:$38 - $41 Per Hour,"We are seeking an experienced registered OB/GYN sonographer who likes a fast paced environment to come join our fantastic group. We are flexible looking for a few part-time and/or a full time and a part time sonographer for a private group practice with 9 physicians and 3 nurse practitioners. We have 2 locations near Advent Health and Olathe Medical Center. The part-time positions would be 2-3 days per week with additional days possible for PRN. The full-time position would be 4 days per week and is eligible for benefits. Normal office hours are 8:15 - 5:00. The office is closed on holidays and weekends!
Job Types: Full-time, Part-time
Pay: $38.00 - $41.00 per hour
Benefits:",3.4,"Women's Clinic of Johnson County
3.4","Shawnee, KS",201 to 500 Employees,-1,Private Practice / Firm,-1,-1,Unknown / Non-Applicable
13,Sonographer/Ultra Sound Tech,Employer Provided Salary:$32 - $46 Per Hour,".9 (36 hours per week) Ultra Sound Tech position available in beautiful Okanogan County!
Ultra Sound Tech primary job duties & responsibilities
REQUIRED: RDMS certification or board eligible. Completion of college based DMS ultrasound program. Ability to competently scan abdomen, OB/GYN, Small parts. Assist radiologist with biopsies. Some vascular (DVT, Carotids).Â Able to work independently. Good patient and phone skills. Able to effectively communicate finding to physicians.
DESIRED: 3-5 years of experience. Bachelors of Diagnostic Medical Sonographers. Board certified in OB, Abdomen, limited vascular. Able to do Echo. Familiar with GE Ultrasound unit.
Ultra Sound Tech's and all employees will project a professional, positive and friendly image of the facility with all contacts; patients, the general public and all staff members of Mid- Valley Hospital.",-1,Mid-Valley Hospital,"Omak, WA",-1,-1,-1,-1,-1,-1
14,Sonographer Part Time / PRN,Employer Provided Salary:$30 - $40 Per Hour,"Mobile Thermographic & Ultrasound Imaging is a small family style business that provides amazing flexibility to our employees. Life is more than your job so we accommodate our team in anyway we can. If our team is happy then our clients are happy and that is a priority! We are in the process of rebranding and about to launch a new website and services so we are preparing for growth!
We are a positive, team oriented mobile company looking for someone who can provide excellent customer service to our growing clientele. We provide a great place to work and it is seen in the commitment our employees give each day to our clients and each other. A friendly, warm, kind, caring, and professional demeanor is essential. Candidate also must be flexible, confident and independent as you will be traveling (mileage is reimbursed for certain locations) with the portable ultrasound machine. Current locations are in Acworth, Roswell, Suwanee, Midtown Atlanta, and Peachtree City. Proficient in multi tasking and staying on time with scheduled appointments. Must also be willing to learn about thermography and some aspects of care in order to be familiar with existing clientele needs or questions. .",-1,Mobile Thermographic & Ultrasound Imaging,"Atlanta, GA",-1,-1,-1,-1,-1,-1
15,Sonographer,-1,"Association of Alexandria Radiologists, PC (AAR) seeks a registered Full Time Sonographer for our high-volume outpatient practice providing impeccable care to our patients in Alexandria, VA. The Sonographer will perform General and limited Vascular ultrasound; OB (1st – 3rd trimesters); GYN; Abdominal, Pelvic, small parts; and preferably Breast scans.
One year of Sonography experience preferred
vascular experience (carotid, lower extremity venous, abdominal Doppler) preferred
ARDMS registered in Abdomen, OB/GYN, Breast or obtained within 12 months.
If you would enjoy working in an office that offers a team environment and that is staffed with friendly people, please send resume with salary requirements.
Job Type: Full-time",-1,Association of Alexandria Radiologists (AAR),"Alexandria, VA",-1,-1,-1,-1,-1,-1
16,Diagnostic Medical Sonography Program Director,Employer Provided Salary:$35 - $40 Per Hour,"Diagnostic Medical Sonography Program Director
American Medical Sciences Center - Glendale, CA 91204
Job Type: Full Time/Contract
The Diagnostic Medical Sonography (DMS) Program Director is responsible for leveraging their expertise to develop, maintain, and deliver education services to students through maintaining the existing core curriculum, ensuring delivery of core curriculum, preparing course plans, schedules and material, supervising staff and oversight of the Program. DMS Program Director monitors and manages student progress and attendance, student advising, and grade reporting.
ESSENTIAL DUTIES AND RESPONSIBILITIES",-1,American Medical Sciences Center,"Glendale, CA",-1,-1,-1,-1,-1,-1
17,Echocardiography / Cardiac Sonographer- Boulder Heart $5000 Sign On Bonus,Employer Provided Salary:$31 - $55 Per Hour,"Full Time, Days. No weekends.
$5000 Sign on Bonus!
Pay range is between $31.35-$55.27/hr, depending on years of relevant and like experience.
Boulder Community Health was recently honored as Best Local Employer by the Daily Camera in the 2018 Boulder County Gold, their People’s Choice Awards for businesses in Boulder County. Come join us and be a part of an independent, community-focused health system and feel good knowing that your work will make a difference in people’s lives and be a positive contribution to the community.
POSITION SUMMARY

Location: Boulder Community Health · Boulder Heart
Schedule: Full-time, Days - other, TBD",3.8,"Boulder Community Health
3.8","Boulder, CO",1001 to 5000 Employees,-1,Hospital,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
