,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Financial Advisor,Employer Provided Salary:$100K - $175K,"Filbrandt Wealth Management (FWM) is The Trusted Financial Resource for University Professionals. We are in the process of adding an experienced Financial Advisor to our Team.
FWM is one of the few independent financial planning firms focused exclusively on academia, nationally. FWM has acquired specialized knowledge and expertise regarding university benefit programs, which provides a competitive advantage in a high net worth niche market.
How FWM is unique:
· FWM is uniquely positioned to offer university faculty and physicians the best total financial planning solution through unbiased, comprehensive planning at the highest fiduciary standard. This ensures our clients are always the top priority.",-1,Filbrandt Wealth Management,"Madison, WI",-1,-1,-1,-1,-1,-1
1,Financial Advisor,Employer Provided Salary:$80K - $150K,"We are seeking a dedicated and passionate Financial Advisor to join our growing team. You will be our clients’ trusted advisor in areas including investments, cash flow, savings, and retirement planning. Our financial planner should be an effective communicator with experience in financial planning and business development. If you are analytical, meticulous, and obsessed with helping clients reach their goals, we’d like to meet you. This position requires the ability to work well in both a self-directed manner and in a collaborative team environment.
Applicants must apply through completing this survey and attaching their resume. These are the only resumes that will be reviewed:
https://www.cultureindex.com/c/m231nV3Mji
Typical Duties and Responsibilities",5.0,"W3 Financial Group
5.0","Worthington, OH",1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD)
2,Assistant to Financial Advisor,Employer Provided Salary:$50K - $55K,"Assistant to Financial Advisor
Overview of the Position:
This position acts as a liaison between our Financial Advisors and our Client Service Team. They are the first point of client communication with the firm.
Job Responsibilities:
· Answering incoming calls; taking messages and re-directing calls as required
· Responding to email inquiries for advisors and self
o Managing up to 3 email accounts",-1,The Tranel Financial Group,"Libertyville, IL",-1,-1,-1,-1,-1,-1
3,Wealth Advisor,Employer Provided Salary:$24 - $36 Per Hour,"Overview
The Wealth Advisor will be the principal point of contact with clients and is responsible for maintaining the ongoing relationships. This individual will have a broad understanding of wealth management practices and investment strategies with the ideal candidate having proven financial planning experience.
Responsibilities
Ability to establish client investment objectives including risk tolerance, asset allocation, and cash requirements
Work with Investment team to identify and implement appropriate investment strategy for each client based on their goals, objectives, and risk tolerance.",-1,"Measured Wealth Private Client Group, LLC","Portsmouth, NH",-1,-1,-1,-1,-1,-1
4,Financial Advisor Assistant,-1,"Client Service Associate Job Description
MAP Wealth Management, a growing financial management firm, is seeking a Client Service Associate to assist us in our mission of helping clients achieve their financial goals. This is your chance to play a key role in the future success of our fast-growing organization! If you are passionate, eager to succeed, and share our vision, then we would love to hear from you!
*Description
*The Client Service Associate (CSA) plays a crucial role in the smooth functioning of the office. With overall responsibility for day-to-day operations, the CSA must be able to work effectively with other staff members, clients, and the Financial Advisors.
Responsibilities & Activities",-1,MAP Wealth Management,"Chicago, IL",-1,-1,-1,-1,-1,-1
5,Financial Aid Advisor,$33K - $56K (Glassdoor est.),"GENERAL POLICIES AND PROVISIONS
To administer financial aid programs within the office of Student Financial Services by managing the daily functions required of specific financial aid programs, including quality control, fund utilization, and program implementation.
Responsible for decision-making processes requiring initiative and judgment in responding to individual needs of students for administration of one or more programs areas within the office of Student Financial Services, and for the development of information and repost as required by financial aid programs.
The Financial Aid Advisor shall have responsibility for meeting with prospective students, creating a positive and friendly environment, facilitating participation in the Financial Aid eligibility process, assisting in determining eligibility for Financial Aid, for Financial Aid record-keeping (hard copy and electronic), and assisting in default prevention.",4.2,"High Desert Medical College
4.2","Lancaster, CA",51 to 200 Employees,-1,School / School District,Colleges & Universities,Education,Unknown / Non-Applicable
6,Financial Advisor,Employer Provided Salary:$75K,"We're looking for the best and brightest to join our team.
People with a passion for excellence from globally diverse backgrounds, with different experiences and new ways of thinking. People who want to put their talents and their fresh ideas to work with us.
These are the kinds of individuals who succeed at Financial Design Group:
· Highly energized and confident individuals who thrive in a high-change environment.
· Innovators who never stop asking, ""Is there a better way?"" and who have the intellectual curiosity to find it.
· Listeners…doers…communicators.",-1,Financial Design Group,"Toledo, OH",1 to 50 Employees,-1,Company - Private,Investment Banking & Asset Management,Finance,$5 to $10 million (USD)
7,Financial Advisor,Employer Provided Salary:$45K - $70K,"Thrivent Financial Advisor
Be in Business for Yourself, not By Yourself
Enjoy the rewards of building a financial practice helping clients make financial choices guided by their values with the support of local leaders and colleagues, professional training and systems to help you be successful.
Job Description
Thrivent is a different kind of financial services provider. We believe money is a tool, not a goal. Driven by a higher purpose at our core, we are committed to providing financial advice, investments, insurance, banking and generosity programs to help people make the most of all they’ve been given. We’re hiring entrepreneurial people to grow with us in cities across the United States. If you have a heart for service and a passion for helping others reach their financial goals, we’d like to connect with you.",3.9,"Thrivent
3.9","Chicago, IL",5001 to 10000 Employees,1902,Nonprofit Organization,Insurance Carriers,Insurance,$5 to $10 billion (USD)
8,Financial Consultant,Employer Provided Salary:$48K - $144K,"Financial Consultant
Full Job Description
Are you looking for a sales position where you can help people change their financial future? We are NextStep Financial, and we help people regain control of their financial future. If this sounds exciting to you, look no further!
NextStep Financial works with clients to find the best solution in helping them become debt free. We are hiring
Financial Consultants that focus on evaluating consumers options to pay off their faster and for less. We have an abundance of high-quality leads and just need quality financial consultants.
Responsibilities:",-1,NextStep Financial,"Lake Forest, CA",-1,-1,-1,-1,-1,-1
9,Financial Advisor – 403(b)/457 – Retirement Professional,-1,"Voya Financial Advisors®, Inc., a leading independent broker-dealer in the defined contribution and is currently seeking a Financial Professional to join our team in the Orlando area to work plan sponsor relationship in the government market.

This position will be responsible for 403(b)/457 enrollment, retirement and investment strategies, and participant education and seminars. Qualified candidates must possess the skills necessary to prospect, schedule and conduct one on one appointments, recommend and implement investment strategies, and research client service issues and investment questions. Additionally, candidate must have ability to conduct retirement and investment seminars.",3.8,"Voya Financial Advisors
3.8","Orlando, FL",5001 to 10000 Employees,2013,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD)
10,Financial Client Service Assistant | Paraplanner,Employer Provided Salary:$40K - $50K,"At Coaching Financial Concepts, we empower small business owners and individuals to reach their financial goals. From individual financial planning to business planning, insurance, and benefits solutions, we coach our clients and help them implement the strategies it takes to be financially successful and secure.
Coaching Financial Concepts is built on integrity. Whether it’s working with clients or interacting as a team, we pride ourselves on being honest, forthright, and having fun along the way. Doing the right thing is always the right thing!
We are looking forward to adding a non-producing, client-focused Financial Advisor Assistant to our amazing, fun team.
Job Overview",-1,Coaching Financial Concepts,"Des Plaines, IL",-1,-1,-1,-1,-1,-1
