,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Enterprise Financial Clearance Manager,-1,"Summary
Join Northern Light Health’s team of experts as you take on the role of Enterprise Financial Clearance Manager in Brewer, ME!

The Position
The Enterprise Financial Clearance Manager will serve as an internal subject matter expert and oversee all aspects of daily operations including supervising the activities of the financial clearance team(s), assisting with the development of policies, procedures, and processes, and coordinating with integrated departments.
The Enterprise Financial Clearance Manager reports directly to the Northern Light Health Associate Vice President of Patient Access.",3.7,"B.E.Smith
3.7","Brewer, ME",201 to 500 Employees,1978,Company - Public,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD)
1,Financial Services Licensed Practice Manager,Employer Provided Salary:$19 - $29 Per Hour,"Practice Manager / Licensed Advisor Associate
The Practice Manager shall serve as the hub of the practice. They will manage all projects for the practice and delegate needed staff to fulfill accomplishment of the projects. They will also set strategy and practice focus to insure accomplishment of practice goals.
The Practice Manager shall be fully licensed and will serve as a main client contact for handling client trade requests and processing transactions. They will work closely with senior advisors in developing, monitoring, and maintaining our investment policy statements and model portfolio strategies. Finally, they will assist senior advisors as needed in case preparation, client meetings, client servicing, etc.
ROLES/DUTIES
Practice Manager",-1,Pharos Wealth Strategies,"San Antonio, TX",-1,-1,-1,-1,-1,-1
2,Financial Reporting Manager,$67K - $129K (Glassdoor est.),"Position Summary
The Financial Reporting Manager is responsible for the preparation of Redwood Trust’s SEC filings, including the 10-Qs, 10-K, earnings release and supplemental, subsidiary financial statements for regulatory compliance purposes, as well as internal management reporting.

Responsibilities & Duties
Assist in preparation and review of the Quarterly and Annual Reports on Form 10-Q/K, the quarterly earnings release and other SEC documents
Help to ensure all financial statements comply with GAAP and SEC requirements and maintain supporting documentation for all financial statements and related footnotes",4.1,"Redwood Trust Inc
4.1","Mill Valley, CA",201 to 500 Employees,1994,Company - Public,Investment Banking & Asset Management,Finance,$100 to $500 million (USD)
3,Director of Financial Reporting,Employer Provided Salary:$120K - $135K,"Director of Financial Reporting
About us
International Farming Corporation is a small business in Raleigh, NC 27605. We are autonomous and data-driven.
Our work environment includes:
Flexible working hours
On-the-job training
Director - Financial Reporting
The ideal candidate will have extensive experience in public accounting and SEC reporting, preferably in an asset management setting with operating businesses and global operations. This position will report directly to the CFO and will become a member of the finance leadership team providing guidance across all financial reporting. He/she will also provide financial leadership and day to day financial management, recommendations on accounting guidance, assistance with investor reporting and due diligence requests, team management, and internal financial metrics.",-1,International Farming Corporation,"Raleigh, NC",-1,-1,-1,-1,-1,-1
4,Director of Financial Planning & Analysis,-1,"Investors Heritage, headquartered in Frankfort, Kentucky is the largest national life insurance company domiciled in Kentucky. We have been nationally recognized as one of the fastest growing life insurance companies in the United States and are looking for high-quality candidates to join our team to help support this growth. We are currently seeking candidates for a Financial Planning & Analysis position. This person will report to the Chief Financial Officer. This position is currently flexible in terms of work location, with most of the time currently anticipated as being remote but some in office work will be required. The duties of the position include the following types of activities:
Build out and lead the Company’s FP&A team to support the business
Lead strategic financial planning by creating, managing and coordinating workstreams to develop financial forecasts and operational plans
Enhance financial modeling to drive decision making",-1,Investors Heritage Life Insurance Company,"Frankfort, KY",-1,-1,-1,-1,-1,-1
5,Market Director,Employer Provided Salary:$140K,"We do work that matters. Unlike anywhere else, you receive the support, stability and opportunity of a Fortune 500 leader while focusing every day on making a meaningful impact on the lives of those we serve.
As a Market Director, you’ll introduce new talent to Thrivent and help launch the successful careers of new Thrivent financial advisors. You’ll provide leadership to the team in your market, and work with your team and other leaders to help our clients achieve financial clarity and make the most of all they’ve been given.
Attract, Recruit and Select Diverse Talent
Create and implement a recruiting strategy to grow capacity by attracting and cultivating quality, diverse financial advisor candidates in the Denver area, leveraging centers of influence and obtaining referrals from Thrivent financial advisors.",3.9,"Thrivent
3.9","Denver, CO",5001 to 10000 Employees,1902,Nonprofit Organization,Insurance Carriers,Insurance,$5 to $10 billion (USD)
6,Manager of Financial Planning and Analysis,Employer Provided Salary:$33K - $118K,"FOLLOW THIS LINK TO APPLY:
https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=df9f4474-51bf-4d5c-ba2d-f8c1edc1e317&ccId=19000101_000001&jobId=424661&source=CC2&lang=en_US
Indeed applications will not be considered.
POSITION SUMMARY:
Responsible for finance, planning and analysis function of PHS. Develops annual budget and mid-year projections with budget owners consistent with established guidelines and timelines. Proactively updates Dr. Director of FP&A on positive and or negative financial trends. Oversees the Manager of Impact Analysis on data collection, dashboard creation, and tracking of org-wide strategic initiatives.",-1,Pennsylvania Horticultural Society,"Philadelphia, PA",-1,-1,-1,-1,-1,-1
7,Manager of Financial Planning & Corporate Development,$50K - $116K (Glassdoor est.),"The Opportunity

Public Fortune 500 manufacturer
Outstanding career opportunity: newly-created, highly visible role spanning both FPA and Corporate Development
Corporate Development: Assist in coordinating the Corporate, Operating Company and external resources necessary to identify appropriate well-aligned acquisition and joint venture opportunities, and execute acquisitions and divestitures.

Financial Planning Analysis: Assist with all aspects of the department, including develop, execute and manage the Companys forecasting process, drive organizational change through oversight of projects in the Companys Restructuring Program, and CapEx oversight.

Specific Responsibilities

Assist the Dir FPD and VP FPA with all major workstreams including

Assist the Dir FPD and VP Corp. Dev. with successful execution of acquisitions and divestitures

The Profile

#ind2",-1,Thomas Brooke International,"Medina, OH",1 to 50 Employees,1993,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
8,Payroll Manager (Finance Department),Employer Provided Salary:$65K,"HALL COUNTY
PAYROLL MANAGER
Bordered by Lake Sidney Lanier and the foothills of the Blue Ridge Mountains, the sheer beauty of the landscape inspires families to grow and thrive. Hall County is the epicenter of an aggressive economic environment in Northeast Georgia. Growth in both population, now estimated at 200,000, and economic bases has been steady and diversified for the last 20 years. The labor market is thriving with regional labor market numbers estimated to be 775,000 from Hall and surrounding counties.
JOB SUMMARY
This is a management position within the organizational structure of the Hall County Financial Services Department, and is directly responsible for all payroll activities and functions for Hall County Government. This position provides payroll support throughout the organization, including internal and external stakeholders. Responsibilities include supervising and coordinating the County’s payroll functions; and acting as a liaison between employees, departments, and human resources or other third party representatives where payroll administration is concerned. Work is performed under the general direction of the Assistant Finance Director and is reviewed through reports, conferences, and evaluation of results achieved.",-1,Hall County Government,"Gainesville, GA",-1,-1,-1,-1,-1,-1
9,Finance Manager,Employer Provided Salary:$70K - $150K,"Looking for a experienced F&I manager, for a dual franchised dealership will include, presenting customer's with financing options, protection plans and take care of credit approval along with funding. Great Work place and fun atmosphere our store hours are mon-fri 8 am to 6pm saturday 8 am to 3 pm
Job Type: Full-time
Pay: $70,000.00 - $150,000.00 per year
Benefits:
Dental insurance
Employee discount",-1,"JANSEN FORD,CDJR","Carmi, IL",-1,-1,-1,-1,-1,-1
