,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Prenatal Genetic Counselor,$34K - $89K (Glassdoor est.),"Christiana Care is looking to hire an ABGC or ACMG Board certified Geneticist to join our team as a Prenatal Genetic Counselor. They will provide genetic counseling for prenatal or preconception genetic counseling to high risk patients and family members. Clients are referred for AMA, abnormal serum screening, sonographic abnormalities, family history of genetic syndromes and birth defects, and pregnancy exposures.
Benefits of working at Christiana Care
Work in a role that directly impacts the lives of our patients, staff & community!
Generous PTO, Competitive Pay & Robust Benefits Package.
403B company match and Tuition Reimbursement",3.6,"Christiana Care Health Systems
3.6","Newark, DE",10000+ Employees,1970,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
1,Genetic Counseling Assistant,Employer Provided Salary:$21 - $27 Per Hour,"Responsibilities
Under the supervision of the Laboratory Genetic Counselor, the Genetic Counseling Assistants (GCA) are responsible for facilitating the care of patients that are referred to the Clinical Genetics Center at UCLA Health as part of their participation in the ATLAS Community Health Initiative.
In this role, you will assist with coordination of care for patients including scheduling appointments, tracking specimens, completing forms, serving as a non-clinical resource and liaison for patients and their families, aiding in research studies and involvement in educational activities. You will support the return of actionable findings from the IPH ATLAS Whole Exome Sequencing (WES) program and will work with clinical genetic counselors to ensure patients receive the care they need. You will be an integral part of the Clinical Genetics team and contribute to the management of diverse aspects of the service and work collaboratively with the team to create a patient-centered and administratively effective environment.",-1,UCLA Health,"Los Angeles, CA",5001 to 10000 Employees,1919,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
2,Genetic Counselor,$34K - $68K (Glassdoor est.),"Position Purpose:
Involved in the evaluation and genetic counseling of children and adults with an immense variety of genetic conditions, and to families of diverse ethnic backgrounds. Work closely with Cytogenetics, Molecular genetics, and Biochemical genetics laboratories. Assist with teaching and training of genetic counseling students, genetics fellows, and medical students/residents affiliated with Wayne State University Center of Molecular Medicine and Genetics. We also take medical students from WSU, MSU, and CMU, plus residents of various sorts. Opportunities for continued learning are encouraged and available through participation in weekly grand rounds and national conferences.
Qualifications:
Master’s degree in genetic counseling or genetics, and board certification.",3.1,"University Pediatricians
3.1","Detroit, MI",51 to 200 Employees,-1,Company - Private,-1,-1,$50 to $100 million (USD)
3,Genetic Counselor - Genomics/Precision Health,$33K - $78K (Glassdoor est.),"Job Description:
Under general supervision, provides genetic counseling to high risk patients and their families.

Duties and Responsibilities
Provides genetic counseling primarily for prenatal /preconceptional indications.
Elicits and obtains family history and medical information.
Assists in providing professional psychosocial genetic counseling to individuals regarding genetic conditions existing in or posing potential risks to their children.",3.6,"WellSpan Health
3.6","York, PA",10000+ Employees,-1,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
4,Genetic Counselor,Employer Provided Salary:$46 - $61 Per Hour,"Responsibilities
Under the Direction of the director of the neurogenetics clinic, you will provide genetic counseling services to neurologic patients in the UCLA Neurogenetics Program. In this role, you will work with predominantly adult patients and families with a diverse range of neurological conditions including Spinocerebellar Ataxia, Alzheimer’s and other dementias, Parkinson’s disease and other movement disorders, neuromuscular diseases, and epilepsy, among others.You will work directly with medical staff, providing information and support to families who have members with genetic disorders and to families who may be at risk for a variety of inherited neurological conditions.
You will also assist with identification of family members at risk, document symptoms present within the family, interpret clinical information about the disorder, analyze inheritance patterns within families and assess risks of inheritance, and review available options with the staff and family. As part of the UCLA Masters Program in Genetic Counseling, you will also provide supervision of students in the program and conduct lectures as needed and serve as educator and resource for other health care professionals and for the general public.",-1,UCLA Health,"Los Angeles, CA",5001 to 10000 Employees,1919,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
5,Genetic Counselor,$36K - $92K (Glassdoor est.),"General Summary of Position:
The Genetic Counselor works as member of a healthcare team such as Women’s Infant Services (WIS) or Cardiogenetics Center providing risk assessment, education and support to individuals and families at risk for, or diagnosed with, a variety of inherited conditions. Educates patients and family members about the risks they may face and identifies resources to help them deal with those prospects. Explains genetic-testing options and provides necessary counseling about how to prevent or cope with a condition. Interprets genetic testing, provides supportive counseling, and serves as patient advocates.
Education:
Master’s Degree in Genetic Counseling from a certified Genetic Counseling training program is required.

Location: MedStar Washington Hospital Center · Ambu-Cancer Inst-Patient Spprt
Schedule: Full Time, Day Shift",3.7,"MedStar Health
3.7","Washington, DC",10000+ Employees,1985,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
6,Genetic Counselor – Cancer Genetics,-1,"Genetic Counselor – Cancer Genetics
Duke University Hospital has an excellent opportunity for a Genetic Counselor to create, develop and implement specialized clinical practice in the specific area of clinical genetics. In this role, you will work independently and function as part of a medical genetics team under the supervision of a medical geneticist and will see four to five patients per clinic day (this position offers flexible telehealth hours).
In addition to a master’s degree in genetic counseling from an American Board of Genetics Counseling (ABGC) accredited program, ideal candidates will have:
· Board certification or eligibility by the American Board of Genetic Counselors (ABGC)
· Strong psychological counseling skills",-1,Duke University Hospital,"Durham, NC",-1,-1,-1,-1,-1,-1
7,Genetic Counselor,-1,"About City of Hope

City of Hope, an innovative biomedical research, treatment and educational institution with over 6,000 employees, is dedicated to the prevention and cure of cancer and other life-threatening diseases and guided by a compassionate, patient-centered philosophy.

Founded in 1913 and headquartered in Duarte, California, City of Hope is a remarkable non-profit institution, where compassion and advanced care go hand-in-hand with excellence in clinical and scientific research. City of Hope is a National Cancer Institute designated Comprehensive Cancer Center and a founding member of the National Comprehensive Cancer Network, an alliance of the nation's leading cancer centers that develops and institutes standards of care for cancer treatment.

Position Summary

As part of a multidisciplinary team, provide information to individuals and families about genetics and cancer risk, facilitate genetic testing, and provide psychosocial support to cope with cancer risk. Contributes value to each of the CCG domains (clinical, research, and education). Bilingual in Spanish preferred.



Clinical

Research

Education















City of Hope is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, sexual orientation, gender identity, age, status as a protected veteran, or status as a qualified individual with disability.",3.6,"City of Hope
3.6",California,5001 to 10000 Employees,1913,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
8,Genetic Counselor II - Clinical Laboratory,-1,"Overview:
Provide genetic counseling services as part of the laboratory team. Provide support to reference lab and PLUGS external clients, Seattle Children's providers, laboratory and hospital staff. This includes technical support regarding lab testing strategies based on analysis of the risk, benefit, and cost. Perform insurance pre-authorization process for genetic test orders, review all genetic test orders for clinical appropriateness, and provide education to clinical teams on the insurance pre-authorization process. Coordinate pre-analytic review of in-house genetic test requests, and post-analytic result reporting to providers and clients. Familiar with standard concepts, practices, and procedures within the genetics/genomics field and laboratory test stewardship. Rely on experience and judgment to plan and accomplish goals. Act as a liaison between providers and the laboratory to provide education and improve genetic test ordering processes and patient care. PLUGS (Patient-centered Laboratory Utilization Guidance Services) external SUPPORT: Identify new leads for PLUGS members and sponsors, and manage client accounts and contracts for PLUGS. Create and implement new products for PLUGS laboratory stewardship education and tools. Participate in program development for PLUGS member meetings, webinars, and conferences. Provide case management support (genetic test review) for PLUGS Case Consulting Service. Collect and analyze data and author publications on laboratory stewardship. Travel responsibilities include in-person member consultations, speaking engagements, conference attendance, and trade show booth management for sales of PLUGS.
In accordance with Washington state law, Seattle Children's requires that all employees be fully vaccinated against COVID-19. All offers are contingent and your vaccine status will be verified at onboarding.",3.8,"Seattle Childrens Hospital
3.8","Seattle, WA",5001 to 10000 Employees,1907,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
9,Genetic Counselor 1 or 2,Employer Provided Salary:$41 - $61 Per Hour,"Responsibilities
You will be responsible for the expert provision of clinical cancer genetic services. Working both independently as well as in coordination with medical providers, you will evaluate patients and families at high risk for hereditary cancer. You will:

Deliver high-quality cancer genetic counseling and cancer risk assessment
Coordinate multidisciplinary medical and supportive care
Collaborate with medical specialty groups to expand the role of risk assessment and genetic services
Serves as an institutional resource for complex medical issues related to hereditary cancer",-1,UCLA Health,"Los Angeles, CA",5001 to 10000 Employees,1919,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
