,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Obstetrician and Gynecologist Physician,$111K - $310K (Glassdoor est.),"The Icahn School of Medicine at Mount Sinai affiliated with New York City H + H/Elmhurst, serving the culturally diverse community of Western Queens, is seeking a full time board certified/board eligible general OBS/GYN physician at an active tertiary care hospital with diverse obstetrical population. Service includes Gyn surgery, Obstetrical services including management of Labor and Delivery and outpatient services. Position includes teaching responsibility for Residents and Fellows. We offer faculty appointment with the Icahn School of Medicine at Mount Sinai Health System commensurate with credentials, experience and qualifications. This is an excellent opportunity to join a multidisciplinary team working with a diverse patient population. Our hospital is easily accessible by public transportation and car from all areas of New York City, New Jersey and Long Island.
Elmhurst Hospital Center offers a collegial environment and competitive salary with full benefits. This position requires current New York State License, Medicaid number and DEA number in order to practice medicine.",3.5,"Mount Sinai Health System
3.5","Elmhurst, NY",10000+ Employees,2013,Hospital,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
1,Gynecologist,$133K - $384K (Glassdoor est.),"We are expanding our Women’s Health Team! Physician will provide direct patient care services and annual wellness exams to a diverse patient population in a team based, integrated model of care
Responsibilities include:
Perform focused gynecologic physical exams.
Performs surgical interventions as needed to include Colposcopy, Leep, Endometrial Biopsy, Hysteroscopy, Pap Smears, as well as, Birth Control implants.
Consults with patients to discuss and inform them of their laboratory test and exam results, make and provide appropriate referrals to sub-specialist if necessary. Follow up by phone if necessary to discuss diagnosis, treatment options, test results, or other pertinent concerns.",4.2,"Community Health Center of Cape Cod
4.2","Falmouth, MA",51 to 200 Employees,-1,Nonprofit Organization,-1,-1,$10 to $25 million (USD)
2,Obstetrician/Gynecologist - Physician,Employer Provided Salary:$300K,"San Dimas Medical Group, is a dynamic, single-specialty practice who has several openings for an OB/GYN physician to join our group practice in California’s Southern San Joaquin Valley. Resting midway between Los Angeles and Fresno, Bakersfield is just two hours away from the Central coast and an hour away from the Southern Sierra Mountains. Hiking, biking trails and numerous water sports are readily available on the Kern River. Bakersfield is an outstanding area to raise a family.
Our practice is 100% physician-owned and offers equal call among our physicians practicing in a full-service hospital with a maternity care birth center, a high-risk OB unit and NICU services directly adjacent to our office. An onsite lab/phlebotomy station, ultrasound department, MFM services, screening mammography and dietitian services are all housed on site.
We offer a competitive salary with exceptional benefits. Productivity and quality based financial incentives with ancillary revenue streams. Relocation assistance, health, dental, vision, life, long-term care, PTO, CME allowance and a 401(k) plan. Candidate(s) must be board certified or an active candidate for certification, CA. license or eligible. Position may lead to partnership track. Address all inquiries, including a current CV and cover letter to:",-1,"San Dimas Medical Group, Inc.","Bakersfield, CA",-1,-1,-1,-1,-1,-1
3,Obstetrician and Gynecologist,$116K - $307K (Glassdoor est.),"Great opportunity to join a vibrant team providing high-quality care in a mission-driven organization!
Norwalk Community Health Center seeks an OB/GYN provide basic and complex obstetric and gynecologic care to patients in our outpatient setting.
NCHC provides the highest quality comprehensive primary, preventive, medical, dental and behavioral health services to all who seek it, regardless of insurance status and ability to pay.
Norwalk Community Health Center is committed to a policy of Equal Employment Opportunity and will not discriminate against an applicant or employee on the basis of age, sex, sexual orientation, race, color, creed, religion, ethnicity, national origin, alienage or citizenship, disability, marital status, or any other legally-recognized protected basis under federal, state or local laws, regulations or ordinances.",4.4,"Norwalk Community Health Center
4.4","Norwalk, CT",51 to 200 Employees,-1,Nonprofit Organization,-1,-1,$5 to $10 million (USD)
4,ObGyn PHYSICIAN Obstetrician Gynecologist,-1,"Looking to hire a full time or part time Ob/Gyn physician (new grad or someone with experience) for a ob/gyn practice in Marina Del Rey, CA. In addition to women's health, the office also does a fair amount of cosmetic procedures. Time will be split between Marina Del Rey and upscale office in Hawthorne CA. Also must speak medical Spanish at minimum. Pay will be determined by experience. The physician is willing to teach anything that the Obgyn physician needs help on. The physician is available to assist or answer any questions 24/7! If the candidtate requests more of a mentorship, the doctor is happy to teach and work side by side with the new ObGyn. There is a great mix of gynecology and obstetrics with focus on minimally invasive surgery including a ton of DiVinci Robotic Surgery. We perform many procedures in the office as well. Patients represent a huge variety of socioeconomic status (from famous patients to low socioeconomically status and everything between). The Physician and the staff are all fun to work with and we create an enjoyable working environment. Please email with any questions.",-1,Marina ObGyn,"Marina del Rey, CA",-1,-1,-1,-1,-1,-1
5,Obstetrician and Gynecologist,$105K - $284K (Glassdoor est.),"OB/GYN Physician
Full Time – Immediate Opening
Metropolitan Family Health Network (MFHN) is a Federally Qualified Health Center (FQHC) delivering quality, comprehensive healthcare to the underserved people of Hudson County, NJ. MFHN provides more than 50,000 patient visits per year from state-of-the-art, pleasantly appointed ambulatory units in Jersey City and West New York.
Working with the Department of OB/GYN Clinical Director, the OB/GYN Physician will provide OB patients with all aspects of antepartum and postpartum, and labor and delivery care; and GYN patients with all aspects of gynecologic care and procedures, including colposcopies, endometrial biopsies, and IUD insertions and removals. The MFHN OB/GYN Physician will maintain records and confidentiality; uphold quality assurance standards; guide residents as needed; and assist in developing working relationships with affiliated hospitals and external organizations.",2.1,"Metropolitan Family Health Network
2.1","Jersey City, NJ",51 to 200 Employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD)
6,Obstetrician-Gynecologist (OB-GYN),$109K - $309K (Glassdoor est.),"Newark Community Health Centers, Inc., FQHC (Level III PCMH), is a multi-cultural community health and social services organization dedicated to meeting the primary health care needs of the medically underserved in the greater Newark area. Join us as we expand our services.
We are recruiting for a Obstetrician-Gynecologist (OB-GYN) who will provide women’s health services according to the guidelines established by the American College of OB/GYN (ACOG) and NCHC policies.
Education and Experience:
Medical Doctor or Doctor of Osteopathy with a valid NJ license to practice medicine, NJ CDS and federal DEA and NPI.
Must be Board Eligible/Board Certified physician.",2.6,"Newark Community Health Centers, Inc.
2.6","Newark, NJ",51 to 200 Employees,-1,Company - Private,Accounting,Accounting & Legal,$25 to $50 million (USD)
7,Lead Obstetrician/Gynecologist,$113K - $295K (Glassdoor est.),"Neighborhood Health is a nonprofit Federally Qualified Health Center that provides primary medical, dental, and behavioral health care to 40,000 individuals in Northern Virginia.
Our mission is to improve health and advance health equity in Alexandria, Arlington, and Fairfax by providing access to high-quality primary care regardless of ability to pay.
Neighborhood Health has been recognized for the quality of care that it provides to its patients and has strong partnerships with local organizations to improve health in our community particularly among underserved populations.
The Lead Ob/Gyn physician will provide clinical leadership for the women’s health and prenatal programs at Neighborhood Health, an FQHC providing access to high-quality care to the underserved. The physician will work with clinic staff at various sites to provide clinical expertise and will provide direct care to female patients at all stages of life.",3.6,"Neighborhood Health (Virginia)
3.6","Alexandria, VA",1 to 50 Employees,-1,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$5 to $10 million (USD)
8,Midwife,Employer Provided Salary:$70K - $90K,"Job Title: Certified Nurse Midwife
Job Summary: The Certified Nurse Midwife is a member of the health care team who provides primary health care to women focusing on pregnancy, childbirth, the postpartum period, family planning and gynecological needs.
The individual participates in the care of women with medical complications in collaboration with Obstetrician-Gynecologists or licensed physicians as appropriate.
The Certified Nurse Midwife will function under national and state licensure and current written protocols overseen by collaborating physicians.
JOB QUALIFICATIONS",-1,Melius Schurr & Cardwell / Physicians for Women,"Madison, WI",-1,-1,-1,-1,-1,-1
9,Outpatient Gynecologist,Employer Provided Salary:$270K - $310K,"Doral Medical and Multi-specialty seeking an Outpatient Gynecologist to become a part of our team! You will focus on providing high-quality patient care as part of a healthcare team.
At Doral Health & Wellness, we are proud of our commitment to the East New York community to provide integrated interdisciplinary health services in an innovative medical facility dedicated to the health and well-being of our patients. We partner with insurance companies, managed care organizations, and hospitals in the area in order to treat our patients with the highest level of care and respect.
Responsibilities:
Diagnose and treat acute, episodic, or chronic illnesses
Prescribe all necessary medications and treatments",-1,Doral Health & Wellness,"Brooklyn, NY",51 to 200 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
10,Nurse Practitioner,Employer Provided Salary:$60 Per Hour,"One of California's largest women’s health organizations is looking for a Part-time Nurse Practitioner to join our Modesto team, providing the highest quality family planning and gynecology services to patients throughout CA.
Who We Are:
FPA Women’s Health provides full spectrum diagnostic, preventive and reproductive health services to more than 150,000 patients a year throughout the state of California. Our 30+ highly skilled and experienced Gynecologists and Advanced Practitioners deliver sensitive, compassionate and patient centered care and education through 25+ care centers, many in rural and under-served communities. Our providers are committed to evidence-based prevention, screening and treatment methods using leading edge technology to deliver safe and convenient access to care. A positive and efficient work environment makes FPA the employer of choice for those passionate about women’s health.",1.8,"FPA Women's Health
1.8","Modesto, CA",201 to 500 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
11,Obstetrician/Gynecologist (OBGYN) Physician,Employer Provided Salary:$300K,"Job ID:
EB-1105167942JLM31
Location:
Greenville, MS
+$300 Base Salary plus Production Bonus – Sign-on Bonus – Beautiful Community
Full-time OBGYN position in Greenville, MS, in an established and growing OBGYN practice.
A new associate will have an opportunity to come into a thriving medical group with a waiting patient base. This opportunity will afford an OBGYN the opportunity to join a diverse medical staff and patient population with a balance of OB and GYN patients.
Join a team with ample support staff and amazing community.",-1,ETS OBGYN,"Greenville, MS",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
12,Medical Assistant II - General Pediatrics - Full Time,$40K - $101K (Glassdoor est.),"Who We Are

Packard Children’s Health Alliance (PCHA) is a network associated with Lucile Packard Children’s Hospital and the Stanford School of Medicine. We bring the best community physicians together in a network that provides healthcare for children and expectant mothers from the Bay Area

In fact, we’re proud to be the only Bay Area medical network with an exclusive focus on women and children, and we understand the unique value provided by our more than 650 leading pediatricians and obstetrician/gynecologists. What’s more, we’re growing fast.",3.8,"Packard Children’s Health Alliance (PCHA)
3.8","Pinole, CA",5001 to 10000 Employees,1991,Hospital,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
13,Obstetrics Physician / Gynecologist,-1,"Another locum tenens opportunity has arrived in New Mexico! A hospital is looking for an Ob/Gyn physician to begin coverage in late December. Hours include 8a - 5p from Mondays - Thursdays, 8a - 12p on Fridays, and rotating call coverage on weekends/occasional weekdays. Cases you will be seeing include deliveries, C-sections, ultrasounds, high risk pregnancies, and other Ob/Gyn cases.

There is a chance for an extension with this opportunity. This facility uses AthenaHealth and Cerner. Learn more by contacting us today!",3.1,"Barton Associates
3.1",New Mexico,501 to 1000 Employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
