,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,"Health Information Manager, RHIT or RHIA -Sibley/Suburban",$42K - $98K (Glassdoor est.),"Health Information Manager, RHIT or RHIA -Sibley/Suburban
Requisition #: 438945
Location: Johns Hopkins Health System, Bethesda, MD 20810
Category: Manager/Supervisor
Work Shift: Day Shift
Work Week: Full Time
Weekend Work Required: No
Date Posted: Nov. 2, 2021
Join an amazing global healthcare organization!",-1,Johns Hopkins Health System,"Bethesda, MD",1001 to 5000 Employees,1889,Company - Private,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
1,Category Product Manager - Tri-anim Health Services (a Sarnova Company ) - Hybrid WFH Schedule,$45K - $97K (Glassdoor est.),"Company Overview:
The Category Product Manager will build and execute an integrated marketing strategy for the anesthesia, neonatal and critical care categories. Ensures product mix meets customer needs and maximizes company profitability. Establishes and directs the development and implementation of customer programs, campaigns, sales tools and resources that align with organizational goals and objectives.

Sarnova is the leading national specialty distributor of health care products in Emergency Medical Services (EMS) and Respiratory Markets and is the industry leader in Revenue Cycle Management within Emergency Medical Services (EMS). The company operates through several market-leading companies including Tri-anim Health Services, the largest specialty distributor of respiratory products, Bound Tree Medical, the largest supplier of EMS products, EMP and Cardio Partners, a full Sudden Cardiac Arrest Solution provider, and Digitech, the leader in EMS revenue cycle management.

Responsibilities and Qualifications:",3.4,"Sarnova HC, LLC
3.4","Dublin, OH",1001 to 5000 Employees,2008,Company - Private,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
2,Health Information Manager,$26K - $59K (Glassdoor est.),"The Health Information Manager will maintain the resident medical record, understand and utilize medical terminology, ICD-10 coding, and HIPAA requirements.
Medical records maintained are a combination of paper records as well as PointClick Care computer records.
Physician and professional staff interactions necessary to schedule and maintain required documentation.
Previous experience preferred.
Job Type: Full-time
Work Location:",3.4,"Etowah Health Care Center
3.4","Etowah, TN",501 to 1000 Employees,-1,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
3,Centering Billing/Coding Manager,-1,"Centering Billing/Coding Manager
The Centering Healthcare Institute (CHI) actively seeks to build a diverse staff that is reflective of the populations we aim to serve and the communities where we work. CHI encourages multiple perspectives and experiences and strives to hire and retain a diverse workforce. Our employees are passionate, curious, and eager for the challenge of changing healthcare.
*
About Centering Healthcare Institute*
CHI is on the front lines of transforming healthcare delivery and increasing the opportunities that people have to thrive. With over two decades of experience working closely with healthcare providers from all sectors, we’ve developed the Centering group care model. Our team provides implementation support to guide healthcare practices through every step of the system redesign and to build a foundation for a successful, sustainable practice. We have developed curricula and patient materials, and our facilitation training offers a variety of skill-building and interactive learning activities that prepare facilitators to lead engaging groups. We offer practice management and support tools, and site accreditation for model fidelity and quality assurance. We are engaged in advocacy efforts for payment reform and community outreach to achieve the Quadruple Aim of better health, better care, lower cost and provider satisfaction. Leadership and collaboration are at the heart of our success.",-1,Centering Healthcare Institute,Remote,-1,-1,-1,-1,-1,-1
4,Program Manager Behavioral Health Services,$38K - $72K (Glassdoor est.),"Who We Are

Founded in 1999, Maryland Coalition of Families (MCF) is a statewide nonprofit with a central office in Columbia, Md., and staff located in communities throughout the state. Using personal experience as parents, caregivers, youth, and other loved ones, we connect, support, and empower Maryland's families. Our staff provide one-to-one support to parents and primary caregivers of loved ones with mental health, substance use and gambling issues. We also advocate to improve systems that impact individuals with behavioral health challenges.

Overview

The Program Manager is directly responsible for the training, supervision, and professional development of Family Peer Support Services Team Supervisors who each directly oversee the provision of services by Family Peer Support Specialists. This role ensures program development opportunities are pursued and contributes to the development, cultivation and stewardship of partner relationships that advance the organization's goals.





Apply on our website at www.mdcoalition.org.

To be considered for this position, you must submit (along with your resume) a cover letter describing your relevant personal experience as the primary caregiver or loved one with mental health challenges as well as your supervisory experience.

Diversity

In line with MCF's commitment to building a talented and inclusive staff, women, people of color, people with disabilities, and LGBTQ candidates are strongly encouraged to apply. We are an Equal Opportunity Employer – all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, age, marital status, national origin, disability, veteran status or any other classification protected by applicable discrimination.",3.2,"Maryland Coalition of Families
3.2","Baltimore, MD",1 to 50 Employees,-1,Nonprofit Organization,-1,-1,$1 to $5 million (USD)
5,Health Services Manager #HSM-CO-00,Employer Provided Salary:$30 Per Hour,"POSITION SUMMARY:
Monitor and supervise all health services and procedures throughout the Early Childhood program to ensure compliance with program, state, and federal regulations.
ESSENTIAL FUNCTIONS:
Ensure that program wide Head Start services meet or exceed Head Start Performance Standards
Supervise Health Service Specialist
Approve all bills relating to Health Services
Participate in the state licensing of all centers",2.3,"SEK-CAP Inc.
2.3","Parsons, KS",201 to 500 Employees,-1,Unknown,-1,-1,$10 to $25 million (USD)
6,Medical Billing Manager / Hospital preferred,Employer Provided Salary:$85K - $95K,"We are growing and adding an experienced Manager or Director of Hospital Business Office or Billing Manager of Insurance Operations.
This position will be responsible for the project level management of operations, training, planning and strategic direction to support business objectives for the assigned Insurance Operations Client(s). The incumbent is responsible for improving performance and revenue for our client's Insurance Operations by improving processes while maintaining optimum service levels and quality. The incumbent will oversee insurance collections operations for specified client(s), managing operations teams from multiple locations to include local client sites, service centers, and offshore delivery teams. The candidate will also interface directly with multiple client representatives, outsource partners and suppliers and collaborate with internal business teams to manage growth plans.
Responsibilities will also include recommending, developing and implementing operational plans and policies to ensure attainment of near-term performance targets as well as long-term strategic business objectives. The Manager is responsible for the optimization of performance and effective employee and client management and communication, assisting as appropriate in obtaining new business when requested. The Manager will oversee the generation of comprehensive reporting and analysis tools including performance metrics and productivity reports with long term trending models to support business decisions and strategic direction.",-1,WPA Healthcare Associates,"Honolulu, HI",-1,-1,-1,-1,-1,-1
7,Health Services Lead,Employer Provided Salary:$20 - $24 Per Hour,"ALL NEW EMPLOYEES MUST BE FULLY VACCINATED
The Health Service Lead has primary responsibility for oversight of the health related (medical, dental, nutrition, mental health) services for the Head Start/ Early Head Start Program. They will ensure the appropriate and timely provision of health services to Head Start/Early Head Start children. Assure integration, coordination and accountability internally and with community resources to ensure that the children have a safe, nurturing, secure, and quality environment as required in Head Start Performance Standards Subpart D of 1302. This includes onsite visits to various centers at least 2 days a week. The Health Services Lead will review, monitor and develop systems, including the creation and updating of processes and procedures on an ongoing basis to ensure the implementation of a high quality health program. This position will supervise other health related service area Specialists as assigned.
Per Head Start Performance Standards-Bachelor's degree (B. A/S.) in health or a related field from a four-year college or university. Minimum three years’ supervisory experience. Prefer experience with trauma informed care processes.",3.6,"DAEOC
3.6","Kennett, MO",1 to 50 Employees,-1,School / School District,-1,-1,Unknown / Non-Applicable
8,COVID-19 Site Operations Manager- Community Health Services,Employer Provided Salary:$80K - $100K,"POSITION TITLE: Site Operations Manager
DEPARTMENT: COVID-19 Response
REPORTS TO: Clinical Health Director
FLSA STATUS: 1.0 FTE, Exempt, Non-Union Position
COMPENSATION: $80,000.00- $100,000.00 DOE
WHO WE ARE: La Familia has a 40 year history of providing high-quality mental health and community support services in the San Francisco Bay Area. The agency started as part of a grassroots movement and our ties to the community remain deep and passionate. La Familia is committed to building a vibrant and multicultural agency to provide services that meet the needs of the individuals and families in our community. Our current work includes:
- Outpatient Behavioral Health Services
- Services for Individuals with Developmental Disabilities
- Community Outreach Services
- Youth Education and Employment Services
- Re-Entry Services
- Substance Use Recovery and Wellness
- Leadership to Community Coalitions to Advance Equity Initiatives
- 24/7 Peer Respite
- Community Health Services",3.6,"La Familia Counseling Service
3.6","Hayward, CA",51 to 200 Employees,-1,Nonprofit Organization,-1,-1,Unknown / Non-Applicable
9,Scheduling Manager - St. Louis Park,$37K - $66K (Glassdoor est.),"Overview:
Park Dental located in St. Louis Park, MN is seeking a compassionate, professional Scheduling Manager to join our team-oriented practice. As a scheduling manager you will play an important role in working with our doctor teams. You will check in patients, schedule patient appointments using a scheduling software, verify dental insurance, answer insurance and billing questions, and oversee patient account management.
Responsibilities:
Education Requirements
Associates/Bachelor degree preferred or industry related experience

Preferred Qualifications
Proficient with Microsoft Office, typing and data entry skills
Ability to multi-task in a fast-pace work environment
Professional customer service
Effective communicator and team player
Work Schedule:
Company Information:",3.5,"Park Dental
3.5",St Louis Park,1001 to 5000 Employees,1972,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
10,Program Manager - Integrated Behavioral Health Services,-1,"About Us
Medical Home Network (MHN) is a not-for-profit collaborative that has fundamentally changed how care is delivered. Our proven model of care unites provider communities and diverse healthcare entities around a common goal: to redesign healthcare delivery and transform the way care is managed.
Job Summary
Reporting to the Senior Director of Program Services and Administration this position is responsible for successful implementation of the collaborative care model for mild to moderate depression, Adverse Childhood Experiences (ACEs), and the community model of care for individuals with severe mental illness related conditions and/or substance use disorders. The Program Manager for Integrated Behavioral Health Services plays a key role to ensure clinical and fiscal operational efficiency, driving excellence and providing facilitation of staff and consumer satisfaction.",-1,Medical Home Network,"Chicago, IL",-1,-1,-1,-1,-1,-1
