,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Home Health Aide,Employer Provided Salary:$30 - $35 Per Hour,"Home Health Aide (HHA)
National Home Health is a leading provider of in-home healthcare in Northern California with accreditation through the Joint Commission of Accreditation of Healthcare Organizations. At this time we are looking for a full-time/part-time California Certified Home Health Aide (HHA) in:
Location: San Rafael, Novato, Petaluma, and surrounding areas
Compensation: $-30-35/ per visit
Position Qualifications include but are not limited to the following:
Home Health Aide certification was obtained through the successful completion of a program approved by the California Department of Public Health. Certification must be current with the California Department of Public Health Licensing and Certification Division. Applicants without this license will not be considered for employment (Please visit: http://cvl.cdph.ca.gov/SearchPage.aspx to verify certification).",4.0,"National Home Health Services
4.0","Novato, CA",1 to 50 Employees,2009,Company - Public,Health Care Services & Hospitals,Health Care,Less than $1 million (USD)
1,Physical Therapist Aide for Home Health,Employer Provided Salary:$40 Per Hour,"What You Will Do:
As a home health physical therapist, you will provide one on one treatment and care to patients in their home using a comprehensive and patient specific care plan, innovative solutions, and a preferred technology for point of care documentation. You will have the opportunity to spend quality time with the patient, in their own home, to promote their health and independence. You will have autonomy in addition to the support and collaboration of a full team of healthcare professionals.
Collaborate with physicians, patients and their families, nurses, therapists, social workers and other members of the patient care team to develop and implement a patient specific care and treatment plan
Cooperatively utilize varied solutions to educate and promote the health and independence of the patient",-1,Gentle Shepherd Home Health Care,"Oklahoma City, OK",51 to 200 Employees,-1,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
2,"Certified Home Health Aide (CHHA) $1,000 Sign On Bonus",-1,"CHHA (Inland Empire and San Gabriel)
Haven Health is a Hospice, Palliative, and Home Health agency in Southern California is hiring a CHHA/HHA. We have established a reputation for providing quality clinical care along with culturally-sensitive support.
Here at Haven, we strive to ensure that our employees feel confident in being able to excel in their positions. We provide hands-on training to ensure every employee is comfortable in accomplishing their assigned tasks and we have an exceptional support system by ensuring all of our Supervisors are readily available to provide guidance.
So if you're ready to help us lay the groundwork for our ever-growing company, then we invite you to join our team! You will have the opportunity to learn and work alongside industry experts who have been in the healthcare field for over 15 years.",-1,Haven Health,"Los Angeles, CA",-1,-1,-1,-1,-1,-1
3,Private In-Home Caregiver,Employer Provided Salary:$20 - $24 Per Hour,"Seeking privately hired in-home caregivers for easy-going, friendly female in quiet, comfortable residential setting in Grafton, MA.
Client has significant mobility limitations / neurological conditions, and will require assistance with transferring to wheelchair, showering/bathing, personal care, and meal preparation.
Seeking both day-time/night-time, full-time/part-time shifts.
CNA degree and/or prior experience with a Hoyer Lift a plus.
Job Type: Full-time
Pay: $20.00 - $24.00 per hour",-1,Blank Private,"Grafton, MA",-1,-1,-1,-1,-1,-1
4,Home Health Aide,Employer Provided Salary:$20 Per Hour,"CAREGIVER
$900 Hiring Bonuses
YOUR REWARDS
Competitive Wages & Salaries
Flexible Work Schedules
Hiring Cash Bonuses
Unlimited Referral Cash Bonuses
Paid Time Off
Paid Training",3.5,"Attention Plus Care
3.5",United States,51 to 200 Employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD)
5,Home Health Aide - Immediate Need,Employer Provided Salary:$17 Per Hour,"Caregiver for Elderly
Caregivers, CNA's, HHA's - Immediate Need
Seeking exceptional caregivers who want to help our clients Live Well and Be Well.
WALK IN INTERVIEWS: Stop by the office Monday-Thursday for an on the spot interview! No appointment needed, just call 978-577-5755 for hours.
Location: 66 Tadmuck Road, Suite #5 in Westford.
Why Granite Willow?
Weekly pay at top rates based on experience $17+
: Full Time, Part Time, Set or Flex Schedules Available. Many openings",-1,Granite Willow LLC,"Chelmsford, MA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
6,Private Home Caregiver,Employer Provided Salary:$28 Per Hour,"Looking for care/assistance for a successful retirement age businessman. He started from scratch a cattle/farming operation that spans a multi-state area but has had some major setbacks in overall health. He does not want to slow down in everyday life and wants to continue being involved with the family business. He needs assistance with his daily tasks. The job site/home is just south of Overland Park, KS in town of Bucyrus, KS.
He is struggling with his oxygen levels upon exertion. He requires a walker to move around the house and needs assistance getting up out of a chair. He is very quick-witted with an ornery personality. He enjoys having fun with others. Caregiver must have some thick skin and be willing to handle some of his moments of being frustrated with his current condition.
You will be tasked with helping the patient with personal hygiene, minor medical needs, housekeeping, and other daily needs as required by the patient. To excel in this role, you should have an interest in health care as well as an interest in the patient's happiness/well-being. We are looking for a caring individual who has the ability to work with limited supervision while keeping the patient's needs as your top priority.",-1,Foote Cattle Company,"Bucyrus, KS",201 to 500 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
7,"CNA / HCA / NAR Caregiver for Home Health , 12-Hour Shifts",Employer Provided Salary:$22 Per Hour,"Careforce is a private duty and medicaid home care and home health company that's been around for 20 years. Serving King and Snohomish counties, Careforce takes pride in its clinically oriented model of care delivery that sets the standard in caregiving.
In need of caregivers and nurses with great communication, willingness to be self starters, and years of great experience! We employ those with a passion to make a difference in the lives of vulnerable adults throughout the Puget Sound area. If helping others is a part of who you are, then apply with Careforce today! We are a great family owned company that values our employees and are constantly working hard on giving back.
Benefits
Medical Insurance",4.6,"Careforce Inc
4.6","North Bend, WA",51 to 200 Employees,1999,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD)
8,Home Health Aide,Employer Provided Salary:$16 - $21 Per Hour,"Certified Home Health Aide (Hospice) (02102113)
Mid Michigan Home Health & Hospice is seeking CNA for our Home Care & Hospice Division. Under RN Supervision, you'll assist with activities of daily living and perform personal care services to patients in varying environments. You may also provides light housekeeping as needed and laundry related to patient care.
We have competitive wages and benefits available.
Qualifications: .
Valid driver's license and automobile insurance in the State of Michigan.
Reliable transportation to meet work schedule.
One (1) year home health aide experience (Hospice Aide Training Program can be substituted for homecare/hospice experience).",2.7,"MID MICHIGAN HOME HEALTH & HOSPICE LLC
2.7","Flint, MI",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
9,Caregiver/Home Care Aide Weekly Pay,Employer Provided Salary:$15 - $16 Per Hour,"Earn up to $740 / week plus a $300 Signing Bonus!
Looking to work for a home care company that values passion and rewards its caregivers with flexible scheduling, amazing benefits, consistent hours, and 24/7 support? Join Honor as a Caregiver, we are hiring immediately!
Join a growing home care agency where you're valued and your work makes an impact on people’s lives—including your own. We are currently looking for compassionate and dependable caregivers who are ready to begin working in Monterey and surrounding areas.
As a Caregiver, we highly encourage you to foster genuine relationships with the seniors in your community. We’re relying on you to do your best to keep every senior client healthy, safe, happy and independent at home. If you’re ready to join us in making a difference in older adults’ lives, we’d love for you to apply!",3.1,"Honor
3.1","Salinas, CA",201 to 500 Employees,2014,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
