,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,IT Manager for Logistics Company,Employer Provided Salary:$80K - $100K,"Job Summary:
Supports all aspects of Company’s IT infrastructure, including communications, office software & hardware, warehouse management systems and related technology & hardware. This position supports a 24/7 logistics operation of a growing company with locations in two port cities. The IT Manager will office out of Savannah, with travel to Charleston as needed and will report to Executive Staff. This is a salaried exempt position and is eligible for medical benefits, paid holidays and vacation, and related benefits.
Responsibilities include:
Implement, support, and maintain all warehouse management and business systems.
Interact and effectively communicate with customers and vendors while effectively satisfying customer demands, in a professional and clear manner.",-1,"TradePort Logistics, LLC",Georgia,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
1,IT Director,Employer Provided Salary:$80K - $100K,"Seeking an experienced IT Director to oversee all IT (Information Technology) functions in our company. You will oversee a team of IT managers and manage the company’s technology operations and the implementation of new IT systems and policies.
An excellent IT director is very knowledgeable in IT and computer systems. They have a solid technical background while able to manage and motivate people. The ideal candidate will be experienced in creating and implementing IT policies and systems that will meet objectives.
The goal is to ensure IT systems and people are effective and functioning within the limits of budget, time, and specifications of the company.
IT Director responsibilities include:
Overseeing all technology operations and evaluating them according to established goals",-1,Confidential,"Cranbury, NJ",-1,-1,-1,-1,-1,-1
2,Corporate IT Manager,Employer Provided Salary:$85K - $95K,"Noregon is looking for a Corporate IT Manager to manage a team of junior network administrators and support our internal users and environments. This person would be responsible for all corporate IT assets and licensing.
Job duties:
Maintains network performance through monitoring and troubleshooting issues including availability, utilization, throughput, and latency.
Solves problems and makes decisions on a daily basis relative to Help Desk team.
Plans and executes the selection, installation, configuration, and testing of all IT equipment; to include defining network policies and procedures as well as establishing connections and firewalls.
Responsible for assuring users are provided efficient and timely first and second level support.",3.6,"Noregon Systems
3.6","Greensboro, NC",51 to 200 Employees,1993,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD)
3,IT Manager,Employer Provided Salary:$75K - $85K,"Company: A small Entertainment Company located in the Hollywood area.
Summary: This position supports the Director of Operations by coordinating the activities of the company in accordance with established policies, goals, and creative objectives. The IT Manager is responsible for the overall vision, planning, organization, and execution of all information technology within the organization. They carry out the support and maintenance of existing applications/infrastructure and the development of new technical solutions while serving as a liaison between business and technical aspects of each stage. This is a full-time salaried onsite position. Standard business hours are 9:00AM – 5:30PM M-F with on-call support as required.
Reports to: Director of Operations
Direct reports: N/A",-1,Confidential,"Los Angeles, CA",-1,-1,-1,-1,-1,-1
4,IT Project Manager (Agile delivery experience required),Employer Provided Salary:$120K - $150K,"*** Prefer candidates local to Washington DMV Area ***
About Radiant
Radiant is a fast-growing company supporting the US federal government that specializes in the design and development of digital services. We develop practical solutions to complex problems for US Federal Government. We create an environment in which new ideas and innovative approaches to problem-solving are encouraged. Radiant values customer focus, responsiveness, technical excellence, and teamwork.
We are looking for looking for smart and driven people with diverse backgrounds who are comfortable with an ""all hands on deck"" environment. Radiant offers collaborative and stress-free environment, avenues for personal and professional growth, fairness and transparency at all levels in the organization, above market salary and generous benefits",-1,Radiant Infotech,"Catonsville, MD",-1,-1,-1,-1,-1,-1
5,IT Project Manager,Employer Provided Salary:$110K - $120K,"Buchanan Technologies is actively searching for a Project Manager to join our growing team. The ideal candidate will have large scale project management experience and must be able to handle multiple projects concurrently. The person in this position will develop knowledge of the functional and technical activities involved in the implementation of technology related projects and programs. This is a high visibility position with room for growth.
Key Responsibilities:
Develop and maintain project plans, resource plans, contingency plans, and related project management artifacts.
Work with project sponsors to define success metrics and criteria and provide project status reports.
Provide risk management, change management, resource allocation details on assigned projects.",3.2,"Buchanan Technologies
3.2",Remote,201 to 500 Employees,1988,Company - Private,IT Services,Information Technology,$50 to $100 million (USD)
6,IT Director,$82K - $178K (Glassdoor est.),"Position Summary:
This individual will be responsible for maintaining IT solutions across the company, including, but not limited to, networks, servers, desktops, business applications, hardware, software, email, wireless infrastructure, internet access, and telecommunications. In addition, this individual will also be responsible for coordinating IT staff at our North America and European offices. The nature of the workload and duties performed require an exceptional degree of reliability and may require evening and weekend hours at times. This is not a work from home position.
Essential Duties and Responsibilities:
Provide strategic leadership of the Greenworks information technology department including setting a multi-year strategic roadmap for the company",1.9,"GreenWorks Tools
1.9","Mooresville, NC",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
7,Microsoft Cloud Engineer \ IT Service Desk Manager,Employer Provided Salary:$45 - $60 Per Hour,"Job Description
Langdon Technical is seeking an experienced Microsoft Cloud Engineer to manage our service desk.
We provide IT Systems Administration and Technical Operations Management to small businesses in the San Francisco Bay Area.
This position has a varied scope of responsibilities with a focus on internal and client-facing IT Project Management, Service Desk management, and on-premise and cloud Engineering. This is a team leadership position - online during normal business hours (PST) with flexibility around exact start & stop times. This position is full-time @ 40 hours/week.
Please note that this is not a position, where one arrives at an office, punches a time clock, and leaves after 8 hours. Candidates must be self-motivated and possess the ability to work and remain productive (ie. billable and/or active) while unsupervised. Tickets and projects will be assigned but a proactive attitude around communication and client follow-up is required. Many of our clients are Architecture & Design firms, which work with complex hardware and software platforms. These offices are very fast-paced, high-energy, with many rewarding challenges.",-1,Langdon Technical,"San Francisco, CA",-1,-1,-1,-1,-1,-1
8,"Manager, IT Infrastructure",-1,"Manager of Infrastructure team
· Lead the IT Support field group
· Clearly communicate support goals, and issues to all business customers.
· Maintain and create supporting documentation as needed.
· Manage service providers/vendors as needed within IT infrastructure.
· Ensure services levels are met.
· Ensure customer satisfaction in line with the SLAs through ongoing monitoring.
· Research chronic technical issue and develop go-forward planning for continued support.",-1,Confidential,"Johnson City, TN",-1,-1,-1,-1,-1,-1
9,Jr. IT Project Manager / Service Delivery Manager,-1,"Junior IT Project Manager / Service Delivery Manager
Be part of us
Hemmersbach provides IT infrastructure services in more than 190 countries with 50+ own subsidiaries. We deliver exclusively for the leading companies in the IT industry. As pragmatic problem solvers, we not only enthuse our customers, but also make the world a better place: 20% of our profits go into our Direct Actions Hemmersbach Rhino Force and Hemmersbach Kids’ Family. That’s why Hemmersbach is The Social Purpose IT Company.
Your Tasks
IT is your passion and your customers can tell that in every single contact they have with you. Enthusing your contact person at the top manufacturers in the IT industry and enabling IT services at the most extreme places in the world is what pushes you forward. Agile processes and versatile tasks within different projects complete your job description:",3.2,"Hemmersbach Nordamerika
3.2",Remote,1001 to 5000 Employees,2000,Company - Private,IT Services,Information Technology,$100 to $500 million (USD)
