,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Information Security Governance Analyst,$58K - $113K (Glassdoor est.),"At Freddie Mac, you will do important work to build a better housing finance system and you’ll be part of a team helping to make homeownership and rental housing more accessible and affordable across the nation.
As part of Freddie Mac’s return to the office pilot, all employees, contingent workers and visitors must be fully vaccinated against COVID-19 in order to be on-site unless they have an approved accommodation.
Position Overview:
This role supports the day-to-day operational governance of the Information Security program with focus on training and awareness, remediation lifecycle of issues and process gaps while ensuring alignment with corporate standards. This position reports to the Director of IS Governance and DLP.
Time-type:Full time
Job Category:Information Technology
FLSA Status:Non-Exempt",4.0,"Freddie Mac
4.0","Dallas, TX",5001 to 10000 Employees,1970,Company - Public,Lending,Finance,$10+ billion (USD)
1,Security Analyst,Employer Provided Salary:$90K - $105K,"We are looking for security analysts who will work in a SOC (security operations center) environment, working with various teams to identify and help resolve security vulnerabilities in a line of business' various applications and platforms.
**We are sorry but we are not able to work with 3rd parties or CTC's for this role, candidates must be able to work directly on our W2 without present or future sponsorship.**
Requirements:
Solid understanding of information security
Test systems with the aim of finding vulnerabilities and exploits
4+ years of experience in vulnerability assessment
Scripting experience (Python, Powershell, shell scripting)
Competent with commercial and open source vulnerability testing frameworks and tools (such as Burp Suite, Metasploit, Kali, Nessus, etc.)
Good OS knowledge (Unix, Linux, Windows)
Solid understanding of networking protocols
Understanding of and experience of frameworks, coding stacks and automated tools to be able to find exploits
Experience documenting vulnerabilities and remediation
Conduct assessments
Develop custom tools and scripts for penetration testing
Stay informed via forums, vendor updates and other sources
Provide security coverage and support for new business and technology initiatives
Excellent communication skills",4.1,"Everest Technologies
4.1","Florence, KY",201 to 500 Employees,1997,Contract,Computer Hardware & Software,Information Technology,$10 to $25 million (USD)
2,Cyber Security Operations Analyst- REMOTE,$52K - $97K (Glassdoor est.),"Do you want your voice heard and your actions to count?
Discover your opportunity with Mitsubishi UFJ Financial Group (MUFG), the 5th largest financial group in the world. Across the globe, we’re 180,000 colleagues, striving to make a difference for every client, organization, and community we serve. We stand for our values, building long-term relationships, serving society, and fostering shared and sustainable growth for a better world.
With a vision to be the world’s most trusted financial group, it’s part of our culture to put people first, listen to new and diverse ideas and collaborate toward greater innovation, speed and agility. This means investing in talent, technologies, and tools that empower you to own your career.
This is a remote position. A member of our recruitment team will discuss location preferences with you in more detail.





The above statements are intended to describe the general nature and level of work being performed. They are not intended to be construed as an exhaustive list of all responsibilities duties and skills required of personnel so classified.
Some MUFG roles require that individuals be fully vaccinated against COVID-19, subject to exemptions for medical or religious reasons, as well as any other reason required by applicable law or order. Should you be selected for an interview, your recruiter will provide additional information.",3.3,"MUFG
3.3","Phoenix, AZ",10000+ Employees,1864,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD)
3,Security Operations Center Analyst (Tyler Detect),$36K - $77K (Glassdoor est.),"The SOC analyst will research current attack trends and methodologies, tracking sources of malware and being able to identify how network infrastructure may have been compromised. They will communicate effectively within the team and work cooperatively with the Tyler Detect Lead Analysts, Senior Analysts, Threat Analysts, and Team Managers to ensure the highest quality and timely reporting to the Tyler Detect client base. The Security Operations Center (SOC) Analyst position is also responsible for surveilling and responding to real time security event alerts by performing log analysis investigations. This will occasionally involve working off hours shifts.
Primary working hours: 7:00AM – 3:30PM.
Monthly rotating shifts are:
Monday: 7:00AM - 3:30PM, Tuesday - Friday: 11:30AM – 8:00PM",3.9,"Tyler Technologies, Inc.
3.9","Yarmouth, ME",1001 to 5000 Employees,1966,Company - Public,Computer Hardware & Software,Information Technology,$500 million to $1 billion (USD)
4,Information Security Analyst,Employer Provided Salary:$75K - $120K,"Congratulations on exploring your career opportunities with FAST and taking the first step to becoming a FASTie! A FASTie? Yes, a FASTie.
FAST-ie \’faeste\ noun
1. an energetic, intelligent, enthusiastic person who works at Fast Enterprises. 2. a person dedicated to modernizing government technology to better serve the general public. 3. someone who is open to adventure and wants to experience new places around the world. 4. someone who enjoys collaboration with clients and camaraderie with teammates while solving business and technology problems.
If the description below speaks to you, take 5 minutes (seriously, only 5 minutes) to apply!
The Information Security Analyst will join the Tech Team at our headquarters in Centennial, CO. They will assist with ensuring the confidentiality, integrity, and availability of FAST’s internal systems and hosted client applications within a hosted infrastructure. The responsibilities include maintaining and improving the security and compliance program for FAST’s hosted customers.",4.0,"Fast Enterprises, LLC
4.0",Colorado,1001 to 5000 Employees,1997,Company - Private,IT Services,Information Technology,$25 to $50 million (USD)
5,Cyber Info. Systems Security Analyst,Employer Provided Salary:$78K - $117K,"Requisition ID: R10008702
Category: Information Technology
Location: Rolling Meadows - IL, United States of America
Citizenship Required: United States Citizenship
Clearance Type: Secret
Telecommute: No- Teleworking not available for this position
Shift: 1st Shift (United States of America)",4.0,"Northrop Grumman
4.0","Rolling Meadows, IL",10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
6,Security Analyst,Employer Provided Salary:$85K - $100K,"This role leads initiatives in risk, product security, or security operations. They are responsible for assisting in developing, executing, auditing, and maintaining security controls, defenses, and countermeasures to intercept and prevent attempts to infiltrate company data. This challenging position will work closely with all departments and 3rd Party Vendors to ensure baseline security for the organization
What You’ll Enjoy:
Full benefits package including medical, dental, and 401k plans
Paid holidays and Open Paid Time Off (PTO) policy to ensure a solid work/life balance
Paid time off to volunteer during company hours for qualifying nonprofit organizations
Comprehensive parental leave, adoption assistance, and pet insurance programs",-1,CentralSquare Technologies,Remote,1001 to 5000 Employees,1981,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
7,Information Security Analyst,$55K - $97K (Glassdoor est.),"About the role:
As an Information Security Analyst, you will protect TQL’s proprietary data, manage proprietary software securities and work with Legal/HR to conduct internal investigations. You will leverage your critical thinking and understanding of IT security and data analytics to make a high-level impact on the organization.

What’s in it for you:
Competitive compensation and benefits package
Paid relocation to Cincinnati, OH
Advancement opportunities within structured career paths",4.0,"Tql
4.0","Cincinnati, OH",5001 to 10000 Employees,1997,Company - Private,Transportation Management,Transportation & Logistics,$2 to $5 billion (USD)
8,Information Security Analyst,Employer Provided Salary:$45K - $65K,"About Virsage and who we are hiring
Virsage has been around since 1999. We are constantly adding to our portfolio of product offerings for our customers which means our staff has the opportunity to work with the latest and greatest technologies that are out there. Our customers depend on us to be responsive and prompt so that we can help them use these technologies to support their business. We build personal relationships with our customers so that we can understand their business needs and address those needs with the services and products that we offer. If you are an experienced IT professional that is motivated to grow and develop professionally and with the desire to be a network engineer at some point in your career, we would like to hear from you.
Virsage Solutions is based in Lafayette, Colorado, and provides Information Technology and Cloud services to businesses across the United States and the World. We provide our employees with a positive and challenging environment that allows them to develop their professional skills while providing balance for their personal lives. Our employees benefit from getting exposure to a vast array of IT environments in industries such as health care, manufacturing, hospitality, finance.",3.1,"Virsage Solutions, Inc
3.1","Boulder, CO",1 to 50 Employees,-1,Company - Private,IT Services,Information Technology,Less than $1 million (USD)
9,Information Security Analyst - All Levels,$44K - $107K (Glassdoor est.),"Type of Requisition:
Pipeline
Clearance Level Must Currently Possess:
Secret
Clearance Level Must Be Able to Obtain:
Secret
Suitability:
No Suitability Required
Information Security



40
Less than 10%
Some Telecommuting Allowed
USA WV Clarksburg
This position requires being fully vaccinated against COVID-19 by January 18, 2022 or the start date, if after January 18. Individuals who work in or reside in Texas or Montana or work outside of the United States may be excluded from this requirement. We are GDIT. The people supporting some of the most complex government, defense, and intelligence projects across the country. We deliver. Bringing the expertise needed to understand and advance critical missions. We transform. Shifting the ways clients invest in, integrate, and innovate technology solutions. We ensure today is safe and tomorrow is smarter. We are there. On the ground, beside our clients, in the lab, and everywhere in between. Offering the technology transformations, strategy, and mission services needed to get the job done.GDIT is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status, or any other protected class.",3.8,"General Dynamics
3.8","Clarksburg, WV",10000+ Employees,1996,Subsidiary or Business Segment,IT Services,Information Technology,$2 to $5 billion (USD)
