,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Family Law Attorney/Lawyer,Employer Provided Salary:$120K - $240K,"The Opportunity: Family Law Attorney/Lawyer
Are you a passionate, licensed attorney/lawyer in the market for a new opportunity that pays dividends? At Marble, we believe that everyone, everywhere deserves access to remarkable legal care, so we’re changing the way legal services work.
What does that mean for you? As a Marble attorney/lawyer, you can:
Expand your practice—take on as many or as few cases as you’d like per month.
Earn more—The more cases you take, the more you earn (upward of $10,000 a month).
Work from wherever you are—we’re powered by cutting-edge tech and this is a predominantly remote opportunity.
Focus on what you love—we handle administrative tasks like collections and marketing services so you can prioritize practicing law.",-1,Marble Law,"Gilroy, CA",-1,-1,-1,-1,-1,-1
1,Tech/ Software Lawyer OR Pharma/ Life Sciences Lawyer (Partner of the Firm),Employer Provided Salary:$150K - $350K,"Outside GC, the nation’s largest partner-only provider of on-demand general counsel services, is looking for experienced (i) technology/software lawyers, and (ii) pharma / life sciences lawyers to join our team as Partners. Ideal candidates are former GCs or senior in-house counsel with at least 10 years’ experience that includes both law firm and in-house roles.
This is primarily a work-from-your-home-office role. We have been a work-from-home business for 20 years!
Outside GC offers a compelling alternative to a traditional law firm or in-house career. Our attorneys have tremendous flexibility representing fast-growth and large established companies, including many hundreds of early-stage companies to dozens of internationally recognized entities. We have a unique model that affords our attorneys both work-life balance and flexible, high quality legal engagements. Attorneys are not expected to source their own clients.",-1,Outside GC LLC,Remote,-1,-1,-1,-1,-1,-1
2,Lawyer,Employer Provided Salary:$70K - $140K,"Associate Lawyer
Lawyer needed for busy broad based civil litigation firm, 0-10 years of experience. Excellent pay and benefits including advancement/partnership potential. Should have excellent research and writing skills with good work ethic.
Job Type: Full-time
Pay: $70,000.00 - $140,000.00 per year
Benefits:
401(k)
401(k) matching",-1,Fischer Law Group,"Fort Collins, CO",-1,-1,-1,-1,-1,-1
3,Mid Level Litigation Associate,Employer Provided Salary:$160K - $230K,"Super Lawyers is looking for an experienced Litigation Associate to join our team in Chicago, Illinois. Litigation Associates at Super Lawyers are responsible for evaluating legal issues and assessing the viability of potential cases. They are also responsible for prosecuting or defending cases in both state and federal courts. Litigation Associates at Super Lawyers should have exceptional written and oral communication skills, critical thinking skills, attention to detail and excellent organizational skills. The Litigation Associate will work closely with paralegals, accountants, financial advisors and marketing specialists to create actionable solutions that will help our clients move forward.
Responsibilities:
Draft legal documents, such as pleadings and motions.
Conduct legal research.",-1,Sichenzia Ross Ference LLP,Remote,-1,-1,-1,-1,-1,-1
4,Labor & Employment Attorney/Lawyer,Employer Provided Salary:$80K - $110K,"Labor & Employment Attorney/Lawyer
Marble is a human kind of law firm that combines remarkable legal care, transparency, and heart. By using predictive analytics to accurately price and predict each legal need, a collaboration platform for a faster and optimal case result, and digital communications, Marble makes the experience of getting quality legal care easy and affordable. Marble set out to make legal care more accessible for everyday people by building technology that empowers attorneys to do their best work, and that puts clients in control of the process from start to finish.
We are a fast-growing early-stage startup founded by a team of serial entrepreneurs and is backed by Silicon Valley VC funds.
Marble is looking for a licensed Attorney/Lawyer to begin taking Labor & Employment cases as co-counsel immediately, fully remote.",-1,Marble PC,Florida,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
5,Family Law Attorney/Lawyer,$62K - $165K (Glassdoor est.),"Marble is looking for a licensed Attorney / Lawyer to work on family law matters (divorce/custody/restraining orders, etc.) as co-counsel, fully remote.
Marble delivers legal care to modern consumers. We designed the ideal combination of law professionals and efficient technology to create virtual case on-boarding and instant personalized attention, all the way from intake to the case outcome.
We are looking for a co-counsel Attorney/Lawyer with Family Law law qualifications. You will be assigned cases based on your desired capacity and with a great support staff and technology features to support you as much as you need.
Our ideal Attorney/Lawyer candidate shares our relentless pursuit of client’s happiness with attention to details and the passion to help individuals from all walks of life.",-1,Marble PC,"San Rafael, CA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
6,Personal Injury Lawyer at Blakeley Law Firm,Employer Provided Salary:$85K - $250K,"Looking for a Lawyer for a Personal Injury Law Firm
Looking for a Lawyer for a Personal Injury Law Firm in Fort Lauderdale. Must have passed the Bar and be eligible to practice in Florida right now. No experience required for the right candidate. We are willing to hire someone just out of law school for this position. Prior experience at a State Attorney's or Public Defender's Office or a similar type of job would be considered favorably. This is a great opportunity to get experience in the Personal Injury Plaintiff's field with a competitive salary. The job would include writing demand letters, a lot of client communication, writing motions and pleadings, attending hearings etc. $85,000.00/year with the potential to earn $250,000.00+
Job Type: Full-time
Pay: $85,000.00 - $250,000.00 per year",-1,Personal Injury Law Firm- Fort Lauderdale,"Fort Lauderdale, FL",-1,-1,-1,-1,-1,-1
7,Senior Corporate Associate,Employer Provided Salary:$225K,"We are actively seeking to hire a corporate associate with at least 6 years of experience in emerging company general corporate practice, VC financings, M&A, and/or other corporate work. A degree from a top-tier law school is required, as well as California bar membership. The candidate must be capable of working and learning new concepts independently. The ideal candidate will also have large-firm experience.
Grellas Shah LLP is a busy and growing boutique law firm based in Silicon Valley. The firm specializes in startups and represents ventures large and small (from garage to Y Combinator, etc.), with emphasis on founder-driven early-stage companies. We provide our clients the full-range of legal services throughout a company’s lifestyle, including corporate, venture capital financing, intellectual property, commercial contracts, employment, litigation, and tax.
Ours is a growing and thriving firm and a nice place to work, with excellent opportunities to develop or expand critical skills in a firm that sets high standards doing sophisticated corporate, IP, and litigation work.",5.0,"Grellas Shah LLP
5.0",Remote,1 to 50 Employees,-1,Company - Private,Legal,Accounting & Legal,Unknown / Non-Applicable
8,Military Lawyer,Employer Provided Salary:$65K - $100K,"We may be looking for a unicorn. We seek a military Veteran who has a passion for ensuring disability pensions when appropriate.
We could have written a plain ad but we’re unique and we’re looking for a unique person to join our team. We’re a law firm composed of military Veterans who have proudly served our country, and our firm is now proud to be of service focused on the support of military veterans and currently serving military service members and law enforcement.
Who are we? Citizen Soldier Law serves all branches of the military and other government organizations. We represent those who are injured in service, often challenging allegations of misconduct, entitled to a military disability pension, and need a medical evaluation board. These clients are entitled to due process and their rights must be safeguarded. We represent our clients in these and other issues that they face.",3.8,"Thomas Roughneen & Associates
3.8","Burlington, NJ",10000+ Employees,1775,Government,Federal Agencies,Government,Unknown / Non-Applicable
9,Personal Injury Attorney,Employer Provided Salary:$125K - $200K,"Lalezary Law Firm is one of the largest and most successful personal injury law firms in California. Our firm is known for not settling a case until we reach the value that our client deserves and we fight aggressively until we get there. Our track record as a law firm that relentlessly fights for justice relentless on behalf of our clients has earned us the distinguished reputation of one of the premier PI law firms in California.
The attorney will have access to plenty of paralegal and secretarial support, to be able to focus on case strategy and trial preparation. The attorney will be expected to take a case from complaint through trial as either first or second chair. Previous personal injury experience is required.
Benefits:
Medical, Vision, Dental and Pet Insurance",3.5,"Lalezary Law Firm, LLP
3.5","Beverly Hills, CA",51 to 200 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
