,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Assistant Franchise Marketing Manager,Employer Provided Salary:$45K - $60K,"Culver Franchising System, LLC is looking for an Assistant Franchise Marketing Manager to be a liaison to our franchisees in designated market areas for system-wide, local and in-restaurant marketing to support Culver’s Marketing Plans and Marketing Performance. This position is based at Culver’s support center in Prairie du Sac, WI.
If you are someone who
enjoys building strong relationships with franchisees, managers and restaurant teams
prides themselves as an excellent communicator – verbally and written
has a high level of attention to detail
enjoys collaborating with a variety of individuals, groups and departments
has a natural curiosity to understand and identify opportunities to adjust or shift based on market data and restaurant performance",-1,"Culver Franchising System, LLC","Prairie du Sac, WI",-1,-1,-1,-1,-1,-1
1,CRM/Email Marketing Manager,-1,"CRM/Email Marketing Manager
CEC Entertainment, the global leader in family entertainment and operator of Chuck E. Cheese and Peter Piper Pizza restaurants, is seeking a CRM/Email Marketing Manager to join our dynamic Marketing team! This exciting, fun, and service-oriented opportunity is based at our Corporate Support Center in Irving, TX and will be supporting both CEC Entertainment brands including Chuck E. Cheese and Peter Piper Pizza.
Reporting to the Sr. Director of Media and Performance Marketing, the CRM/Email Marketing Manager will manage the execution of CRM marketing campaigns across customer touchpoints. The manager will work closely with internal stakeholders and agency partners to understand direct marketing needs for traffic generation and conversion. He/she will build programs for both offline and online programs, coordinate content and design, execute target audience segmentation selections, and deliver post-campaign insights on incremental sales and ROI. The candidate will manage outside partners and internal/external teams on day-to-day campaign design and execution and drive execution via marketing automation tools that leverage our customer database for targeting, message customization, counts, segmentation, and offer treatment.",2.0,"Chuck E. Cheese
2.0",United States,1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
2,Affiliate Marketing Manager,Employer Provided Salary:$50K - $70K,"Award Winning online Marketing Agency has an immediate opening for a remote Affiliate Marketing Manager. As the Affiliate Manager you’ll be responsible for supporting/managing a portfolio of Affiliate Programs. We are looking for talented individuals ready to get their hands dirty in an extremely fast paced agency. Phone and interpersonal skills are an absolute must. Must be self sufficient and willing to hustle.
RESPONSIBILITIES:
Provide day to day management/support to affiliates and clients via phone and email
Work closely with Clients’ teams to plan and execute new promotions
Develop strategy and execute plans to measurably grow clients online businesses
Recruit and optimize relationships with new and existing marketing partners",3.7,"Gen3 Marketing
3.7",Remote,1 to 50 Employees,2007,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
3,Marketing Operations Manager,Employer Provided Salary:$85K,"Job Description:
As a marketing operations manager, you will work to create scalable processes that ensure best practices in lead generation and database management. You will also conduct complex data analyses that will be used to inform strategic decisions by stakeholders from across the company. You will be working in a fast-paced environment managing multiple projects at once.
Responsibilities:
Manage technical aspects of key marketing systems (marketing automation, CRM, etc.) used to generate, distribute, and report on leads.
Establish and maintain scalable processes that ensure best practices in campaign and lead management.",2.6,"inVia Robotics
2.6",Remote,1 to 50 Employees,-1,Company - Private,-1,-1,$1 to $5 million (USD)
4,Social Media Marketing Manager,Employer Provided Salary:$65K - $85K,"We are looking for a talented Social media manager to administer our social media accounts. You will be responsible for creating original text and video content, managing posts and responding to followers. You will manage our company image in a cohesive way to achieve our marketing goals.
As a Social Media Marketing Manager, we expect you to be up-to-date with the latest digital technologies and social media trends. You should have excellent communication skills and be able to express our company’s views creatively.
Ultimately, you should be able to handle our social media presence ensuring high levels of web traffic and customer engagement.
Responsibilities",-1,Confidential,"Lakeland, FL",-1,-1,-1,-1,-1,-1
5,Marketing Manager,-1,"MGR, Marketing Sponsorships & Events

Frontier is looking for a highly collaborative, well-organized, telecom-savvy and analytical individual who is interested in joining our fast-paced engagement marketing team. This manager will be responsible for sponsorship communications development and execution, sponsorship asset inventory, vendor management and execution of all sponsorship plans within budgets. The successful candidate will have a can-do attitude and demonstrated experience in team coordination. Collaboration is key to this position to assure success of cross-channel cohesive sponsorship campaigns, events & communication executions.

Primary Roles:",2.9,"Frontier Communications
2.9",Remote,,,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD)
6,Paid Search Manager,Employer Provided Salary:$70K - $95K,"-Assume accountability and ownership of paid search effectiveness for assigned client accounts
-Guide and manage the daily workflow of all client programs, including the initiation and ownership of projects across departments
-Create and implement paid search strategies and plans for assigned clients
-Provide thought leadership to clients
-Assist in training, mentoring and developing team members
Job Type: Full-time
Pay: $70,000.00 - $95,000.00 per year",-1,Strategy Source,Remote,-1,-1,-1,-1,-1,-1
7,Chief Marketing Officer (CMO) - Firearms Ecommerce,Employer Provided Salary:$250K,"About Us:
Tactical Sports Brands
We are a small team with an exciting fast-growth minded culture serving the Firearms and Tactical Goods market across a handful of e-commerce brands.
We are looking for growth minded, enthusiastic individuals who want to be part of building something special and get in on the ground floor.
Tactical Sports Brands hires smart, humble, and hard-working people and empowers them to create maximum impact for themselves and others. Our self-managed work environment gives people the opportunity and responsibility to create a fulfilling career while empowering them to do meaningful work.",-1,Tactical Sports Brands,Remote,-1,-1,-1,-1,-1,-1
8,"Associate Manager, Sports Marketing (SECN)",-1,"Job Summary:
The Associate Manager, Sports Marketing is part of the College Sports team supporting College Basketball, NCAA Championships and College Networks based in Charlotte, NC. This position will support the SEC Network brand team in the development and execution of marketing strategies and multi-platform promotional plans in addition to providing overall support for the College Sports team. The position reports to the Manager, Sports Marketing – SEC Network.

*Please include a cover letter with your application*
Responsibilities:
Contribute to the development of SEC Network marketing strategies and promotional plans and lead all campaign execution",-1,ESPN and Sports Content,"Cramerton, NC",-1,-1,-1,-1,-1,-1
9,Partner Marketing Manager,Employer Provided Salary:$105K - $119K,"Summary
Phase2 is a digital product agency passionate about customer experience, grounded in data and insights, and rooted in 20 years of successful technology delivery. We make digital products that inspire, engage, and create impact. For the most influential companies in the world, Phase2 is a proven partner, guiding our clients toward what's next in the digital landscape.
The Partner Marketing Manager holds a key role at Phase2. Phase2 understands the benefit of technology, client-driven, and strategic partners. This role will not only leverage and optimize the different tiers and needs of the partner program, but will also seek out and evaluate new partners.
In addition to partnerships, this role also holds the responsibility for strategically guiding the partner events and industry event opportunities at Phase2. This includes a significant amount of teamwork with Sales, Accounts, and key Delivery leaders. Many activities must reach across several departments, making diplomatic coordination integral to success in the role.",-1,Phase2 Technology,Remote,-1,-1,-1,-1,-1,-1
