,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,"Marriage and Family Therapist $70-80/hr ($140,000/yr FT)",Employer Provided Salary:$70 - $80 Per Hour,"Therapists deserve to be treated with respect. Clients deserve to be matched with a high-quality therapist. That’s why Path Mental Health exists. Do you want to earn what you deserve? Do you want to have a dedicated support, marketing, and billing team? Do you want to be matched with clients and help them? Do you believe in high quality care? If so, we want to hear from you.
A few reasons why you might want to join:
Full Caseload: take advantage of our marketing and partnerships to get matched with the exact type of clients you want immediately.
Consistent Total Earnings: since we fill you up quickly AND keep you full, you will actually earn what you want to make and never have to worry about missing a payment, as we do direct deposit every two weeks. You’re guaranteed payment for every visit you do (with no-show protection).",5.0,"Path Mental Health
5.0",California,1001 to 5000 Employees,2019,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
1,Licensed Marriage and Family Therapist,Employer Provided Salary:$40 Per Hour,"Our office is looking for a licensed marriage therapist.'
'
Benefit Conditions:
Only full-time employees eligible
Contract Length:
More than 1 year
Contract Renewal:
Likely
Full Time Opportunity:",-1,Mind Matters PsychiatryMD,"Flower Mound, TX",-1,-1,-1,-1,-1,-1
2,Child and Family Play Therapist - Independent Contractor,Employer Provided Salary:$80 - $90 Per Hour,"Creative Family Counseling, an outpatient private practice that serves children, adolescents, and adults in individual, couples, & family therapy, seeks an independent contractor therapist to work with children, teens, and families. We are seeking those with experience and/or specialized training in treating issues commonly seen in children such as outbursts/tantrums, behavior issues, stress/anxiety, trauma, self-esteem, depressed mood, ADHD, etc. It is important for us to find someone who is passionate in helping children and their parents within a systemic framework and who is a self-motivated person. The ideal candidate would have a foundation and experience in utilizing expressive and play therapies and be open to becoming Certified in the Positive Discipline parenting curriculum.
Candidate must be passionate about working with children between ages 3 and 18. The primary caseload for this Therapist's position will be for clients ages 3-13.
The hours are flexible. You set your own appointments in collaboration with other therapists who use the fully furnished play therapy offices.",-1,Creative Family Counseling,"Louisville, KY",-1,-1,-1,-1,-1,-1
3,Licensed Family Counselor,Employer Provided Salary:$75 Per Hour,"About us
Autism F.I.R.S.T. Our mission is to deliver on our belief in Relational Autism Care, a simple and profound belief that as autism so greatly impacts the family dynamic that the treatment care must support and be available for all members of the family that are touched and impacted by autism – the patient, the family and all caregivers.
Autism F.I.R.S.T. is Northern Virginia’s only autism therapy practice to provide the ultimate collaborative treatment, advocacy, support, and care for the autistic child, family, and caregivers. We are seeking a Licensed Family Counselor (LPC; LCSW; LMFT) to contract with our team. Recognizing the profound impact autism has on the family and support system, we seek to provide broad collaborative care. The counselor will focus on providing family counseling services and support to the families and caregivers of autistic children following our relational autism care model.",-1,Autism F.I.R.S.T.,Remote,-1,-1,-1,-1,-1,-1
4,Licensed Marriage and Family Therapist,Employer Provided Salary:$110K - $150K,"The Behavioral Health Center for Counseling & Learning, LLC is a thriving private practice that is a leader in providing exceptional services in Connecticut since 2006. The Center provides comprehensive services (individual, couples, families, and group therapy) throughout the entire developmental lifespan, from toddler to adolescent, and adult through geriatric. Our diverse clinical team has expertise in helping our clients address all of the issues that act as barriers to positive development and the achievement of success.
Our integrative approaches to wellness are unparalleled.
We are offering an exciting opportunity to practice as an independent contractor, while having the benefit of working with a skilled team of licensed and experienced professionals, some of whom have been practicing for decades.
Successful candidates must be licensed in CT.",-1,"The Behavioral Health Center for Counseling & Learning, LLC","Middlebury, CT",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
5,"Licensed Counselors, Social Workers, Marriage and Family Therapist",Employer Provided Salary:$60K - $120K,"Agape Counseling Associates is experiencing rapid growth and we are seeking Licensed Therapists (Psychologists, Licensed Clinical Social Workers, Licensed Marriage and Family Therapists, Licensed Clinical Mental Health Counselor) to join our extremely busy practice in Morehead City.
Our relational team is committed to a mission of restoring souls to health and peace. Through Agape, enjoy the benefits of collaborating with your colleagues, gaining professional development and building your private practice with team members, who share your core values as a therapist.
We are passionate about helping individuals and families work through struggles with depression, anxiety, addictions, eating disorders, grief, trauma, PTSD, and co-occurring disorders.
For over 19 years, Agape Counseling has earned a stellar reputation, our clinicians are well respected in the community and known for specialized skills offering treatment for children to geriatrics and each life stage in between.",-1,"Agape Counseling Associates, Inc.","Morehead City, NC",-1,-1,-1,-1,-1,-1
6,Telehealth Licensed Marriage & Family Therapist (LMFT) - Maryland,-1,"MDstaffers is seeking a qualified Telehealth Licensed Marriage & Family Therapist (LMFT) Maryland
Job Description:
Telehealth Licensed Marriage & Family Therapist (LMFT) needed in Maryland. This is a fully remote opportunity where you can provide consults from the comfort of your own home, office, or private setting. Flexible scheduling allows you to have a healthy work-life balance.
Details:
Work from home!
Flexible scheduling
Permanent position",2.9,"MDstaffers
2.9",Maryland,51 to 200 Employees,2010,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
7,LMFT - Licensed Marriage and Family Therapist,$52K - $104K (Glassdoor est.),"Invo-Progressus is the nation’s leading special education and early intervention company nationwide, and we’re hiring! We are currently expanding our team of Licensed Marriage and Family Therapists in Fairfield, CA and have an incredible full-time opportunity available in an educational setting. For additional information, call 800-892-0640 to speak with a dedicated Career Services Manager.

For more than twenty years, Invo-Progressus has been providing therapeutic services that create better outcomes for children. The Invo-Progressus team is comprised of some of the nation’s most talented and influential education and therapy leaders all of whom have a keen understanding of how to meet the unique needs of school districts, children and families and help them succeed. We are committed to helping children and families, school leaders and clinicians achieve success.

Best Practices. Best Careers. Best Outcomes for Children.",3.2,"Invo-Progressus
3.2","Fairfield, CA",51 to 200 Employees,1993,Company - Private,K-12 Education,Education,Unknown / Non-Applicable
8,Marriage and Family Therapist - FT Opportunity with Excellent Benefits!,Employer Provided Salary:$60K,"Destinations For Teens is a treatment center for teens struggling with substance use and mental health, that specializes in providing exceptional service and accessible care for the teen and their family.
Destinations is one of the premier teen treatment centers in the country. Both our residential and outpatient programs are designed to support the whole family throughout their journey to sustainable well-being. By providing a quality safe-haven, a full range of treatments, and an uninterrupted education, we have one of the highest rates of success in the country. Whether treating mental illness, addiction, or both, we pride ourselves in exceptional service and accessible care for the teen and their family. Our priority is to treat each teen with the goal of establishing a pathway to realizing a stable and healthy future.",2.2,"Destinations to Recovery
2.2","Thousand Oaks, CA",1 to 50 Employees,-1,Unknown,-1,-1,Less than $1 million (USD)
9,Licensed Marriage and Family Therapist-Quality Assurance Contractor,Employer Provided Salary:$50 - $60 Per Hour,"Personal Involvement Center, Inc. a community based social services agency and a leader in providing children and family services for over 40 years has a new job opening for a LMFT Quality Assurance Contractor. Quality Assurance Contractor is responsible for supervising the day-to-day operations of Mental Health-Quality Assurance which include: supervision of staff; review and track client documentation, maintain and develop Quality Assurance plan including objectives, policies, standards procedures, and guidelines for monitoring, reporting, and correction of quality assurance/compliance issues according to “PIC” and outside regulatory bodies, etc.
Previous experience in a community based social services agency setting preferred, proficiency in a data entry computer database.
Job Types: Full-time, Part-time, Contract",1.4,"Personal Involvement Center, Inc.
1.4","Los Angeles, CA",1 to 50 Employees,-1,Nonprofit Organization,-1,-1,$5 to $10 million (USD)
