,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Mathematician Web Developer,$70K - $138K (Glassdoor est.),"Mathematician Web Developer
This position is based in Fremont, California.
Looking for a great opportunity to learn and grow in knowledge of the Internet and to put your knowledge to use?
Looking for a position at a large, stable, and growing technology company?
Looking to contribute to a team with worldwide reach and impact?
Join our team and grow, learning about leading-edge Internet technology in a fun, interesting environment.",3.4,"Hurricane Electric
3.4","Fremont, CA",51 to 200 Employees,1994,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications,$25 to $50 million (USD)
1,Sr. Data Scientist,-1,"Are you interested in working for a company that’s been recognized as one of ‘America’s Best Employers’?
Mercury Insurance is currently seeking a Sr. Data Scientist to join our team!
Mercury was recently named one of ‘America’s Best Employers’ by Forbes magazine for the third consecutive year. We have also been recognized seven times by Forbes as one of “America’s Most Trustworthy Companies.” At Mercury, people come first. We offer bonus potential, excellent benefits, matching 401(k), employee activities, and many more perks.
Overview of Benefits:
Choosing a career at Mercury Insurance has a number of great advantages including:",3.6,"Mercury Insurance Group
3.6",Remote,1001 to 5000 Employees,1961,Company - Public,Insurance Carriers,Insurance,$2 to $5 billion (USD)
2,Data Scientist Principal,-1,"About JLG, an Oshkosh company
JLG began in 1969, when our founder, John L. Grove set out to resolve growing safety concerns in the construction industry. Since then we have been committed to understanding the challenges and delivering innovative solutions to the access market. We partner with customers to provide quality equipment, training opportunities and trusted support within the access industry. We are a global company, and our products—including mobile elevating work platforms, telehandlers, utility vehicles and accessories—can be found all over the world.
JOB SUMMARY:
The Data Scientist responsibilities include working through the entire data science lifecycle with an emphasis on applying their data mining and predictive modeling expertise. Critical thinking and problem-solving skills are essential, along with a deep curiosity and passion for research. The role will include mentoring other members of the Advanced Analytics & Insights team. This role will be responsible for preparing and delivering the results of their analysis. The ultimate goal of this role will be to help the company utilize data and analytics to generate business value.",3.7,"JLG Equipment Services Inc
3.7",Remote,1001 to 5000 Employees,1969,Subsidiary or Business Segment,Industrial Manufacturing,Manufacturing,$2 to $5 billion (USD)
3,6-12 Adjunct Online Math Instructor,Employer Provided Salary:$23 - $50 Per Hour,"Citizens High School is excited to invite qualified individuals to join our team as:
6-12 Math Instructors
We are currently seeking state certified 6-12 Math instructors to teach in our growing Citizens High School online program.
Interested candidates should:
Hold current state certification with high school math endorsement or Graduate|Terminal Degree in Math Education and 2 to 4 years of experience in education|teaching
Have demonstrated experience in teaching diverse student populations in an engaging virtual format",-1,Citizens High School,Remote,-1,-1,-1,-1,-1,-1
4,Mathematician,Employer Provided Salary:$73K - $91K,"NSA Overview The professionals at the National Security Agency (NSA) have one common goal: to protect our nation. The mission requires a strong offense and a steadfast defense. The offense collects, processes, and disseminates intelligence information derived from foreign signals for intelligence and counterintelligence purposes. The defense prevents adversaries from gaining access to sensitive classified national security information. At NSA, mathematics is a core discipline and is present in every aspect of the mission. Mathematicians bring a wealth of expertise including, but not limited to, number theory, finite field theory, coding theory, Fourier analysis, graph theory, probability, and statistics. They work on some of the hardest problems associated with signals intelligence (the interception, collection, and analysis of foreign signals) and information security (assuring confidentiality, integrity, and availability of information). Mathematicians have the opportunity to learn and experiment in areas far from their academic training. These opportunities and core mission needs help make NSA the largest employer of mathematicians in the country. Description of Position NSA is actively seeking mathematicians to join a vibrant community of mathematicians, statisticians, physicists, computer scientists, and other intelligence professionals. Newly-hired mathematicians begin their careers in the Mathematics Development Program (MDP). The goal of the three-year MDP is to train mathematicians to be broadly knowledgeable in the spectrum of mathematical sciences used at NSA. To accomplish this goal, MDP members study cryptologic mathematics and related subjects in Agency taught classes and complete 6-month tours in diverse NSA offices. Graduates of the MDP may choose their first permanent assignments from any of the NSA Directorates, depending on availability. The Agency is unique in its ability to offer the opportunity to work in diverse areas of Applied Mathematics. In addition to cryptologic mathematics, mathematicians work in: - Signals analysis - Data compression - Machine learning - Data science - Human language technology - Speech/image/video processing - Analysis of communication networks - Network vulnerability analysis - Cybersecurity Additionally, computing is an essential component of mathematics at NSA and mathematicians must use a variety of computing platforms to test ideas and implement solutions. While there is no specific requirement for any previous programming or computing experience, a mathematician must be willing to learn to use computers effectively.",-1,National Security Agency,"Fort Meade, MD",Unknown,-1,Government,Federal Agencies,Government,Unknown / Non-Applicable
5,Data Scientist,$75K - $112K (Glassdoor est.),"The kind of person we're looking for:
We’re looking for an energetic, thoughtful, intelligent, creative thinker to join the Data Insights team. You’ll need to have a passion for big data and analytics, and for solving difficult problems. You’ll need to be excited about trying new things and looking for ways to create new intellectual property that can help Paytronix and our clients. And you’ll need to be a team player that is willing to be flexible to changing priorities, that is motivated by the opportunity to be part of building a business.

The kind of stuff you'll be doing:
Research, develop and deploy your own advanced machine learning models (classification, forecasting, regression, decision tress, naive bayes) and algorithms for new product features that maximize member engagement",3.3,"Paytronix Systems
3.3","Newton, MA",51 to 200 Employees,2001,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD)
6,Mathematics Adjunct Faculty,-1,"Adjunct Mathematics Faculty
**Applicants MUST submit the following documents to hr @na.edu to be considered for this position:
Undergraduate & graduate transcripts
Teaching evaluations
Two (2) reference letters
Teaching philosophy
North American University is seeking a part-time Instructor / Adjunct for our Education Department. We are seeking a candidate with a focus on Mathematics.",-1,North American University,"Stafford, TX",-1,-1,-1,-1,-1,-1
7,"Quantitative Analyst - Municipals - Princeton, NJ or Century Park, CA",Employer Provided Salary:$63K - $290K,"Founded in 1938, MacKay Shields has grown steadily over the years through rapidly changing market environments. We became a registered investment advisor in 1969, and have expanded our services over time and now offer products across U.S. and international markets.
In 1984, MacKay Shields was purchased by New York Life Insurance Company. New York Life Insurance Company established New York Life Investment Management Holdings LLC in 1999 for the purpose of consolidating its asset management subsidiaries. MacKay Shields is 100% owned by New York Life Investments, which is wholly owned by New York Life Insurance Company.
MacKay Shields manages approximately $158 billion, of which $75 billion is managed by the MacKay Municipal Managers’ team.
Responsibilities",-1,MacKay Shields LLC,"Princeton, NJ",-1,-1,-1,-1,-1,-1
8,"Assistant Professor, Math and Statistics - General Education",-1,"Position Summary:
The Assistant Professor, Mathematics and Statistics is responsible for development, administration, teaching, and evaluation of learners in one (or more) of the College's general education courses. General Education faculty are expected to teach primarily online didactic courses.
Essential Function and Responsibilities:
Attending a faculty orientation session.
Teaching and evaluating assigned online courses.
Monitoring learner performance in accordance with course objectives and published schedules under the Manager, General Education.",3.1,"Nightingale College
3.1","Salt Lake City, UT",51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
9,Adjunct Instructor General Education - Math and Science,Employer Provided Salary:$20 - $25 Per Hour,"Jones Technical Institute is a non-profit 501(c)3 Trade and Technical School located on the Southside of Jacksonville offering Occupational Associates degrees in the areas of Automotive and Diesel Technology. J-Tech is looking for qualified, energetic, enthusiastic Adjunct Instructors who can teach Applied Math and Science to a diversified group of adult learners. Instructors should be dynamic and willing to teach with kinethestic methods. A learning management system is used for class work and assignments. Attention to reporting and deadlines a must. Knowledge of computers is important for reporting grades.
Requirements:
- Bachelor's degree in subject area
- 15 hours in subject area with Bachelor's Degree",2.0,"Jones Technical Institute
2.0","Jacksonville, FL",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
