,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Mechanical Engineer,Employer Provided Salary:$70K - $90K,"Mechanical Engineer (3-5 years HVAC Experience)
SHENOY Engineering, PC [SEPC] is a full-service consulting engineering firm that requires a Mechanical Engineer for mechanical engineering design services related to HVAC and building systems.
SEPC offers unparalleled experience in planning, design, cost estimating, construction administration, and inspections for various types of commercial, institutional, educational, residential and industrial buildings for both new and existing facilities. We are seeking an experienced, highly motivated, Mechanical Engineer in HVAC, Building Systems Design Engineering for such projects. The engineer should have the ability to design such projects, conforming to Construction Codes in the States of NY and NJ. We are looking for a dynamic, self-motivated, driven,competent and hard working Mechanical Engineer, who would be designing building mechanical systems, working from our office located in Pine Brook, NJ and includes occasional site visits. Qualifications and Job description are as follows.",-1,"Shenoy Engineering, PC","New York, NY",-1,-1,-1,-1,-1,-1
1,Senior Mechanical Engineer/Structural Engineer - FEA,Employer Provided Salary:$70K - $130K,"Job Description
Aerolab is seeking a qualified candidate to fill a Senior Mechanical Engineer position. The position is full-time. The candidate will be responsible for component and system level design and engineering of wind tunnel equipment in coordination with the company’s design and mechanical engineering team. Primary responsibilities will include performing Finite Element Analysis (FEA) on systems and components using SolidWorks Simulation as well as performing design optimization for mechanical performance.
Duties and Responsibilities
The candidate is expected to perform the following routine functions:
Proper interpretation of design specifications, drawings, and schematics",-1,Aerolab,"Jessup, MD",-1,-1,-1,-1,-1,-1
2,Senior Mechanical Engineer,Employer Provided Salary:$147K - $180K,"Do you thrive on inventive electromechanical design for mobile electronic devices? Are you a self-starting, enthusiastic, experienced and creative Mechanical Engineer? Come work with us to design and develop electromechanical systems for the world's most advanced touch technology.
Responsibilities
Design new touch systems for mobile devices, including metal and polymeric parts made by casting, molding, stamping, machining, and other techniques
Own development and execution of parts from requirements, design, quality, reliability, through volume manufacturing
Develop and test new stack ups for specific customer applications",-1,Sensel,"Sunnyvale, CA",-1,-1,-1,-1,-1,-1
3,Mechanical Engineer - Medical Device NYC,Employer Provided Salary:$70K,"We are looking for local candidates that can commute to our facility daily. We are not accepting applications for candidates that are not currently living within the 5 boroughs.
Jarvik Heart, a small Manhattan company that manufactures battery-powered Ventricular Assist Devices (VADs) to treat heart failure, has openings for mechanical engineers in a variety of production, assembly, documentation, quality roles. Applicants must have at least an engineering degree, experience with electro-mechanical devices such as robotics or medical devices, and must possess superior manual dexterity. As one of the only medical device manufactures in NYC, this opportunity will afford the chosen mechanical engineering applicants the opportunity to work in the city and enjoy all it has to offer while growing their knowledge and expertise in the medical device field.
Position directly supports the manufacturing and assembly of a Class III medical devices.",-1,"Jarvik Heart, Inc","New York, NY",-1,-1,-1,-1,-1,-1
4,Mechanical Engineer,Employer Provided Salary:$25 - $35 Per Hour,"Mechanical Engineer and Job Coordinator
Busy elevator company is seeking a qualified engineer who is willing to be trained. Must be proficient in AutoCAD and Solidworks.
Duties:
Prepare layout and detail drawings for elevators.
Ordering parts and coordinating with all necessary personnel in scheduling jobs.
Communicate with customers, shop and construction personnel.
Ability to work with manufacturing shop and schedulers in order to maximize efficiency.",-1,TRE Elevator,"Van Nuys, CA",-1,-1,-1,-1,-1,-1
5,Mechanical Engineer,Employer Provided Salary:$18 - $47 Per Hour,"This individual will be responsible for preparing accurate detailed drawings, models and bills of materials for machined components and fabricated assemblies. The successful candidate will be comfortable working with multi-disciplinary projects that require mechanical design, computer aided design and drafting. Requirements include: Associates degree in drafting or equivalent degree/training, must have previous experience designing/drafting, proficient reading detailed drawings & assembly drawings, and proficient with Solidworks. AutoCAD experience is a plus. Join our growing manufacturing business.
Competitive salary based on experience!
Job Type: Full-time
Pay: $18.00 - $47.00 per hour",-1,Hetran-B,"Orwigsburg, PA",-1,-1,-1,-1,-1,-1
6,Mechanical Engineer - Particle Accelerators,Employer Provided Salary:$70K - $120K,"RadiaBeam is a hardware-focused, essential business searching for hands-on, multi-disciplinary applied physics/engineering candidates that are comfortable working with mechanical systems, vacuum equipment and various manufacturing technologies to support our ever-growing volume of R&D and sales projects.
We are a high-tech R&D and manufacturing company with headquarters in Santa Monica, CA. We develop particle accelerators and accelerator-related instrumentation for security, industrial, medical and research applications. Our staff currently consists of approximately 50 scientists, engineers, technicians and machinists. We’re a stimulating company to work for, with interesting people, a laid-back culture, good work-life harmony, competitive compensation and excellent benefits.
The hire will work directly under the VP of Engineering. In addition to performing high-level design and engineering physics work, they will guide and oversee the work of less experienced staff. The job is a full-time regular appointment, starting ASAP. Thoughtful, succinct and tailored introductory letters will provide higher visibility",-1,RadiaBeam,"Santa Monica, CA",-1,-1,-1,-1,-1,-1
7,Mechanical Engineer,Employer Provided Salary:$65K,"CA Steel Industries, Inc. has an opening for a Mechanical Engineer at its facility in Fontana, CA to plan and design production machinery systems, including preparing of drawings and documentation. Perform engineering studies of building and equipment layouts to determine optimum arrangements based on analysis of operating and capital costs, processing yields and losses, in-process time, and manpower costs. Review and analyze projects and proposals for facilities involving changes to production machinery and related equipment. Assist civil engineer with surveys related to building requirements analysis for machinery relocations or changes. Serve as technical expert in subject area of engineering practices to investigating committees by developing proposals and recommendations for consideration by Company management. Advise management staff on mechanical engineering projects and technical factors restricting or limiting operating departmental proposals. Check and authenticate drawings for projects, and insure drawing archives are updated to include the newest drawings when actual construction or installation occurs. Required education: Bachelor of Science in Mechanical Engineering. : (1) AutoCad Inventor and Solidworks computer aided design software; (2) Industrial Machinery design; (3) Industrial Hydraulics design; (4) Geometric Dimensioning and Tolerancing rules, ANSI Y14.5. Please apply online or mail resume: HR Team, 1 California Steel Way, Fontana, CA 92335. EOE",-1,"California Steel Industries, Inc.","Fontana, CA",-1,-1,-1,-1,-1,-1
8,Mechanical Engineer,-1,"Based in Eagan, MN, Ironwood Electronics is a premier manufacturer of semiconductor test components. With customers all over the world, our mission is to design and manufacture world-class products within the industry’s shortest available lead times. We are a mid-sized company with a big footprint and seeking an Entry level mechanical engineering position for our growing, leading edge technology and manufacturing company. Engineering duties will include design and development of mechanical IC sockets and adaptors for the electronics industry. Most projects are fast paced individual efforts, however the ability to work efficiently and productively within a design team is also required.
Engineering Design, SolidWorks 3D modeling required, proficiency in mechanical systems, statics and dynamics, cam design and heat transfer is highly preferred
General/Computer Skills: MS Office (Word, Excel, PowerPoint) Statistics, Technical Writing",-1,Ironwood Electronics,"Eagan, MN",-1,-1,-1,-1,-1,-1
9,Mechanical Engineer,Employer Provided Salary:$18K,"TRAINING INTERNSHIP
Cybel is a small electro-optics company, located in Bethlehem, Pennsylvania, that designs and manufactures lasers for a wide range of applications. A successful laser design requires the careful integration of mechanical, electronic, and optical subsystems. We are looking for a student intern to help in the mechanical design of laser packages and optical setups for testing lasers. A working knowledge of SOLIDWORKS and some knowledge of machining and casting are required. The preferred candidate will also have some experience with electronic design, hardware, firmware, and software. The superior candidate will have the opportunity to work with state-of-the-art equipment to build and test optical fiber-based lasers. This is a unique opportunity to experience the fast-paced entrepreneurial atmosphere of a small business and take part in building a new product.'
'
This Company Describes Its Culture as:",-1,"Cybel, LLC","Bethlehem, PA",-1,-1,-1,-1,-1,-1
