,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Certified Registered Nurse Anesthetist,Employer Provided Salary:$150K - $250K,"CRNA Job Description:
We are currently searching for a talented and detail-oriented certified registered nurse anesthetist (CRNA) to join our dental practice. All candidates should have in-depth knowledge of administering anesthesia to patients undergoing a variety of surgical or non-surgical procedures. To succeed in this role, the ideal candidate must demonstrate good judgment and the ability to respond appropriately to stressful conditions.
Responsibilities:
Develop and execute an effective anesthetic plan.
Manage the patient's airway and respiratory status.
Monitor patients before, during, and after dental procedure.",-1,Racine Dental Group,"Racine, WI",-1,-1,-1,-1,-1,-1
1,Certified Registered Nurse Anesthetist; fulltime surgery centers and GI,Employer Provided Salary:$170K - $220K,"Certified Registered Nurse Anesthetist; fulltime work in a combination of ambulatory surgery centers and GI centers. CRNA
Provide anesthesia in congenial outpatient endoscopy facilities in Corvallis OR, and Eugene, OR. Or float between a mixture of GI facilities and ambulatory surgery centers doing a mix of sedation and general anesthesia cases including pain, neuro, eyes, fertility treatments, and plastics in addition to GI.
This is an all-CRNA division working independently in a respectful and autonomous environment.
This is an excellent lifestyle job that provides all your nights, weekends, and holidays off. Work 4-5 days per week.
Occasional commuting to Salem or Eugene gives you the opportunity to work at surgery centers doing general anesthetics in addition to GI/endoscopy sedation anesthesia cases.",-1,"Anesthesia Associates Northwest, LLC","Salem, OR",-1,-1,-1,-1,-1,-1
2,Certified Registered Nurse Anesthetist,Employer Provided Salary:$100 - $125 Per Hour,"CRNA - Certified Registered Nurse Anesthetist
CRNA
Forest Canyon Endoscopy and Surgery Center, Flagstaff, AZ 86001. We have served the community of Flagstaff, AZ, and the surrounding areas since 2003. Our commitment to quality has always been based on compassion, staying abreast of the latest treatments and techniques, and integrity. All FCESC physicians are board-certified. Our gastroenterologists see patients for gastrointestinal and digestive disease consultations, as well as colon cancer screening and endoscopy services.
Essential Job Functions -
CRNA: Performs an appropriate pre-anesthesia examination and a thorough assessment of the patient. Develops a plan of care based on assessment, interpretation, anticipated procedure, and essential equipment. Coordinates with appropriate health care providers. Administers anesthetic agents and adjunctive therapeutics. Monitors physiological responses and takes corrective action to maintain or stabilize the patient's condition. Provides resuscitative care. Records pertinent information on the patient's records. Terminates anesthesia. Provides patients with post-anesthesia care.",-1,Forest Canyon Endoscopy and Surgery Center,"Flagstaff, AZ",-1,-1,-1,-1,-1,-1
3,Certified Registered Nurse Anesthetist,$49K - $103K (Glassdoor est.),"Colquitt Regional Medical Center is currently hiring a Certified Registered Nurse Anesthetist. The CRNA will be responsible for administering intravenous, inhalation, regional and other anesthetics during surgical procedures, deliveries and other medical procedures under the medical direction of an Anesthesiologist (or physician) according to established procedures, professional standards and professional judgment. The CRNA ensures pre-anesthesia evaluation; selects, assembles and tests equipment for assigned cases and monitors patient condition during administration.
Minimum Requirements

Candidates should have a current GA CRNA license. ACLS, PALS, CPR certification. Visual and aural acuity necessary to assess and monitor patient condition and ability to focus concentration for prolonged period on patient’s condition and reactions to anesthesia. Physical ability to assist in lifting, moving and positioning patients receiving anesthetics. May also stand or sit in one position for long periods of time.",4.3,"Colquitt Regional Medical Center
4.3","Moultrie, GA",501 to 1000 Employees,1939,Company - Private,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
4,Certified Registered Nurse Anesthetist,$61K - $140K (Glassdoor est.),"It’s your choice, choose Premier Radiology. Premier Radiology is a leader in the Practice of Radiology; we are the largest outpatient diagnostic imaging network in Tennessee. Join our growing team. We promote a fun and friendly work environment. We encourage work/life balance. We have multiple locations throughout middle Tennessee and we offer competitive wages and benefits.
The Certified Registered Nurse Anesthetist (CRNA) works in collaboration with physicians and medical professionals to deliver high quality anesthesia and pain care services for medical procedures. Provides care to patients before, during, and after procedures.
Position Responsibilities:
Perform and document the pre-anesthesia assessment and evaluation of the patient.",2.3,"Premier Radiology
2.3","Nashville, TN",51 to 200 Employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,$5 to $10 million (USD)
5,Certified Registered Nurse Anesthetist II - St. Elizabeth Community Hospital,-1,"Up to $50K Sign-on Bonus - Red Bluff, CA - Seeking CRNAs
Become a Valued Member of Your Anesthesiology Team
As a CRNA you play a critical role in improving the level of care in Anesthesiology and are a valued member for the full care team. At Vituity we know the impact you can have.
Join the Vituity Team. At Vituity, our core values matter. We embody a Culture of Caring by approaching every human interaction with compassion and heart. With a Servant Leadership philosophy, we focus on what we can accomplish when we put our patients and colleagues first. An Ownership Mentality means we all have mutual accountability to drive positive change for Vituity as a whole. Finally, our focus on Innovation enables all of us to re-imagine healthcare and bring about lasting change. Ultimately, we are unified around the common purpose of transforming healthcare to improve lives, and we believe everyone has a role to play in that. Help us shape the future of healthcare.
Vituity Locations: Vituity has opportunities at 450 practice locations across the country, serving 8 million patients a year. With Vituity, if you ever need to move, you can take your job with you.
The Opportunity

Seeking full time Certified Registered Nurse Anesthetists (CRNAs) to join our team
Up to $50,000 sign on bonus for qualified candidates
Great opportunity for an independent clinician desiring a varied practice where they can practice at the top of their license
New grads and experienced CRNA's welcome
Current CA state license a plus
ACLS and PALS required
The Practice
St. Elizabeth Community Hospital - Red Bluff, CA

Part of Dignity Health with 778 locations in the USA, committed to treating the whole person - mind, body, and spirit
This 79-bed hospital is a not-for-profit facility delivering compassion, quality care to all who enter the doors
St. Elizabeth offers 24-hour care and services which include emergency room, orthopedics, family birth center, cancer care, wound care, imaging, heart care, lab services, and more
The Community

Red Bluff is an outdoor enthusiasts' dream-mountains, skiing, camping, hiking, mountain biking all within close reach
Located in northern California, this Victorian city lies along the Sacramento River about 115 miles north-northwest of Sacramento
This family friendly community has affordable housing, and you can enjoy beautiful weather year round
Enjoy a taste of Tuscany when you visit the Tuscan Ridge Estate Winery in Red Bluff! Take in the beauty of the landscape which is inviting in all seasons!
Benefits & Beyond*
Vituity cares about the whole you. With our comprehensive benefits package, we are mindful of what matters most, and support your needs of today and your plans for the future.

Superior health plan options
Dental, Vision, Life and AD&D coverage, and more
Top Tier 401(k) retirement savings plans that offers a $1.20 match for every dollar up to 6%
Variety of Pre-Tax Savings Accounts including HSA, FSA, Dependent Care and Commuter Benefits
Start with 4 weeks PTO annually and increase to 6 weeks with tenure, plus generous sick leave
Flexible scheduling for work/life balance
Yearly annual cash bonus
Professional Expense Reimbursement for medical staff dues, states licenses, DEA license, and national recertification fees
Up to $1,500 annual allowance for medical education courses and professional memberships
Student Loan Refinancing Options
EAP, travel assistance and identify theft included
Free education opportunities for personal and professional growth
Several wellness programs that focus on provider wellbeing and health
Diversity, Equity and Inclusion (DEI) initiatives including LGBTQ+ History, Dia de los Muertos Celebration, Money Management/Money Relationship, and more
Purpose-driven culture focused on improving the lives of our patients, communities, and employees.
We are unified around the common purpose of transforming healthcare to improve lives and we believe everyone has a role to play in that. We know that when we work together across sites and specialties as an integrated healthcare team, we can exceed the expectations of our patients and the hospitals and clinics we work in. If you are looking to make a difference, from clinical to corporate, Vituity is the place to do it. Come grow with us.
Vituity appreciates differences; our dedication to diversity, equity and inclusion is at the heart of our organization. Vituity does not discriminate against any person on the basis of race, creed, color, religion, gender, sexual orientation, gender identity/expression, national origin, disability, age, genetic information (including family medical history), veteran status, marital status, pregnancy or related condition, or any other basis protected by law. Vituity is committed to complying with all applicable national, state and local laws pertaining to nondiscrimination and equal opportunity.
Applicants Only. No agencies please.
#INDN
#LI-KM1",4.2,"Vituity
4.2","Red Bluff, CA",1001 to 5000 Employees,1975,Company - Private,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD)
6,Certified Registered Nurse Anesthetist - CRNA,Employer Provided Salary:$225K,"Experienced Nurse Anesthetist licensed in CA to work in a Team Model Autonomous practice. Peripheral nerve block (experience preferred) Flexibility in traveling between two sites on occasion. Enthusiastic about working in a fast-paced, private out-patient surgery center with six main OR's. Primarily orthopedic cases including total joints. No weekends, holidays or call. Very collegial environment. Sign-on bonus.
Job Type: Full-time
Pay: From $225,000.00 per year
Benefits:
401(k)
401(k) matching",3.8,"Southern California Orthopedic Institute
3.8","Van Nuys, CA",51 to 200 Employees,-1,Company - Private,-1,-1,$25 to $50 million (USD)
7,Certified Registered Nurse Anesthetist (CRNA),$46K - $107K (Glassdoor est.),"Certified Registered Nurse Anesthetist (CRNA)
Job Description
The Certified Registered Nurse Anesthetist CRNA will administer anesthetics to patients undergoing medical, dental, and surgical procedures. They will work under the direction of the attending surgeon, dentist, or anesthesiologist. Duties will include getting supplies and equipment ready for procedures, studying and interpreting pre-surgical tests to determine how the anesthetic will affect the patient, and assuring that an adequate blood supply is on hand in case of an emergency.
In addition to administering the prescribed anesthetic, the CRNA will monitor the patient’s vital signs and communicate the information to the physicians. They will also perform other tasks during these medical procedures, such as inserting artificial airways, administering oxygen, and attempting to prevent surgical shock. In addition, they may be required to assist with stabilization of patient and coordination of evacuation of patient to medevac center.








Location: Cullman Regional Medical Center · Anesthesia Department (054)
Schedule: Full Time, Days",3.6,"Cullman Regional Medical Center
3.6","Cullman, AL",1001 to 5000 Employees,-1,Hospital,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
8,Certified Registered Nurse Anesthetist,Employer Provided Salary:$110 Per Hour,"GHR Healthcare one of the fastest growing a healthcare companies, has contract opportunity with a large, magnet status Acute Care Hospital.
If you are a experienced CRNA, looking to work in Delaware.
Please call or text Mike today at 484-238-7222.
Job Types: Full-time, Contract, Travel nursing
Pay: From $110.00 per hour
Benefits:
401(k)",-1,GHR,Delaware,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
9,"Certified Registered Nurse Anesthetist (CRNA) - $20,000 Sign-On - Community",-1,"The UAB Division of Community Anesthesia includes a group of anesthesiologists and certified registered nurse anesthetists (CRNAs) that provide services to some Ascension St. Vincent’s facilities. The Division allows busy community hospitals to use the cutting edge, evidence-based approach to medicine found within an academic environment. These CRNAs have autonomy and enjoy a collegial working relationship with anesthesiologists and surgeons.
The Division’s services are provided at the Ascension St. Vincent’s East campus, located northeast of Birmingham near the Trussville community. Ascension St. Vincent’s East is an acute care hospital that offers many surgical specialties, providing more than 10,000 procedures annually within 12 operating rooms. The Division employs six anesthesiologists and more than 19 CRNAs here who participate in a team-based approach to provide the best possible care.
Benefits:",3.8,"UAB Medicine
3.8","Birmingham, AL",10000+ Employees,1945,Hospital,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
