,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Nurse Practitioner - Psychiatry,Employer Provided Salary:$150K,"Covelo Group is seeking experienced Nurse Practitioners for an excellent opportunity in beautiful Northern New Hampshire!
What we have is a full-time, Mon-Fri, no on-call, no weekends opportunity with a cohesive 8-person Behavioral Health team. In this role, you will provide direct care to patients of varying demographics. You will assess, diagnose and treat the mental health needs of patients who contend with substance abuse or have mental health disorders. In addition, Medical Management and crisis intervention is required for this 100% outpatient position.
Successful candidates will have graduated from an accredited program of study based upon current ARNP standards of practice, hold current NH State Licensure and National Certification, possess excellent interpersonal and communication skills and ability to maintain a good working relationship with all levels of medical staff, administration, and the public.",3.3,"Covelo Group, Inc.
3.3","Berlin, NH",501 to 1000 Employees,2004,Company - Private,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD)
1,Nurse Practitioner - Maui,Employer Provided Salary:$130K - $140K,"Next Health is looking for a full time Nurse Practitioner (NP) to join our Century City Next Health team, and work in a cutting edge functional medicine environment. Next Health is a health Optimization and Longevity center that is disrupting the traditional health care model and rapidly expanding.
BASIC JOB DESCRIPTION: Supervises and directs all nursing care. The Nurse Practitioner shall function in providing appropriate and safe medical care to patients within their scope of practice, as well as provide direction and supervision to the registered nurses, health coaches, and in-house health hackers. Provides continuity of individual patient care and assuring a well-controlled, clean environment for the quality care of patients. Acts as a liaison between nursing staff/health coaches and medical director. Analyzes, evaluates, and implements nursing and medical services to promote continuous quality improvement.
Demonstrates and exceeds expectations of interpersonal and communication skills among team members and patients. Ability to work independently within scope of practice and as a team player. Possesses self-initiative, creativity, and motivation. Ability to collaborate with supervisors, management team, patients, and other medical providers. Manages time effectively and completes task as assigned. Safely administer injections, infusions of IV fluids, intramuscular injections, hormone therapies, cellular therapies. Sets plan for improvement of patients through medical recommendations, prescriptions, herbal/supplemental remedies, hormone optimization.",4.3,"Next Health
4.3","Kihei, HI",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
2,Nurse Practitioner - Weekend Opportunity,Employer Provided Salary:$150K,"At A Glance
We are currently recruiting a Nurse Practitioner with an active Virginia license. This is a Part-Time position in the Post-Acute setting.
Overview
Legacy Care’s independent medical group delivers quality patient care in assisted living communities, inpatient rehabilitation facilities and post-acute care and long-term care
communities across the Mid-Atlantic region. Trusted for quality care, we’re devoted to ensuring a patient’s healthcare experience meets their individual needs across the continuum of care.
Job Types: Part-time, Contract",3.7,"Legacy Care (Div of LGS Medical Services Grp)
3.7","Tazewell, VA",51 to 200 Employees,2006,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
3,Nurse Practitioner,Employer Provided Salary:$150K,"NURSE PRACTITIONER - PAIN MANAGEMENT
Qualifications
· Bachelor of Science in Nursing
· Successful completion of a Nurse Practitioner focused graduate Master or Doctoral Nursing Program
· National board certification to practice as a Nurse Practitioner
· Training and Experience in pain management preferred.
Full Job Description",-1,The Pain Management Center at Guam Radiology Consultants,"Tamuning, GU",-1,-1,-1,-1,-1,-1
4,Nurse Practitioner,Employer Provided Salary:$100K - $120K,"Experienced family practice nurse practitioner wanted for an independently owned family practice clinic. Fraley Family Practice is a small 5 provider office looking for an exceptional candidate to join their team. We have been in business for over twenty years and have a dedicated patient following. Our support team is exceptional, which ensures our providers and patients have the needed support for a smooth visit from start to finish. The combination of a walk in clinic and scheduled visits 6 days a week enable us to provide timely and flexible care.
Position is full time with a four day work week. Candidate must be versed in chronic care management, acute care, and wellness visits. Must have prior EHR experience, provide timely and accurate charting, and deliver exceptional patient care.
Job description includes but is not limited to:
Treating and managing diabetic patients, acute care, yearly physicals, hypertensive patients, and injuries. Ideal candidate will have prior experience in Medicare physicals and wellness exams.",-1,Fraley Family Practice,"Colorado Springs, CO",-1,-1,-1,-1,-1,-1
5,Gorgeous Guam! Family Medicíne/Derm Nurse Practitioner or PA,Employer Provided Salary:$110K - $125K,"www.expresscareguam.com
Wonderful family medicine clinic with dermatology in beautiful Guam, USA.
Enjoy autonomy with full MD support while seeing a wide variety of patients.
Training provided. Generous salary and benefits.'
'
Work Location:
One location
Work Remotely
No",-1,ECMG,"Hagatna, GU",-1,-1,-1,-1,-1,-1
6,Nurse Practitioner - Part Time,Employer Provided Salary:$85 Per Hour,"Nurse Practitioner to work in the Denver International Airport in a walk-in medical clinic. Hours are 9 - 5, 5 days per week with a potential to increase. Pay is $85/hr with malpractice covered. The clinic is primarily focused on COVID-19 testing, however, they are expanding to provide a variety of urgent care services.
Job Types: Part-time, Contract
Pay: From $85.00 per hour
Medical Specialty:
Urgent Care
Schedule:",4.6,"US Careways
4.6","Denver, CO",1 to 50 Employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
7,Aesthetic Nurse Practitioner / Aesthetic Physician Assistant,Employer Provided Salary:$50 - $100 Per Hour,"Fontaine MD, an aesthetic and anti-aging medical practice in Torrey Hills (Carmel Valley) is looking for a NP or PA with experience in aesthetic lasers and injectables. This an excellent opportunity for someone with an entrepreneurial spirit. This growth opportunity allows for ownership opportunity or significant commissions. Physician medical director is on site daily. Applicant must be have an outgoing personality with excellent patient care skills.
Job Type: Full-time
Pay: $50.00 - $100.00 per hour
Benefits:
Health insurance
Paid time off",-1,FontaineMD,"San Diego, CA",-1,-1,-1,-1,-1,-1
8,Nurse Practitioner (Mandarin/Cantonese) Remote,Employer Provided Salary:$65 Per Hour,"Vis a Vis Health is hiring!
We are looking for a responsible, dedicated Mandarin/Cantonese speaking Nurse Practitioner to work closely with the patient population and conduct virtual visits.
About Vis a Vis:
Vis a Vis Health is a comprehensive care solution, providing medical services in Skilled Nursing Facilities, as well as a home telehealth solution for patients transitioning between levels of care.
Nurse Practitioner Job Responsibilities
Conduct virtual/remote video visits with patients
Ask intuitive questions to discover the root cause of illness",-1,Vis a Vis Health,Remote,-1,-1,-1,-1,-1,-1
9,Nurse Practitioner/ Physician Assistant North End Boston MA,Employer Provided Salary:$150K,"Vantage Healthcare is looking for a Full time Nurse Practitioner or Physician Assistant to preform primary care visits in skilled Nursing Facilities and Assisted Living Facilities in Boston MA and surrounding areas.
Responsibilities: Provide primary care visits, med reconciliations, and annual wellness visits 4 to 5 days a week .
Vantage Healthcare
Vantage Healthcare is your full-service medical practice bringing the doctor’s office to our patients. We have doctors, physician assistants, and nurse practitioners on staff.
Our patients will be treated in the comfort of their own residence, assisted living, memory care, or skilled nursing facility for any problems, conditions, and/or injuries for which they would normally go to a primary-care physician. We also offer an online patient portal to keep patients and healthcare proxy up to date on medications, conditions, and upcoming appointments",-1,Vantage Healthcare,Massachusetts,-1,-1,-1,-1,-1,-1
10,Nurse Practitioner,Employer Provided Salary:$105K - $127K,"We are a dedicated Medical Vein Center that diagnoses and manages vein and vascular conditions in an outpatient setting. Essential duties include physical examinations, performing patient assessments, reviewing diagnostic testing results, educating patients on their needs, performing secondary ultrasound-guided procedures, and overseeing patients' health.
Extensive clinical experience in primary care is vital. You will work collaboratively with other healthcare professionals. If you're seeking to advance your knowledge and clinical expertise through research and professional discourse, we'd like to meet you.
Responsibilities
Examine patients and their medical records
Order and study diagnostic tests (vascular ultrasounds, CT's and MRIs).",-1,Truffles Vein Specialists,"Fayetteville, GA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
11,Provider - Nurse Practitioner/Physician Assistant,Employer Provided Salary:$55 - $70 Per Hour,"South Star Urgent Care is a growing network of urgent care clinics throughout Louisiana. Our rapid growth is a result of unmatched customer service and unmatched compassion towards every single customer. We are open 7 days a week and serve all ages.
At South Star Urgent Care, we hire Nurse Practitioners and Physician Assistants, who care for patients under the direction of medical staff physicians in compliance with standards of practice and regulations of government agencies. Our Providers practice as primary healthcare providers and are responsible for providing outstanding service while maintaining a compassionate and welcoming atmosphere. The ideal Nurse Practitioner or Physician Assistant is energetic, flexible, has a positive attitude and above all else, has a passion for patient care.
Competitive Benefits Available:
Competitive pay – Bonuses Included!",4.2,"SouthStar Urgent Care
4.2",Texas,51 to 200 Employees,-1,Private Practice / Firm,-1,-1,Unknown / Non-Applicable
12,Family Nurse Practitioner,Employer Provided Salary:$100K - $140K,"Come work on a beautiful tropical island, Guam. An exempt position responsible for providing primary care services at IHP Clinic, including assessing, diagnosing, prescribing, treating, and educating patients. Nurse Practitioners will work closely with physicians and other clinicians in a team approach to patient care. The Nurse Practitioner will function in an expanded role providing urgent and emergent care to patients of IHP Medical Group Urgent Care within the scope of licensure by the territory of Guam and professional training. May specialize in a specific type of clinical care, e.g., pediatrics, geriatrics. Relocation benefits available. 2-3 year contracts available.
Minimum Education:
BSN required, MSN preferred
Minimum Work Experience:",-1,"International Health Providers, IHP Clinic","Dededo, GU",-1,-1,-1,-1,-1,-1
