,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Pediatric Occupational Therapist,Employer Provided Salary:$60 - $65 Per Hour,"Job Description
About Us: Playful Learning Pediatric Therapy is seeking a full time Occupational Therapist for our Palmer/Wasilla locations. Dynamic individuals interested in working with children birth to 18 years old in a clinic-based setting are encouraged to apply.
Responsibilities:
Required skills include developmental handling and knowledge related to development in both gross motor milestones and motor coordination in a pediatric clinic-based setting.
Effective written and oral communication skills are also required throughout this process.",-1,Playful Learning Pediatric Therapy,"Eagle River, AK",-1,-1,-1,-1,-1,-1
1,Early Intervention - Occupational Therapist - REMOTE,Employer Provided Salary:$40 Per Hour,"Early Intervention Occupational Therapist - Teletherapy
Part-Time
Currently, we are seeking qualified and experienced pediatric Occupational Therapists licensed in Idaho for our early intervention program.
Skills/Qualifications:
Providers must be passionate about working with and serving diverse groups of children with kindness, empathy and a non-judgemental attitude.
Must have all licenses and background checks required to work in schools
2 years early intervention experience",5.0,"Enable My Child
5.0",Oregon,51 to 200 Employees,2016,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD)
2,Occupational Therapist,Employer Provided Salary:$75K - $89K,"Performance Rehab Senior Care has an opening for an Occupational Therapist in the Hattiesburg area.
Performance Rehab Inc is a local therapist-owned company since 2004 that provides skilled therapy the way it was meant to be and staffs our Senior Therapy Solutions locations. We are looking for a motivated and energetic OT to join our team with the geriatric population in the outpatient setting.
Licensed Occupational Therapist Benefits
Performance Rehab offers competitive pay. For full time employees, we have paid holidays, PTO, retirement plan with 3% match along with excellent health insurance benefits, flexibility and room for growth in the company.",-1,Senior Therapy Solutions,"Hattiesburg, MS",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
3,Occupational Therapist/Hand Therapist,Employer Provided Salary:$100K,"Employer Description:
This 3 clinic, PT owned company is a provider of outpatient, orthopedic rehabilitation. Utilizing the skills of physical, occupational, and massage therapists, as well as athletic trainers and personal trainers, they promote the prevention, care, and rehabilitation of orthopedic, sports, work, and occupational injuries.

Compensation:
$47/hr +, negotiable. About $100k/year

Benefits Offered:
Benefits package including:
Medical
Vision















Full time


8-5 Monday - Friday


If you care about the care your patients receive then this is the place for you. Here you will not find a cookie cutter approach. Each and every patient is given one-on-one time and each receive their own individualized treatment plan to address their specific needs.


No longer needed 6/6/21",-1,The People Link Corp,"Hilton Head Island, SC",1 to 50 Employees,1997,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
4,Occupational Therapist (OTR),$57K - $107K (Glassdoor est.),"Company Description

Occupational Therapist (OTR)
Start Date: within the next 2-4 weeks
Salary: based on years of experience and credentials
Shift: full time, 8 hour shifts
Schedule: We do require a weekend and holiday rotation
Our leadership:
Transitional Care Management has 12 different locations throughout Chicagoland.",2.5,"Thrive of Lisle
2.5","Lisle, IL",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
5,Occupational Therapist,$56K - $100K (Glassdoor est.),"Position: Occupational Therapist
Supervisor: Director of Rehabilitation
Essential Qualifications:
Minimum of Bachelor of Science Degree in Occupational Therapy from an accredited program.
Current licensure as Occupational Therapist in practicing state(s)
Current certification/ registry, as required.",-1,Remedy Therapy Services,"Skokie, IL",1001 to 5000 Employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
6,Pediatric Occupational Therapist,Employer Provided Salary:$80 - $90 Per Hour,"About us
Sensational Kids Therapy is a private, state-of-the art, out-patient pediatric practice.
Sensational Kids Therapy is looking for a part-time contract occupational therapist to join our dynamic team of occupational and physical therapists in our out-patient clinic. Position requires a strong background in pediatrics and knowledge of evidence-based practice. Candidate should be independent, organized, flexible, and able to communicate effectively with parents, teachers, staff, and other professionals.
We are looking for an occupational therapist to service our after school clients.
Minimum Requirements:",-1,Sensational Kids Therapy,"Washington, DC",-1,-1,-1,-1,-1,-1
7,Occupational Therapist (Occupational Therapy - OT),Employer Provided Salary:$100 Per Hour,"POSITION: SYNERTX is hiring PRN OTs for light Home Health coverage in Miles City! This is a flexible and rewarding opportunity where you will make your own schedule and treat patients where they feel most comfortable. We offer tremendous clinical, scheduling and technical support so you can focus on what matters most: patient care!
SCHEDULE: We’re offering $100 per visit for light HH coverage and can work with any availability, including evenings and weekends! Simply let us know what you can do—we’re flexible; we fit patients into your schedule and don’t require a minimum number of hours to stay onboard.
We can also offer consistent hours between our local SNF & HH, if interested!
If you aren’t able to help, please spread the word to your colleagues— we compensate you for referrals!",3.8,"SYNERTX Rehabilitation
3.8","Miles City, MT",51 to 200 Employees,1997,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
8,Pediatric Occupational Therapist,-1,"Come play in our state-of-the art, pediatric, multidisciplinary clinic!
We are an established and growing outpatient developmental clinic and we need a couple more great pediatric occupational therapist to join our team of 12 experienced OTs as full time employee. We work with children and young adults with a variety of needs and will welcome an OT with creative ways to help them meet their goals.
Are you a new grad? If you have completed a level two fieldwork in pediatrics, we will train and nurture you in our ""75/25"" training program!
Our ideal candidate…
has experience in a pediatric outpatient setting, or has had a level two fieldwork in pediatrics
has a current Illinois license to practice occupational therapy.
is committed to providing holistic, evidence-based services.
is a team player who is eager to learn and expand their pediatric knowledge.
is ready to be nurtured by a team of thought leaders in the field or OT.
is playful, creative, and fun!",-1,"Timber Ridge Pediatric Therapy, LLC","Skokie, IL",-1,-1,-1,-1,-1,-1
9,Occupational Therapist-Homecare,Employer Provided Salary:$90 Per Hour,"PearlCare Search Group is currently seeking an Occupational Therapist with Pediatric experience to work with students receiving services in their homes.
We have students in several locations in Westchester. Sessions are in person and should be conducted Monday-Friday but some may have weekend flexibility.
Requirements
NYS Occupational License
NYS Fingerprint Clearance
2+ years Pediatric experience.",3.5,"PearlCare Search Group
3.5","White Plains, NY",501 to 1000 Employees,2004,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
