,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Operations Research Analyst,Employer Provided Salary:$70K - $120K,"JDSAT is an Operations Research and Data Sciences firm currently seeking an enthusiastic, self-driven, and experienced Operations Research Analyst to the US Navy’s Bureau of Medicine and Surgery (BUMED) in strategic decision support through operations analysis to ensure medical forces ready for global contingency operations. These activities require careful and meticulous planning and analysis to balance programming limitations, operational demands, and unit readiness.
The qualified candidate will be educated and experienced in Operations Research or Mathematics. The qualified candidate blends professional and communication skills with technical analytical tasks using both qualitative and quantitative data. The ideal candidate will possess an advanced degree at least (4) years’ experience in a relevant field, including experience analyzing strategic operational challenges within the Department of Defense. The ideal candidate will possess advanced technical skills in statistical and data analysis and demonstrated ability to use common statistical programming languages (e.g. R, Python, or similar) to support a variety of analytical tasks. The candidate is expected to collect technical requirements, liaise with data owners, manipulate and analyze complex datasets, and provide analysis of results that can be visualized and easily comprehended by non-technical customers. The candidate will produce technical data analysis on several existing workstreams; work with customers to evaluate new requirements; serve as a technical expert capable of clearly explaining technical methodologies in lay terms; deliver technical solutions that meet requirements; and evaluate datasets to creatively explore how they can be developed into new workstreams.",-1,JDSAT,"McLean, VA",,-1,,-1,-1,
1,Operations Research Analyst (ORSA),-1,"Description
Job Description:
The Leidos Office of Technology (OOT) has openings for Operations Research Analyst (ORSA)
Position Summary:
Subject Matter Experts (SMEs) to support the Operational Effectiveness Modeling & Simulation Center of Excellence (OE M&S CoE).
These SMEs and the CoE will focus operations research/mission analysis and M&S capability, processes, tools, procedures, and analysis techniques in support of the Leidos enterprise. The CoE team will facilitate, advise, and train the Leidos Line organizations and enterprise on the use of OR analysis methodologies, techniques, and M&S capabilities to:",3.9,"Leidos
3.9","Reston, VA",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
2,Security Operations Center Analyst (Tyler Detect),$36K - $77K (Glassdoor est.),"The SOC analyst will research current attack trends and methodologies, tracking sources of malware and being able to identify how network infrastructure may have been compromised. They will communicate effectively within the team and work cooperatively with the Tyler Detect Lead Analysts, Senior Analysts, Threat Analysts, and Team Managers to ensure the highest quality and timely reporting to the Tyler Detect client base. The Security Operations Center (SOC) Analyst position is also responsible for surveilling and responding to real time security event alerts by performing log analysis investigations. This will occasionally involve working off hours shifts.
Primary working hours: 7:00AM – 3:30PM.
Monthly rotating shifts are:
Monday: 7:00AM - 3:30PM, Tuesday - Friday: 11:30AM – 8:00PM",3.9,"Tyler Technologies, Inc.
3.9","Yarmouth, ME",1001 to 5000 Employees,1966,Company - Public,Computer Hardware & Software,Information Technology,$500 million to $1 billion (USD)
3,Airport Operations Research Analyst III,$59K - $129K (Glassdoor est.),"Type of Requisition:
Pipeline
Clearance Level Must Currently Possess:
None
Clearance Level Must Be Able to Obtain:
None
Suitability:
Agency Specific
Research
40
Less than 10%
Some Telecommuting Allowed
USA NJ Atlantic City
This position requires being fully vaccinated against COVID-19 by January 18, 2022 or the start date, if after January 18. Individuals who work in or reside in Texas or Montana or work outside of the United States may be excluded from this requirement. We are GDIT. The people supporting some of the most complex government, defense, and intelligence projects across the country. We deliver. Bringing the expertise needed to understand and advance critical missions. We transform. Shifting the ways clients invest in, integrate, and innovate technology solutions. We ensure today is safe and tomorrow is smarter. We are there. On the ground, beside our clients, in the lab, and everywhere in between. Offering the technology transformations, strategy, and mission services needed to get the job done.GDIT is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status, or any other protected class.",3.8,"General Dynamics
3.8","Atlantic City, NJ",10000+ Employees,1996,Subsidiary or Business Segment,IT Services,Information Technology,$2 to $5 billion (USD)
4,Deposit Operations - New York Analyst,$38K - $79K (Glassdoor est.),"SUMMARY: The Deposit Operations - New York Team Analyst works in a team environment to support the day-to-day operational activities within the New York Operations unit of Deposit Operations. The Deposit Operations - New York Unit is responsible for critical operational functions identified for business continuity purposes and load balancing of day-to-day functions handled by various Deposit Operations units. The Analyst ensures all assigned Deposit Operations functions are appropriately handled; especially during a storm event when Florida Deposit Operations team is unavailable to perform the functions. The Analyst responds to and resolves internal customer/business partner inquiries with an emphasis on customer satisfaction and problem resolution; establishes and maintains rapport with internal customers/business partners to provide the best possible service; recommends and provides feedback for improvements to processes and procedures. Additionally, the Analyst may be cross-trained and assume various Team Lead functions during high volume production periods or when the Team Lead is out of the office.",3.0,"BankUnited
3.0","Melville, NY",1001 to 5000 Employees,2009,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD)
5,Corporate Development and Sales Operations Analyst,Employer Provided Salary:$100K - $150K,"Headquartered in Arlington, Virginia, IntraFi Network (formerly Promontory Network) – the nation’s largest deposit allocation service provider and the inventor of reciprocal deposits – provides dynamic, all-weather balance sheet and liquidity management solutions to help financial institutions grow franchise value. The company, chosen by thousands of banks since its founding nearly two decades ago, has assembled the largest bank network of its kind. Its solutions help institutions to acquire high-value, local relationships; purchase funding; and reduce collateralization costs.
At IntraFi Network, we prosper by working hard in an open and creative environment. Our efforts to create and maintain a culture that values our people have led us to be designated among the top fintech companies to work for by American Banker. Promontory Network has also been recognized as one of the best places to work by the Washington Post’s Top Workplaces and the Washington Business Journal’s Best Places to Work. Our company is also recognized among Fortune’s lists of Best Workplaces—Small & Medium Businesses and Best Workplaces in Financial Services and Insurance.",4.8,"IntraFi Network
4.8","New York, NY",201 to 500 Employees,2002,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable
6,Business Intelligence Analyst (**Remote Available**),-1,"Business Intelligence Analyst (**Remote Available**)
2113640
Job Human Resources
Primary Location TN-Nashville-2525 West End Ave
Organization HR System Data 108217
Shift Days

JOB SUMMARY:
The Business Intelligence Analyst, is a member of the HRIS team providing for the Human Capital technology, analytics and reporting needs of Vanderbilt University Medical Center. The team utilizes various tools including Tableau, Oracle BI, SAP Business Objects as well as MS Access and advanced Excel to provide dashboards and recurring functional reporting on a weekly and monthly cadence. The team supports over 50 HR applications across Talent Acquisition, Learning & Development, Performance Excellence, Compensation, HR Operations and Compliance. The HRIS team and this role specifically will have an active role in the implementation of Workday HCM at VUMC and will be utilitizing Workday Prism for the deployment. (Note: )",3.8,"Vanderbilt University Medical Center
3.8","Nashville, TN",10000+ Employees,1874,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
7,Operations Analyst - Investments,Employer Provided Salary:$50K - $65K,"Company Overview
Kuvare Insurance Services (“KIS”) is an insurance-focused asset manager with $17 billion in assets under management. The team seeks to drive superior risk-adjusted returns for its clients utilizing a hybrid approach that combines access to market-leading third party asset management firms and a growing internal investment team, whose primary areas of focus are in illiquid investment-grade fixed income asset classes such as private corporate debt, private asset-backed securities and commercial mortgage whole loans.
Job Description
The Operations Analyst is a key member of the operations and investment teams supporting trade processes, data management, client reporting and portfolio management functions. This person will work closely with the operations and investment teams in our Rosemont, IL office. This position requires strong computer skills, attention to detail, positive professional attitude, self-starter, ability to work in a team environment, and the ability to work under tight deadlines.",-1,Kuvare Insurance Services,"Chicago, IL",-1,-1,-1,-1,-1,-1
8,Research Analyst – Qualitative Behavioral Investment Insights,Employer Provided Salary:$50K - $55K,"Research Analyst – Qualitative Behavioral Investment Insights
The ideal candidate finds doing qualitative analysis intellectually stimulating, especially when the right or wrong answer is difficult to discern, and finds reading and writing about business strategy, operations and performance thought-provoking. They consider taking ownership of their work, developing analytical skills, and sharing their expertise with others as important measures of success.
Business Intelligence Advisors, Inc. (“BIA”) is an independent investment research firm that provides a unique edge to institutional investors and hedge funds. BIA uses its proprietary behavioral assessment methodology, developed by U.S. intelligence professionals, to critically analyze the language and behaviors from company disclosures to ascertain for investors when management teams are conveying incomplete and unreliable information.",-1,"Business Intelligence Advisors, Inc.",Remote,-1,-1,-1,-1,-1,-1
9,Data Analyst,Employer Provided Salary:$60K - $110K,"Battea is currently in a hybrid work model, balancing in-office and work-from-home.
We are looking to fill multiple data analyst roles ranging from junior to senior level.
Background:
Founded in the mid‐1990’s, Battea – Class Action Services, is the preeminent provider of securities class action recovery services to the institutional investment community. Battea processes detailed historical trade data and efficiently handles filings and collections of class action settlement recoveries on behalf of hedge funds and proprietary trading firms. Through its highly automated Claims Engine technology, Battea provides institutional investors with a full-service, outsourced solution for securities class action claims processing.
We are looking for talented individuals that possess a unique combination of business acumen, technical skills, securities industry knowledge as well as strong interpersonal skills in order to provide technical data analysis and innovative problem solving skills. The role entails in depth data analysis and collaborating with data team co-workers and Customer Service Representatives to drive automation and efficient and timely data processing.",-1,"Battea - Class Action Services, LLC","Stamford, CT",-1,-1,-1,-1,-1,-1
