,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Optometrist,Employer Provided Salary:$75 Per Hour,"Looking for a OD for our center city and North East locations must have at least 2 years experience. Primarily routine eye exams for contacts and glasses not much medical exams. GREAT hrs 10-5 weekdays Wednesday till 7 Saturday 10-4 also Part-time hours available. Great staff and modern equipment. Great position for the right person. A no pressure,non corporate position. Established company 41 years in business and still growing. Come join us!!!
call Bill 6097449407
Job Types: Full-time, Part-time, Contract
Pay: $75.00 per hour
License/Certification:",-1,Eye Encounters,"Philadelphia, PA",-1,-1,-1,-1,-1,-1
1,Optometrist,Employer Provided Salary:$65 - $75 Per Hour,"About us
The New Jersey Eye Center - We are committed to providing only the highest levels of quality and compassionate care.
Our teams have 1 single goal , ""to relentlessly improve in all we do"".
We are looking for an Spanish speaking Optometrist to perform eye tests and provide excellent eye care to our patients primarily in one of our two locations. (both locations are 9 miles apart) . Optometrist responsibilities include analyzing vision tests, identifying sight problems and prescribing corrective lenses and eyeglasses. To be successful in this role, you should have attention to detail and be able to treat all kinds of patients with kindness and discretion, from young children to the elderly. You will need to be flexible in your schedule with a rotating Saturday schedule, and two later evening hours til 7pm per week. Note that to be considered for this position, you need to be a licensed Optometrist. Ultimately, you will ensure the accurate diagnosis and treatment of eye diseases and injuries.",-1,The New Jersey Eye Center,"Passaic, NJ",-1,-1,-1,-1,-1,-1
2,Optometrist,Employer Provided Salary:$75K - $95K,"We are looking for an Optometrist to perform eye tests and provide excellent eye care to our patients. Optometrist responsibilities include analyzing vision tests, identifying sight problems and prescribing corrective lenses and eyeglasses. To be successful in this role, you should have attention to detail and be able to treat all kinds of patients with kindness and discretion, from young children to the elderly. Note that to be considered for this position, you need to be a licensed Optometrist. Ultimately, you will ensure the accurate diagnosis and treatment of eye diseases and injuries.
Responsibilities
Perform comprehensive eye and vision tests
Diagnose defects of the eye, such as myopia, astigmatism and glaucoma
Provide personalized temporary and permanent solutions to sight issues based on each patient’s specific case and medical history",-1,Remke Eye Clinic,"Lawrenceburg, TN",-1,-1,-1,-1,-1,-1
3,Optometrist,Employer Provided Salary:$125K - $130K,"We are seeking full time and part time Optometrists to join our well established and dynamic practice
Please reply with your C.V.
Must be able to see a minimum of 30 patients per day while fully utilizing EHR technology
Previous experience with a large multi-specialty EHR preferred but not required
Greenway Intergy EHR experience preferred but not required
Must be prepared to learn new EHR software updates when released and adapt to the EHR and regulatory changes
Applicants must be versed in the CMS Quality Payment Program
Applicants must possess the ability to organize their own work flow and medical assistants",-1,The Eye Clinic,"Sedona, AZ",-1,-1,-1,-1,-1,-1
4,Optometrist,Employer Provided Salary:$120K - $160K,"Optometrist- Full/Part Time- Tallahassee
Join an established, doctor led, multi-location and rapidly-growing practice.
Choose your work load- either part-time or full-time, giving you the flexibility to adjust to your career goals and needs.
Work with fellow professionals who prioritize patient care
Competitive compensation package
Bonuses include production, retention and sign-on = great income potential
Practice Optometry and Eye Care in a professional setting
New grads and experienced ODs welcome!",-1,RDR Optometric Care PA,"Tallahassee, FL",-1,-1,-1,-1,-1,-1
5,Licensed Optometrist - US Military Group Event,Employer Provided Salary:$85 Per Hour,"Great and unique opportunity to provide the best in health care services to our nation's heroes. For us, this isn’t a job, it’s an honor. At our core is an unwavering dedication to serving the brave men and women who protect and serve this country.
No matter the place, the time, or the service, we get the job done. And get it done right. Because our customers’ missions cannot fail.
Seeking candidates to provide Comprehensive Eye Evaluations (CEE) during scheduled Reserve Health Readiness Program (RHRP)
Seeking candidates to assist us with serving the Military on the following dates/locations:
11/6/2021 - 11/7/2021 Salisbury NC
11/6/2021 - 11/7/2021 Raleigh NC",1.0,"QPCS
1.0",South Carolina,51 to 200 Employees,-1,Company - Private,IT Services,Information Technology,
6,Associate Optometrist,-1,"Lifestyle Practice Opportunity
Busy surgical practice is seeking a full-time Optometrist to join our community-oriented, private practice located just south of the Twin Cities in Minnesota. This position offers an exceptional practice opportunity for the optometrist who enjoys being challenged and is seeking a rewarding career. The practice is seeking a compassionate, growth-oriented individual who desires to work in a collaborative group practice setting.
Richie Eye Clinic and LASIK Center specializes in providing comprehensive eye care services to its surrounding communities. The practice currently has two locations with two ophthalmologists, five optometrists, a successful optical shop and state-of-the art ambulatory surgery center. The main clinic and surgery center are located in Faribault, Minnesota with a satellite clinic located in
Northfield, MN (home of St. Olaf College and Carleton College). Richie Eye Clinic and LASIK
Center offers the following:",-1,Richie Eye Clinic & LASIK Center,Minnesota,-1,-1,-1,-1,-1,-1
7,Optometrist,Employer Provided Salary:$90K - $158K,"Albany Area Primary Health Care, Inc. develops partnerships with our patients in the context of family and community. As a community health center it is our goal to offer a broad range of primary care services. We strive to provide comprehensive, coordinated, and continuous care to all who access our services. AAPHC is proud that all qualifying clinical locations operated by AAPHC are recognized Patient Centered Medical Homes by the National Center for Quality Assurance.
As a part of our commitment to providing quality care we are currently looking to expand our optometry team! Operating an integrated care model to our patients also offers a unique practice environment for our providers and allows them to go beyond the typical office environment and actually see patients where they are. We offer services inside of our School Based Health Centers, as well as offering services at our primary care offices.
AAPHC offers a competitive benefits package including health and dental-premiums paid as pre-tax dollars. short term disability, long term disability, paid vacation and sick time, CME time, and participation in a tax deferred annuity plan with employer contributions after one year of service. Based on AAPHC being deemed a Community Health Center, we also qualify for the Federal Torts Claims Act which allows providers free malpractice insurance.",3.1,"Albany Area Primary Health Care, Inc
3.1","Albany, GA",201 to 500 Employees,1979,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD)
8,Optometrist,-1,"Our Vision is to be the best choice for healthcare in our community
Looking for a licensed Optometrist. If you love working with patients and providing excellent care this is the position for you!
Monday through Friday hours. NO evenings or weekends!
Position:
Optometrist
Timeframe:
ASAP",3.3,"Florida Medical Clinic
3.3",Florida,1001 to 5000 Employees,1993,Company - Private,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD)
9,Optometrist (valid CAQH req) Philadelphia area location,Employer Provided Salary:$80 Per Hour,"We are looking for an Optometrist to perform eye tests and provide excellent eye care to our patients. Optometrist responsibilities include analyzing vision tests, identifying sight problems and prescribing corrective lenses and eyeglasses. To be successful in this role, you should have attention to detail and be able to treat all kinds of patients with kindness and discretion, from young children to the elderly. Note that to be considered for this position, you need to be a licensed Optometrist. Ultimately, you will ensure the accurate diagnosis and treatment of eye diseases and injuries.
Responsibilities
Perform comprehensive eye and vision tests
Diagnose defects of the eye, such as myopia, astigmatism and glaucoma
Provide personalized temporary and permanent solutions to sight issues based on each patient’s specific case and medical history",-1,III Kings Inc,"Philadelphia, PA",-1,-1,-1,-1,-1,-1
