,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Oral Surgeon,Employer Provided Salary:$100K - $357K,"Well established, multi-specialty dental group seeks an Oral Surgeon interested in working in a team-oriented environment. We are an enthusiastic group of providers looking for patient-focused, clinically skillful doctors. We offer competitive compensation, continuing education opportunities, and comprehensive benefits.
Oral Surgeon Qualifications
DDS/DMD from an accredited University and active State Dental Board license
Oral Surgery Residency completed
Board Certified is a plus
A personable chair side manner
Oral Surgeon Benefits",-1,Dental Bright Burlington,"Burlington, MA",-1,-1,-1,-1,-1,-1
1,Oral Surgeon up to $750K/yr,-1,"Job Type
Full-time
Description

Exciting opportunity in Denver Colorado for a full-time Board Certified Oral and Maxillofacial Surgeon to work in our state of the art facility with earnings potential of $500,00.00-$750,000/yr
Immediately busy patient schedules with a large number of new patients per year and internal referral source.
Technologically advanced practice with CBCT, onside lab and imaging services and integrated EMR system.
Multi-generation group practice in Denver, Colorado locally owned and operated since 1979",-1,Mile High Dental - Lakewood,"Lakewood, CO",-1,-1,-1,-1,-1,-1
2,Orthodontist - Periodontist - Oral Surgeon,-1,"Growing Southwest Wisconsin dental office seeking an experienced professional orthodontist/periodontist/oral surgeon to work 1 day per week at our office in Richland Center. We offer a great earning potential, a comfortable work environment, a very supportive clinical and administrative team and a large potential patient base.
This is an outstanding and unique opportunity to join our growing practice. Our office is a state of the art facility with tremendous growth opportunity. We have state of the art technology and are always on the cutting edge of the industry. Our clinical focus is early intervention, as well as comprehensive orthodontics including Invisalign for patients of all ages.
If you are interested in the position, please send your resume to wpdental at mwt.net (Attn: Hope, Office Manager) and we will contact you to discuss the position. Please include any questions you have about the position.",-1,WP Dental,"Richland Center, WI",-1,-1,-1,-1,-1,-1
3,Oral Surgeon,-1,"Our Dental Practice is looking for an oral surgeon with several years of experience. We can work with your schedule and availability, so scheduling shouldn't be an issue.
Compensation is negotiable based on experience and will be discussed if you apply to the position.
Job Types: Full-time, Part-time
Work Location:
One location
Work Remotely:
No",-1,Little Falls Dental Center,"Montclair, NJ",-1,-1,-1,-1,-1,-1
4,Oral Surgeon,-1,"We are a multi-doctor general dental practice seeking a part time oral surgeon to provide oral surgery and implant related procedures for our patients from 2 to 7 days a month/flexible.
Required experience in oral surgery for 3 years, preferred.
Please forward your resume for consideration.
Experience:
oral surgery: 3 years (Required)",-1,CT Dental Management,"Norwalk, CT",-1,-1,-1,-1,-1,-1
5,Oral Surgeon,$184K - $460K (Glassdoor est.),"Alderwood Family Dental in Lynnwood, WA is actively seeking a talented and enthusiastic Oral Surgeon to see patients at our established General Dentistry practice as available, 1-2 days per month. We maintain a large, loyal patient-base and are excited about the potential to provide our patients with the privilege of being seen by a specialist in our location for the sake of comfort, convenience, and continuity of care. The commitment for this opportunity can be catered to the Oral Surgeon’s availability and desired arrangements. We are open to collaboration and intend to provide competitive compensation for this opportunity.

If you are an Oral Surgeon interested in adding a few days per month in a state-of-the-art dental practice, look no further!
Requirements & Preferences
Certificate in OMFS",3.2,"Signature Dental Partners
3.2","Lynnwood, WA",51 to 200 Employees,2000,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
6,Oral Surgeon,$155K - $376K (Glassdoor est.),"Job Description
We're seeking an experienced part-time or full-time oral surgeon. You will have an excellent compensation opportunity with good patient flow in nice offices.
Clinical Practice
Complete autonomy over treatment planning
Full patient schedules
Friendly and efficient staff
Benefits
Continuing Education",-1,Unified Dental Care,"Detroit, MI",51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
7,Oral Surgeon,$145K - $345K (Glassdoor est.),"Part-time or full-time Oral Surgeon needed for busy, progressive dental practice in Chicago and/or Aurora.
2 - 4 days per week depending on ability to travel to our other office 1 hour away. Flexible on days
Great compensation. Full benefits package including matching 401k; for full-time.
Solid patient flow
Responsibilities:
Perform biopsies determine if growth or tumors are cancerous
Administering local, regional, or general anesthetics to patients before surgeries",-1,T & J Recruiting Services,"Chicago, IL",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
8,"Oral Surgeon Needed ASAP for Park Ave Practice, High Earning Potential!",Employer Provided Salary:$250K,"Excellent opportunity to join a growing multi-specialty group practice in NYC's Upper East Side. The position is ideal for someone who wishes to settle down in NYC and build a name for him or herself in the community. Although, those candidates not here indefinitely will also be considered. Position is available immediately. Income & growth potential is tremendous! Estimated income is for < 2 full days/week, but we would prefer the ideal candidate to work more days!
The office stunning and is newly renovated with state-of-the-art technology. Accredited operating room is available in-house for performing procedures under IV sedation or general anesthesia. M.D. anesthesiologists are available for more complex cases. Seeing externally referred patients, as well as in-house patients makes the position more desirable and lucrative. Many instances of multi-disciplinary cases will occur.
You will have lots of autonomy and ability to order your preference of materials. Must be willing to treat adult & pediatric patients, as well as be a team-player. Full-time is preferred, but part-time can be accommodated. You can dictate your hours and time off within reason. This is a positive environment and the right oral surgeon will not only be a welcomed addition, but also be a magnificent success!",-1,Park Smiles NYC,"New York, NY",-1,-1,-1,-1,-1,-1
9,Oral Surgeon,Employer Provided Salary:$75 Per Hour,"High Tech Practice with digital dentistry (CT scan, digital impressions, X-rays, Cerec, etc) looking for part-time Oral Surgeon. Proficient with bony, partial-bony erupted & unerupted teeth.
PPO/Fee-for-service practice offering large patient base with 250 new patients a month.
1-2 years of experience preferred
Job Type: Part-time
Pay: From $600.00 per day
Benefits:
Employee discount",5.0,"Fenton Family Dental
5.0","Suitland, MD",51 to 200 Employees,2009,Unknown,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
