,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Orthodontist Wanted,Employer Provided Salary:$188 Per Hour,"About us
For over 30 years, the Dentists at Amador Dental & Orthodontic have provided our dental patients of every age with smiles that last a lifetime. When you're looking for the best family dentist in Pleasanton, you can rest assured you've come to the right place.
Our dentists are trained to treat everyone in your family, from toddlers to teens, to parents and grandparents. You'll always receive the best dentistry services focused on your family's well-being at Amador Dental & Orthodontic.
Our general dentistry practice is seeking a highly skilled Orthodontist who is willing to travel the East Bay. We are looking for someone with great professional skills to join our team in providing high quality dental care to our patients one to two days per month.",-1,Amador Dental & Orthodontic,"Pleasanton, CA",-1,-1,-1,-1,-1,-1
1,Orthodontist,Employer Provided Salary:$180K - $300K,"PERFECT DENTAL: A dental platform built for dentist and Orthodontists to be able to deliver dentistry and orthodontics with clinical autonomy.
Perfect Dental prides itself on providing the ultimate experience for patients, family and staff.
We have built our culture on honesty and transparency, hardworking and approachable, can do patient focused and team lead attitude.
Our team is high energy, tech- savvy and down to earth with unique and fun company culture.
Our practice is state-of-the-art practice, warm and inviting for all providing services with innovative technology.
All Orthodontic offices have iTero’s, pan & ceph present.",-1,Perfect Dental Roslindale,"Boston, MA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
2,Orthodontist,Employer Provided Salary:$300K,"We are looking for a talented, outgoing, and motivated Orthodontist to help lead our growing practice!
SIMKO Speciality Dental is rooted in our dedication to premier patient care. Putting our patients first allows our passionate, caring Team Members to dedicate their focus on building positive and encouraging relationships with each other and our patients, all while providing the services that our communities want.
SIMKO Specialty Dental’s mission and commitment is to ensure access to high quality specialty dental care by doing the following:
Actively engage in our local communities (both dental and patient communities).
Deliver outstanding clinical outcomes (beautiful, healthy similes that last a lifetime).
Provide a warm, fun, welcoming environment that patients and parents RAVE about.",3.0,"SIMKO Specialty Dental
3.0","Denver, CO",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
3,Orthodontist,Employer Provided Salary:$250K,"Shapiro Family Dentistry is looking for an Orthodontist in our beautiful offices. Our offices are located in West Palm Beach, Boca Raton, Boynton Beach and Ft Pierce.
Our practice is multi-specialty with in-house specialists, including an Invisalign Diamond Plus Provider. We are a state of the art digital office with all the new up to date technology.
Check out our website to learn more about us shapirosmile.com and please send your resume
We look forward to hearing from you!
Job Types: Full-time, Part-time
Pay: Up to $250,000.00 per year",-1,Shapiro Family Dentistry,"West Palm Beach, FL",-1,-1,-1,-1,-1,-1
4,Orthodontist,Employer Provided Salary:$150 - $188 Per Hour,"Associate Orthodontist - Part Time
Pedo Ortho practice seeking an associate orthodontist to join our growing practice in Woodside/Queens team Salary: $1100 to 1500 a day depending experience +comission with future growth opportunities at our additional locations
Job Type: Part-time
Pay: $1,200.00 - $1,500.00 per day
Schedule:
8 hour shift
Supplemental Pay:",-1,Kids Dental Village/hellosmile,"Woodside, NY",-1,-1,-1,-1,-1,-1
5,"Associate Orthodontist (Part-Time) $1,250.00 per day",Employer Provided Salary:$156 Per Hour,"Job Type
Part-time
Description

Colorado Springs Family Orthodontics, an established Orthodontic practice located in Colorado Springs, Colorado has an immediate need for a Part-Time Orthodontist for our busy Orthodontic team. This is a part time position working 4 days per month in our practice located in Fountain Dental Center. The working days would be E/O Monday and Thursday alternating each week.
At Colorado Springs Family Orthodontics we put our patients first. It is our vision to be the patient experience industry leader, and to provide a pleasant working environment for all of our team members.

At Colorado Springs Family Orthodontics, our team members are the most valuable resource to fulfill this vision. We apply the principles of trust, honesty, integrity, commitment, and we nurture the growth of each individual and the company. Our practice fosters an environment where diversity is valued, quality of life is enhanced, individual aspirations are achieved, and our ability to deliver a Distinctive Patient Experience is enhanced.",3.3,"Colorado Orthodontics Group
3.3","Colorado Springs, CO",10000+ Employees,1994,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
6,Orthodontist - Periodontist - Oral Surgeon,-1,"Growing Southwest Wisconsin dental office seeking an experienced professional orthodontist/periodontist/oral surgeon to work 1 day per week at our office in Richland Center. We offer a great earning potential, a comfortable work environment, a very supportive clinical and administrative team and a large potential patient base.
This is an outstanding and unique opportunity to join our growing practice. Our office is a state of the art facility with tremendous growth opportunity. We have state of the art technology and are always on the cutting edge of the industry. Our clinical focus is early intervention, as well as comprehensive orthodontics including Invisalign for patients of all ages.
If you are interested in the position, please send your resume to wpdental at mwt.net (Attn: Hope, Office Manager) and we will contact you to discuss the position. Please include any questions you have about the position.",-1,WP Dental,"Richland Center, WI",-1,-1,-1,-1,-1,-1
7,Associate Orthodontist,Employer Provided Salary:$175 - $200 Per Hour,"Children's Dental Health, the region's leading provider of pediatric dental care, is seeking a talented Orthodontist to serve our rapidly growing orthodontic practice. Long established as the leading pediatric dental care provider in the region, we are now proud to offer orthodontic services in the majority of our practice locations.
We are currently seeking an Orthodontist to serve our successful practices in Central Pennsylvania. Our office locations in the region include Harrisburg, Mechanicsburg, Lancaster, and York. Both full-time and part-time schedules are available!
Children’s Dental Health has been providing quality pediatric dental care to the community for more than 40 years. With 30 practices and pediatric dentists/orthodontists located throughout the state of Pennsylvania, New Jersey, and Delaware, we allow for convenient access to dental care that is engaging, fun, and educational for patients.",-1,Children's Dental Health,"Harrisburg, PA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
8,Orthodontist,Employer Provided Salary:$188 Per Hour,"Immediate opening for an Orthodontist seeking 1-2 working days per month at our growing general/pediatric practice. Applicants must be proficient in traditional orthodontics, invisalign and provide patient focused care. Offering competitive compensation. The practice is conveniently located 15 minutes NW from Downtown Houston. Please submit your CV with application.
Job Types: Part-time, Contract
Pay: From $1,500.00 per day
Benefits:
Flexible schedule",-1,Confidential,"Houston, TX",-1,-1,-1,-1,-1,-1
9,Orthodontist,Employer Provided Salary:$300K - $400K,"About us
ROYAL DENTAL has been proud to provide Houston and surrounding areas with dentistry services for over 30 years. As a family dental practice, with specialist on staff we provide dental care for children and adults.
We keep our patients SMILING!
This is an opportunity for an Orthodontist to join a busy privately owned group dental practice in Houston, TX metro area. The practice is very well established and branded, and has a high-income opportunity with base guarantee and bonus potential pushing earnings past $300k to $400k per year. Fee for Service and PPO practice * ITero scanners, and excellent support team and assistants.",-1,ROYAL DENTAL,Texas,-1,-1,-1,-1,-1,-1
10,Associate Orthodontist for Start up,Employer Provided Salary:$188 Per Hour,"We have built one day a week orthodontic practices over many years at two locations on Fridays. We are looking for an orthodontist to come in and take over this process at our start up location. There will be no financial discussion for the orthodontist and patients will primarily be part of a Union and have their treatment covered by their insurance benefits. It will be well staffed with orthodontic specific assistants. The office is under construction and should be ready by the beginning of December. We would like to have our orthodontist hired in advance so we can use their input on all purchasing as it relates to them. You will have full autonomy to treat patients as you see fit. We look forward to finding the right person to start the process with.
Job Type: Part-time
Pay: From $1,500.00 per day
Schedule:",-1,Glen Oaks Dental Professionals,"Fresh Meadows, NY",-1,-1,-1,-1,-1,-1
11,Orthodontist,Employer Provided Salary:$182K - $425K,"About us
Tri-City Children's Dentistry is a company in Oceanside, CA. We are creative, fun, supportive and our goal is to To create an optimal and lifelong smile. To empower a patient to value his/her oral well being through positive feedback and coaching, thus building accountability and self-confidence..
Our work environment includes:
Modern office setting
Lively atmosphere
Relaxed atmosphere",-1,Tri-City Children's Dentistry,"Oceanside, CA",-1,-1,-1,-1,-1,-1
