,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Certified Prosthetist Orthotist,Employer Provided Salary:$115K,"Seeking an ABC-certified CPO for our expanding practice in New Jersey and NY offices.
Great opportunity for Individuals seeking to utilize and develop your capabilities to participate as a key player in the growth of our specialty services. Objectives include; to achieve certification, educate referring healthcare specialists and provide superb clinical intervention. Positive, self motivated individuals will enjoy the benefits of a unique structured company poised for growth and dedicated to the ultimate needs of it's employees and patients alike. Good clinical and verbal communication skills required to participate effectively in market growth and company development.
The position offers a comprehensive benefits package including; very competitive salary, industry-leading health and insurance benefits, CEU course allocations, generous paid vacation time, bonus opportunity and a 401k matching program.",-1,Pedicare Orthotics & Prosthetics,"Lakewood, NJ",-1,-1,-1,-1,-1,-1
1,CERTIFIED PROSTHETIST AND ORTHOTIST OR CERTIFIED ORTHOTIST,Employer Provided Salary:$45K - $75K,"Position Title: Certified Prosthetist/Orthotist
Main location: Coon Rapids, MN
Secondary locations: Fridley, MN
Type of Position: Full Time (40 hours)
Schedule: Mon-Friday 8:00 am to 4:30 pm
On Call every other weekend.
This small, family owned and operated medical supply company is seeking a candidate who will compliment our ofice with a friendly and caring personality. This person must be patient-focused, trustworthy, flexible and a good team player!
Job Summary:",-1,"North Metro Orthotics and Prosthetics, Inc.",Minnesota,-1,-1,-1,-1,-1,-1
2,Certified Prosthetist Orthotist,Employer Provided Salary:$55K - $110K,"Alcam Medical Orthotics and Prosthetics, is one of the leading clinical authorities in the provision of rehabilitative solutions, including being one of the largest owners and operator of orthotic and prosthetic clinics in Southern California.
Whether directly or indirectly, every individual across every department at Alcam is helping to improve the lives of our patients and customers. We know that the “possible” lives inside each of us, waiting to be unleashed. At every touch point across all our business, we are keeping lives in motion, breaking down barriers, taking dreams further.
Duties include, but may not be limited to:
Performs a comprehensive assessment of the patient to obtain an understanding of the patients' orthotic/prosthetic needs.",3.0,"Alcam Medical Orthotics and Prosthetics
3.0","Lancaster, CA",51 to 200 Employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
3,"CPO, Certified Prosthetist Orthotist",Employer Provided Salary:$80K - $125K,"CPO, Prosthetist Orthotist needed for a well established (27 years) O&P practice in Northern Virginia. Are you a team player, honest, independent, detail-oriented, and ready to treat patients? If so, please join our TEAM!
A competitive salary, benefits package and sign on bonus offered.
Job Type: Full-time
Pay: $80,000.00 - $125,000.00 per year
Benefits:
401(k)
Health insurance",-1,"Specialized Orthopaedic Services, Inc.","Vienna, VA",-1,-1,-1,-1,-1,-1
4,Certified Prosthetist Orthotist,$30K - $80K (Glassdoor est.),"Busy O&P practice has immediate openings for Certified Prosthetists and Certified Orthotist Prosthetists in our suburban Philadelphia office. Seeking strong ABC or BOC certified applicants who possess exceptional technical and clinical skills. NJ license a plus.
Highly competitive salary and benefits package. All inquiries will be kept confidential.
Please send a resume for consideration.
Job Type: Full-time
Experience:
Prosthetist: 2 years (Preferred)
Education:",-1,LTI Orthotic Prosthetic Center,"Bristol, PA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
5,Prosthetist/Orthotist,Employer Provided Salary:$55K - $90K,"Description
The essential functions and activities of this position surround the title of the position. The activities necessary for our office to have a successful Orthotic program are the general essential functions of this position. Some of these functions include:
Assist physicians with the evaluation and analysis of the patient’s need for prosthetic and orthotic services.
Ensure that proper patient management is consistent with established practices for prosthetic care.
Ensure that proper patient management is consistent with established practices for orthotic care.
Recommend treatment options to physicians when necessary.",4.7,"CPO Services, Inc
4.7","Chicago, IL",51 to 200 Employees,2005,Company - Private,-1,Health Care,$10 to $25 million (USD)
6,"Prosthetist or Prosthetist/Orthotist - CPO - Severna Park, MD",-1,"Presque Isle Medical Technologies, a growing multi state O&P practice, is seeking to add another dynamic CP/CPO for our newest office at Shore Prosthetics in Severna Park, MD and our unique mobile service model. You'll also gain experience in the latest of 3d scanning, modification and additive/3d printing options!
Candidate criteria:
Knowledgeable in all areas of prosthetic care
Has experience treating patients of all ages
Pleasant demeanor
Strong communication skills
Self-motivated",-1,Presque Isle Medical Technologies,"Severna Park, MD",-1,-1,-1,-1,-1,-1
7,Certified Prosthetist Orthotist,$28K - $67K (Glassdoor est.),"Life without LIMITATIONS!
Rocky Mountain Artificial Limb & Brace, is a global innovative leader in non-invasive, high quality Prosthetics and Orthotics, with a passionate focus on patient care! We are devoted to providing the highest standard of patient care and experience, while making patient mobility possible. We are proud of our 50 years of clinical excellence and our hard-working team that provides and supports solutions for a greater quality of life for millions of patients around the world.
RMALB is more than a company; we are a TEAM to build a long-term career with; providing career growth and a positive company culture.
We are looking for a highly skilled, top talent individual to join our dynamic team as a CPO.
If you have the qualifications listed below and are looking to join a company that you can be proud to work for, please submit your resume for review.",3.6,"Rocky Mountain Artificial Limb & Brace
3.6","Idaho Falls, ID",51 to 200 Employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
8,Certified Prosthetist/Certified Prosthetist Orthotist,Employer Provided Salary:$75K,"Certified Prosthetist/Orthotist - Certified Prosthetist
Northern Brace Northern Prosthetics-South Bend, IN
Northern Brace Northern Prosthetics is a second generation family owned business. We have provided Orthotic and Prosthetic care in the Michiana area since 1971. We are seeking to hire a Certified Prosthetist or CPO to join our team. The ideal candidate for this position needs to be dedicated to providing the best patient care possible.
Job Responsibilities:
Build and maintain referral relationships by networking with local medical professionals.
Work with staff to obtain required medical documentation from referral sources for compliance.",-1,Northern Brace Northern Prosthetics,"South Bend, IN",-1,-1,-1,-1,-1,-1
9,Certified Prosthetist and Orthotist,-1,"Life without LIMITATIONS!
Victory Orthotics & Prosthetics a BCP Group company, is a global innovative leader in non-invasive, high quality Prosthetics and Orthotics, with a passionate focus on patient care! We are devoted to providing the highest standard of patient care and experience, while making patient mobility possible. We are proud of our 50 years of clinical excellence and our hard-working team that provides and supports solutions for a greater quality of life for millions of patients around the world.
Victory O & P is more than a company; we are a TEAM to build a long-term career with; providing career growth and a positive company culture.
We are looking for a highly skilled, top talent individual to join our dynamic team as a Certified Prosthetist Orthotist.",-1,Victory Orthotics & Prosthetics,"Johnson City, TN",-1,-1,-1,-1,-1,-1
