,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Certified Caregiver/Personal Care Aide **2nd and 3rd Shifts**,Employer Provided Salary:$16 - $20 Per Hour,"We are looking for a competent Caregiver to care for our clients in a professional and compassionate manner. It’s an often demanding job as you will have to be available for most of the day and week. But, it can also be very satisfying and rewarding, since people who are ill, injured, disabled or elderly are thankful for high quality assistance. The ideal candidate will be patient and friendly with excellent communication skills. You should be able to follow instructions and perform a variety of tasks to help clients.
Responsibilities
Help clients take prescribed medication
Assist clients with ambulation and mobility around the house or outside (doctor’s appointments, walks etc.)
Assist clients with personal care and hygiene",3.8,"Merrill Gardens at Anthem
3.8","Phoenix, AZ",1001 to 5000 Employees,1993,Company - Private,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
1,Personal Care Attendant (PCA),Employer Provided Salary:$13 - $14 Per Hour,"As Life Goes On, LLC is a growing senior living company in New Hampshire that operates and owns multiple assisted living communities in Derry, Windham, Dover and Rochester. These communities promote overall well being, independence and dignity to it’s senior residents living with aging and memory care needs.
As Life Goes On, LLC is seeking full-time/part-time and per diem Resident Care Providers throughout the multiple residential communities. We are interviewing candidates who are caring, dependable, flexible in working various shifts, and motivated to engage with residents who need assistance with personal care, medication assistance, light housekeeping and meal preparation. This is a very important and rewarding position; helping others in a clean and comfortable work environment.
When you join our team of caregivers, you will gain the advantage to grow within the business.
We promote training, professional growth and career development. High school diploma or GED is required. Some experience is preferred,however we are willing to train the right individuals for the job. We look forward to meeting YOU!",-1,"As Life Goes On, LLC.",New Hampshire,-1,-1,-1,-1,-1,-1
2,Personal Care Assistant (PCA) - Calling All Caregivers!,-1,"We are currently seeking compassionate, dedicated and fun-loving individuals to join our team as* Personal Care Assistants.* As a PCA/at Edgewood, you would be responsible for providing excellent resident care, supporting our seniors in maintaining and improving their day-to-day abilities, while helping foster independence and confidence throughout their golden years.
We'll suit you up with your first superhero costume! (AKA scrubs) + $2000 Sign on Bonus!
Join a team that puts HEART into everything we do! We CARE from the heart, SERVE from the heart and OPEN our hearts to the residents, families and teammates we support each day. Enjoy all of this, in a fun, fast-paced environment, plus opportunities for professional development!
Job responsibilities also include assisting with passing medications in accordance with the resident care plans, in compliance with applicable state training and certification.
Edgewood's mission is to create an environment that provides our caregivers with the many benefits of working alongside a strong team, but also provides each team member some If you’re looking for a place to grow and make a positive impact, apply with us today. Quality care starts with you!",3.5,"Edgewood Healthcare
3.5","Helena, MT",1001 to 5000 Employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
3,PCA Personal Care Assistant,$22K - $31K (Glassdoor est.),"Personal Care Worker to provide care to residents in an assisted living. Seeking employees that love the elderly.
Job Type: Full-time
Education:
High school or equivalent (Required)",2.0,"Magnolia Gardens Assisted Living
2.0","Southern Pines, NC",51 to 200 Employees,-1,Nonprofit Organization,-1,-1,Unknown / Non-Applicable
4,Personal Care Assistant,Employer Provided Salary:$9 - $11 Per Hour,"PCA Personal Care Assistant
Durham Ridge Assisted Living is hiring CNA's and Personal Care Aides. Positions are available on all shifts. Training will be provided in house for applicants that are not CNA certified. All necessary training will be provided. All applicants must be able to pass a drug test, background check, and Healthcare Personnel Registry check.
Responsibilities: The aide will. . .
1. Allow all residents freedom to move about the facility.
2. Provide assistance with bathing, dressing, eating, etc., as necessary.
3. Provide assistance with personal care needs in grooming, such as care
with hair, teeth, etc., as necessary.
4. Assure that residents are dressed appropriately in living areas of the home
or when outside the building.
5. Assist and teach the residents skills in self-help, as appropriate. For example,
feeding, bathing, and grooming.
6. Assist residents into and out of bed, wheelchair, etc., as needed.
7. Assist residents to and from the dining room, bathroom, activity room,
outside the building, etc., as needed.
8. Take and record temperature, pulse, respiration, and blood pressure when
appropriate.
9. Provide personal attention, such as bedside water or ice, or other personal
attention as requested or required.
10. Respond to call bells or other signaling devices.
11. Assist the activities coordinator as needed in planned activities.
12. Assist the residents with transportation as requested by the administrator.
13. Provide assistance to residents to keep clothes and personal belongings in
order.
14. Assist residents with bed-making as needed.
15. Provide residents with a clean towel and washcloth as assist as needed.
16. Provide assistance to residents using bedpans, urinals and bedside
commodes as needed.
17. Assist/clean residents’ personal care items such as bedpans, urinals,
bedside commodes, shower chairs, etc., as needed.
18. Assist in admission and orientation of new residents.
19. Notify the SIC or administrator of any change in a resident’s condition or
when there is a need for medical attention, or any other change in a
resident’s status.
20. Report any accident or incident to the SIC or administrator as soon as
possible after the incident.
21. Help maintain the self-respect, personal dignity and physical safety of
each other.
22. Work cooperatively with all staff and relate favorable to residents and
their families.
23. Assure that all resident(s) receive care as identified in the Domiciliary Home
Residents’ Bill of Rights and assist residents in exercising these rights.
24. Assure confidentiality regarding each resident’s chart.
25. Assure proper record keeping, as needed.
26. Assure proper procedures are followed for use restraints ordered by the
attending physician.
27. Follow all policies of the home, to include, but not limited to, fire safety
and emergency procedures. Read and adhere to all of the home’s policies
and rules.
28. Assure careful treatment and use of all equipment and supplies.
29. Participate in job-related continuing education and in services, as needed.",-1,Durham Ridge Assisted Living,"Durham, NC",-1,-1,-1,-1,-1,-1
5,Personal Care Aide Training Monroe County,Employer Provided Salary:$15 Per Hour,"Job no: 492876
Work type: Days, Full-time, Part-time, Weekends
Location: Monroe County
Categories: Home Health Aide
UR Medicine Home Care offers Free Personal Care Aide Training!!!
Competitive rates at one of the Top 25 Elite Home Care Agencies!
Beginning July 2021 starting rate for PCAs will be $15 per hour!!!
Do you have a passion for helping others one-on-one?
Do you meet the following eligibility requirements?",4.0,"UR Medicine Home Care
4.0","Monroe, NY",501 to 1000 Employees,1919,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
6,Certified Nursing Assistants/Personal Care Attendants,$21K - $40K (Glassdoor est.),"Total Health Care Services, Inc. is currently seeking Certified Nurse Assistants/Personal Care Attendants. We're offering a Sign On Bonus for full-time employees to work in the following counties: Chickasaw, Choctaw, Clay, Lee, Monroe, Oktibbeha, Pontotoc and Webster. Part-time positions are also available.
The responsibilities include but are not limited to:
* Provide patient care and light home management tasks
* Help in ambulation; and
* Provide companionship and basic care to patients.
Qualifications include:",1.4,"Total Health Care Services, Inc.
1.4","Tupelo, MS",201 to 500 Employees,-1,Company - Private,-1,-1,$10 to $25 million (USD)
7,"Home Care Aides, Personal Assistants, Homemakers, Companions, etc",Employer Provided Salary:$15 - $17 Per Hour,"Come to join one of the Best Home Care Agencies in the area - we have openings near you! We're hiring caring and compassionate Caregivers, Personal Care, Home Health Aides and Supportive HHA to work with seniors in their homes throughout the area. Become a part of our team and join our mission to enhance the lives of aging adults throughout your community.
Open Positions
Caregiver Companions. No Certifications or experience necessary, but a passion for caring for seniors is required. Ideal for students, retirees, and professionals that would love to earn while making a difference
PCA (Personal Care Aide)
Certified Home Health Aides",3.0,"ABP Best Home Care Agency
3.0","Framingham, MA",501 to 1000 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
8,PCA (Personal Care Attendant),Employer Provided Salary:$15 Per Hour,"NEW STARTING PAY RATE at $15.00/hour & $500 Sign On Bonus
Shift Differentials offered for weekend, 2nd & 3rd Shifts
Recruiting for Personal Care Attendants to join our Team FT and PT shifts available.
Exciting new opportunity come join us! The Personal Care Attendant will cover all the bases through a results oriented approach to develop and cultivate relationships with the residents and families. Our draft pick will be a professional with excellent verbal and written communication skills to provide assistance to assigned residents with the activities of daily living in accordance with the residents individualized service plan. Such responsibilities shall include assistance with dressing, bathing set up, personal hygiene, supervision and stand-by assist with toileting, escorting, dining support, encourage eating and hydration, and social reassurance. Report all changes of condition and Resident concerns to supervisor. Respond to emergency call alerts in accordance with facility policies. Assist with dietary, housekeeping, laundry and activity departmental activities as assigned. Document, on a daily basis, as to resident assistance activities and resident status in accordance with facility policy.",-1,White Oaks of McHenry,"McHenry, IL",-1,-1,-1,-1,-1,-1
9,Personal Care Assistant,Employer Provided Salary:$9 - $12 Per Hour,"Help Individual with activities of daily living (eating, toileting, and grooming), activities related to living independently in the community, and health-related tasks (personal assistance services);
Job Types: Full-time, Part-time, Contract
Pay: $9.00 - $12.00 per hour
Education:
High school or equivalent (Preferred)
Experience:
Caregiving: 1 year (Preferred)",-1,Meridian Care,"Stafford, TX",-1,-1,-1,-1,-1,-1
