,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Process Engineer - Renewable Products,Employer Provided Salary:$85K - $100K,"Process Engineer – Renewable Products
Kern Oil & Refining Co. is an independent, family-owned, and operated refinery producing what we call “California Clean” transportation fuels. Tucked into a rural corner of Kern County, Kern Oil & Refining Co. has been operating continuously in the Central Valley since 1934.
Our team strives to anticipate and embrace the future of California Clean transportation fuels. Kern Oil & Refining Co. was just the second Refinery in the country to produce renewable diesel by co-processing bio-feed and the first small refiner in California to blend biodiesel. Kern Oil & Refining Co. is proud to do our part in California’s transition to clean-burning green fuels and reducing the state’s carbon footprint.
Position Description",5.0,"Kern Oil & Refining Co.
5.0","Bakersfield, CA",51 to 200 Employees,-1,Company - Private,-1,-1,$10 to $25 million (USD)
1,Product Engineer,Employer Provided Salary:$70K - $90K,"Emco Wheaton Retail Corporation, a leading designer and manufacturer of equipment for the petroleum industry in Wilson, NC, is seeking a Product Engineer. Preferred candidates not only specialize in designing products but have the capacity to transition them from concepts to large scale manufacturing.
Qualifications include:
BS degree in Mechanical Engineering
2 to 5 years of design engineering work experience a plus
SolidWorks
Ability to design new product assemblies and detail drawings, and develop test procedures, engineering specifications and documentation as required for new products or to revise existing products",-1,Emco Wheaton Retail,"Wilson, NC",-1,-1,-1,-1,-1,-1
2,Engineer,Employer Provided Salary:$60K - $80K,"C & J Equipment Manufacturing is a full-service fabrication company established in 1978. We engineer and manufacture superior quality equipment by implementing excellence in design and quality control. We are seeking an Engineer to join our team in Bloomfield, NM or San Antonio, TX.
We are seeking an individual with the following qualifications:
- Minimum of 2-5 years of engineering experience required
- Mechanical, Civil, Petroleum, or related engineering field preferred
- Understanding of the Oil & Gas industry and equipment strongly preferred
- Demonstrate organizational and project management skills",2.0,"C&J Equipment Manufacturing
2.0","Bloomfield, NM",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
3,Machine Learning Petroleum Engineer,-1,"Description
Job Description:
Looking for an opportunity to make an impact?
The Leidos Research Support Team supporting the National Energy Technology Laboratory (NETL) is seeking a Machine Learning Petroleum Engineer to join our Team in Albany, OR, Morgantown, WV, or Pittsburgh, PA. This opportunity will allow side by side execution of research with world-class scientists and engineers using state of the art equipment to contribute to new areas of basic and applied research.
The employee will participate in studies relating to model development, workflow, and artificial intelligence/machine learning (AI/ML) algorithm design related to geospatial energy and oil & gas industry data. This work will involve a multidisciplinary team participation alongside other data scientists, engineers, geologists, and computer scientists to help develop next-generation tools aligned to the priorities of the DOE Fossil Energy and Carbon Management mission space.",3.9,"Leidos
3.9","Albany, OR",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
4,Field Engineer,$46K - $95K (Glassdoor est.),"Creedence Energy Services, a chemical company servicing the energy sector, has an opening for a Field Engineer, in our Williston, ND location. If you are looking to join a team-oriented and safety-focused growing company dedicated to providing the best customer service in the business, apply with Creedence Energy Services today!
Job Title: Field Engineer
FLSA Status: Exempt, salaried
Location: Williston, ND
Job Summary: Develop an understanding of engineering roles and responsibilities related to downhole chemical treatment and chemical application to assist customers in optimal well performance.
Essential Duties – Approximately 30% in office, 70% in field
Total commitment to safety and achieving zero incidents
Perform daily field operations including chemical monitoring and sample collection",-1,Creedence Energy Services,"Williston, ND",51 to 200 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
5,Field Engineer,$51K - $99K (Glassdoor est.),"ProChem, a Creedence Energy Services company, has an opening for a Field Engineer in the Odessa, TX region. ProChem provides chemical solutions to the energy sector, to improve production and reduce downhole failures. If you are looking for a family-oriented and safety focused company, founded on integrity, trust and service, apply today to join our team!
Job Title: Field Engineer
FLSA Status: Exempt, salaried
Driver: Yes
Location: Based in either Odessa, TX or Carlsbad, NM
Competitive wages, health, dental and vision insurance, paid time off and company contribution to a retirement plan.
Job Summary: Develop an understanding of company engineering roles and responsibilities related to downhole chemical treatment and chemical application to assist customers in optimal well performance. Perform general engineering functions.
Essential Duties – Approximately 30% in office, 70% in field",-1,ProChem Energy Services,"Odessa, TX",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
6,"Senior Petroleum Engineer, Vice President",$88K - $191K (Glassdoor est.),"Do you want your voice heard and your actions to count?
Discover your opportunity with Mitsubishi UFJ Financial Group (MUFG), the 5th largest financial group in the world. Across the globe, we’re 180,000 colleagues, striving to make a difference for every client, organization, and community we serve. We stand for our values, building long-term relationships, serving society, and fostering shared and sustainable growth for a better world.
With a vision to be the world’s most trusted financial group, it’s part of our culture to put people first, listen to new and diverse ideas and collaborate toward greater innovation, speed and agility. This means investing in talent, technologies, and tools that empower you to own your career.
Join MUFG, where being inspired is expected and making a meaningful impact is rewarded.
This function covers incumbents in the MUFG Analyst Program who will participate in a training period studying Financial Markets, Financial Accounting, Credit Underwriting, Financial Modeling, Corporate Valuation training, etc. To be completed
The above statements are intended to describe the general nature and level of work being performed. They are not intended to be construed as an exhaustive list of all responsibilities duties and skills required of personnel so classified.
Some MUFG roles require that individuals be fully vaccinated against COVID-19, subject to exemptions for medical or religious reasons, as well as any other reason required by applicable law or order. Should you be selected for an interview, your recruiter will provide additional information.",3.3,"MUFG
3.3","Houston, TX",10000+ Employees,1864,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD)
7,Application Engineer - Oil & Gas,Employer Provided Salary:$70K - $90K,"At Valiant, service is at the core of everything we do. Backed by experienced technical support and a hands-on approach, we provide versatile pumping solutions for customers around the world.
Meeting the dynamic needs of our industry requires lockstep coordination between our teams, and our success continues to be fueled by the talent and dedication of our people, the quality of our solutions, and our commitment to safety in all facets of our work. As a testament to our culture, Valiant is ranked as a Top Workplace in Oklahoma!
Our people enjoy working in a fast-paced environment where they have ample opportunities to learn, hone their skills, and see their work shine.
Valiant is proud to be able to offer a comprehensive benefits package to employees and their families, and we are passionate about highlighting, celebrating and rewarding significant performance and service achievements through our ongoing employee recognition and awards programs.",3.8,"Valiant Artificial Lift Solutions, LLC
3.8","Midland, TX",51 to 200 Employees,2016,Company - Private,Oil & Gas Services,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable
8,Systems Field Service Engineer - Alaska,$53K - $116K (Glassdoor est.),"PCE Pacific, Inc.
Systems Field Service Engineer - Alaska
The Systems Field Service Engineer is responsible for supporting PCE’s process control customers by applying knowledge of control system methodologies, instrumentation applications, information technology, and service techniques to ensure reliable control system operation and achieve customer satisfaction. This position is based in Alaska, with the engineer dispatching from their home. As service activities are performed onsite at customer facilities, this role requires frequent overnight travel.
Key Job Elements:
Facilitate startup and commissioning activities of new Emerson DeltaV Distributed Control Systems (DCS) and Flow Computers",3.5,"PCE Pacific, Inc.
3.5","Anchorage, AK",51 to 200 Employees,-1,Company - Private,Industrial Manufacturing,Manufacturing,$50 to $100 million (USD)
9,Delaware Basin Reservoir Engineer,Employer Provided Salary:$150K,"Summary:
Percussion Petroleum II, LLC is searching for a contract Reservoir Engineer for operated assets in the Delaware Basin; this position will report directly to the VP of Engineering.
Company:
Percussion Petroleum II, LLC is an independent oil and natural gas company headquartered in downtown Houston, TX. In partnership with a leading private equity financial sponsor, Carnelian Energy Capital, Percussion pursues an acquisition and exploitation strategy in select onshore basins in North America with existing operations in in the Delaware Basin.Percussion Petroleum I, LLC was formed in January 2016 with an equity commitment from Carnelian Energy Capital’s first fund. Percussion built a 22,000 net acre position in Eddy & Lea County, New Mexico with 220 operated wells that produced 9000 net boepd, which was sold in June 2019.",4.4,"Percussion Petroleum
4.4","Houston, TX",1 to 50 Employees,-1,Unknown,-1,-1,Unknown / Non-Applicable
