,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Phlebotomy Instructor,Employer Provided Salary:$30 Per Hour,"Ohio Phlebotomy Training Center is a medical career training center located in Steubenville, Ohio. We are seeking (1) qualified faculty member to teach Phlebotomy courses.
Duties & Responsibilities:
Primary duty is effective teaching of college-level Phlebotomy program. This includes developing and revising instructional materials; presenting material in an organized manner; prepare daily lesson plans; maintaining student records; work 2 days a week, no weekends, teaching at the main and/or satellite campuses, as assigned; participating in Adjunct Professional Development activities; answering emails, effective communication with students and staff, able to teach effectively using Powerpoint Presentation and able to assist students with using online study guide/materials, be familiar with the program's details and the school's policies and procedures, prepare students to pass the national phlebotomy exam, monitor student grades/attendance and input on a daily basis, Provide lab time for students, follow OSHA and HIPAA regulations promote the school values of: Innovation, Collaboration, Accountability, Respect and Excellence and perform duties as assigned.",-1,Ohio Phlebotomy Training Center,"Steubenville, OH",-1,-1,-1,-1,-1,-1
1,Mobile Phlebotomist,Employer Provided Salary:$16 Per Hour,"NO EXPERIENCE REQUIRED! WE TRAIN! CLASSES STARTING SOON!
Join the team that gives the gift of life! Rhode Island Blood Center is currently seeking Mobile Phlebotomists to join our growing team! Work with healthy blood donors at mobile blood drives throughout RI and Southeastern MA.
Key Responsibilities:
Demonstrate proficiency and competency in all aspects of medical history, venipuncture and handling donor reactions, remaining constantly aware of donor/patient safety.
Demonstrate proficiency in maintaining a two-bed set up.
Twelve month average venipuncture success rate of 94% or above.
Observe all safety/OSHA policies and FDA and AABB guidelines & regulations.",3.2,"Rhode Island Blood Center
3.2",Rhode Island,201 to 500 Employees,1982,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD)
2,"Senior Phlebotomist, Laboratory - Administration, $10,000 Bonus",-1,"Sign-On Bonus: Up to $10,000

Baptist Health has a commitment to strengthening the compassionate care we provide. With the addition of Boca Raton Regional Hospital, Baptist Health is able to provide the Palm Beach community expanded access to healthcare services.

Boca Raton Regional Hospital is an advanced tertiary medical center with 400 beds and is a recognized leader in Cardiovascular Care, Oncology, Women's Health, Orthopedics, Emergency Medicine and the Neurosciences, all of which offer state-of-the-art diagnostic and imaging capabilities. The Hospital is now a part of Baptist Health South Florida is the region's largest not-for-profit healthcare organization with more than 23,000 employees working across 11 hospital campuses and more than 100 outpatient facilities throughout Miami-Dade, Monroe, Broward, and Palm Beach counties. In 2016 we welcomed the newest weapon in the fight against cancer, the world-class Miami Cancer Institute and proton therapy center.

Baptist Health South Florida is once again one of the 2019 Fortune 100 Best Companies to Work For! This is the 19th time Baptist Health has been recognized on the list. We have also been recognized for being among the best healthcare providers in the nation by U.S. News & World Reports in its 2019-2020 Best Hospitals report and have been honored as one of PEOPLE's 2019 50 Companies That Care by PEOPLE magazine and Great Place to Work.

Everything we do at Baptist Health, we do to the best of our ability. That includes supporting our team with extensive training programs, millions of dollars in tuition assistance, comprehensive benefits and more. Working within our award-winning culture means getting the respect and support you need to do your best work ever. Find out why this is the best place to be your best!



EOE",3.9,"Baptist Health South Florida
3.9","Boca Raton, FL",5001 to 10000 Employees,1960,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10+ billion (USD)
3,Mobile Phlebotomist,Employer Provided Salary:$17 - $30 Per Hour,"Mobile Phlebotomist for the San Diego area. Would like 2 years experience, but can be flexible. Must have reliable transportation with insurance, good driving record, current CPT license, working computer and be computer literate. Shot record to show current MMR, TB, and Hep B, Varicella immunizations. Must be CPR certified. Job entails going to patients' homes or Skilled Nursing Facilities and drawing blood or picking up medical specimens and transporting to the nearest contracted Lab. Salary to be discussed. Must be independent, reliable, responsible, and able to work unsupervised -- Benefits for full time employees after 90 days of employment.
Submit resume only if all qualifications are met.
Job Types: Full-time, Part-time
Pay: $17.00 - $30.00 per hour",-1,IPPG,"San Diego, CA",-1,-1,-1,-1,-1,-1
4,Phlebotomist (Milwaukie),-1,"Phlebotomist (Milwaukie)
We are looking for a individual to join our Laboratory team as a phlebotomist - we have a full time position Monday - Friday.
Duties to include: patient lab draws, data entry in our lab maintenance system, knowledge of electronic health record systems a plus.
The Mission We are dedicated to the highest quality of customer Service delivered with a sense of warmth, friendliness, individual pride, and company spirit.
To Our Employees We are committed to provide our employees with a stable work environment with equal opportunity for learning and personal growth. Creativity and innovation are encouraged for improving the effectiveness. Above all, employees will be provided the same concern, respect, and caring attitude within the organization that they are expected to share externally with every customer.'
'
Work Remotely",-1,Northwest Primary Care Group,"Milwaukie, OR",-1,-1,-1,-1,-1,-1
5,Phlebotomist - Mobile Diagnostics Virtual Hiring Event,-1,"$1k SIGN ON BONUS
Our Mobile Diagnostics team provides quality Phlebotomy care throughout the Phoenix Metro area covering anywhere from nursing homes, PRN's, clinics, assisted living, individual home draws and call backs/stats. Our Mobile Diagnostics Phlebotomists play a critical role in helping physicians provide accurate diagnosis and medical treatment in our community. Our Mobile Diagnostics Phlebotomists typically work early hours and drive to different contracted long term care facilities. Company car is provided!
CORE FUNCTIONS
1. To include the following: 1) specimen collection 2) general laboratory specimen processing or 3) referral laboratory processing. In doing so, ensuring correct patient and specimen identification and specimen integrity by using appropriate techniques for all age criteria as required. Only staff with a high school diploma or GED may perform any specified analytical testing, i.e. Point of Care testing.",-1,Sonora Quest Laboratories,"Phoenix, AZ",1001 to 5000 Employees,1997,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD)
6,Phlebotomist - Patient Service Centers Virtual Hiring Event,-1,"$1k SIGN ON BONUS
We have many Patient Service Centers (PSCs) located throughout the Phoenix metro area. These PSCs are often located in medical office suites and are outpatient settings used for sample collection for patients of all ages and for a variety of testing. Area doctors refer their patients to our locations for specimen collection. Our Patient Service Center phlebotomists must to be able to work in a high volume environment and will often draw 40 or more patients in a day. Team players and a passion to work in high productivity setting are a must in this ever-changing environment.
To learn more about out Patient Service Phlebotomy setting, check out our video: https://youtu.be/DZjDuNeje_g
CORE FUNCTIONS",-1,Sonora Quest Laboratories,"Phoenix, AZ",1001 to 5000 Employees,1997,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD)
7,Phlebotomist,-1,"Position Description
Internal Title:
Phlebotomist
Benchmark/Market/Street Title:
Phlebotomist
Department:
Laboratory
Title of Immediate Supervisor:",-1,Confidential,"Dunmore, PA",-1,-1,-1,-1,-1,-1
8,Phlebotomist,Employer Provided Salary:$15 Per Hour,"Part time Phlebotomist is needed in Frankfort and Kankakee, Il. area
Requirements:
- minimum one years of Phlebotomy experience,
- strong computer skills,
- EXCELLENT COMMUNICATION SKILLS
Work Location:
Two locations
Supervisor:",-1,"Medstar Laboratory, Inc","Hillside, IL",-1,-1,-1,-1,-1,-1
9,Phlebotomy Educator,Employer Provided Salary:$19 - $25 Per Hour,"Sign on Bonus: $2,000 sign on bonus for those who qualify

Summary:

Develops and provides services related to the orientation, continuing education, and assessment of laboratory support staff.

Work Schedule:


Full Time, 80 hours / pay period
Days









UCHealth offers their employees a competitive and comprehensive total rewards package. Some of the many benefits included in this package are full medical, dental and vision coverage; retirement plans; paid time off; employer-paid life and disability insurance with additional buy-up coverage options; tuition and continuing education reimbursement; and a full suite of voluntary benefits such as identity theft protection and pet insurance. Our employees and their family members have full access to our Employee Assistance Program, which includes up to 5 free counseling visits and work/life solutions, such as one free legal consultation. In addition, other emotional counseling support is available depending upon their need.



We believe in something different: a focus on the individuality of every person. In big ways and small, we exist to improve the extraordinary lives of all those we serve. As Colorado's largest and most innovative health care system, we as a team deliver on the commitment to provide the best possible experience for our patients and their families. We foster a true human connection and give people the freedom to live extraordinary lives. A career at UCHealth is more than a job, it's a passion.

Going beyond quality requires the perfect balance of talent, integrity, drive and intellectual curiosity. We are looking for individuals who recognize, like us, that the world of medicine is ever-changing and are motivated to do what is right, not what is easy. We support creativity and curiosity so that each of us can find the extraordinary qualities within ourselves. At UCHealth, we'll do everything in our power to make sure you grow and have a meaningful career. There's no limits to your potential here.



UCHealth recognizes and appreciates the rich array of talents and perspectives that equal employment and diversity can offer our institution. As an affirmative action/equal opportunity employer, UCHealth is committed to making all employment decisions based on valid requirements. No applicant shall be discriminated against in any terms, conditions or privileges of employment or otherwise be discriminated against because of the individual's race, creed, color, religion, gender, national origin or ancestry, age, mental or physical disability, sexual orientation, gender identity, transgender status, genetic information or veteran status. UCHealth does not discriminate against any ""qualified applicant with a disability"" as defined under the Americans with Disabilities Act and will make reasonable accommodations, when they do not impose an undue hardship on the organization.",4.0,"UCHealth
4.0","Parker, CO",10000+ Employees,2006,Hospital,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
