,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Pediatric Physical Therapist,Employer Provided Salary:$60 - $65 Per Hour,"About Us: Playful Learning Pediatric Therapy is seeking a full time Physical Therapists for our Wasilla location. Dynamic individuals interested in working with children birth to 18 years old in a clinic-based setting are encouraged to apply. If interested in working independently with a flexible schedule please contact us.
Responsibilities:
Required skills include developmental handling and knowledge related to development in both gross motor milestones and motor coordination in a pediatric clinic-based setting.
Effective written and oral communication skills are also required throughout this process.
Conducts evaluations consistent with and appropriate for patient diagnosis.",-1,Playful Learning Pediatric Therapy,"Eagle River, AK",-1,-1,-1,-1,-1,-1
1,"Home Health Physical Therapist / PT / Therapy $5,000 SIGN-ON BONUS",-1,"*** We're offering eligible PT's a SIGN-ON BONUS of $5,000! ***
Eden Health is hiring Healthcare Heroes!
Eden Health is 100% employee owned company providing services for our community helping them stay safe and healthy in the comfort of their homes. We are currently in 8 states (WA, OR, ID, MT, WY, CA, NV & AZ) which 54% of that growth happened in 2020 and we’re not stopping. What that means for you is there is room to grow and advance your career as far as you’d like just like our Executive Leadership team!
We're hiring Physical Therapists / PT to join our growing team in Lewiston, ID and Moscow, ID. We currently have Part-Time & Full-Time availability. We're offering eligible PT's a SIGN-ON BONUS of $5,000!",4.7,"Eden Health
4.7","Lewiston, ID",1 to 50 Employees,2016,Company - Private,Health Care Services & Hospitals,Health Care,Less than $1 million (USD)
2,Physical Therapist,Employer Provided Salary:$75 Per Hour,"ROCKSTAR PHYSICAL THERAPIST NEEDED!
*
If you are a motivated, rockstar physical therapist who is tired of working in a cookie-cutter physical therapy clinic, then this job is for you! Live Without Limits Physical Therapy and Wellness is a quickly growing small PT owned, cash-based clinic, where the client always comes first! We are not an insurance driven company, we are a client based and solution oriented company, which allows us to treat each client one-on-one every visit, every time! You, the PT, have the autonomy to custom tailor each plan of care for each client! You will have access to me, a fellow PT and CEO of the company, at all times and will be personally mentored by me as well! You will be my first employee of this quickly growing cash-based practice, and as business continues to grow, your opportunity for growth in the business will continue to grow as well. You will be an integral part of the company, allowing for more growth opportunities, and profit share opportunities as well! Your input and your ideas matter to me. If you have a strong manual therapy background or any other specialties you can offer the clients and the business, even better! If this sounds like the PT opportunity for you and you think you’ll be a good fit, submit your resume, (tell my why you are tired of cookie cutter PT clinics on your resume as well) and let’s do this!
*
*
RESPONSIBILITIES
*
*
Identify and meet patients’ goals and needs",-1,"Live Without Limits, LLC","West Hartford, CT",-1,-1,-1,-1,-1,-1
3,Pediatric Physical Therapist,Employer Provided Salary:$75 Per Hour,"Physical Therapist PRN position with Farris Therapy’s pediatric therapy clinic in Greenbrier, Arkansas, will cover the span of three months, November through January, for maternity leave coverage. Additional hours within our Heber Springs, Arkansas clinic are provided within the caseload, as well.
Therapist will be responsible for upkeep of documentation and evaluations as needed, and a laptop/computer is required, as administration will purchase EMR system login for therapist. Assessments provided within clinic setting.
It is the responsibility of the PT to engage in interdisciplinary collaboration with occupational and speech therapists within clinic setting and interact with parents/guardians of clients regarding progress and session engagement. Flexible schedule is permitted in accordance with colleagues within the clinic setting. Can potentially be performed alongside another part-time position as therapist requires.'
'
Work Remotely",-1,Farris Therapy,"Quitman, AR",-1,-1,-1,-1,-1,-1
4,Physical Therapist,Employer Provided Salary:$49 - $79 Per Hour,"Illinois Pain and Spine Institute (IPSI) is proud to be the leading provider of Interventional Pain Management in the Chicago area. IPI's clinics and doctors are widely recognized and have been the recipients of several prestigious awards for their outstanding expertise in pain management.
Our practice does not treat COVID-19 patients. We follow all CDC guidelines to insure the health and safety of our staff and patients.
Due to our continued growth, we are seeking a Part-time Physical Therapist with a positive caring attitude to our patients.
The successful PT will preform, evaluate and develop effective patient treatment plans to restore, maintain or prevent decline of patient function. Follow medically prescribe therapy treatments in accordance with federal, state and professional standards governing the treatment location.",-1,Illinois Pain & Spine Institute,"Barrington, IL",,-1,Company - Private,-1,-1,$1 to $5 million (USD)
5,Physical Therapist for Corrections - Premium Pay,Employer Provided Salary:$95 Per Hour,"Hiring California licensed Physical Therapist for correctional patients in Sacramento. The primary role of the Physical Therapist is to provide and direct all aspects of quality patient care, including evaluation and treatment, treatment planning, goal setting, and documentation according to organizations guidelines and professional standards.
Compensation: Premium Pay starting at $95/hr
Please call for the most competitive pay in the area!
Shift: Flexible part time (call to discuss, WE WANT YOU!)
Requirements: CA state licensed
Make a difference for the under served in our community!",3.4,"Spectrum Accountable Care
3.4","Sacramento, CA",1 to 50 Employees,2013,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD)
6,Orthopedic Physical Therapist,Employer Provided Salary:$69K - $95K,"About us
Work hard & play hard in beautiful Bellingham, where cycling, mountain and water sports are part of our every day life.
We are currently looking for a dedicated and motivated individual with a passion for orthopedics to join our team as a full-time Physical Therapist. We welcome clinicians whose relentless clinical curiosity drives ongoing learning, and solving clinical puzzles.
Looking for a clinic where you can deliver the kind of care you would want for yourself, your friends and family? CorePhysio understands that it takes time and focus to connect with your client, understand their needs and design a plan. Our >150 Google reviews and 8% cancellation rate says a lot about how our clients feel about their PT experience with us.",1.0,"CorePhysio
1.0",United States,1 to 50 Employees,2004,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD)
7,PRN Physical Therapist,Employer Provided Salary:$100 - $200 Per Hour,"A Better Life Physical Therapy is looking to hire for a PRN position for a licensed Physical Therapist.
I'm looking to hire for a PRN position for a licensed Physical Therapist.
This position offers an orthopedic case load, flexible schedule, one on one care and great pay. You will help patients rehab from a variety of orthopedic conditions by performing a thorough examination and creating a plan of care and help those patients by using telehealth, manual therapy and therapeutic exercise techniques.
We are looking for someone that is reliable, detailed oriented, good communicator, along with someone that is fun and energetic. If you can keep patients accountable to their care and help them achieve their health goals then send us your resume today!",-1,A better life physical therapy and massage,"Orem, UT",-1,-1,-1,-1,-1,-1
8,"Physical Therapist - Home Health, Full Time & Per Diem",$54K - $108K (Glassdoor est.),"Physical Therapist - Home Health, Full Time & Per Diem
Adventist Health is more than an award-winning health system. We provide whole-person care to our communities and champion the greater good - from the operating room to the boardroom, we are driven by our unique passion to live God's love through health, wholeness and hope. From Oregon to Oahu, we have a calling to always do more. Now is your chance to apply your passion to our mission.
We're looking for someone to join our team as a Physical Therapist (Home Health) who:
Plans and conducts segments of treatment programs designed to restore and improve physical, social and mental functions, while meeting department objectives. Serves as co-leader in interdisciplinary approach to patient groups.",3.6,"Adventist Health
3.6","Saint Helena, CA",10000+ Employees,1973,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
9,Physical Therapist,Employer Provided Salary:$45 - $58 Per Hour,"Seeking a pelvic floor physical therapist experience preferred. Will provide mentorships, team collaboration, and opportunity for growth. Flexible hours and individual one-on patient care environment.
Job Type: Part-time
Pay: $45.00 - $58.00 per hour
Benefits:
Flexible schedule
Medical Specialty:
Physical & Rehabilitation Medicine",-1,Pelvic Therapy and Fitness LLC,"Hoffman Estates, IL",-1,-1,-1,-1,-1,-1
10,"Physical Therapist in Los Angeles, CA",Employer Provided Salary:$75K - $100K,"Play a Key Role in a Meaningful Recovery as a PT in CA!
Centre for Neuro Skills helps people with brain injury find hope, independence, and a meaningful life.
Working here means you are part of a multi-disciplinary team full of selfless, compassionate, tenacious, and supportive individuals who promote a rich environment to thrive through collaboration and empowerment. We trust each employee to use their life and educational experiences to promote and build strong personalized patient programs that improve outcomes.
You will play a key role in meaningful recovery as a Physical Therapist in our beautiful, new, state of the art rehabilitation clinic in Tarzana, CA.
Benefits:",3.8,"Centre for Neuro Skills
3.8","Chicago, IL",501 to 1000 Employees,1980,Company - Private,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD)
11,Physical Therapist,Employer Provided Salary:$68K - $97K,"West Town PT is looking for Physical Therapist who is willing to break the mold of standard physical therapy treatment. We are expanding our clinic so are in need of an additional PT.
If you’ve ever seen PT offices where clients get only scant attention and then they’re left to complete the treatment plan on their own in a corner—we’re not that kind of PT office. Our clients receive 1-on-1 sessions with our Physical Therapists for maximum customer service. We want our clients to get the attention and treatment they deserve and pay for.
As a Physical Therapist at West Town PT, you’ll have the resources and schedule to give that extra bit of attention to “wow” our clients.
At West Town PT, we love to work in a fun and relaxed environment with clients looking for high-quality treatment they can’t find at other PT offices. Many of our clients are young and athletic, so we’re looking for a Physical Therapist with the clinical expertise to help them recover.",-1,West Town Physical Therapy,"Chicago, IL",-1,-1,-1,-1,-1,-1
12,Licensed Physical Therapist - serving in WV Public Schools,Employer Provided Salary:$48 Per Hour,"A rewarding position providing physical therapy services in Mingo County public schools. We are a close-knit company owned and operated by two WV Speech Language Pathologists and an Occupational Therapist. Join our team to play a significant role in helping students!
Job Type: Part-time
Pay: $48.00 per hour
Benefits:
401(k)
401(k) matching
Dental insurance",-1,Best Life Therapy,"Williamson, WV",-1,-1,-1,-1,-1,-1
13,Part-Time Physical Therapist,Employer Provided Salary:$41 Per Hour,"OPPORTUNITY:
Come join a fast-growing physical therapy organization and be the difference maker for our patients and communities we serve. ReLive Physical Therapy is committed to providing our customers with the highest-quality of therapy services through compassionate and exceptional care in an empowering environment. What this means for you is the chance to be part of an amazing organization that continues to expand and making you a very important member of our team!
If your passion is focused on clinical excellence and patient experience, come join our team! Our employee’s SPIRIT (Service, Professional, Integrity, Respect, Innovative, Teamwork) values are what drives our fun and energetic culture while ensuring we deliver the best quality care and experience to our patients.

We are seeking a PRN/float Physical Therapist to cover our Northern Suburbs/Northshore clinics; Glenview and Evanston. The position allows for a very flexible schedule, 10-20 hours per week.",3.0,"ReLive Physical Therapy, LLC
3.0","Evanston, IL",1 to 50 Employees,2018,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
14,Physical Therapist - Contractor,Employer Provided Salary:$85 Per Hour,"PT and OT + is a new leader in Rehabilitation services ! We are growing !
We services all areas of New York City and we are looking for Contract PTs to join our team !
Looking for flexibility and additional income? Our positions allow you to create your own schedules & work at your leisure.
Our therapists have opportunities to work in both individual patient home settings and Assisted Living facilities.
Join an industry Leader today !
Requirements:",-1,PT+,United States,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
15,Physical Therapist,Employer Provided Salary:$30 - $50 Per Hour,"Physical Therapist job description
Park Ridge Chiropractic is currently seeking qualified Physical Therapist candidates to join our dynamic team! You will be a part of our growing team providing the highest quality care for patients in our clinic setting.
You will:
-evaluate and treat patients following an individualized plan of care and set measurable, functional goals
-supervise physical therapy assistants
-re-evaluate patient progress and revise plans of care
-complete timely and accurate documentation including: evaluations, re-evaluations and daily progress notes
-work cooperatively with doctors and staff to contribute to the overall productivity of the team (optimal patient care)
-enhance relationships with surrounding area physicians",-1,Park Ridge Chiropractic,"Park Ridge, IL",-1,-1,-1,-1,-1,-1
16,Pediatric Physical Therapist - Teletherapy,Employer Provided Salary:$40 Per Hour,"Physical Therapist - Remote - Part Time - Tennessee LICENSED
VERY FLEXIBLE SCHEDULE
Our company is growing rapidly, and we are currently in need of a Physical Therapist licensed in TN!
Physical Therapists will deliver services to K-12 students and younger children via teletherapy. There may also be a need for services to college age students from more specialized referrals.
Skills/Qualifications:
Providers must be passionate about working with and serving diverse groups of children with kindness, empathy and a non-judgemental attitude.",5.0,"Enable My Child
5.0","Chattanooga, TN",51 to 200 Employees,2016,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD)
17,Physical Therapist Orthopedic Clinic,Employer Provided Salary:$31 - $46 Per Hour,"You.

You bring your body, mind, heart and spirit to your work as an Outpatient Physical Therapist.


Your compassion is tangible: patients feel it in the hand they hold. Families feel it in your prayers. Colleagues feel it in your support.",3.7,"SCL Health Medical Group - Butte
3.7","Butte, MT",10000+ Employees,1864,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
18,Physical Therapist - Virtual,Employer Provided Salary:$68 - $80 Per Hour,"Physical Therapist (PT)
POSITION SUMMARY:
The Physical Therapist provides physical therapy (PT) services to students as prescribed by a physician and indicated in their Individualized Education Program (IEP). This includes conducting evaluations, assessments, analyzing data, writing reports, and determining the strengths and areas of concern or need relative to motor abilities to assist students in accessing their educational program.
RESPONSIBILITIES:
Develop and monitor IEP goals per students’ needs
Provide therapy services to assigned students in a school-based setting, develop and practice by planning activities individualized for the skill level of the students to target goal-specific skills identified in the IEP",3.9,"Attain ABA
3.9","Washington, DC",51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
19,"Sports Physical Therapist, 1:1 Private Practice",-1,"Job Summary
We are looking for a FULL-TIME or PART-TIME sports/orthopedic Physical Therapist to join our amazing team at our growing physical therapy practice in downtown Grayslake!
Chebny Sports Medicine is a physical therapy practice focused on a high quality of life for patients and the people who work here! We are intentional on creating a fun, relaxed, and welcoming environment for patients and physical therapists, all while providing superior outcomes. Patient appointments are extended with 1-on-1 treatment. No double-booking, no PT aides/techs. We are looking for a positive, passionate physical therapist who strives for excellence with patient care. Excellent orthopedic and sports medicine treatment skills are preferred. We will provide 1-on-1 mentoring for newer graduates wanting to develop all aspects of treatment to better outcomes, improve decision-making skills, and expand their treatment techniques.",-1,Chebny Sports Medicine,"Grayslake, IL",-1,-1,-1,-1,-1,-1
20,Physical Therapist,Employer Provided Salary:$85 - $95 Per Hour,"We are looking for a committed Physical Therapist to act as the patient’s partner throughout the trip of restoring motion and ensuring that the client will function at their personal best. You will maximize the quality of life and movement potential within the spheres of promotion, prevention, diagnosis, treatment or intervention, and rehabilitation.
Responsibilities
Identify and meet patients’ goals and needs
Offer cost-effective treatments that help improve clients’ motion and mobility
Reduce the need for medications and provide alternatives to surgery
Develop care plans using a variety of treatment techniques
Create fitness- and wellness-oriented programs tailored to patients’ specific needs",-1,Xpo Rehab Group,"Orange, CA",-1,-1,-1,-1,-1,-1
21,Full Time Outpatient Women's Health Physical Therapist,$48K - $94K (Glassdoor est.),"Hello! We are currently looking for a full time physical therapist to work at our Lincoln Park/Lakeview clinic. There is significant growth potential for the right candidate.
Give us a ring if you are:
A licensed PT in the State of Illinois
Have 3 years of orthopedic experience (preferred, but not required)
An outgoing, self starter that prefers the pace of private practice
Bonus points if you are: Dry Needling, treating Women's Health or have/pursuing a manual certification.
Looking to grow your skills as a PT and help raise the bar of PT in Chicago!
SIGN ON BONUS of $1500 after 3 months of employment for FT therapist.",3.0,"Core Physical Therapy
3.0","Chicago, IL",1 to 50 Employees,-1,Company - Public,-1,-1,Less than $1 million (USD)
