,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,EM residency-trained BC/BE Physician,$112K - $333K (Glassdoor est.),"North Sound Emergency Medicine, a well-established, large democratic provider group in Everett, Washington, is looking for an EM residency-trained BC/BP physician. This is a tremendous opportunity to join an exceptional team of clinicians who are dedicated to excellence, providing evidence-based patient care in a supportive environment, while offering opportunities for professional growth, education, and development.
Our practice site has a very stable contract and sees more than 90,000 patients annually in a state-of-the-art 79-bed ED; the largest and busiest ED in the state of Washington and the 10th busiest in the nation.
One of the most desirable places to live, the greater Seattle area offers an abundance of recreational activities from scuba diving and skiing to backpacking the Pacific Crest Trail, professional sports teams and a myriad of cultural amenities, ranging from opera and ballet to museums and theater.",-1,North Sound Emergency Medicine,"Everett, WA",51 to 200 Employees,-1,Private Practice / Firm,-1,-1,$1 to $5 million (USD)
1,Physician,Employer Provided Salary:$100 - $105 Per Hour,"Stratford Medical Group is looking for physicians to join our team of healthcare professionals!
About Us –
Stratford Medical Group is an established provider of medical treatment for a variety of men’s sexual health issues. We have a history of satisfied patients, because we offer experience and expertise in a professional clinic atmosphere.
Physician – Atlanta, GA
Requirements for this position include, but are not limited to:
Graduate of an accredited medical school
Licensed to practice medicine in the State of Georgia",-1,Stratford Medical Group,"Atlanta, GA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
2,"Psychiatrist Physician - Fayetteville, NC - ANY STATE LICENSE",Employer Provided Salary:$360K - $400K,"We have a need of a Board Certified Psychiatrist Physician in Wilmington, NC.
About the opportunity:
* The work schedule will be Monday through Friday either 8:00 a.m. to 4:30 p.m. to include rotational on call duties after-hours and weekends.
* The facility uses CPRS EMR for charting.
* Daily patients per clinic on average is 12 patients.
* Provide direct patient care in the outpatient mental health clinic
Requirements:
* The ideal physician is board certified by American Board of Neurology and Psychiatry.
* BLS required.
* VetPro approved candidates preferred due to credentialing period, but not required.
* For this assignment, any active state license is acceptable.",3.9,"SI2
3.9",South Carolina,1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
3,Full-Time Remote Telehealth Primary Care/Urgent Care Physician,-1,"We are looking for culturally responsive, well-respected, and entrepreneurial physicians (MDs and DOs) to provide virtual urgent care and primary care for one of our partners and serve as clinician leaders on a full-time employment basis. Physicians must be comfortable treating patients of all ages, including infants, children, adults, and older adults. For this position, physicians must have recent experience with all age populations, including experience providing care for an infant in the last 12 months. Physicians must also be comfortable treating across the entire primary care spectrum, including contraceptives, HIV prevention, and mental health medication management.
Physicians work independently and are responsible for diagnostic and therapeutic decision-making within industry and locally established standards of care, clinical practice guidelines, and organization policies and procedures. The content of medical decision-making focuses on common conditions that would present within an episodic, acute, or primary care medical practice. Additionally, there are several opportunities to participate as a clinician leader by means of developing and improving clinical protocols and processes, and working with a large network of clinicians to ensure high-quality patient care.",4.1,"SteadyMD
4.1",Remote,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
4,Palliative Care Physician,Employer Provided Salary:$231K - $356K,"Palliative Care Physician
Asian Network Hospice is seeking a Palliative Care Physician to join our team. This is a wonderful opportunity to help patients and their families deal with terminal illnesses and provide an high quality of care. Our collaborative, multicultural, multidisciplinary team ensures you have the support to deliver exceptional individualized care to patients. This position also provides the opportunity work with an underserved Asian population and provide them access to understanding their illness and culturally sensitive health care.
Responsibilities:
Responsible for routine home visit to evaluate for hospice recertification, comfort/sx management, and serve as a member of the interdisciplinary team.",-1,Asian Network Pacific Home Care & Hospice,"San Francisco, CA",1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
5,Physician,Employer Provided Salary:$200K - $250K,"Are you searching for the perfect work/life balance in a community you can fall in love with? Are you passionate about having free evenings and weekends to spend time with family and friends? Are you passionate about finding a quality place to work every single day? LCTHC is recruiting a Board Certified/Board Eligible M.D or D.O., who are motivated and engaged Clinic-Based Physicians, for our IHS FP/IM position in Lakeport CA.
We are one of the nation’s top providers of Indian Health Services. We provide primary care to both our local native communities as well as non-natives in a location renowned for its relaxed atmosphere, vineyards and world-class fishing.
What can you expect when you build your career with Lake County Tribal Health? TIME. Time to focus on what you love and what makes you happy, your family and your patients – we dramatically reduce paperwork and administrative tasks. We want you to have more time to enjoy your life – no rounds, weekends or holidays. We offer fantastic opportunities to advance your career – we want to share our success with the people who will continue to help build LCTHC as the top provider of exceptional healthcare for our communities.",3.2,"Lake County Tribal Health
3.2",Arizona,1 to 50 Employees,-1,Government,Health Care Services & Hospitals,Health Care,$5 to $10 million (USD)
6,Physician - Primary Care - Brainerd/Baxter - NO SHOT MANDATES REQUIRED,Employer Provided Salary:$180K - $250K,"We are looking to add another MD or DO to our growing private practice clinic!
Come work with a number of health care disciplines to provide top quality care to patients of all age ranges in the beautiful Brainerd Lakes area!
We are looking to hire amazing, passionate physicians that believe in providing the best care possible to patients while providing everyone with the proper autonomy with their own healthcare decisions.
No shot mandates required for employment!
Work in a well-established clinic that is well respected in the community. We are rapidly expanding and looking for a number of medical specialties, so if you are passionate about patient care and autonomy please apply!",-1,Confidential,Minnesota,-1,-1,-1,-1,-1,-1
7,Telehealth Physician,Employer Provided Salary:$120 - $150 Per Hour,"Remote Telemedicine Opportunity — Competitive Pay ($120-$150/hr)
We are looking for a culturally responsive, well-respected clinical care professional available for weekdays, nights, weekends, or on-call shifts with a desire for supplemental income and an interest in telemedicine opportunities. Physicians will work closely with our platform partners (e.g., large employers, digital health start-ups) to conduct virtual visits via video, phone, connected devices, or asynchronous messages with patients. There are a variety of opportunities, including online urgent care, online concierge medicine, prescription review and approval, lab interpretation, mental health management, and more.
Physicians work independently and are responsible for diagnostic and therapeutic decision-making within industry and locally established standards of care, clinical practice guidelines, and organization policies and procedures. The content of medical decision-making focuses on common conditions that would present within an episodic, acute, or primary care medical practice.",4.1,"SteadyMD
4.1",Remote,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
8,Full-Time Remote Telehealth Nocturnist Physician,-1,"This is a full-time, employed position requiring the physician to work 32 hours a week providing telehealth nocturnist coverage between 7pm to 7am.
We are looking for culturally responsive, well-respected, and entrepreneurial nocturnists (MDs and DOs) to provide virtual urgent care and primary care for one of our partners and serve as clinician leaders on a full-time employment basis. Nocturnists must be comfortable treating patients of all ages, including infants, children, adults, and older adults. For this position, nocturnists must have recent experience with all age populations, including experience providing care for an infant in the last 12 months. Physicians must also be comfortable treating across the entire primary care spectrum, including contraceptives, HIV prevention, and mental health medication management.
Physicians work independently and are responsible for diagnostic and therapeutic decision-making within industry and locally established standards of care, clinical practice guidelines, and organization policies and procedures. The content of medical decision-making focuses on common conditions that would present within an episodic, acute, or primary care medical practice. Additionally, there are several opportunities to participate as a clinician leader by means of developing and improving clinical protocols and processes, and working with a large network of clinicians to ensure high-quality patient care.",4.1,"SteadyMD
4.1",Remote,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
9,Hospitalist Physician,$154K - $365K (Glassdoor est.),"Excellent opportunity for a full-time hospital employed Hospitalist in beautiful Saranac Lake, NY. This position includes ICU responsibilities, with procedures such as vent management, intubation and central lines. Four Hospitalists provide 24/7 coverage to our 97 bed hospital, working a seven on-seven off schedule, and rotate days and nights every three months. There is a highly skilled Acute Care Nurse Practitioner who assists Monday through Friday, and the average daily census for the service is approximately 15 patients.
Located in the Northeast, in the beautiful mountainous communities of Saranac Lake and Lake Placid, NY, Our climate, provides the full benefits of four seasons, and ample outdoor recreational activities such as hiking, skiing, golf, boating, biking, snowshoeing, or simply taking in the beauty of the surrounding Adirondack Mountains. We have been a two time host of the winter Olympics (1932 and 1980) and continue to host many sporting and world cup events, as well as the annual Ironman USA. These are safe, family friendly communities with excellent school systems.",3.8,"Adirondack Health
3.8","Saranac Lake, NY",501 to 1000 Employees,1914,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
