,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Physician Assistant,Employer Provided Salary:$75 - $95 Per Hour,"Physician Assistant Job Description
We are looking for a Physician to be responsible for examining patients, prescribing medicines, and ordering diagnostic tests.
To be a successful Physician, you should be formally educated to examine patients, diagnose injuries and illnesses, and provide treatment. You should demonstrate strong attention to detail, as well as excellent communication and interpersonal skills.
Physician Assistant Responsibilities:
Interviewing, examining, and diagnosing patients' injuries and illnesses.
Ordering and interpreting diagnostic tests.",5.0,"Chai Urgent Care
5.0","Freehold, NY",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
1,Physician Assistant - Urgent Care,Employer Provided Salary:$60 Per Hour,"Bridger Orthopedic is a well-established, busy, private orthopedic practice in Bozeman, MT. This Physician Assistant position is a full time (minimum 30 hrs/week) role working in our Urgent Care Clinic, open 7 days/week. Some weekend hours will be required. Our Urgent Care is an acute care facility that sees orthopedic and some general medical concerns.
Key Responsibilities:
Evaluate and treat patients in urgent care
Order and interpret diagnostic test results
Record patient medical data in the EMR system
Candidate must have NCCPA certification, State and DEA licenses, and current CPR. ACLS preferred. Urgent Care, ER, and/or Ortho experience required.",4.6,"Bridger Orthopedic
4.6","Bozeman, MT",1 to 50 Employees,-1,Company - Private,Health Care Services & Hospitals,,$5 to $10 million (USD)
2,Nurse Practitioner/Physician Assistant,Employer Provided Salary:$130K,"Nurse Practitioner/Physician Assistant, Certified
We are seeking a Nurse Practitioner/ Physician Assistant for to become a part of our team! An opportunity for independent practice with support from medical colleagues in Washington State, providing services near the tri-cities.
You will focus on providing high quality patient care in Employee Health services in non-traditional setting at an employer site clinic. What is required? A love of the practice of medicine, critical thinking skills, acute diagnostic abilities and willingness to learn our unique system of practice. Bi-lingual Spanish preferred. Starting salary is based on experience.
Challenging? Yes. And very rewarding.
Responsibilities:",-1,AnovaWorks,"Royal City, WA",-1,-1,-1,-1,-1,-1
3,Physician Assistant,Employer Provided Salary:$130K - $180K,"Spine & Injury Medical Center. is looking for a highly motivated individual to join our team as a Physician Assistant/Associate in our Physical and Regenerative medicine Clinic. The candidate would be a Medical Provider who is looking for an amazing career in the exciting field of Regenerative Medicine. The experience you will gain with us will be invaluable for your entire career. Regenerative Medicine and Human Cellular Tissue Therapy is the future of medicine and it is here now. We are looking for someone who has extreme confidence, great bedside manner and lots of experience conversing with patients.
Qualifications include but not limited to:
Great communication skills
Active license
Active administrative and clinical role for the primary care team",-1,Spine & Injury Medical Center,"San Jose, CA",-1,-1,-1,-1,-1,-1
4,Physician Assistant,Employer Provided Salary:$125K,"We are looking for a responsible Physician Assistant to support the doctors’ work and actively facilitate patients’ recovery. You will apply medical techniques and principles under the direction of a physician and you will deal with a diverse set of patients offering them care and encouragement.
Responsibilities
Assess patients’ health and their demands and aim to fulfill them as well as possible
Issue appropriate prescriptions and administer medicine
Acquire and review patient histories identifying abnormal conditions
Monitor patients’ progress and keep records of treatments, surgeries or other medical events",-1,Rapid Immediate Care,"Hoffman Estates, IL",-1,-1,-1,-1,-1,-1
5,Physician Assistant - Clinical Administrator,Employer Provided Salary:$120K,"Job description
Ketamine Wellness Center's mission is to provide personalized, high-quality care and therapy for people suffering from afflictions where ketamine infusions have proven to be a successful treatment option. If you are looking for an incredibly rewarding career in a fast-growing industry using cutting-edge treatment therapy, you have come to the right place. Our focus is on individualized mind and body wellness for our patients to help improve their quality of life. As we continue to grow, we are adding to our energetic and compassionate team of experts.
WE LIVE OUR VALUES...
Compassion
Precision",-1,Ketamine Wellness Centers,"Federal Way, WA",-1,-1,-1,-1,-1,-1
6,Physician Assistant,Employer Provided Salary:$95K - $110K,"Are you sick of the 9-5. Are you looking for a lifestyle with time to pursue other passions outside of medicine? How would you like a week off every month? You can have a satisfying career providing medical care in a rural community and have time away to refresh, do the things you love, spend time with family. Yes, you can have it all.
Garden Valley Family Medicine is seeking an Board Certified Physician Assistant to join their growing and thriving Family Practice. Work a rotating schedule: 2 weeks on and a week off. Call is shared on a rotating schedule every 3 weeks, with a week off after your call week. Garden Valley Family Medicine is the only medical practice in Boise County serving all the needs of Primary Care from acute illnesses and injuries to chronic illnesses of patients of all ages.
Job Type: Full-time
Pay: $95,000.00 - $110,000.00 per year",-1,Garden Valley Family Medicine,"Garden Valley, ID",-1,-1,-1,-1,-1,-1
7,Physician Assistant-Certified,Employer Provided Salary:$150K,"PHYSICIAN ASSISTANT - PAIN MANAGEMENT
Qualifications
· Master’s degree in Physician Assistant Studies from an accredited Committee of Allied Health Education and Accreditation (CAHEA) institution.
· Completion of a Physician Assistant program that is accredited by the Accreditation Review Commission on Education for the Physician Assistant (ARC-PA).
· Successful completion of the Physician Assistant National Certifying Examination (PANCE) administered by the National Commission on Certification of Physician Assistants.
· Additional training in pain management or experience preferred.",-1,The Pain Management Center at Guam Radiology Consultants,"Tamuning, GU",-1,-1,-1,-1,-1,-1
8,Physician Assistant,Employer Provided Salary:$60 Per Hour,"We are currently looking for providers interested in independently contracting with our company, Signifyhealth, in their spare time; performing in-home, pre-scheduled health risk assessments for seniors insured under the Medicare Advantage plans that we represent nationwide.* $60 PER ASSESSMENT COMPLETED (Average 6-9 Daily)Monday - Fridays only, No nights or weekends * Short Term or Long Term basis * Pre-scheduled H&P in home w/Medicare Advantage Members * Airfare, Hotel, Rental Car, Malpractice, Per Diem provided as needed * Independent Contractor, 1099 status * Flexible Schedule *State License Required* When performing assessments we will provide you with a pre-populated, patient-specific form for each evaluation with the demographic information and medical history of the patient as made available by the insurer. You would not be required to prescribe medicine, order lab tests, do blood work or alter the members current treatment regimen. We also provide a short online training program for you to review at your convenience. We can work with you and your schedule to make these evaluations as convenient as possible. We have no minimum time requirement or evaluation quota. The evaluations can be done on a part-time or ongoing/weekly basis and would not interfere with your current working situation.Our firm also covers all travel and lodging expenses for those who elect to travel, as well as providing a per Diem reimbursement. We also provide malpractice insurance for all of our providers free of charge. If you have any upcoming availability, or if you know of any colleagues who may be interested, please contact me as soon as possible. For immediate consideration, please reply with a copy of your CV",3.5,"Signify Health
3.5",North Carolina,1001 to 5000 Employees,2017,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
9,Physician Assistant,Employer Provided Salary:$50 - $60 Per Hour,"We are seeking an Orthopedic Physician's Assistant to become a part of our team! You will focus on providing high quality patient care as part of a healthcare team. This opportunity is a part-time or a full-time position for multiple medical clinics in and around the metro Atlanta area. The clinics are open Monday through Friday with no weekends or on-call responsibilities. The hours and days will vary according to need and availability. The position also requires travel between office locations. You must be able to collaborate and interact with other medical professionals while possessing strong communication and interpersonal skills, which will not only help you interact with other professionals but also help them communicate effectively with patients. Attention to detail is important because you must note any changes in a patient's condition that may indicate an issue, or being able to refer patients to appropriate specialty providers.
Responsibilities:
Diagnose and treat acute, episodic or chronic illnesses",-1,Confidential,"Atlanta, GA",-1,-1,-1,-1,-1,-1
