,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,"Pilot - First Officer (FA20/LJ35,55)",Employer Provided Salary:$65K - $85K,"First Officer - Falcon 20, Lear 35/55
Royal Air Freight Inc. is a part 135 Air Carrier seeking qualified First Officer candidates for our passenger charter operation out of KPTK (Oakland County International) in Waterford, MI. It is expected that the candidate lives, or be willing to relocate, within a 1 hour call-out time of the base location.
Position Summary
The First Officer (SIC) reports directly to their PIC and Chief Pilot. The SIC prepares and ensures the safe and efficient operation of company aircraft and cargo on board in accordance with the Federal Aviation Regulations and company procedures.
The First Officer is responsible to the Captain to assist in the safe and efficient conduct of the flight. In the event of the incapacitation of the Captain, the First Officer will assume command.",-1,Royal Air Freight Inc. (Royal Air Charter),"Waterford, MI",-1,-1,-1,-1,-1,-1
1,Full time pilot,Employer Provided Salary:$100K - $164K,"We are looking for an Airline Pilot to fly our airplane Hawker 400xp for local and short and long-haul flights. Airline Pilot responsibilities include conducting various pre-flight checks to the aircraft’s operational systems, creating and adjusting flight plans and ensure secure takeoffs and landings. To be considered for this position, you should be a licensed Commercial Airline Pilot and have a minimum of 2,000 hours of flight time. Ultimately, you will have the overall responsibility for the safety of our crew and passengers.
Responsibilities
Create a flight plan, considering aircraft performance, altitude and weather conditions
Check the aircraft before every flight (engines, radars, navigation systems, etc)
Ensure cargo weight doesn’t exceed aircraft limits",-1,Confidential,New Jersey,-1,-1,-1,-1,-1,-1
2,Licensed Drone Pilot/Operator,-1,"An event company primarily focused on weddings is seeking a professional, licensed Drone Pilot/Operator to capture stunning footage and photos of our client’s special day. We value individual qualities such as dedication, hard work, and the capability to fit the dynamic of a team-oriented environment. They must prioritize cooperation with event staff and clients in order to benefit from employee and customer satisfaction. The ideal candidates would have and FAA Certification for UAS Pilot.
Qualifications:
FAA Part 107 Certification (Certification Papers Needed)
Camera Operating Experience: 1 year
Drone Flying Experience: 1 year
Wedding experience a plus
Professional Liability Insurance Required'
'
Work Location:",3.3,"Enchanted Celebrations
3.3",New Jersey,1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
3,Pilot / Roof Surveyor,-1,"Position Description
JRC Incorporated is a nationwide construction company located near Nashville, TN. We are currently seeking a pilot whose primary role will be to complete roof surveys on new projects, inspect existing roof systems, and make small roof repairs throughout the U.S.
Responsibilities:
Fly company owned aircraft (Mooney M20K / Bonanza A36) to locations throughout the continental U.S.
Complete roof surveys of commercial properties to gather information for estimating team. Will involve getting on roofs and inside attics for comprehensive surveys.
Plan and coordinate work schedules and flight planning.",-1,JRC Incorporated,"Nashville, TN",-1,-1,-1,-1,-1,-1
4,Pilot In Command - Hawker 800,-1,"Pilot-In-Command - Hawker
Plus One Air, Inc. (Plus One Air, Inc.)
About us:
We are growing! Plus One Air http://plusoneair.com/ is a charter S-135 company based out of Fort Pierce, Florida. Operations are all Hawker 800XP aircraft. Plus One Air is dedicated to providing world-class private jet charter S135 services, maintaining a constant focus on safety while maintaining a favorable quality of life for our employees. At Plus One Air we believe in growing and promoting organically and from within.
PILOT IN COMMAND Benefits:
Health insurance
Dental insurance",-1,General Micro Systems East,"Orlando, FL",-1,-1,-1,-1,-1,-1
5,Inspector/Drone Operator - Solar Surveyor,$29K - $68K (Glassdoor est.),"About Exactus
Exactus was founded in Canada by a team of young, forward-thinking and environmentally responsible engineers who came together to make solar simple. We believe that one day soon, all electricity will be generated from renewable sources. Exactus Energy is striving towards this goal, one solar panel at a time. http://www.exactusenergy.com
Job Description
*
This subcontractor role allows you to choose your own hours to fit into your personal schedule. If you are hands-on, enjoy being independent and exploring new areas - you will be a great fit!
The successful candidate can expect to travel to residential project sites, in and around Chicago, IL to complete data collection to support residential solar installations (~50 miles radius). Hours are flexible, you provide the times that work for you and the work is recurring year long.",4.9,"Exactus Energy Inc.
4.9","Chicago, IL",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
6,Drone Pilots,Employer Provided Salary:$40K - $60K,"Open Position - Drone Delivery Pilots
Position Title: Senior and Junior Drone Delivery Pilots
Department: Drone Operations
Job Function: Operate Drones for deliveries and other operations
Location: Northwest Arkansas (Fayetteville, Bentonville, and Rogers)
Reporting: Location Manager
About DroneUp
DroneUp is a team of thinkers, doers, and collaborators bound together by our commitment to inspire drone technology leadership.",-1,"DroneUp, LLC","Bentonville, AR",-1,-1,-1,-1,-1,-1
7,Production Test Pilot,-1,"Position Summary:
Conduct flight-test operations on Company aircraft and inspect equipment and systems for certification. Interface with Quality Assurance inspectors and other departments within the Company, Federal Aviation Administration (FAA), and vendors as necessary. Assure that all Quality Assurance aircraft documentation and records, including completion of processes, are properly maintained.
Essential Duties And Responsibilities:
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.",3.3,"Piper Aircraft Inc
3.3","Vero Beach, FL",51 to 200 Employees,2003,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD)
8,Corporate Pilot,-1,"Job Title: Corporate Pilot

SUMMARY: Pilots company-owned aircraft to transport company officials or customers to business engagements and other company events.
WAGE TYPE: Salaried Exempt
ESSENTIAL DUTIES AND RESPONSIBILITIES: To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Perform pre-flight and in-flight tests to ensure safety of flight.
Flight of jet engine aircrafts.",3.7,"Lincoln Industries
3.7","Lincoln, NE",501 to 1000 Employees,1952,Company - Private,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD)
9,Pilot,-1,"Job Title Pilot
Department: Flight Operations
Reports To: Chief Executive Officer/Aviation Manager
FLSA Status: Exempt
SUMMARY:
Responsible for piloting corporate aircraft to a variety of destinations as required. Assures that Company aircraft are cleaned and maintained according to Federal Aviation Administration (FAA) regulations, established aviation practices and Company policies and provides a high level of customer service to Principals and other passengers during flights on corporate aircraft.",-1,Crescent Heights,"Miami, FL",-1,-1,-1,-1,-1,-1
10,Corporate Pilot,-1,"Job Title: Corporate Pilot
Company: SPEC Building Materials
Position: Part 91 Corporate Pilot
Type Rating: CE525B or CJ3+
Location: Kansas City
Salary: Based on experience and qualifications
Benefits: Medical, Dental, Group Life, AD&D and 401k
Responsibilities:
❖ Must possess and be current on all required certificates, licenses and permits required for
position.
❖ Assist during all phases of flights in accordance with company policies and procedures.
❖ Must comply with all Federal Aviation Regulations, Company Operations Manual, Standard
Operating Procedures, and Operations Specifications.
❖ Update flight and duty records and ensure any aircraft maintenance discrepancies are reported
in accordance with Company Policies and Procedures.
❖ Proactively identify, report and mitigate any hazard or quality issues.
❖ Must maintain a Third Class Medical Certificate.
❖ Perform other duties and/or special projects as assigned by the Chief Pilot.
Qualifications:
❖ Must be able to complete training program, demonstration proficiency with job requirements.
❖ Must reside within 2 hours of the Kansas City area.
❖ Strong customer service skills.
❖ Needs to be able to work a flexible schedule.
❖ Pass background check and a contingency of hire pre-employment drug test
❖ Must possess a valid state driver’s license
❖ Possess the legal right to work in the United States.",3.3,"Spec Building Materials Corporation
3.3","Kansas City, KS",501 to 1000 Employees,1974,Company - Private,Construction,"Construction, Repair & Maintenance",Unknown / Non-Applicable
11,"Private Pilot - Dayton, Ohio",Employer Provided Salary:$60K - $100K,"This is an Amazing chance to be part of a Part 91 flight department and join a team dedicated to excellence!
Qualified Candidates should possess the following:
 FAA Commercial Pilot with Multi Engine Instrument
 Minimum flight time: 2,500 hours total time, 1,000 multi-engine, 500 hours PIC (Pilot in Charge)
 Accident and FAA enforcement free record
 Current 2nd Class Medical
 Strong Stick and Rudder Skills
 Excellent Customer Service
 Experience flying a Citation X, CJ3 and/or Meridian
 Citation X type rating preferred but not required
 A&P Mechanic (a plus but not required)
 Clean driving record ( No accidents, incidents, violations or DUI/DWI)
 Valid Passport",4.7,"The Connor Group
4.7","Miamisburg, OH",201 to 500 Employees,1992,Company - Private,Real Estate,Real Estate,$100 to $500 million (USD)
12,Pilot - Eastern U.S.,-1,"Overview:
We are currently collecting resumes for future positions. As positions become available, we will reach out to you with next steps.
Quantum Spatial Inc. is the largest, most technically advanced full-service geospatial solutions provider in North America. We are seeking professional, motivated and collaborative pilots to join our amazing team. If you enjoy traveling the world, are mission-oriented and can work effectively independently or in a team, this opportunity is perfect for you.

Our pilots are allowed to live wherever they want as long as they are proximate to a mid-tier airport from which to travel. They are deployed for 16-23 days in the field followed by 12 consecutive days off. Pilots are flown to the aircraft in the field at the company’s expense and hotel, car and meal expenses are paid by the company while deployed. This position is included in the company’s hearing conservation program.

We understand the needs of our pilots and work with them to make the position family-friendly. QSI offers competitive, attractive and an affordable package of health and life benefits for employees and their families. We consider the health and well-being of our employees and their families to be one of our most important concerns. Choose from a variety of medical plans, as well as dental, vision, employer-paid life, disability and accident insurance. Other options include free Employee Assistance Program, supplemental group term life insurance coverage, flexible spending accounts and wellness programs including the opportunity to earn money for your existing activities.



Responsibilities:
Qualifications:",3.6,"NV5
3.6","Sheboygan Falls, WI",1001 to 5000 Employees,2010,Company - Public,Architectural & Engineering Services,Business Services,$500 million to $1 billion (USD)
13,Fixed Wing Pilot Off Duty Housing,-1,"We have openings in: Austin TX, Cahokia IL, Englewood CO, Kahului HI, McCook NE, Rapid City SD and Honolulu HI.

We are searching for a Fixed Wing Pilot who will be responsible for making sure the aircraft and weather conditions are safe to transport medical crew and patient to receiving hospitals. Pilots are responsible for compliance with Federal Aviation Regulations (FAR), Aeronautical Information Manual (AIM), General Operations Manual guidelines (GOM), and thorough knowledge of our policies and procedures.
Education & Experience:
Associate degree (A.A.) or equivalent from two-year college or technical school and two to five years’ related experience and/or training; or equivalent combination of education and experience",5.0,"Northeast Healthcare Recruitment
5.0","Hemet, CA",1 to 50 Employees,2011,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD)
