,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Mobile Podiatrist,Employer Provided Salary:$25 - $100 Per Hour,"Job Description
Quality Podiatry Group of Florida, Ltd is a leading provider of mobile, on-site podiatry services at long-term care facilities in Florida. Our exceptional growth has created a need for a traveling, independent contractor of podiatry services in Florida. We provide all the training and support for you to succeed.
The ideal candidate will have:
Florida podiatry license
Entrepreneurial, self-starter attitude
Excellent written, verbal, interpersonal and organizational skills-Ability to work well as a team player-Works well under time constraints",-1,Quality Podiatry,"Pensacola, FL",-1,-1,-1,-1,-1,-1
1,Associate Podiatrist,Employer Provided Salary:$70K - $250K,"Job description
Summary
Elite Foot and Ankle is a busy practice in the heart of Burbank, CA. Our practice covers all areas of general podiatry as well as surgery, trauma, and wound care. Our practice utilizes a state-of-the-art EHR, in-house digital x-rays, and in-house ultrasound.
We are looking for a full-time associate for all aspects of general podiatry. Our ideal candidate is eager to learn and work with the senior partner/doctor as well as show an ability to bring in new patients. This is a perfect position for a candidate who is looking for a part-time position. The part-time position may be converted to a full time position in the future if desired.
Requirements",3.1,"Elite Foot and Ankle
3.1","Burbank, CA",1 to 50 Employees,-1,Contract,-1,-1,Unknown / Non-Applicable
2,Associate Podiatrist,Employer Provided Salary:$110K - $120K,"Associate Podiatrist Job Description
Our Mission:
Arizona Foot & Ankle Specialists, LLC endeavors to evaluate patients medically and provide current evidenced based medical treatment for their foot, ankle, and lower leg ailments or disease processes either by conservative and / or reconstructive foot & ankle surgery means. To provide patients with the highest quality of podiatric medical and surgical care, while maintaining a managed cost environment. Ensuring that we provide our patients with prompt, courteous, competent, and compassionate service while providing the highest quality cutting edge podiatric care possible.
Overview:",-1,"AZ Foot & Ankle Specialists, LLC","Goodyear, AZ",-1,-1,-1,-1,-1,-1
3,Podiatrist,Employer Provided Salary:$150K - $200K,"Podiatrist
Great Earnings: $150,000 - $200,000/+ $25,000 Signing Bonus/Full and Part Time
VistaLink Health is a 21st Century Medical/Multi-Disciplinary Group designed to deliver leading edge solutions to the geriatric community. Our innovative onsite clinics, Same-Day prosthetic deliverables and Electronic Health Records afford a superior solution not readily available in today’s tradition-bound elder care.
VistaLink Health delivers multiple clinical services within our onsite clinics: general medical, dentistry, audiology, optometry, podiatry, and telepsychiatry. VistaLink Health’s one delivery solution provides a predictable scheduling, billing and communication process for clients and families. Likewise, VistaLink Health’s medical management and clinical care is always rendered ethically and consistently. And for facilities, one phone number gets it done.",-1,"VistaLink Health Group, LLC","Saint Louis, MO",-1,-1,-1,-1,-1,-1
4,Podiatrist,-1,"Seeking a Full-time Podiatrist for an established and rapidly growing practice with 4 office locations within a tri-county area in South Central PA. The candidate must be personable, self-motivated, dedicated and board qualified or certified. Salary, malpractice insurance, PTO, CME allowance, health insurance and 401(k) available. Please provide CV.'
'
Work Location:
Multiple locations
Work Remotely
No
Job Type: Full-time",-1,Central PA Physicians Group,Pennsylvania,-1,-1,-1,-1,-1,-1
5,Podiatrist - Part Time,Employer Provided Salary:$180K - $250K,"We are seeking a Board eligible/certified Podiatrist for 3-4 days per week.
We are a busy independent pain management practice located in the Metro West area of suburban Boston with 2 NP’s, and a fluoroscopy suite, with radiofrequency and extensive use of ultrasound.
You will be joining 1 Physician and 2 Nurse Practitioners focused on office based interventional procedures. Specifically, you will be focusing on ultrasound guided procedures and we are willing to train you. You will work collaboratively with our Medical Director.
The ideal candidate will have competence in procedures, excellent interpersonal skills, demonstrated leadership skills, a successful work ethic and a record of excellence in medical education and practice.",-1,"Complete Pain Care, LLC","Framingham, MA",-1,-1,-1,-1,-1,-1
6,Podiatrist,Employer Provided Salary:$75K - $205K,"PODIATRIST to travel to NURSING HOME PATIENTS in various locations throughout Texas. Must have Texas Podiatry License.
Associate Positions – Texas
A provider of high quality podiatric care in Nursing Facilities and Assisted Living Communities is looking for podiatrists to treat patients throughout Texas. We are a fast growing company looking for motivated and caring podiatrists. We offer both full time and part-time positions, with flexible schedules and an unmatched potential for growth.
Please send your CV and Cover Letter.
Job Types: Full-time, Part-time",-1,Eastern Podiatry,Texas,-1,-1,-1,-1,-1,-1
7,Podiatrist,Employer Provided Salary:$100K - $300K,"I am looking for a podiatry associate at a busy, high end podiatry practice. We are an established practice that has been in business since 1980. We pride ourselves as being top ranked in the area. We have three locations, and are looking to open a fourth. Our practice currently has 3 lasers, digital x-ray machines,2 fluoroscopy units, a weight bearing CT machine and ultrasound. This position is for a podiatrist who is interested in being with us long term with an option of contract renewal and an option to buy in to become a partner. This position is for a self motivated individual.
Podiatrist will conduct him/herself in a professional manner, demonstrating behaviors and accountability which supports the ideals of the Mission, Vision, and Values of the GRHC to every customer, both internal and external.
Maintains clinical competencies and proficiencies as per standards of practice, and regulatory guidelines, all hospital policies, protocols and outcome standards.",-1,Foot Health Center,"Metairie, LA",-1,-1,-1,-1,-1,-1
8,Podiatrist,Employer Provided Salary:$50 - $85 Per Hour,"Part-time to full-time
Podiatrist position available must be able to perform all phases of general podiatry and surgery. Highly respected, busy podiatrist seeking hard working, dedicated and motivated candidate. Must be board certified/qualified in foot and ankle surgery. Looking for a long-term team player dedicated to providing high quality patient care.
Job Type: Part-time to full-time
Job Types: Full-time, Part-time
Pay: $50.00 - $85.00 per hour
Benefits:",-1,"Joseph D. Ruffo, DPM","Babylon, NY",-1,-1,-1,-1,-1,-1
9,Podiatrist,Employer Provided Salary:$200K - $300K,"Full time Podiatrist needed. Responsibilities include surgical and nonsurgical treatment of foot and ankle conditions.
Benefits include insurance, CME stipend, paid time off, 401K, cell phone and bonuses included.
Must have graduated from a credentialed residency.
Job Type: Full-time
Pay: $200,000.00 - $300,000.00 per year
Benefits:
401(k)",-1,Canyon Oaks Foot and Ankle Specialists,"Fresno, CA",-1,-1,-1,-1,-1,-1
