,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,General Dentist/ Prosthodontist,Employer Provided Salary:$150K - $400K,"We are an ALL ON 4 Implant Center that does all phases of treatment including surgery, lab work, and prosthetic delivery.
Looking for someone wanting to make a career as a associate/future partner in our unique life changing office.
Needed skillsets
Confidence in consultations and treatment planning
Full arch restoration procedures analog or digital
Smile Designing
Communication and bedside manner",-1,Dream Dental implant center,"Salt Lake City, UT",-1,-1,-1,-1,-1,-1
1,Prosthodontist,Employer Provided Salary:$300K - $400K,"Abundant Dental Care, a dentist-owned and dentist-led dental corporation with many offices along the Wasatch Front and focused on elevating dental professionals to mastery, is hiring experienced Prosthodontists who are the best in your field!
We offer you the opportunity to learn and collaborate with our team of experienced dentists and professionals, and a potential for future equity ownership in the corporation! Our culture is one of continuing education and constant learning. You will be on a mission to be the best that you can be, so that with your team, you are able to provide legendary patient care.
Your office will be open Monday through Friday from 7:00 a.m. until 7:00 p.m. and Saturdays from 8:00 a.m. until 2:00 p.m. We are committed to a culture of Unconditional Responsibility. We serve patients when they want to be served; therefore, you may be scheduled for morning shifts or evening shifts, and everyone works at least two Saturdays each month, up to 40 hours a week.",3.3,"Abundant Dental Care
3.3","Salt Lake City, UT",51 to 200 Employees,2016,Company - Private,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD)
2,Experienced Prosthodontist,-1,"Our well-established and highly reputable cosmetic dental practice is
seeking an experienced Prosthodontist to join our team.The ideal
candidate will be an accomplished professional who is dedicated to
delivering exceptional care. If you are looking for a wonderful opportunity
to work in a great office with an amazing team, we invite you to apply.
Job Types: Full-time, Part-time
Experience:
relevant: 5 years (Preferred)
Working days:",-1,High Profile Beverly Hills Cosmetic Dental Office,"Beverly Hills, CA",-1,-1,-1,-1,-1,-1
3,Skilled General Dentist or Prosthodontist,Employer Provided Salary:$75 Per Hour,"Well-established Metrowest private dental office seeking to hire an associate dentist with 3+ years of experience and/or AEGD/GPR experience preferred. Exceptional new grad will be considered.
Must be an excellent communicator, and a compassionate person.
$600 per day guaranteed to start. Collection-based compensation after initial period. Unlimited income potential as our office is fee-for-service with a wonderful reputation within the community.
Part-time (2 days, Wed/Fri and 2 Sat half days per month) to start, with potential to lead to a full-time position.
Job Type: Part-time
Pay: $600.00 per day",-1,Dental Offices,Massachusetts,-1,-1,-1,-1,-1,-1
4,Prosthodontist / General Dentist,Employer Provided Salary:$150K - $300K,"This is an opportunity to join a well-established private practice in beautiful Austin Texas for a Full Time Prosthodontist or part time. No weekend appointments.
Our growing private practice already has a strong patient base and huge referral base from the community,with a beautiful office and equipment. This is an excellent long term opportunity for a highly skilled and motivated Prosthodontist who is able to work independently. Candidate must be a team player and be committed to provide superior patient care.
State of Texas Dental License required to start. Private practice experience preferred but not required.
This opportunity affords generous salary/benefits including,medical and dental.
call 1-512-773-9239 for more information and to set up interview.",-1,Confidential,"Austin, TX",-1,-1,-1,-1,-1,-1
5,Prosthodontist,Employer Provided Salary:$80 - $125 Per Hour,"We are a modern Prosthodontic practice with locations in the greater Baltimore area and are looking to add another provider. This position would be 2-3 days to start. The ideal candidate would be
- Proficient in all phases of prosthodontics; surgical experience preferred.
- Committed to the high quality of patient care.
- Good communication skills.
- 2 years of professional dental experience preferred but recent grads will be considered.
Requirements",-1,Maryland Prosthodontic Associates,"Columbia, MD",-1,-1,-1,-1,-1,-1
6,General Dentist or Prosthodontist,Employer Provided Salary:$65 Per Hour,"We are looking for a Full-Time or Part Time Prosthodontist or Experienced General Dentist for our fee-for-service office in Rockville, MD.
Ideally a doctor who speaks Spanish and is comfortable with removables.
Salary is negotiable based on experience, schedule and other specifications.
Please text Nina at 301-820-2233 if interested.
Job Types: Full-time, Part-time
Pay: From $65.00 per hour
Benefits:",2.6,"StarBrite Dental
2.6","Rockville, MD",1 to 50 Employees,-1,Private Practice / Firm,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
7,Prosthodontist,Employer Provided Salary:$125 Per Hour,"Seeking Prosthodontist for 1 to 2 days a week
Job Type: Part-time
Pay: From $1,000.00 per day
Schedule:
10 hour shift
8 hour shift
Day shift
COVID-19 considerations:
All patients and staff are gowned and UVC lights are used",-1,Smile Design Specialist,"North Arlington, NJ",-1,-1,-1,-1,-1,-1
8,General Dentist/Prosthodontist,-1,"Busy modern state of the art multi-specialty dental office in Midtown Manhattan near Grand Central looking to add a general dentist or a Prosthodontist. Must have excellent communication skills, chair-side manners and business sense. Flexible hours. Great earning potentials. Must be available to work on weekends. Please email your resume if interested.
Job Types: Full-time, Part-time, Contract
Pay: $1,000.00 - $4,000.00 per day
Medical Specialty:
Primary Care
Schedule:",-1,Private Company,"New York, NY",-1,-1,-1,-1,-1,-1
9,Periodontist / Prosthodontist,$76K - $197K (Glassdoor est.),"Periodontist / Prosthodontist
New York City, NY

We are seeking a full-time or part-time Periodontist / Prosthodontist to join our client's Dental Implants practice in New York City, New York. The practice specializes in Dental Implants and Cosmetic Dentistry. They have 8 office locations in the New York City Area and Connecticut. They're committed to providing patients with an informative and “stress-free”, high-quality visit, with the latest state-of-the-art technology. They practice performs more then 2,000 implants per year and their specialists have a combined experience of over 25 years. Those who are qualified and in search of a long-term career opportunity in a cutting-edge practice are encouraged to apply today!

Periodontist / Prosthodontist Schedule & Compensation





- DDS or DMD - Current license to practice dentistry in the state of New York - Experience performing dental implants",-1,MASC Medical,"New York, NY",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
