,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Forensic Psychiatrist,Employer Provided Salary:$86 - $105 Per Hour,"The Icahn School of Medicine at Mount Sinai affiliated with Elmhurst Hospital Center, serving the culturally diverse community of Western Queens, is seeking a full time board certified/board eligible Psychiatrist for their Women’s Forensic Inpatient Unit. The Forensic Psychiatrist is part of a multidisciplinary team and has overall clinical responsibility for monitoring client treatment and staff delivery of clinical services. The Women’s Forensic Unit is the only forensic unit in the city serving women under DOC or NYPD custody. It is also a teaching unit for Residents. The appropriate candidate should have completed a fellowship in Forensic Psychiatry or have had extensive forensic experience. We offer faculty appointment with the Icahn School of Medicine at Mount Sinai Health System. This is an excellent opportunity to join a multidisciplinary team working with a diverse patient population.
Elmhurst Hospital Center offers a collegial environment and competitive salary to include a sign in bonus and retention bonus along with full benefits. This position requires current New York State License, Medicaid number and DEA number in order to practice medicine.",3.5,"Mount Sinai Health System
3.5","Elmhurst, NY",10000+ Employees,2013,Hospital,,Health Care,$1 to $2 billion (USD)
1,"Psychiatrist Physician - Fayetteville, NC - ANY STATE LICENSE",Employer Provided Salary:$360K - $400K,"We have a need of a Board Certified Psychiatrist Physician in Wilmington, NC.
About the opportunity:
* The work schedule will be Monday through Friday either 8:00 a.m. to 4:30 p.m. to include rotational on call duties after-hours and weekends.
* The facility uses CPRS EMR for charting.
* Daily patients per clinic on average is 12 patients.
* Provide direct patient care in the outpatient mental health clinic
Requirements:
* The ideal physician is board certified by American Board of Neurology and Psychiatry.
* BLS required.
* VetPro approved candidates preferred due to credentialing period, but not required.
* For this assignment, any active state license is acceptable.",3.9,"SI2
3.9",South Carolina,1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
2,Psychiatrist - Crisis Stabilization Unit - Full/Part,Employer Provided Salary:$195 - $210 Per Hour,"San Diego, California. ""America's Finest City""
Senior Medical Associates seeks a psychiatrist to join a quality-focused, patient-centered team known for a positive workplace culture. Practice location options are at Exodus Recovery's freestanding Crisis Stabilization Units at either Vista or Oceanside locations.
The clinical treatment populations are myriad adults in crisis ranging from involuntary to voluntary clients, novel neuropsychiatric presentations, chronic mental illness, substance use disorders and beyond. Clients are screened for those with an acuity appropriate to receive care in this freestanding setting rather than a hospital-based emergency room.
EXPERIENCE: Emergency Psychiatry, Consult Liaison Psychiatry or Inpatient Psychiatry are ideal. Ability to work in a collaborative, growth-oriented, environment is essential.",4.0,"Senior Medical Associates ( SMA )
4.0","San Diego, CA",201 to 500 Employees,1982,Company - Private,Consulting,Business Services,$50 to $100 million (USD)
3,Staff Psychiatrist,Employer Provided Salary:$185K - $200K,"Works with little to no supervision. Conforms to schedules, policies and procedures of DAYMARK Recovery Services. Special Attributes
Strong psychosocial, clinical assessment skills. Minimal supervision regarding use of time, able to prioritize work assignments.
Ability to communicate effectively with professions and clients/families.
Ability to make sound decisions in emergency situations.
Qualification Requirements:
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily.
The requirements listed below are representative of the knowledge, skill and/or ability required.",2.7,"Daymark Recovery Services
2.7","Winston-Salem, NC",201 to 500 Employees,2003,Nonprofit Organization,,Health Care,$50 to $100 million (USD)
4,Psychiatrist (Child/Adult),Employer Provided Salary:$145 Per Hour,"OGCC Behavioral Health Services Inc. is dedicated to enhancing the mental health of individuals and families within the community. Our agency is committed to treating all individuals with dignity while improving their quality of life.
Psychiatrist (Contract Wednesdays – 8 hour shift)
This position requires one to render services to children and adults who meet criteria for a variety of mental health concerns in efforts to enhance symptom management. The psychiatrist will be essential in providing psychiatric services to assist the individuals served in goals for rehabilitation and recovery tailored to each individual.
Skill Requirements:
Applicant is required to have a Doctorate of Medicine degree specializing in Psychiatry and have an unrestricted license in the State of Georgia. The applicant for this position must be organized, detail-oriented, an effective communicator and demonstrate the ability to work independently and as a team member. Applicant must be able to demonstrate documentation methods that are succinct and efficient.",-1,"OGCC Behavioral Health Services, Inc.","Atlanta, GA",-1,-1,-1,-1,-1,-1
5,Psychiatrist,Employer Provided Salary:$79 - $191 Per Hour,"Summary of Job:
Part time Psychiatrist.
Completes initial psychiatric assessment and recommends continued care
Develops differential diagnostic assessments and treatments
Prescribes and administers medication according to standard of care
Provides administrative support and supervision of behavioral staff
Education, Licenses, and Experience
Doctorate of Medicine or Osteopathic Medicine with a specialty in Psychiatry
Licensed by the North Carolina Medical Board",-1,Solas Health PLLC,"Pinehurst, NC",-1,-1,-1,-1,-1,-1
6,Psychiatrist - Telemedicine Role,-1,"Hims and Hers offers a modern approach to health and wellness. Our mission from the beginning has been to eliminate stigmas and make it easier for people to access evidence-based care and treatment for the conditions that impact their daily lives. We focus on inclusive, non-stigmatized care for people of all kinds across the US. That starts with creating an open and honest culture of care that is accessible for everyone, no matter who you are or where you live. Since launching in November 2017, we’ve become one of the fastest-growing direct-to-consumer brands in history. We invite you to learn more about us by checking out our websites, forHims.com and forHers.com.
We are currently looking for a Full-time and Part-time Telemedicine Psychiatrist to join our team.
Responsibilities",4.2,"Hims and Hers
4.2",Missouri,51 to 200 Employees,2017,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
7,Psychiatrist,Employer Provided Salary:$225K - $275K,"Psychiatrist
About the Company
At Cedar Psychiatry...Healing Happens Here! Join our team and play an integral role in helping individuals achieve mental wellness. Cedar Psychiatry is a growing mental health practice with multiple outpatient clinics that provides advanced, cutting-edge psychedelic drug therapies. As well as, Transcranial Magnetic Stimulation (TMS), individualized therapy including holistic approaches, medical management services and more. Cedar Psychiatry also has an esteemed team of medical professionals dedicated to the clinical research in the use of psychedelic-assisted psychotherapy. This research is changing the future of how we treat mental illnesses. It’s pretty exciting here at Cedar and we’d love for you to join our team!
Cedar Psychiatry was co-founded by Utah psychiatrist Dr. Reid Robison, MD in 2019 (currently serving as Chief Medical Officer) and is owned by Novamind, a Toronto-based organization dedicated to building the infrastructure to enable psychedelic medicine. See and to learn more.",5.0,"Cedar Psychiatry
5.0","Orem, UT",1 to 50 Employees,2019,Subsidiary or Business Segment,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
8,Child and Adolescent Psychiatrist,$126K - $320K (Glassdoor est.),"Bay Area Clinical Associates (BACA) is dedicated to hiring, retaining and growing the best and brightest mental healthcare professionals. Our clinicians have been proud to serve California since 2007 and carry our mission and vision forward. We’re proud of our reputation for being innovative and providing high-quality care across California. But… we need you to help us!
We are hiring a Child and Adolescent Psychiatrist to join our rapidly growing team. The Child and Adolescent Psychiatrist role can be Full-time or Part-time. The Child and Adolescent Psychiatrist role is for our San Diego, CA clinic (currently remote due to COVID).
Qualifications
MD or DO required
Board Eligible or Board Certified",4.6,"Bay Area Clinical Associates
4.6","San Diego, CA",51 to 200 Employees,2017,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
9,Psychiatrist,-1,"POSITION SUMM
TUOLUMNE ME-WUK INDIAN HEALTH CENTER
POSITION DESCRIPTION

POSITION TITLE: Psychiatrist
REPORTS TO: Administration
SUPERVISES: None
POSITION STATUS: Exempt",5.0,"Tuolumne Me Wuk Indian Health Center Inc.
5.0",California,51 to 200 Employees,-1,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
