,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Registered Nurse Skin Integrity,-1,"Registered Nurse Skin Integrity
- 2113519
Description

SIGN ON BONUS $10,000!!!!!
REGISTERED NURSE
Join the PruittHealth family, where the health and safety of our workforce is our top priority!
We're not only committed to your career, we're committed to the health and safety of all our nurses. Now is a great time to make a change and join one of the leading providers of post-acute care.",3.2,"Pruitthealth
3.2","Louisville, GA",10000+ Employees,1969,Company - Private,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
1,Registered Nurse - ICU/Critical Care,$53K - $116K (Glassdoor est.),"Silver Cross Hospital is an extraordinary place to work. We’re known for our culture of excellence and delivery of unrivaled experiences for our patients, their families, the communities we serve…and for each other. Come join us! It’s the way you want to be treated.
Silver Cross Hospital is an extraordinary place to work. We’re known for our culture of excellence and delivery of unrivaled experiences for our patients, their families, the communities we serve…and for each other. Come join us! It’s the way you want to be treated.

Summary:
Develops, coordinates and delivers care to critically ill patients from adolescent to geriatric. Cares for a wide variety of patient diagnoses, including medical, surgical, cardiac and neurosurgical. Maintains the standards of professional nursing. Supervises CNA/SNA, LPN or other health care workers as assigned.



Requirements:
Currently licensed as a Registered Nurse in the state of Illinois. CPR certified. ACLS preferred. Previous ICU experience is highly encouraged; will consider external candidates with tele experience. Willing to train current Silver Cross RN. Must have great customer service skills. ...

Days - 12 Hours, 7a to 7p
ICU IP NURSING",3.8,"Silver Cross Hospital
3.8","New Lenox, IL",1001 to 5000 Employees,1891,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
2,Utilization Management Coordinator,$36K - $69K (Glassdoor est.),"Job Details
Job Location
Chicago Behavioral Hospital - Des Plaines, IL
Position Type
Full Time
Education Level
Graduate Degree
Job Shift
Day
Position Summary
The Utilization Review Coordinator is responsible for overseeing the Utilization Review Program. This includes the implementation of case management scenarios, consulting with all services to ensure the provision of an effective treatment plan for all patients, oversees the response to requests for services and interfaces with managed care organizations, external reviewers, and other payors.",3.4,"Chicago Behavioral Hospital
3.4","Des Plaines, IL",201 to 500 Employees,2014,Hospital,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
3,Relief RN-First Assistant,Employer Provided Salary:$120 Per Hour,"We’re Offering Flexible Nursing Shifts!
Work when you want while doing what you love!
We’re offering fast-track hiring plus flexible scheduling options for NEW temporary OR flex RNFA positions with a flat rate pay of $120/hour! Candidates must have OR nursing experience, RNFA experience and will be working at the St. Louis OR!
Apply now and join a team of dynamic health care professionals who work hard to make a difference every day!
8-hour, 10-hour, 12-hour, and Weekend Shifts Available! No Call Required!

Qualifications:
Experience: A minimum of 2-years OR RN with RNFA experience.",3.5,"Mercy
3.5","Saint Louis, MO",10000+ Employees,1871,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
4,"Contract RN Nurse, MedSurg/Tele, ICU",Employer Provided Salary:$100 Per Hour,"RN, Registered Nurse
Medical Surgical, Telemetry and ICU
Per Diem Position- Up to $100/hr
Contract duration may vary


Interim Healthcare of Chicago has an immediate opening for Contract RNs

Employees benefit from excellent training and unlimited opportunities for learning and growth. Join a dynamic team of professionals committed to improving the lives of others. Apply today and learn more about our current positions!

RN Job Benefits:










Click here to apply online",3.6,"Interim Healthcare of Chicago
3.6","Elmhurst, IL",10000+ Employees,1966,Franchise,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
5,Health Insurance/Managed Care Utilization Management Nurse (CA License),Employer Provided Salary:$45 Per Hour,"3+ Years Managed Care (Health Insurance Company) Experience is a MUST.
The Utilization Management nurses role is to ensure that health care services are administered with quality, cost efficiency, and within compliance. By continuously reviewing and auditing patient treatment files, the utilization nurse will ensure that patients won’t receive unnecessary procedures, ineffective treatment, or unnecessarily extensive hospital stays.
Job Duties and Responsibilities:
Utilization Management:
· Concurrent review of patient’s clinical information for medical necessity",-1,"Toney HealthCare Consulting, LLC",Remote,-1,-1,-1,-1,-1,-1
6,Registered Nurse (Entry-Level) @ Urgent Team - **New Graduates Encouraged**,$41K - $102K (Glassdoor est.),"Urgent Team is looking for energetic and compassionate RNs to join our team in Mississippi. Twelve hour shifts and rotating weekends are required for the full-time position. In return, Urgent Team offers a comprehensive benefits package and competitive hourly wages to all full-time team members. This is a great opportunity for a new graduate!
Assist physicians and providers in performing nurse procedures for the comfort and well-being of patients. Interview patients and take medical history, give injections, complete lab and x- ray requests, keep charts current, and screen calls within physician guidelines. Administer prescribed medications and simple treatments as directed by physician or mid-level practitioner.
ESSENTIAL DUTIES AND RESPONSIBILITIES
The following duties and responsibilities generally reflect the expectations of this position but are not intended to be all inclusive. Other duties may be assigned.",2.8,"Urgent Team Management
2.8","Saltillo, MS",51 to 200 Employees,-1,Company - Private,-1,-1,$10 to $25 million (USD)
7,"Telemetry Med/Surg Registered Nurse – RN, PREMIUM PAY CONTRACT",$54K - $103K (Glassdoor est.),"We Are Hiring:
Position: Telemetry Med/Surg Registered Nurse (RN) Short Term Option Premium Pay (Contract)
Shifts: Full Time Day
Location: Chicago Metro
Assignments: 8, 12 or 14 week assignments
Departments: Telemetry Med/Surg
Compensation: Generous Premium Pay – hourly
What You Will Do:
Provide direct nursing care in accordance with established policies, procedures and protocols of
the healthcare organization.
Implement and monitor patient care plans.
Monitor, record and communicate patient condition as appropriate.
What You Will Need:
Additional Preferences:
Why Join Our Team:


Equal Opportunity Employer:",3.5,"AMITA Health
3.5","Chicago, IL",10000+ Employees,1866,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
8,Registered Nurse Observation Unit,Employer Provided Salary:$110 Per Hour,"We Are Hiring:
Registered Nurse - Observation Unit
Full Time, Nights (3 x 12)
Contract Rate: $110/hr
Short Term Contract (up to 14 weeks+)
Murfreesboro, TN
Saint Thomas Rutherford

Saint Thomas Rutherford Hospital is seeking a Registered Nurse for our Clinical Decision Unit. This 36 bed unit is less than a year old and is already growing!! It is designed for patients staying less than 24 hours but require observation or testing prior to release or transfer into another department. Here, our surgical units work together as a team and care for each other as a family. Registered Nurses can expect the support of a diverse team that includes: Physicians, Case Managers, and Patient Care Technicians.



What You Will Do:
What You Will Need:
Additional Preferences:
Why Join Our Team:



Equal Employment Opportunity Employer:








E-Verify Statement:",3.4,"Ascension
3.4","Murfreesboro, TN",51 to 200 Employees,1858,Nonprofit Organization,Social Assistance,Non-Profit,Unknown / Non-Applicable
9,Relief RN- STL Operating Room,Employer Provided Salary:$110 Per Hour,"We’re Offering Flexible Nursing Shifts!
Work when you want while doing what you love!

We’re offering fast-track hiring plus flexible scheduling options for NEW temporary OR flex RN positions with a flat rate pay of $110/hour! Candidates must have OR nursing experience and will be working at the St. Louis OR!
Apply now and join a team of dynamic health care professionals who work hard to make a difference every day!

8-hour, 10-hour, 12-hour, and Weekend Shifts Available! No Call Required!

Qualifications:",3.5,"Mercy
3.5","Saint Louis, MO",10000+ Employees,1871,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
