,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,"Software Developer (C#, WebAPI)",-1,"About TherapyNotes
TherapyNotes is the national leader in web-based behavioral health practice management and electronic health records software for private practices, psychologists, therapists, counselors, social workers and psychiatrists. Our software-as-a-service solution integrates patient scheduling, medical records, billing and electronic claims to streamline the way mental health professionals manage their practice.
TherapyNotes offers careers that provide you with the freedom to do amazing work, interact with great people, and offer fantastic learning and growth opportunities. Our team empowers and challenges each other to learn and solve complex problems. We build and manage web applications with a strong emphasis in healthcare. If you are looking to join a supportive team, use your leadership experience, and build great products, please submit your application.",4.7,"TherapyNotes.com
4.7",Remote,51 to 200 Employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
1,Embedded Software Developer,Employer Provided Salary:$130K - $150K,"Senior IoT Firmware Engineer- MonoLets, Inc
The company.
MonoLets is a full-stack provider of item-level asset identity and tracking technology. We enable this via disposable BLE digital labels at the cost of RFID tags, assembled within our proprietary low-power wireless mesh network architecture. Our system provides unmatched range, flexibility and cost-efficiency, and doesn't require expensive or proprietary infrastructure to collect, analyze and infer real-time data at scale. This finally makes it possible to cost-effectively access high-volume, high-velocity data at the item level on a global scale, and has applications in many different verticals, including real-time visibility into item location and/or temperature in logistics, retail, cold chain and pharmaceutical delivery. Our business model is data-as-a-service, using our low-cost labels and mesh networks.",-1,"MonoLets, Inc.","Mountain View, CA",-1,-1,-1,-1,-1,-1
2,Software Developer,Employer Provided Salary:$85K - $120K,"As a member of the Development Team you design and develop robust and scalable software, used for internal web-based applications. You'll be part of the whole software development life-cycle and through this you can see the positive impact of your development within a few weeks of starting. This full time role resides within a small, collaborative, fast paced team and is responsible for leveraging new technologies to deliver the right solutions to our internal customers. Your voice will be key in shaping our team and our application portfolio.
On an average day, you'll...
Develop, influence, implement, and maintain company web applications & services.
Collaborate with system architects to drive our tech strategy.
Support fellow development team members with code reviews, brainstorming, and offering guidance.


Learn more about Life at OnLogic.
Who we're looking for:




To learn more about our values, our mission and what it's like to work at OnLogic, visit www.onlogic.com/careers",4.3,"OnLogic
4.3","South Burlington, VT",51 to 200 Employees,2003,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD)
3,C# Software Developer,Employer Provided Salary:$40 - $50 Per Hour,"Need 3 c# developers to help with e system re-write and then a few product projects
Skills: 5+ years of C# and Microsoft stack.
Blazzer is a huge plus.
WPF is a nice to have.
They can work remote but ideally they will come to Des Moines.
They will need to have their own laptop / monitors
Job Type: Full-time
Pay: $40.00 - $50.00 per hour",-1,iConnect,"Des Moines, IA",-1,-1,-1,-1,-1,-1
4,Senior Software Engineer (Flutter Developer),Employer Provided Salary:$90K,"V1 Sports builds world-class, innovative experiences and products that give our users, athletes and coaches access to the world's most advanced software and analytics, and revolutionizes the way that coaches and athletes improve their craft.
Our team is on a mission to build the next generation platform for video analysis, online coaching software and mobile apps that empower coaches and athletes to be their best. If you're a team player who loves solving problems, wearing multiple hats, and learning new things, join us!
About the Role
V1 Sports is searching for a Senior Flutter Developer who is passionate about sports and mobile technologies to join our development team and help lead V1 Sports into new growth areas.
As a member of our Software Engineering Team, you will apply your extensive knowledge of mobile app architecture and design to work with teammates creating, extending and improving our applications for iOS, Android, web, and potentially other platforms.",-1,V1 Sports,Michigan,-1,-1,-1,-1,-1,-1
5,Software Engineer,Employer Provided Salary:$90K - $120K,"Case Works is a market-leading litigation support company providing case development services to mass tort and personal injury law firms. We help clients scale their mass tort practice without the need to hire and train additional staff to handle the growth.
As a Software Engineer, you will work with a team to build web applications, client web portals, developing new integrations with third party solutions, and enhancing the platform ecosystem. You will be working in a people-oriented culture with the latest technology stack.
Case Works is a remote friendly company with virtual coffee meets, happy hours, and company activities to connect and engage our people. We work collaboratively in which your contributions will have direct and meaningful impacts. You will have the opportunity to work at all levels of development from design and coding to helping define best practices and standards while working on new applications.",-1,"Case Works, LLC",Remote,-1,-1,-1,-1,-1,-1
6,Software Developer - Software Defined Vehicle,$56K - $108K (Glassdoor est.),"Job Description

This is a remote position, the selected candidate can reside and perform the work from anywhere within the United States.

Software Defined Vehicle (SDV) group that supports the definition, design, and development of continuously improving mobility services. SDV is new vehicle intelligence platform that will underpin all our future innovations across a wide range of technological advancements, including EVs and expanded automated driving. This means that you can potentially put a fingerprint on the vehicles that drive down the road! This space is ripe with technical leadership opportunities for advanced technology development, as well as the ability to provide mentorship for new employees. You can flex your teamwork muscles as you will be tasked with working with several other areas of engineering, IT, and the business.

As a your responsibilities include understanding and implementation of the use cases, software design execution and software verification (unit testing/ software integration testing, etc.). Software developer will develop vehicle abstraction layer and feature applications for Software Defined Vehicles (SDV). We particularly focus utilizing modern software techniques to design optimized software in service-oriented architecture (SOA) based on model-based system design. This includes the following:

























Compensation:

The median level of salary compensation for this role is $109,283.00

Bonus Potential: An incentive pay program offers payouts based on company performance, job level, and individual performance.

Benefits: GM offers a variety of health and wellbeing benefit programs. Benefit options include medical, dental, vision, Health Savings Account, Flexible Spending Accounts, retirement savings plan, sickness and accident benefits, life insurance, paid vacation & holidays, tuition assistance programs, employee assistance program, GM vehicle discounts and more.

#LI-Remote , #gmremote



Our vision is a world with Zero Crashes, Zero Emissions and Zero Congestion and we embrace the responsibility to lead the change that will make our world better, safer and more equitable for all.



We aspire to be the most inclusive company in the world. We believe we all must make a choice every day - individually and collectively - to drive meaningful change through our words, our deeds and our culture. Our Work Appropriately philosophy supports our foundation of inclusion and provides employees the flexibility to work where they can have the greatest impact on achieving our goals, dependent on role needs. Every day, we want every employee, no matter their background, ethnicity, preferences, or location, to feel they belong to one General Motors team.



The goal of the General Motors total rewards program is to support the health and well-being of you and your family. Our comprehensive compensation plan incudes, the following benefits, in addition to many others:



General Motors is committed to being a workplace that is not only free of discrimination, but one that genuinely fosters inclusion and belonging. We strongly believe that workforce diversity creates an environment in which our employees can thrive and develop better products for our customers. We understand and embrace the variety through which people gain experiences whether through professional, personal, educational, or volunteer opportunities.GM is proud to be an equal opportunity employer.

We encourage interested candidates to review the key responsibilities and qualifications and apply for any positions that match your skills and capabilities.



The policy of General Motors is to extend opportunities to qualified applicants and employees on an equal basis regardless of an individual's age, race, color, sex, religion, national origin, disability, sexual orientation, gender identity/expression or veteran status. Additionally, General Motors is committed to being an Equal Employment Opportunity (EEO) Employer and offers opportunities to all job seekers including individuals with disabilities. If you need a reasonable accommodation to assist with your job search or application for employment, email us atCareers.Accommodations@GM.com. In your email, please include a description of the specific accommodation you are requesting as well as the job title and requisition number of the position for which you are applying.",4.0,"General Motors
4.0","Milford, MI",10000+ Employees,1908,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
7,Software Engineer,Employer Provided Salary:$110K,"Our client looking for software engineers ( FullStack /UI Developer).
Responsibilities:
Design, build, test, and release our web-based operational dashboards, electronic procedure tools, and a suite of specialized software solutions to support various space missions
Create software to support simple and complex computation on datasets for decision making and autonomous execution
Build and deploy high-quality code on a daily basis for rapid iteration and testing with users
Design APIs and integration solutions for various proprietary and open-source telemetry and command and control systems",4.4,"Bhuvi IT Solutions
4.4",Remote,1 to 50 Employees,2015,Company - Private,-1,-1,$1 to $5 million (USD)
8,Full Stack Developer,Employer Provided Salary:$130K - $140K,"Position: Full Stack Software Engineer, Full Time
Location: NYC + Remote
About the company:
Retrievr is a startup based in New York City that focuses on curb-side pickups for recyclables in the apparel and electronics space. We are a sustainability focused startup; if you care about the world and you want to help us make it a better, more environmentally friendly place, please join us! Today, most private consumers throw away their old clothes and electronics along with their regular waste. This ends up in our landfills which is bad for the planet, and bad for the people who inhabit it. Some companies offer a mail back program, but these programs usually get a low participation rate. Here at Retrievr we go to people’s homes to pick up their unwanted apparel and electronics from their doorstep. Retrievr is backed by Closed Loop Partners, a leader investment fund in the circular economy eco-system.",-1,Retrievr,Remote,-1,-1,-1,-1,-1,-1
9,Software Engineer React/Python (Remote),Employer Provided Salary:$100K - $180K,"RDI Technology Partners is an engineering/technology search firm. We are conducting a high-priority search for an full stack engineer with React and Python expertise. You must have experience with blockchain or a belief blockchain technology is next internet. Our small, well-funded client is building a new solution in the NFT marketplace space.
Responsibilities
Build, scale and maintain our client applications and APIs.
Develop internal applications to simplify and scale any inefficiencies and manual processes.
Be able to function autonomously
Requirements",-1,RDI Tech Partners,Remote,-1,-1,-1,-1,-1,-1
