,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,"Speech Language Pathologist - SLP ($87,000-$103,000) 100% Peds!",Employer Provided Salary:$87K - $103K,"My Left Foot Children’s Therapy has an EXCITING Special Announcement!!! In an effort to grow our spectacular team of in-clinic SLPs during this challenging time when many SLPs around the country are choosing to do telehealth from their homes…
My Left Foot Children’s Therapy is offering a $10,000.00 SIGN-ON BONUS to ALL SLPs
hired to provide traditional in-clinic therapy! If this sounds like an exciting opportunity to you,
please read on to learn more about our company…
We are thrilled that you are interested in joining our amazing team of SLPs!
Are you still searching for that fulfilling career you envisioned yourself in when you first decided on a degree in Speech and Language Pathology back in college? Are you still longing for a career in which you can go home every night knowing that you’ve made a real difference in the world? Well, your search is over! Being an SLP at My Left Foot Children’s Therapy is the career you’ve always envisioned yourself having! At My Left Foot Children’s Therapy, our patients are at the heart of every decision we make! We put our patients first, and that makes the difference! We do not work for an HMO, an insurance company, or a huge hospital corporation, concerned mainly with their bottom lines! We are a family-run business working to improve the lives of the children we serve – are our customers! main concern is giving our little patients every opportunity to live their best lives!",3.6,"My Left Foot Children's Therapy
3.6","Las Vegas, NV",51 to 200 Employees,2004,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
1,Remote Speech Language Pathologist,Employer Provided Salary:$40 - $50 Per Hour,"About us
Schoolforce Solutions is a therapist and educator focused staffing company that's mission is reinvent the educational landscape by providing superior education to one child, one school, and one district at a time. We know to attract the top talent that we must offer better benefits, pay packages and support- and we do!
Experience working with the pediatric population
Experience with a variety of speech techniques
Master’s Degree in Speech & Language Pathology from an accredited university
Valid Ohio Board of Speech Pathology and Audiology Speech Language Pathology License or Conditional License or ability to obtain one",-1,Schoolforce Solutions,"Tiffin, OH",-1,-1,-1,-1,-1,-1
2,Speech Language Pathologist (Teletherapy/Telespeech),Employer Provided Salary:$36 Per Hour,"Join our team! We are an experienced and growing online speech therapy company. We are currently hiring part-time and full-time Speech-Language Pathologists to provide online speech therapy services to school age students in Minnesota. Competitive pay. Benefits and 401K available. Flexible hours and scheduling. Master's degree, Minnesota Department of Education licensure and ASHA Certification required.
Job Types: Full-time, Part-time
Pay: From $36.00 per hour
Benefits:
401(k) matching
Health insurance",-1,Speech Partners,Remote,-1,-1,-1,-1,-1,-1
3,Speech Language Pathologist - Teletherapy,Employer Provided Salary:$38 - $45 Per Hour,"Nationwide opportunities with immediate openings!
Hiring for the 2021-22 School Year!
Work remotely on a flexible schedule — Join PresenceLearning!
As the leading provider of live, online special education-related services, PresenceLearning offers speech-language pathologists (SLPs) a flexible, remote opportunity to work with kids with special needs — and to grow their careers.
What are we looking for?
State license as an SLP
ASHA Certificate of Clinical Competence (CCC-SLP)",4.3,"PresenceLearning
4.3",Remote,51 to 200 Employees,2009,Company - Private,K-12 Education,Education,$100 to $500 million (USD)
4,Speech Language Pathologist - Sunday-Thursday,$44K - $87K (Glassdoor est.),"Position: Speech Language Pathologist - Sunday-Thursday
Supervisor: Director of Rehabilitation
Essential Qualifications:
Master’s Degree in Speech Language Pathology from an accredited program.
Certificate of Clinical Competence or eligibility for Clinical Fellowship Year
Current licensure as Speech Language Pathologist in practicing state(s)
Certification, as required
Assume responsibility for ongoing continuing education and professional development to maintain current licensure and certification.",-1,Remedy Therapy Services,"Park Ridge, IL",1001 to 5000 Employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
5,Speech Language Pathologist (SLP) - Virtual/Remote position,$43K - $97K (Glassdoor est.),"Overview: Virtual/Remote Speech Language Pathologist- SLP
* *
Virtual/Remote SLP position available to begin ASAP
*
Remote school services and afternoon tele-therapy/ All Ages
Full Time
Must hold current Florida SLP license
We value our speech therapists and their dedication to our mission of making a difference in a child’s life. That is why we make it a priority to offer a comprehensive and competitive benefits package.*
*",3.3,"Healthpro Heritage, LLC
3.3","Tampa, FL",5001 to 10000 Employees,1999,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
6,Online Speech Language Pathologist Part-Time,Employer Provided Salary:$45 - $50 Per Hour,"We are hiring for a part-time referral-based contract need for a speech pathologist in outpatient and school-based telepractice.
Please note: only considering candidates with current Georgia DOH licensure at this time.
Responsibilities include screening, evaluation, and treatment in speech language pathology per treatment plans and in-line with ASHA code of ethics. Additional duties may include consultation and/or meeting attendance. Caseload is part-time based on referrals. We do have clients on our waitlist.
Linguabilities is a growing online therapy company that focuses on making the changes we need to see in telepractice and in-person services. This means emphasizing quality over quantity, forming lasting relationships with clients, and fostering a positive work/life balance company-wide. We partner with school districts, clinics, and clients directly to provide superior therapy and special education services including speech, social work, and psychological services.",-1,Linguabilities,Remote,-1,-1,-1,-1,-1,-1
7,Speech Language Pathologist - Secondary and Transition Students,$50K - $80K (Glassdoor est.),"JobID: 280
Position Type:
Special Education/Speech Therapist
Date Posted:
11/5/2021
Location:
Lisle, IL
(High-Needs School)
This position is responsible for providing comprehensive speech therapy and language development services for students with autism spectrum disorders and functions as a member of the educational and therapeutic team.







The Speech Language Pathologist is an exempt position under the Fair Labor Standards Act (FLSA).


Salary is commensurate with level of education and experience.


The Speech Language Pathologist follows the Day School Staff Calendar.





Giant Steps Illinois, Inc. provides a competitive benefits package, including medical, dental, and vision coverage to all full time employees who work a minimum of 30 hours/week.


Giant Steps adheres to all the laws, statutes, and regulations concerning equal employment opportunities and affirmative action. We will not discriminate against employees or applicants for employment on any legally-recognized basis including: veteran status, disability, religion, race, color, national origin, age, gender, sexual orientation, gender identity or expression, pregnancy, childbirth or FMLA related medical condition, height, weight, familial status, marital status and genetic information.


This disclaimer is to acknowledge that it is highly probable that as an employee of Giant Steps Illinois, Inc., you are at risk of personal injury. Injuries may include, but are not limited to hitting, biting, kicking, scratching, and having hair pulled. The extent of some injuries may result in a break in the skin. All injuries must be documented according to the policies and procedures outlined in the Employee Handbook. Often, individuals are placed in this setting as a result of physical aggression or acting out behaviors that may prohibit them from participating in other environments. Our setting allows for these atypical behaviors. All employees are required to show proof of a Hepatitis B vaccination upon hire.",3.8,"Giant Steps Illinois
3.8","Lisle, IL",51 to 200 Employees,-1,School / School District,K-12 Education,Education,$10 to $25 million (USD)
8,"Licensed SLP in California, Massachusetts, New Jersey, FL, Washington,",Employer Provided Salary:$55 - $65 Per Hour,"Who We Are
Great Speech Inc. is a women-owned business founded by a Speech Language Pathologist. We pioneered online speech therapy in 2014, long before lockdown forced everyone online.
Now, we’re dedicated to maintaining our position at the forefront of this growing niche. We’re flexible, inclusive, and committed to developing our therapists.
About You
You’re a warm and patient speech therapist (CCC-SLP) who will make our clients feel loved. This means you possess a master’s, doctoral, or other recognized post-baccalaureate degree in the field from an ASHA-accredited institution. At this time we do not hire C-SLPAs or CFYs. Plus, you’re looking to establish a serious career in online speech therapy.",-1,Telehealth Company,Remote,-1,-1,-1,-1,-1,-1
9,Speech Language Pathologist,Employer Provided Salary:$50 - $80 Per Hour,"We are seeking a Speech Language Pathologist to join our team! You will evaluate and treat patients with speech, language, voice, and fluency disorders in our brand new clinic in Pahrump NV.
Responsibilities:
Develop therapy and treatment plans for speech disorders
Implement standardized tests for accurate diagnosis of communication disorders
Establish treatment goals and milestones with patients
Document and store treatment plans and progress reports
Update patient progress to relevant parties",-1,Therapy Blocks LLC,"Pahrump, NV",1 to 50 Employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
