,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Data Scientist,$71K - $123K (Glassdoor est.),"Polypore International, an Asahi Kasei Group Company, is a leading technology company specializing in microporous membranes. We bring advanced technology, unique problem solving capabilities and global manufacturing expertise to lithium-ion (made by Celgard) and lead-acid (made by Daramic) battery applications and systems development teams.
Position Summary:
Polypore is seeking a Data Scientist who will analyze, visualize, and build models using Polypore data received from various systems. In this role, you will build and implement machine learning models to make timely decisions. We are looking for a mixture between a statistician, data scientist, machine learning expert and data engineer. The Data Scientist works with business leaders, sales and finance to understand needs in analytics and forecasting. The person in this role understands manufacturing process, develops models that predict product performance, and helps manufacturing to make decisions about improving product manufacturing process. The Data Scientist is responsible for the presentation of model results and the explanation of the model for business.",4.2,"Polypore International
4.2","Charlotte, NC",1001 to 5000 Employees,2004,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$500 million to $1 billion (USD)
1,Lead Applied Statistician,$62K - $124K (Glassdoor est.),"Opinion Dynamics seeks a new team member who is passionate about decarbonizing the energy industry to join our Data Analytics team. The Data Analytics team is a dynamic and tightly knit group of individuals from a range of backgrounds working closely together on analytically challenging and methodologically innovative consulting, advising, and research projects to support energy efficiency and grid-focused needs. We are looking for a Lead Applied Statistician to support sampling, modeling, and methodological aspects of project work.
Our ideal candidate enjoys problem solving and developing and applying creative statistical approaches to advance clean energy revolution, can effectively operate and navigate the dynamic environment of a consulting firm, and is excited to work with a multidisciplinary team of engineers, consultants, data scientists, and programmers.",4.1,"Opinion Dynamics
4.1","Waltham, MA",51 to 200 Employees,1987,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
2,Statistician,$54K - $114K (Glassdoor est.),"About Us
We are more than a specialty finance company providing debt recovery solutions for consumers. We are a global team of over 4,000 employees whose daily mission is to empower consumers to begin their path towards financial recovery and build a better life for themselves and their families. We know that the only way to support this mission is by hiring exceptional people who bring a diversity of ideas, a collaborative spirit, and a passion for attaining breakthrough results. If you are results-driven, have a passion for helping others, and thrive in an innovative environment, this might be the right place for you!
About the Role",3.7,"Midland Credit Management, Inc.
3.7","San Diego, CA",5001 to 10000 Employees,1953,Subsidiary or Business Segment,Banks & Credit Unions,Finance,$1 to $2 billion (USD)
3,Mathematical Statistician,Employer Provided Salary:$73K - $91K,"NSA Overview The professionals at the National Security Agency (NSA) have one common goal: to protect our nation. The mission requires a strong offense and a steadfast defense. The offense collects, processes, and disseminates intelligence information derived from foreign signals for intelligence and counterintelligence purposes. The defense prevents adversaries from gaining access to sensitive classified national security information. At NSA, mathematics and statistics are core disciplines and are present in every aspect of the mission. Mathematical Statisticians bring a wealth of expertise including, but not limited to, regression, machine learning, exploratory data analysis, stochastic processes, and statistical modeling and forecasting. They work on some of the hardest problems associated with signals intelligence (the interception, collection, and analysis of foreign signals) and cybersecurity (assuring confidentiality, integrity, and availability of information). Mathematical Statisticians have the opportunity to learn and experiment in areas far from their academic training. These opportunities and core mission needs help make NSA the largest employer of mathematicians in the country. Description of Position NSA is actively seeking mathematical statisticians to join a vibrant community of mathematicians, statisticians, physicists, computer scientists, and other intelligence professionals. Newly-hired mathematical statisticians begin their careers in the Mathematics Development Program (MDP). The goal of the three-year MDP is to train mathematical statisticians to be broadly knowledgeable in the spectrum of mathematical sciences used at NSA. To accomplish this goal, MDP members study cryptologic mathematics and related subjects in Agency taught classes and complete 6-month tours in diverse NSA offices. Graduates of the MDP may choose their first permanent assignments from any of the NSA Directorates, depending on availability. The Agency is unique in its ability to offer the opportunity to work in diverse areas of Applied Statistics. In addition to cryptologic mathematics, statisticians work in: - Signals analysis - Data compression - Machine learning - Data science - Human language technology - Speech/image/video processing - Analysis of communication networks - Network vulnerability analysis - Cybersecurity Additionally, computing is an essential component of the mathematical sciences at NSA and statisticians must use a variety of computing platforms to test ideas and implement solutions. While there is no specific requirement for any previous programming or computing experience, a mathematical statistician must be willing to learn to use computers effectively.",-1,National Security Agency,"Fort Meade, MD",Unknown,-1,Government,Federal Agencies,Government,Unknown / Non-Applicable
4,"AVP, Credit Model Development",Employer Provided Salary:$75K - $150K,"Job Description:
Role Summary/Purpose:
This critical role will be responsible for providing analytical/quantitative input to develop, implement and monitor the build of complex consumer credit risk loss forecasting, reserve and capital models. The successful candidate will use their business analysis, process, and quantitative knowledge to ensure business intent is matched with modeling outcome, and document development decisions under SR11‐7 guidelines. In addition to responsibilities on individual modeling projects this role will be expected to work on ad‐hoc projects as needed. Communicating model mechanics and articulating nuances to leadership will be an important aspect of the role.
This is a great opportunity for someone who is a modeler/statistician/data analyst/coder (or a combination) with experience in consumer credit analysis. We offer a dynamic, collaborative team environment with a strong credit risk management culture and opportunities to train in new technologies and complex applications.
Regulatory and Compliance",4.2,"Synchrony
4.2","Stamford, CT",10000+ Employees,2014,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD)
5,Statistician,Employer Provided Salary:$24 - $30 Per Hour,"The Statistician role on this federally funded grant project is a part-time position, but does not require a regular, weekly schedule. Rather, we anticipate time periods (2-6 weeks at a time) when we will need a significant effort, with other periods having little to no effort needed. The Statistician will analyze and interpret data from various sources and advise company staff on appropriate statistical measures and methodologies supporting current research and development work, author text describing statistical methods and their appropriate application. Compile reports, charts, and tables based on established statistical methods. Requires a minimum of a bachelor's degree in a related area and 6-8 years of experience in the field of statistics as related to methods in psychology or in a related area. Must be familiar with a variety of the field's concepts, practices, and procedures. Relies on extensive experience and judgment to plan and accomplish goals. May direct and lead the work of others. A wide degree of creativity and latitude is expected. Typically reports to a manager or head of a unit/department. Expected to advise, interact, and communicate with managerial staff and expert consultants.
:",-1,"Psychology Software Tools, Inc",Remote,-1,-1,-1,-1,-1,-1
6,Workforce Analyst (Statistician),Employer Provided Salary:$85K - $95K,"ERPi is seeking an experienced statistician to lead workforce analysis for the National Heart, Lung, and Blood Institute (NHLBI) portfolio evaluation program, working directly with the team of management professionals and data scientists. The selected individual will have a strong background in statistical analysis specifically related to workforce and human resources data, to inform portfolio decision-making. The ideal candidate will have direct experience with the Federal Employee Viewpoint Survey (FEVS) and similar employee-related datasets.
Responsibilities include:
Leading statistical analysis of workforce and employee/ human resources data to inform portfolio-level insights, impacts, assessments, and recommendations. This includes personnel review analysis, diversity assessments and reporting, training impact analysis.
Synthesizing feedback data from the Federal Employee Viewpoint Survey (FEVS) and similar employee-driven feedback mechanisms to assess trends/ patterns, outliers, and working with the team to generate understanding.",4.1,"ERPI
4.1","Bethesda, MD",201 to 500 Employees,2001,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
7,Mathematician,Employer Provided Salary:$73K - $91K,"NSA Overview The professionals at the National Security Agency (NSA) have one common goal: to protect our nation. The mission requires a strong offense and a steadfast defense. The offense collects, processes, and disseminates intelligence information derived from foreign signals for intelligence and counterintelligence purposes. The defense prevents adversaries from gaining access to sensitive classified national security information. At NSA, mathematics is a core discipline and is present in every aspect of the mission. Mathematicians bring a wealth of expertise including, but not limited to, number theory, finite field theory, coding theory, Fourier analysis, graph theory, probability, and statistics. They work on some of the hardest problems associated with signals intelligence (the interception, collection, and analysis of foreign signals) and information security (assuring confidentiality, integrity, and availability of information). Mathematicians have the opportunity to learn and experiment in areas far from their academic training. These opportunities and core mission needs help make NSA the largest employer of mathematicians in the country. Description of Position NSA is actively seeking mathematicians to join a vibrant community of mathematicians, statisticians, physicists, computer scientists, and other intelligence professionals. Newly-hired mathematicians begin their careers in the Mathematics Development Program (MDP). The goal of the three-year MDP is to train mathematicians to be broadly knowledgeable in the spectrum of mathematical sciences used at NSA. To accomplish this goal, MDP members study cryptologic mathematics and related subjects in Agency taught classes and complete 6-month tours in diverse NSA offices. Graduates of the MDP may choose their first permanent assignments from any of the NSA Directorates, depending on availability. The Agency is unique in its ability to offer the opportunity to work in diverse areas of Applied Mathematics. In addition to cryptologic mathematics, mathematicians work in: - Signals analysis - Data compression - Machine learning - Data science - Human language technology - Speech/image/video processing - Analysis of communication networks - Network vulnerability analysis - Cybersecurity Additionally, computing is an essential component of mathematics at NSA and mathematicians must use a variety of computing platforms to test ideas and implement solutions. While there is no specific requirement for any previous programming or computing experience, a mathematician must be willing to learn to use computers effectively.",-1,National Security Agency,"Fort Meade, MD",Unknown,-1,Government,Federal Agencies,Government,Unknown / Non-Applicable
8,Data Analyst,$65K - $115K (Glassdoor est.),"All ManTech employees will need to meet the requirements set forth in Executive Order 14042 and the Safer Federal Workforce Task Force Guidance requiring all covered contractor personnel to be fully vaccinated against COVID-19.
Secure our Nation, Ignite your Future
ManTech is a multi-billion-dollar public company that provides the innovation, adaptability, and critical thinking our government needs for success in health, science, defense, intelligence, law enforcement, and other fields.Â",4.2,"ManTech International Corporation
4.2","Bethesda, MD",5001 to 10000 Employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD)
9,Statistical Analyst,$49K - $88K (Glassdoor est.),"Our patients are our number one priority! We're committed to giving children back their childhood!
Job Posting Title:
Statistical Analyst
Location:
Dallas - Hospital
Additional Posting Details:
Monday - Friday",4.2,"Scottish Rite for Children
4.2","Dallas, TX",1001 to 5000 Employees,1921,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
