,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Substance Abuse Counselor (SAC),$35K - $69K (Glassdoor est.),"Will Support Friendship & Wautoma Clinics. The Community Recovery Specialist (CRS) is a community based and integrated essential member of the Community Recovery Program team who works with participants, treatment providers and other community partners to encourage the recovery of program participants. The CRS is responsible for identifying and responding to individuals seeking treatment, connecting them to comprehensive Mental Health/Substance Abuse/Primary Care assessment and monitoring and ensuring ongoing treatment. This position works with the Program Director and Consortium members in organizing and maintaining community engagement and community advisory bodies. The CRS works closely with local County Human Services Departments and other community partners to ensure an integrated treatment plan that is person centered and team focused and reflects assessments of both psychosocial and recovery goals. From intake evaluation through discharge, the CRS provides support, structure, and accountability for the successful recovery of program participants.",2.1,"Family Health La Clinica
2.1","Friendship, WI",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
1,Substance Abuse Counselor,Employer Provided Salary:$18 - $24 Per Hour,"We are looking for a compassionate, empathetic individual with a background in substance abuse counseling to join our team. The successful candidate will work closely with our patients on an individual basis, helping them understand the nature of their addiction and providing them with the tools they need to establish new sober lifestyles. The right individual for this role will have intimate knowledge of addiction, be able to help people affected by addiction on an individual basis, and be able to work well with peers.
Responsibilities:
Counsel clients on the dangers of drug and alcohol use.
Understand the disease theory.
Understand issues that co-occur with substance abuse.",-1,Hope in the Mountains,Kentucky,-1,-1,-1,-1,-1,-1
2,Substance Abuse Counselor,Employer Provided Salary:$18 - $25 Per Hour,"Clinical Social Worker/ Substance Abuse Counselor
Provide clinical services to our patients in a manner consistent with ethical and clinical practice. We are seeking a highly motivated team member who is able to work independently and deliver individualized care to our patients.
Requirements:
Master’s degree in Social Work, Counseling, or related field. MUST be Licensed in the State of Kentucky
Examples include: LCSW, LPCC, LMFT, LCADC, CSW, LPCA or MFTA
Proactive in determining obstacles and how to overcome them.
Adaptable to new polices and workflows.",-1,Anonymous Content,"Lexington, KY",-1,-1,-1,-1,-1,-1
3,Substance Abuse Counselor,-1,"Qualifications:
--- MUST HAVE A CSC-AD or CAC-AD---or Trainee
Licensed or certified as an alcohol and drug counselors or Trainee by the Board of Professional Counselors and Therapists;
Will consider Trainee Status Counselors.
Approved by the Board of Professional Counselors and Therapists; or
Licensed, certified, or permitted under the Health Occupations Article, Annotated Code of Maryland to provide substance abuse treatment.
Key Responsibilities include:",-1,Chesapeake Treatment Services LLC,"Salisbury, MD",-1,-1,-1,-1,-1,-1
4,Counselor - Addiction - Substance Abuse Treatment,Employer Provided Salary:$40K - $60K,"Substance Abuse Treatment Counselor
Are you an Addictions Counselor who is passionate about helping patients who suffer from Substance Abuse? Do you have experience working in Behavioral Health / Psych / Detox?
Join an experienced, supportive staff who are passionate about helping individuals in recovery find long-term success!
The counselor is a member of a multidisciplinary treatment team, and provides therapeutic services including individual counseling, group counseling, case management, and assessments in a local Correctional Facility. Supervision provided!!
RESPONSIBILITIES:",5.0,"Remedy Recruitment, LLC
5.0","Belleville, NJ",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
5,Substance Abuse Counselor - LADC - CORRECTIONS,Employer Provided Salary:$50K - $56K,"JOB CLASSIFICATION: Full Time-Exempt-With Excellent Benefits
REPORTS TO: Program Manager - Corrections
SALARY RANGE: Based on Experience and Licensure
HOURS: Mon-Fri-Daytime Hours
MAJOR RESPONSIBILITY: To provide 245G compliant clinical services to adult men and women in CREATE’s correction programs. Services include: assessments, program intakes, group therapy, individual therapy, individualized treatment plans, telehealth, treatment coordination and continuum of care. Maintain licensure compliant documentation. Provide client centered services to ensure clinical service compliance, outcomes, and client safety.",3.1,"CREATE, Inc.
3.1","Plymouth, MN",51 to 200 Employees,-1,Company - Private,-1,-1,$5 to $10 million (USD)
6,Certified Substance Abuse Counselor,Employer Provided Salary:$22 - $25 Per Hour,"A little about us: ‘Ohana Makamae “HOME”, Mohala I Ka Wai Ka Maka O Ka Pua. (Unfolded by the water are the faces of the flowers.)
On the eastern side of the beautiful island of Maui, there is a small town called Hana. It is the beating heart of East Maui and the home of “Ohana Makamae.
A place where hope dwells, renewal emerges, and healing gains strength.
“Ohana Makamae “Precious Family”.
Our mission is “to strengthen the families of East Maui through Hawaiian Culture and Spiritual values.”
++There is no relocation money for this position",-1,OHANA MAKAMAE,"Hana, HI",-1,-1,-1,-1,-1,-1
7,Substance Abuse Counselor,$37K - $67K (Glassdoor est.),"Are you an Alcohol and Drug Counselor or Substance Abuse Counselor looking for a new opportunity?
Part-time (12 hours per week) includes all hours worked not just billable hours in session.
W2 employment - Flexible schedule - – you are paid for ALL hours including No-shows, paperwork and meetings
QUALIFICATIONS :
Must, at a MINIMUM, have the required Certification OR State License to practice as an Alcohol and Drug Counselor or Substance Abuse Counselor
Must have at least 3 years of experience",4.0,"The Right Solution, Inc.
4.0","Tieton, WA",1 to 50 Employees,-1,Private Practice / Firm,-1,-1,Unknown / Non-Applicable
8,Substance Abuse Counselor (Master/Licensed Clinician),Employer Provided Salary:$23 - $30 Per Hour,"Counselor Job Description:
Responsibilities include providing direct/indirect therapy services to outpatients who require or will benefit from therapy skills and interventions. This includes, but is not limited to:
Provides individual and group services.
Provides case management services to coordinate care with primary care doctors, other prescribing physicians, probation, parole, child/adult services, and other supporting services
Attends all clinic team meetings and company trainings
Communicates at a level that reflects above average quality work
Maintain client records and other data as required by regulatory agencies in a timely manor",3.9,"Denver Recovery Group
3.9","Denver, CO",51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
9,Substance Abuse Counselor,Employer Provided Salary:$40K - $55K,"JOB SUMMARY
The Clinician is responsible for providing confidential addiction counseling, education and support to individuals, families, and the community, and for promoting healthy lifestyles and healthy choices. Under the supervision of a Clinical Director, the Clinician will provide addiction services including, but not limited to, assessment, group, individual, and family sessions, and other modalities to patients and their families according to demonstrated competence.
DUTIES, RESPONSIBILITIES, & ESSENTIAL JOB FUNCTIONS
Completing Biopsychosocial Assessments on patients being admitted to the program.
Completing Self Harm and Risk Screens.
Assessing patients for substance disorders using the DSM 5",-1,Summit Behavioral Health - Florham Park,"Florham Park, NJ",501 to 1000 Employees,-1,Self-employed,-1,-1,Unknown / Non-Applicable
10,Substance Abuse Therapist - Pontiac,Employer Provided Salary:$20 - $30 Per Hour,"Therapeutics is an innovative opioid recovery treatment facility with the vision of enabling clients to live happy, stable lives and return to being productive members of their communities. Our commitment is to help clients achieve recovery through the use of medical, psychosocial and support services. Therapeutics is certified by state, federal and national regulatory bodies and only employs licensed, credentialed professionals.
Moreover, we insist that clients are treated with respect and flexibility. We are looking for team members that appreciate an outstanding work environment and are fulfilled by being a part of the solution to a national epidemic.
This position is focused on providing psychosocial services for clients that receive medication to combat addiction to opioids and may experience co-occurring disorders.
The Company has job openings in Pontiac, Walled Lake, Ann Arbor and Monroe. Candidate should be comfortable with very early hours (6:00 AM starting time). There is an option to work full time.",-1,"Therapeutics, LLC","Pontiac, MI",-1,-1,-1,-1,-1,-1
11,Substance Abuse Counselor,-1,"If you are a person with IAODAPCA certification (CADC or better), we are seeking you! Sundance is a progressive Uptown Chicago outpatient (OTP) substance abuse treatment center looking for Primary Counselor(s). Your job will be to provide primary counseling services to patients on your caseload, complete intake assessments, along with some group facilitation and education. Must understand the intake process along with treatment plan development and implementation. Strong documentation skills! Seeking a candidate who is Illinois CADC certified or certifiable under IAODAPCA and SUPR 2060 rules and regulation. Punctuality is very important.'
'
Work Location:
One location
Work Remotely",-1,Sundance Methadone Treatment Center,"Chicago, IL",-1,-1,-1,-1,-1,-1
12,Substance Abuse/Mental Health Therapist,Employer Provided Salary:$60K - $100K,"Job Description
Turning Point Counseling Services is seeking a clinician to work in our Intensive Outpatient Therapy for Substance Abuse Program. We are a thriving clinic with a diverse population of clients. We consider ourselves a trauma center which works with issues related to Mental Health and Substance Use disorders. We offer a warm, caring work environment with forward thinking and excellent clinical training and support.
Hours:
Monday through Thursday clinical hours 200pm-600pm
Monday through Thursday in the IOP from 600pm-930pm.",-1,TURNING POINT COUNSELING SERVICES,"Fairbanks, AK",-1,-1,-1,-1,-1,-1
13,Substance Abuse Counselor-Certified,Employer Provided Salary:$24 Per Hour,"American Health Services is a certified, COA accredited substance abuse and addiction clinic that specializes in narcotic and opiate addiction with 20 locations throughout California and Texas.
We are seeking a SUD counselor, who meets California Department of Alcohol and Drug Programs certification requirements at our Bakersfield location, early morning shift, from 6:00am to 2:30pm.
Requirements:
A SUD counselor candidate must be Certified with CADTP, CAADE or CCAPP per California DHCS regulations.
Preference will be given to SUD counselors who have experience with medication assisted treatments used in addiction treatment programs.",2.3,"Lifeline Treatment Services, INC
2.3","Oakland, CA",51 to 200 Employees,-1,Nonprofit Organization,-1,-1,$1 to $5 million (USD)
14,Mental Health and Substance Abuse Therapist,Employer Provided Salary:$55K - $70K,"Looking for Immediate Hire!!
Job Description:
Under the supervision of the Executive and Clinical Director, – Clinician, as a part of the primary care team, is responsible for providing standardized counseling/therapy and case management services for Fountain Hills Recovery patient population with moderate to severe mental health conditions and/or substance abuse. Clinician will work to address other social needs of patients and will utilize area referral sources for needed specialty care, hospitalization, or advance psychiatric assessments and treatments.
Role and Responsibilities
· Provide counseling/therapy to scheduled patients utilizing professional counseling standards. Counseling includes group, individual and family counseling modalities.",-1,Fountain Hills Recovery,"Scottsdale, AZ",-1,-1,-1,-1,-1,-1
15,Clinical Counselor - Substance Abuse,Employer Provided Salary:$35K - $45K,"Dynamic, growing treatment center looking to expand our team. Position involves providing individual counseling to patients in an outpatient medically assisted addiction treatment program.Position is full time with some limited weekend work. Position duties include: intake assessments, treatment planning, case management and all related documentation. Master's degree preferred but Bachelor's degree and applicable experience will be considered. Background check required. Drug Free workplace. EOE/AAE No phone calls please.
Job Type: Full-time
Pay: $35,000.00 - $45,000.00 per year
Experience:
Counseling: 1 year (Required)",-1,Stepping Stone of North Carolina,"Boone, NC",-1,-1,-1,-1,-1,-1
16,Social Worker--Substance Abuse Counselor,Employer Provided Salary:$19 - $26 Per Hour,"WestCare is looking for certified/licensed substance abuse counselors for our program within Sheridan Correctional Center.
Benefits:
$18.97-$25.61 per hour
Health, vision, dental, disability insurance
401K with company match
Vacation and sick time
10+ paid holidays
Company paid life insurance",3.7,"WestCare Illinois
3.7","Aurora, IL",1001 to 5000 Employees,1973,Nonprofit Organization,Social Assistance,Non-Profit,$10 to $25 million (USD)
17,Registered Substance Abuse Counselor Tech- RADT,Employer Provided Salary:$16 - $17 Per Hour,"Global Medical Detox is currently seeking a Per Diem Substance Abuse Counselor Tech
Global Medical Detox is a 28-bed general acute care medical-surgical unit specializing in addiction medicine. The interdisciplinary team assists patients safely through a medical detox, while also addressing medical comorbidities associated with substance abuse. Our emphasis is placed on preparing and transitioning patients to the next level of care for their continued recovery process.
Qualifications:
· Currently registered with CCAPP as RADT
· Currently enrolled or plan to continue education in substance abuse or related field",-1,Hemet Valley Recovery Center and Sage Retreat,"Menifee, CA",51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
18,Mental Health Counselor (2YRS EXP REQ),Employer Provided Salary:$40 - $55 Per Hour,"About us
GD Psych Services, LLC is dedicated to providing the greater Santa Fe, Albuquerque, and Rio Rancho NM region with supportive, solution-based psychological services provided by the most professional licensed clinical social workers, mental health counselors, and psychologists in the community. Our organization is fully committed to helping individuals maintain their mental health and happiness and providing them with the best solutions to overcome their greatest psychological challenges.
Our comprehensive counseling services can provide supervision and support for a variety of issues, including marital stress, military-related stress, OCD, anxiety, depression, substance abuse, and much more. We can provide forensic evaluations and assessments, Personnel selection, psychological, learning style, and neurological testing services to accurately provide diagnoses, occupational match, treatment planning, and recommendations.",-1,"GD Psych Services, LLC",New Mexico,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
