,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Orthopedic Surgeon,$153K - $418K (Glassdoor est.),"We are seeking passionate and dedicated Orthopedic Surgeon to join our medical group. This is a unique opportunity to join a medical group in one of the most beautiful, affordable areas in sunny Southern California. Come grow with us!
Required Licenses and Certifications:
California Medical License
California DEA
BLS, ACLS & PALS Certifications
Benefits:
Competitive Salary (Incentive Based)",-1,Global MSO LLC,"Hemet, CA",1001 to 5000 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
1,OBGyn/Cosmetic Surgeon,Employer Provided Salary:$152K - $186K,"The Wright Center for Women’s Health is an evolving growing practice constantly open to new possibilities and opportunities. Therefore this position is open to a wide range of Physicians with a variety of skills and backgrounds with the ultimate goal and optimal desired placement of a double board certified OBGyn/Cosmetic surgeon physician. Due to the entrepreneurial organically growing nature of the role, we are willing to entertain all MDs, interested in helping to grow and cultivate this unique concierge alternative medicine practice with an emphasis on personalized luxury healthcare. Ultimately creating their own ideal role enhancing their value and ultimately empowering you to be in your own Unique Ability. Education of being a US trained medical physician is paramount. However, although experience is appreciated, due to the very unique growth minded progressive nature of the practice moldable and shapeable minds are a must.
Based upon education, certifications, background, willingness and unique aqbilities responsibilities and job descriptions would include",-1,The Wright Center for Women's Health,"Naperville, IL",-1,-1,-1,-1,-1,-1
2,Orthopedic Surgeon joint and general orthopedics,Employer Provided Salary:$76 - $92 Per Hour,"A well-established, 4 surgeon, orthopedic practice is seeking a BC/BE surgeon with a sub specialty interest in total joint procedures to join the group. The practice enjoys a strong referral base and covers just one hospital. Call rotation is 1 in 5 weekends. Candidates should have interests in total joint replacement surgery as well as general orthopedics. Partnership is evaluated within two years. Portland is nestled on the Oregon & Washington borders with two main rivers through the city - the Columbia and the Willamette - which are available for fishing and other water sports. It is a well-developed city & home to exceptional dining, sporting events, entertainment, cultural interests and outdoor adventures, with Mount Hood, the Columbia River Gorge and the coast all within a 2 hour drive.
Please send CV or contact Patrick Bentley at 503-467-7064.
Website for further information can be viewed at orthoportland.com.
Job Type: Full-time",-1,Orthopedic group,"Portland, OR",-1,-1,-1,-1,-1,-1
3,General Surgeon,Employer Provided Salary:$100K - $300K,"General Surgeon
Pensacola, FL. Full Time or Part Time.
ProHealth One invites you to apply to join our wound care team. We are seeking Wound Care Physicians, Doctor of Medicine (MD) or Doctor of Osteopathic Medicine (DO) with a passion for and an interest in providing wound care to patients in the post-acute and long-term care setting.
As the leading and fastest growing wound care practice we credit our success to our team's ability to achieve exceptional patient outcomes, exceed client expectations, and align with the goals and objectives of our practice.
As a member of ProHealth, you'll enjoy a compensation plan that includes a competitive base salary with uncapped earning potential, plus the benefits of:",-1,ProHealth One,"Pensacola, FL",-1,-1,-1,-1,-1,-1
4,Excellent Opportunity for a Cosmetic Surgeon,-1,"NipTuck Aesthetics is a state of the art Plastic Surgery Practice in Miami, FL. We are currently looking for a skilled, cosmetic surgeon .
Our Practice:
NipTuck Aesthetics is a practice in Miami Florida seeking a Board Certified Cosmetic Surgeon with Hospital privileges in the State of Florida. We currently have a position open in our practice for a surgeon who would like to supplement the practice volume. We have built our brand as a national leader of body cosmetic procedures.
We focus on taking care of the management concerns so that our doctors can focus on the patient care. We are committed to patient safety, delivering exemplary results and having patients leave with a positive experience. We are proud to uphold the satisfaction of our patients and employees thus we focus on finding Plastic Surgeons with similar values.",-1,Niptuck Aesthetics,Florida,-1,-1,-1,-1,-1,-1
5,Plastic Surgeon / Aesthetics Medical Specialist,Employer Provided Salary:$350K,"Job details
SalaryUp to $350,000.00 a year
Job Type
Full-time/Part-time
Contract
Number of hires for this role
1
Qualifications
*",-1,Genesis Cosmetic Laser Center,"Florence, SC",-1,-1,-1,-1,-1,-1
6,Oral Surgeon,Employer Provided Salary:$100 Per Hour,"High Tech Practice with digital dentistry (CT scan, digital impressions, X-rays, Cerec, etc) looking for part-time Oral Surgeon. Proficient with bony, partial-bony erupted & unerupted teeth.
PPO/Fee-for-service practice offering large patient base with 250 new patients a month.
1-2 years of experience preferred'
'
Work Remotely
No
Job Type: Part-time
Pay: From $800.00 per day",5.0,"Fenton Family Dental
5.0","Suitland, MD",51 to 200 Employees,2009,Unknown,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
7,Plastic Surgeon or Cosmetic Surgeon,-1,"Our Centers: Plastic Surgery office
Sono Bello Body Contour Centers is seeking Board Certified or Board Eligible Plastic Surgeon / Cosmetic Surgeon for our AAAHC accredited surgical center. We currently have a position open for a full or part time physician.This position is perfect for a surgeon who would like to supplement their practice with additional volume. Sono Bello has built our brand as a national leader of body contouring procedures /plastic surgery / cosmetic surgery completing over 250,000 procedures since 2008.
We focus on taking care of the management concerns so that our doctors can focus on the patient. We are committed to patient safety, delivering exemplary results and having patients leave with a positive experience. We are proud to uphold the satisfaction of our patients and employees thus we focus on finding Plastic Surgeons with similar values.",-1,"Aesthetic Physicians, PC","Norfolk, VA",-1,-1,-1,-1,-1,-1
8,Plastic Surgeon,-1,"Available Immediately: Opening for Plastic Surgeon- Greater Atlanta Area
· Seeking fourth member for an exceptional plastic surgery practice opportunity
· Will consider experienced physician or new graduate
· General plastic surgery or sub-specialty interest
· Ideal opportunity for a candidate with an entrepreneurial spirit and partnership aspirations
Excellent Location serving the greater Atlanta Area/ Fayetteville
· Affluent community
· Excellent schools",4.0,"Medical Practice
4.0","Marietta, GA",10000+ Employees,1828,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion (USD)
9,Upper Extremity Total Shoulder Surgeon,-1,"The Orthopedic Center of Palm Beach County (OCPBC) has an excellent opportunity for an upper extremity/total shoulder surgeon to join this sixty-year-old prestigious practice in beautiful Palm Beach County. This is a full-time position with travel to three office locations, an ASC and local hospitals required. The preferred candidate will have a minimum of 2 years’ experience (preferred) meet credentialing criteria, background, and reference checks. Licensure in the state of Florida is required. Competitive salary and benefits package.
About Us
The Orthopedic Center of Palm Beach County is a multispecialty group which includes upper extremity, total joints, foot/ankle, sports, pain management, pediatrics and physiatry. OCPBC is proud to have served the Palm Beach community for over 65 years providing the finest clinical and surgical care to its patients. OCPBC offers services at three state-of-the-art facilities in Lake Worth, Boynton Beach, and Wellington.",4.0,"Orthopedic Center of Palm Beach County
4.0","West Palm Beach, FL",51 to 200 Employees,-1,Unknown,-1,-1,Unknown / Non-Applicable
10,Plastic Surgeon,-1,"Full Job Description
Job Description & Requirements
Plastic Surgeon in Miami
StartDate: ASAP Pay Starting: $1000000.00 per year
A highly reputable practicing specializing in aesthetic plastic surgery is seeking a board-certified or board eligible plastic surgeon ideally with an aesthetic fellowship, but not required. This position offers the ability to earn a substantial income while still enjoying a highly desired personal/work-life balance.
Opportunity Highlights
$1 million+ income potential
100% aesthetic opportunity with a full range of breast, body, and facial cases",-1,Dolls Plastic Surgery,"Aventura, FL",-1,-1,-1,-1,-1,-1
11,General Surgeon,-1,"Utah Surgical Associates is in search of a General Surgeon to join an established group practice providing surgical services in Utah County.
About Utah Surgical Associates
From our early beginning Utah Surgical Associates has been providing physician-driven, quality care for residents throughout the state of Utah. We feel honored and privileged to be a part of this community and take great pride in caring for her residents.
Utah consistently ranks among the top 5 overall best states by U.S. News and World Report. Healthcare, education, and the economy are areas where Utah is regularly ranked among the leading states. Utah residents are fortunate to enjoy a climate with four distinct seasons.
Located 44 miles south of Salt Lake City, Utah County is the state’s second-most populous county, and one of the fastest-growing areas in the nation. Surrounded by mountains, fans of the outdoors have hundreds of activities to participate in, including skiing, boating, biking, hunting, fishing, and more. Collegiate sports are also brought to the county by two NCAA universities (Brigham Young University and Utah Valley University).",-1,Utah Surgical Associates,"Provo, UT",-1,-1,-1,-1,-1,-1
12,Vein Surgeon and Clinical Director of Vein Clinic,Employer Provided Salary:$200K - $400K,"Incredible opportunity to lead and build a premiere vein clinic for Nashville’s largest multi-site dermatology practice
The Clinical Director of the Vein Clinic at Belle Meade will develop Pinnacle’s premiere vein program in the greater Nashville area and treat all patients referred in the region for vein services. This is a unique opportunity to quickly develop a robust vein program by partnering with over 35 dermatologic and cosmetic Pinnacle providers in the Nashville market.
The Vein Clinic will offer a variety of treatments, including, but not limited to, sclerotherapy, endovenous laser ablation treatment, endovenous adhesive ablation, and radifrequency ablation (RFA).
Position Highlights",-1,Pinnacle Dermatology,"Nashville, TN",-1,-1,-1,-1,-1,-1
13,Plastic Surgeon,-1,"Plastic Surgeon
Miami, Florida
My client has a need for an experience Plastic Surgeon to join their team in Miami, Florida.
Responsibilities of the Plastic Surgeon
Out Client is a top Plastic Surgery Center located in the heart of Miami. They offer a comprehensive range of services, including cosmetic procedures in high demand, and innovative aesthetic treatments to meet your most challenging cosmetic needs.
At our Client, they sculpt the new you with artistry and skillful hands. Their primary goal is to produce subtle or dramatic results in line with your most cherished aesthetic goals, always keeping in mind your safety and satisfaction.",-1,"Ironman Staffing Medical Services, Inc.","Miami, FL",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
14,Seeking BC/BE Plastic Surgeon,-1,"Seeking a BC/BE Plastic Surgeon to join our extraordinary team. Recognized as the premier center for Cosmetic Surgery in the area for over 30 years, MPS is looking for an enthusiastic Plastic Surgeon with a passion for facial aesthetics, breast surgery and body sculpting procedures who will be driven to build our brand as a leader in all areas of cosmetic surgery.
Our practice has a growth minded, positive attitude and collaborative culture with a strong emphasis on patient experience. We are committed to delivering the highest quality care with a personal touch and seek a surgeon with like-minded goals and values.
About MPS:
Led by our Medical Director, Board Certified Plastic Surgeon, Dr. Jarrod R. Daniel, FACS, our practice is highly motivated to make a difference in the world and provide unparalleled patient care. We are metrics driven with the goal of helping all staff members achieve success in their job roles as well as their personal lives.",-1,Maine Plastic Surgery,"Portland, ME",-1,-1,-1,-1,-1,-1
