,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Associate Veterinarian-$10K Relocation Bonus,Employer Provided Salary:$100K - $150K,"We are seeking an experienced, full time associate veterinarian to join our expanding team of collaborative and team oriented professionals. We are a growing, fast paced, general practice that has provided state of the art veterinary care to our patients throughout Stoneham, MA and the surrounding areas for over 25 years. Our ideal candidate will be highly motivated, energetic and compassionate. Someone who is a team player and always keeps the best interest of our patients in mind, by providing outstanding veterinary care. Our hospital culture thrives on teamwork and compassion for our patients and clients.
As a member of the Central Animal Hospital family, our employee's passion for veterinary medicine is matched by our commitment to their professional growth. We value our employees.
What Can You Expect Here?
- Custom, state of the art facility",-1,Central Animal Hospital of Stoneham,"Fall River, MA",-1,-1,-1,-1,-1,-1
1,Associate Veterinarian,Employer Provided Salary:$125K - $160K,"Are you looking to work as an integral team member in a progressive, top-ranked, small animal, private practice veterinary hospital in Long Beach, California? If you answered yes, then we want to meet you!
At Primary Care Animal Hospital we believe that a successful practice starts with a supportive and friendly culture. Founded and operated by veterinarians, in our highly service-oriented hospital, we honor and respect those who are truly passionate, compassionate, and real go-getters in every step of the way. This is how we’ve assembled a group of talented doctors and thanks to our progress and growth, we are now ready to add to our successful dream team.
We take pride in our modern, state-of-the-art facility, our high-quality standard of medicine, and our exceptional client service. We have a fantastic staff. The staff is the perfect blend of long-term, experienced members with a young, energetic and skilled group of technicians and support staff. We currently have ample in-house laboratory services and resources in order to practice medicine at the highest level. All of this has granted us an impressive reputation as one of the best animal hospitals in Long Beach and earning multiple local awards.",-1,Primary Care Animal Hospital,"Long Beach, CA",-1,-1,-1,-1,-1,-1
2,Veterinarian,Employer Provided Salary:$90 - $110 Per Hour,"Sully Animal Hospital/ Veterinary Outpatient Surgical Center
Part-Time or Relief
NO NON-COMPETE
NO WEEKENDS
Centreville, Virginia
United States
We are seeking Veterinarians to join our multi-Doctor practice. We are a well-established, AAHA accredited Hospital that provides comprehensive medical, surgical, and dental care for dogs & cats. Our goal is to practice the highest quality veterinary medicine.",-1,Veterinary Outpatient Surgical Center/ Sully Animal Hospital,"Centreville, VA",-1,-1,-1,-1,-1,-1
3,Veterinarian - $150-200K/year,Employer Provided Salary:$150K - $200K,"Are you looking for a hospital that you actually wake up excited every day to go work at? A place that offers you support and truly values you? What about a happy & positive work environment? Respect? Independence to pursue your special area interests? Mentorship? Or how about WORK LIFE BALANCE?!
We believe that PEOPLE come first. Our work environment is more of a family-vibe vs the stiff corporate world. If you like laughing and jamming to music while you work, this is the place for you! Pou Vet Group truly values every team member, from kennel staff to veterinarian. We're a family and run our hospital the way we would want our family to be treated.
A little bit about us: We are a small animal hospital, serving over 7,000 patients. Our practice has been serving the Kendall area for 30 years, and has recently expanded. We have built our practice by providing modern progressive care to our patients, while maintaining a compassionate practice culture that emphasizes with the human animal bond.",-1,Pou Veterinary Group,"Miami, FL",-1,-1,-1,-1,-1,-1
4,Associate Veterinarian,Employer Provided Salary:$100K,"We are looking for an Associate Veterinarian to join our talented team. Our collaborative environment allows for great medicine and patient outcomes. An interest in surgery is very important. Excellent salary and benefits which include: Health & Disability insurance, IRA, PLIT insurance, Professional dues, Licensing fees, PTO, Continuing Education and Flexible schedule to name a few. Our strong, dedicated and cohesive team makes this a great place to work.
Job Types: Full-time, Contract
Pay: From $100,000.00 per year
Benefits:
Disability insurance
Employee discount",-1,Mountain Lore Animal Hospital,"Plantsville, CT",-1,-1,-1,-1,-1,-1
5,Associate Veterinarian DVM,Employer Provided Salary:$135K - $180K,"Position Overview
Are you excited about the opportunity to have weekends off? Do you dream of working at a practice where you can truly make an impact in the community? With our hospital, the treatments are accessible with the low-cost services we offer. If you are looking to make a dramatic change in your life and want to avoid the burnout that our industry is faced with, look no further, this is the opportunity for you! Ignite your passion for veterinary medicine and get off by 5:00 PM!
Location
We are located in Fresno, California. Downtown Fresno offers a plethora of entertainment, from sporting events, theatres, and local restaurants, there’s an activity for all ages. The city offers affordable housing in comparison to its neighboring cities. For the outdoor enthusiast, we are 60 minutes from Sequoia National Forest and about 90 minutes from the infamous, Yosemite National Park!",-1,H.O.P.E. Animal Foundation,"Fresno, CA",-1,-1,-1,-1,-1,-1
6,Associate Veterinarian,Employer Provided Salary:$90K - $120K,"Are you ready to make a career jump and land in a coveted environment? Marshfield Animal Hospital is looking to add another doctor and join our exceptional team. We deliver a reputable service to the community in comfortable, close-knit fashion and we welcome you to join us. PT/FT position available for a talented individual. We can be creative about compensation and incentives.
Job Types: Full-time, Part-time, Contract
Pay: $90,000.00 - $120,000.00 per year
Benefits:
401(k)
401(k) matching",-1,Marshfield Animal Hospital,"Marshfield, MA",1 to 50 Employees,-1,Company - Private,Veterinary Services,Consumer Services,Unknown / Non-Applicable
7,Small Animal Veterinarian,Employer Provided Salary:$160K,"Alpine Animal Hospital in Alpine, UT is calling all experienced and compassionate Small Animal Veterinarians to apply to join our amazing team full-time! We will consider part-time positions as well.

WHY YOU SHOULD JOIN OUR TEAM
We are a fast-growing veterinary company that invests in our team and offers real opportunities for career growth. This veterinarian surgeon position works a flexible Monday through Friday schedule between 8 AM to 6 PM at our veterinary hospital and earns a competitive salary, prosal, or straight production of roughly $160,000/year. We provide our veterinarian surgeon great benefits and perks, including health insurance and pet benefits. We also make it easy to apply! If we have your attention, please continue reading!",1.5,"Alpine Animal Hospital
1.5","Lehi, UT",1 to 50 Employees,1965,Company - Private,Veterinary Services,Consumer Services,$1 to $5 million (USD)
8,Associate Veterinarian,Employer Provided Salary:$100K - $150K,"Friendship Pet Hospital and Wellness Center
AAHA Accredited
Located in Schertz, Texas
Voted Best Animal Hospital in Schertz
Are you looking for an exciting career with ample mentor ship? Or, are you experienced and ready to hit the ground running? We want to meet you!
See us on youtube! https://youtu.be/NFTh39HA5Qw
Our privately owned practice is growing. We currently have a 3 doctor team and are seeking a new addition. Our diverse clinic sees routine appointments as well as after hours urgent care cases, making Friendship Pet Hospital a great place to gain experience and confidence. We provide extra support through a one on one mentorship with an established DVM. If you already have experience, Friendship Pet Hospital will offer enough diversity to keep you engaged.",-1,Friendship Pet Hospital,"Schertz, TX",-1,-1,-1,-1,-1,-1
9,Veterinarian,Employer Provided Salary:$115K - $225K,"Practice Location: Bellingham, Washington
Practice Website: http://www.animalemergencycare.net
Emergency Veterinarian
Animal Emergency Care is a busy, after-hours emergency service within a 24-hour veterinary hospital. We are now seeking to expand our veterinary team!
We, like every emergency practice in the country, have experienced substantial growth over the past year. The difference is what we have to offer you.
Our company values people and their ideas over maximizing profit. Join our team and become a part of change within the veterinary industry. We listen to your needs. We implement your voice. We change today to bring a brighter tomorrow.",-1,Animal Emergency Care,"Bellingham, WA",-1,-1,-1,-1,-1,-1
