,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Wind Turbine Technician Instructor,-1,"Northwest Renewable Energy Institute, a private career college located in Vancouver, WA, is currently seeking a qualified instructor to teach in our Wind Turbine Technician training program. The instructor will lead the students through a wide range of subjects including hydraulics, mechanical and machine controls.
Essential Duties and Responsibilities
Teach students using the provided course content.
Administer, correct, score, and grade students' exams and quizzes.
Provide tutoring to students who need assistance.
Be a role model of industry standards and safety practices
Teach students topics such as hydraulics, electrical, mechanical, and machine controls.",-1,Northwest Renewable Energy Institute,"Vancouver, WA",-1,-1,-1,-1,-1,-1
1,Experienced - Local Wind Technician,Employer Provided Salary:$20 - $22 Per Hour,"Overview:
As a Wind Technician you will perform preventative maintenance, repairs, and troubleshooting on a Wind Turbine.
About Airway Services:
Airway Services is a full-service provider of on-demand technical staffing, project management and operations, and maintenance for utility-scale wind energy projects. Our team of knowledgeable and experienced technicians is committed to providing the highest standard of service to the growing wind industry.
Our Values:",4.2,"Airway Services Inc.
4.2","Snyder, TX",51 to 200 Employees,-1,Company - Private,,"Oil, Gas, Energy & Utilities",$10 to $25 million (USD)
2,Wind Turbine Technician - ESS LOTO Certified,$35K - $73K (Glassdoor est.),"Join Run Energy and accelerate your wind career! Run has openings for local technicians in Lubbock TX and surrounding areas.
Preferably GE - ESS LOTO Certified
Run offers family coverage medical insurance, paid vacation and sick leave, paid holidays, paid mob time, paid R&R travel time, hotel/per diem, company provided PPE.
The Job:
Perform mechanical, electrical and hydraulic component maintenance and repair
Perform component retrofits and upgrades
Perform preventive maintenance",3.4,"Run Energy
3.4","Lubbock, TX",201 to 500 Employees,2003,Company - Private,Building & Personnel Services,Business Services,Unknown / Non-Applicable
3,Traveling Wind Turbine Technician,Employer Provided Salary:$20 - $24 Per Hour,"Traveling Wind Turbine Technician
Company Description:
The Services Business Unit have been providing services in 57 Wind farms all over the world, with a total installed Wind Power Capacity of 2000 MW. Our Services Team focuses on startup services, providing high voltage services, major components, commissioning and operation & maintenance services.
Job Description:
Ingeteam, Inc has immediate openings for Travelling Wind Turbine Technician positions. For these positions, you will work at different job sites in the United States, so you must be willing to travel for extended periods of time.",3.5,"Ingeteam Inc.
3.5",Texas,51 to 200 Employees,-1,Company - Private,-1,-1,$25 to $50 million (USD)
4,Wind Technician III,Employer Provided Salary:$30 - $33 Per Hour,"Job Summary:
Reporting to the Wind Site Supervisor, the Wind Tech III is responsible for assisting in the performance of wind turbine mechanical, hydraulic, and electric component maintenance. The primary objective is to maintain safe, effective, efficient, and profitable wind turbine operation.
· Follow safety procedures, observe safe working practices and maintain a safe working environment.
· Troubleshoot complicated mechanical, hydraulic, and electrical problems on variable pitch, variable speed wind turbines.
· Assist other sites with remote troubleshooting.",5.0,"H-S International, LLC
5.0","Vega, TX",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
5,Wind Turbine Instructor,Employer Provided Salary:$40K - $60K,"Benefits:
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance
Qualifications:
Technical/University Education degree OR a High School Diploma / GED with a minimum of 2 years of experience as a Trainer/Instructor.",3.7,"CollabFirst
3.7","Tampa, FL",,-1,,-1,-1,Unknown / Non-Applicable
6,Wind Turbine Technician Instructor,Employer Provided Salary:$41K - $54K,"Do you want to share your experience and knowledge with eager students? Are you looking for a career change or a new challenge in your current field of expertise? Centura College Allied Health & Trades may be the right choice for you!
For the past 50 years, our firm has successfully expanded our training operations and we now have multiple successful campus locations, from coast to coast, with our Corporate Headquarters in Virginia Beach, VA. Our three brands, Aviation Institute of Maintenance, Centura College, and Tidewater Tech are co-educational institutions committed to the instruction and personal enrichment of each student and we are dedicated to helping adult students reach their career goals through education and training.
We are always looking for qualified and experienced individuals to direct and staff our campuses and currently have an opening for a Wind Turbine Technician Instructor at our Norfolk, VA campus.",2.4,"Centura College Allied Health & Trades
2.4","Norfolk, VA",51 to 200 Employees,-1,Company - Private,Education Training Services,Education,Unknown / Non-Applicable
7,Wind Turbine Technician,Employer Provided Salary:$18 - $28 Per Hour,"NGC Transmission Equipment (America) Inc. is a subsidiary of a multi-national gearbox manufacturer (NGC Gears) and is based in Fort Worth, TX.
NGC is looking to hire Wind Gearbox Traveling Tech to be based in their own residency area without relocation to Fort Worth, TX.

Job Summary: Travel Gearbox Technician - Wind Industry (Ft. Worth, TX) (Travel Job)

Job Type: Full-time Pay: $18.00 - $28.00 per hour",3.3,"NGC Transmission Equipment (America), Inc.
3.3",Texas,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
8,"Wind Turbine Technician - Rio Hondo, TX",$34K - $91K (Glassdoor est.),"ACCIONA is one of Spain's leading corporations, a front-runner in promoting and managing infrastructures, renewable energies, water and services, with 30,000 professionals worldwide, in 30 countries, and on 5 continents. The company is a global leader in renewable energy working exclusively with renewable technologies, specifically in wind, solar PV, solar thermal, hydro and biomass. Our Northern American Energy Division owns and operates renewable energy windfarms in the United States and Canada, and has recently added 3 gigawatts to our portfolio as we begin back to back Solar PV and storage projects. This is an exciting time to join Acciona and become one of the “pioneers in sustainability.”
Job Description
The Wind Turbine Technician will work with a team of well-trained professionals to maintain facilities surrounding wind turbines and maintain the turbines themselves. This includes basic cleaning and maintenance on the premises surrounding the wind turbines. This requires attention to safety regulations for the industry and is important for overall safety on the job.",3.3,"Acciona Services Energy
3.3","Rio Hondo, TX",201 to 500 Employees,2006,Subsidiary or Business Segment,Energy,"Oil, Gas, Energy & Utilities",$10 to $25 million (USD)
9,Blade Composite Repair Travel Technician,$34K - $68K (Glassdoor est.),"Join Run Energy and accelerate your wind career! Run has openings for travel technicians across the USA.
Run offers family coverage medical insurance, paid vacation and sick leave, paid holidays, paid mob time, paid R&R travel time, hotel/per diem, company provided PPE.
The Job:
Composite repair experience
Epoxy and Polyester resin wet lay up
Balsa and foam sandwich materials
Structural/cosmetic repair",3.4,"Run Energy
3.4","Abilene, TX",201 to 500 Employees,2003,Company - Private,Building & Personnel Services,Business Services,Unknown / Non-Applicable
10,Plant Technician I,$36K - $62K (Glassdoor est.),"Purpose

Avangrid Renewables is seeking to fill a Wind Plant Tech I or Wind Plant Tech II opening. (The company will determine Tech level based on experience and education) This position is responsible for the onsite operations, maintenance, repairs and replacement of equipment on a wind powered generation plant, and leads in all areas of plant operations as directed by the Plant Manager.
Responsibilities
Operate and maintain wind turbine and solar equipment along with associated infrastructure including substation, collection and transmission systems.
Additional Responsibilities",-1,AVANGRID,"Hertford, NC",5001 to 10000 Employees,2015,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD)
11,Travelling Blade Repair Technician Level 2 or 3,Employer Provided Salary:$30 - $40 Per Hour,"The Composite Blade Technician level 3 will be responsible for the internal and external inspections, defect analysis, and Category 1-5 repair of fibreglass and composite blades, hub/nose cone, and nacelles from all categories with no supervision. The technicians will be required to document the findings and assemble all associated paperwork as required to be posted for further action. Level 3 technicians should be willing and able to train level 1-2 technicians on all repairs category 1-5 repairs. Level 3 technicians will also have added responsibilities such as blade document review and submission to the operations manager and engineering team. Extra responsibilities will include daily reporting of teams' time on site via DWR, daily work reports. This position requires 100% travel.
Education/Training
Certification from the respected world or domestic organizations in blade repairs or torquing/ tensioning turbine maintenance",-1,USS Wind - Blades,"Rankin, TX",-1,-1,-1,-1,-1,-1
